datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,GUJALK,132.0,134.0,129.0,133.6,89152,
2010-01-05 12:01:00,GUJALK,134.6,136.9,132.5,134.8,101589,
2010-01-06 12:01:00,GUJALK,135.8,141.4,134.3,136.9,202491,
2010-01-07 12:01:00,GUJALK,138.15,138.4,132.1,134.25,79821,
2010-01-08 12:01:00,GUJALK,135.9,136.4,133.5,133.95,129568,
2010-01-11 12:01:00,GUJALK,134.5,137.5,133.6,135.8,380582,
2010-01-12 12:01:00,GUJALK,137.75,139.1,130.6,131.9,145550,
2010-01-13 12:01:00,GUJALK,128.6,134.2,128.6,132.5,359236,
2010-01-14 12:01:00,GUJALK,133.0,138.4,132.8,135.6,298215,
2010-01-15 12:01:00,GUJALK,136.55,140.9,132.5,134.65,951305,
2010-01-18 12:01:00,GUJALK,135.0,137.9,134.0,137.05,126944,
2010-01-19 12:01:00,GUJALK,137.05,154.8,136.0,147.35,1386060,
2010-01-20 12:01:00,GUJALK,148.4,152.8,146.7,150.1,636741,
2010-01-21 12:01:00,GUJALK,149.4,153.4,145.1,149.75,452559,
2010-01-22 12:01:00,GUJALK,146.0,155.8,140.15,150.25,437883,
2010-01-25 12:01:00,GUJALK,151.0,151.0,141.3,142.85,99612,
2010-01-27 12:01:00,GUJALK,139.9,142.7,122.2,125.4,376470,
2010-01-28 12:01:00,GUJALK,127.4,128.0,122.2,126.15,147173,
2010-01-29 12:01:00,GUJALK,124.0,125.7,120.1,124.8,78336,
2010-02-01 12:02:00,GUJALK,124.0,128.1,123.2,126.05,74327,
2010-02-02 12:02:00,GUJALK,127.8,132.9,125.35,126.7,88431,
2010-02-04 12:02:00,GUJALK,127.0,131.3,125.9,126.4,68426,
2010-02-05 12:02:00,GUJALK,121.1,126.25,121.1,123.25,43892,
2010-02-06 12:02:00,GUJALK,123.1,125.95,123.1,124.15,9824,
2010-02-08 12:02:00,GUJALK,125.0,126.8,123.05,124.25,31021,
2010-02-09 12:02:00,GUJALK,124.95,129.0,123.0,124.05,29403,
2010-02-10 12:02:00,GUJALK,125.0,126.9,122.6,123.4,28480,
2010-02-11 12:02:00,GUJALK,122.05,125.8,122.05,124.05,26807,
2010-02-15 12:02:00,GUJALK,125.65,125.65,121.5,122.3,23774,
2010-02-16 12:02:00,GUJALK,124.6,146.75,124.6,135.35,1293134,
2010-02-17 12:02:00,GUJALK,136.0,136.8,130.0,131.15,336959,
2010-02-18 12:02:00,GUJALK,130.1,135.0,130.1,133.9,148679,
2010-02-19 12:02:00,GUJALK,133.0,137.0,131.5,133.7,103740,
2010-02-22 12:02:00,GUJALK,135.0,135.35,132.25,132.75,68209,
2010-02-23 12:02:00,GUJALK,132.9,134.25,131.05,131.75,54118,
2010-02-24 12:02:00,GUJALK,131.0,131.5,130.0,131.0,27511,
2010-02-25 12:02:00,GUJALK,130.0,135.9,130.0,133.3,75889,
2010-02-26 12:02:00,GUJALK,134.4,135.25,132.0,134.0,42855,
2010-03-02 12:03:00,GUJALK,134.9,136.15,132.8,133.55,29058,
