datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,HEG,78.14,80.3,77.6,78.21,439734,
2010-01-05 12:01:00,HEG,78.94,79.6,77.9,78.73,217871,
2010-01-06 12:01:00,HEG,78.9,82.47,78.63,79.69,782820,
2010-01-07 12:01:00,HEG,80.02,80.6,78.4,79.12,154470,
2010-01-08 12:01:00,HEG,79.6,79.76,77.2,77.86,79752,
2010-01-11 12:01:00,HEG,78.1,82.0,78.1,79.2,428880,
2010-01-12 12:01:00,HEG,79.7,80.95,76.61,77.3,86851,
2010-01-13 12:01:00,HEG,77.3,78.6,76.28,77.39,81746,
2010-01-14 12:01:00,HEG,78.08,79.6,77.8,78.14,73629,
2010-01-15 12:01:00,HEG,78.58,78.9,76.3,76.63,70461,
2010-01-18 12:01:00,HEG,76.7,78.39,75.86,76.46,96042,
2010-01-19 12:01:00,HEG,76.58,76.98,74.4,74.72,57872,
2010-01-20 12:01:00,HEG,75.36,76.74,72.0,72.84,139946,
2010-01-21 12:01:00,HEG,73.39,75.3,72.02,72.94,187326,
2010-01-22 12:01:00,HEG,71.6,72.67,69.25,70.7,77152,
2010-01-25 12:01:00,HEG,70.8,71.59,69.24,69.7,42792,
2010-01-27 12:01:00,HEG,70.0,70.9,66.4,68.09,72508,
2010-01-28 12:01:00,HEG,69.0,69.39,67.42,67.92,85720,
2010-01-29 12:01:00,HEG,67.69,68.84,66.01,68.22,80134,
2010-02-01 12:02:00,HEG,68.2,69.98,68.0,68.26,66498,
2010-02-02 12:02:00,HEG,68.96,70.96,66.44,66.84,71661,
2010-02-04 12:02:00,HEG,71.9,73.18,68.52,69.01,224580,
2010-02-05 12:02:00,HEG,68.6,69.8,66.0,68.75,95317,
2010-02-06 12:02:00,HEG,69.7,70.68,68.62,69.03,13704,
2010-02-08 12:02:00,HEG,69.2,69.38,67.21,67.6,31111,
2010-02-09 12:02:00,HEG,68.2,69.0,67.45,68.47,116672,
2010-02-10 12:02:00,HEG,69.38,69.38,67.03,67.39,24245,
2010-02-11 12:02:00,HEG,67.82,68.76,66.94,67.57,22351,
2010-02-15 12:02:00,HEG,68.36,68.36,67.02,67.2,17046,
2010-02-16 12:02:00,HEG,67.96,67.96,66.0,66.16,21727,
2010-02-17 12:02:00,HEG,67.23,69.16,66.44,67.32,71027,
2010-02-18 12:02:00,HEG,67.2,68.75,67.1,68.04,77066,
2010-02-19 12:02:00,HEG,67.5,71.36,65.6,66.39,668796,
2010-02-22 12:02:00,HEG,67.0,67.9,65.0,65.35,70710,
2010-02-23 12:02:00,HEG,64.8,67.16,64.06,66.27,92573,
