datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,HERFOO,26.24,26.25,25.02,26.24,5152,
2010-01-05 12:01:00,HERFOO,26.36,26.38,25.63,25.88,1433,
2010-01-06 12:01:00,HERFOO,25.63,26.23,25.51,26.23,2718,
2010-01-07 12:01:00,HERFOO,26.01,26.38,26.0,26.29,670,
2010-01-08 12:01:00,HERFOO,25.88,26.38,25.88,26.13,2786,
2010-01-11 12:01:00,HERFOO,26.0,27.37,26.0,26.51,2733,
2010-01-12 12:01:00,HERFOO,26.25,27.5,26.25,27.19,4205,
2010-01-13 12:01:00,HERFOO,27.13,29.84,27.13,29.84,9755,
2010-01-14 12:01:00,HERFOO,30.75,32.75,30.24,31.12,19385,
2010-01-15 12:01:00,HERFOO,31.38,32.13,30.39,30.9,4675,
2010-01-18 12:01:00,HERFOO,28.25,32.31,28.25,31.04,3356,
2010-01-19 12:01:00,HERFOO,28.38,32.25,28.25,30.64,5919,
2010-01-20 12:01:00,HERFOO,30.75,31.44,29.76,29.98,1018,
2010-01-21 12:01:00,HERFOO,30.61,30.61,28.38,29.1,1686,
2010-01-22 12:01:00,HERFOO,28.75,28.75,26.5,27.24,5655,
2010-01-25 12:01:00,HERFOO,29.34,29.34,26.41,26.86,1617,
2010-01-27 12:01:00,HERFOO,27.13,27.51,24.25,25.48,10411,
2010-01-28 12:01:00,HERFOO,25.75,26.38,23.14,24.95,37419,
2010-01-29 12:01:00,HERFOO,24.85,24.85,23.75,24.61,8478,
2010-02-01 12:02:00,HERFOO,24.41,26.64,24.41,25.6,4831,
2010-02-02 12:02:00,HERFOO,26.5,26.88,25.13,25.44,2743,
2010-02-04 12:02:00,HERFOO,25.25,25.75,25.01,25.46,1681,
2010-02-05 12:02:00,HERFOO,25.39,25.39,24.0,24.58,446,
2010-02-06 12:02:00,HERFOO,25.25,25.75,24.5,24.84,95,
2010-02-08 12:02:00,HERFOO,25.74,25.88,24.38,24.83,1402,
2010-02-09 12:02:00,HERFOO,23.31,25.88,23.26,25.78,2530,
2010-02-10 12:02:00,HERFOO,24.63,25.95,24.63,25.56,2111,
2010-02-11 12:02:00,HERFOO,25.03,25.69,25.0,25.56,1368,
2010-02-15 12:02:00,HERFOO,24.5,25.74,24.5,25.46,212,
2010-02-16 12:02:00,HERFOO,25.55,25.95,25.55,25.95,612,
2010-02-17 12:02:00,HERFOO,26.0,26.35,25.56,26.04,2524,
2010-02-18 12:02:00,HERFOO,27.5,27.5,25.75,25.96,1023,
2010-02-19 12:02:00,HERFOO,26.38,26.38,25.63,25.63,3065,
2010-02-22 12:02:00,HERFOO,26.25,26.25,25.44,25.63,380,
2010-02-23 12:02:00,HERFOO,25.63,25.75,24.75,25.5,914,
2010-02-24 12:02:00,HERFOO,24.39,25.5,24.39,25.17,360,
2010-02-25 12:02:00,HERFOO,25.5,25.63,24.94,25.0,1580,
2010-02-26 12:02:00,HERFOO,27.05,27.05,23.98,25.5,3543,
2010-03-02 12:03:00,HERFOO,25.38,25.88,25.38,25.82,741,
2010-03-03 12:03:00,HERFOO,27.43,27.43,26.13,26.55,3359,
