datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,HIKCHE,58.2,59.12,57.33,57.71,24669,
2010-01-05 12:01:00,HIKCHE,57.71,58.53,56.8,56.96,9276,
2010-01-06 12:01:00,HIKCHE,57.33,58.53,56.4,56.79,13177,
2010-01-07 12:01:00,HIKCHE,57.86,59.45,56.0,57.71,64136,
2010-01-08 12:01:00,HIKCHE,58.67,60.79,57.65,57.96,80378,
2010-01-11 12:01:00,HIKCHE,58.27,59.25,57.37,58.01,20249,
2010-01-12 12:01:00,HIKCHE,57.87,58.64,56.7,56.9,8059,
2010-01-13 12:01:00,HIKCHE,57.16,57.71,55.61,56.19,12653,
2010-01-14 12:01:00,HIKCHE,56.67,57.33,55.11,55.63,8456,
2010-01-15 12:01:00,HIKCHE,54.67,57.33,54.67,56.39,12632,
2010-01-18 12:01:00,HIKCHE,56.13,58.13,56.0,57.07,12062,
2010-01-19 12:01:00,HIKCHE,57.73,60.53,56.01,56.67,57985,
2010-01-20 12:01:00,HIKCHE,56.93,59.2,56.93,58.08,30076,
2010-01-21 12:01:00,HIKCHE,58.0,59.33,56.47,57.01,20942,
2010-01-22 12:01:00,HIKCHE,55.61,57.99,53.6,56.91,21550,
2010-01-25 12:01:00,HIKCHE,56.0,56.0,53.48,54.04,21521,
2010-01-27 12:01:00,HIKCHE,53.99,54.49,50.67,50.91,16600,
2010-01-28 12:01:00,HIKCHE,51.02,52.93,50.03,50.63,14841,
2010-01-29 12:01:00,HIKCHE,49.73,52.27,48.27,51.53,9817,
2010-02-01 12:02:00,HIKCHE,50.14,56.49,50.13,53.54,133373,
2010-02-02 12:02:00,HIKCHE,54.67,55.12,52.0,52.17,21530,
2010-02-04 12:02:00,HIKCHE,52.17,53.73,50.68,51.59,7672,
2010-02-05 12:02:00,HIKCHE,48.49,50.67,48.0,49.38,7828,
2010-02-06 12:02:00,HIKCHE,50.8,51.73,49.47,49.85,800,
2010-02-08 12:02:00,HIKCHE,49.33,51.2,48.53,49.23,11143,
2010-02-09 12:02:00,HIKCHE,48.8,51.73,48.8,49.97,11380,
2010-02-10 12:02:00,HIKCHE,50.27,51.33,48.4,48.93,8624,
2010-02-11 12:02:00,HIKCHE,50.27,50.67,49.34,49.8,6657,
2010-02-15 12:02:00,HIKCHE,49.33,50.4,48.68,49.09,2981,
2010-02-16 12:02:00,HIKCHE,48.81,49.97,48.54,48.95,6191,
2010-02-17 12:02:00,HIKCHE,50.13,50.13,49.37,49.86,4938,
2010-02-18 12:02:00,HIKCHE,50.6,50.6,49.4,49.89,5645,
2010-02-19 12:02:00,HIKCHE,49.73,50.39,47.87,48.32,6275,
2010-02-22 12:02:00,HIKCHE,48.6,48.93,47.09,47.62,4675,
2010-02-23 12:02:00,HIKCHE,47.27,48.27,47.07,47.29,4934,
2010-02-24 12:02:00,HIKCHE,47.6,47.7,46.28,46.49,3870,
2010-02-25 12:02:00,HIKCHE,46.01,46.78,46.01,46.48,4474,
2010-02-26 12:02:00,HIKCHE,48.4,48.4,46.0,47.39,4246,
2010-03-02 12:03:00,HIKCHE,47.75,48.62,47.33,48.03,5266,
2010-03-03 12:03:00,HIKCHE,48.27,50.53,48.14,48.93,8403,
2010-03-04 12:03:00,HIKCHE,48.33,51.56,48.33,50.56,54380,
2010-03-05 12:03:00,HIKCHE,50.93,51.47,50.03,50.87,13765,
2010-03-08 12:03:00,HIKCHE,52.0,52.0,50.24,50.53,3781,
2010-03-09 12:03:00,HIKCHE,51.27,51.72,49.27,49.47,7984,
2010-03-10 12:03:00,HIKCHE,49.07,50.4,49.07,49.32,2237,
2010-03-11 12:03:00,HIKCHE,50.65,50.65,48.55,49.29,4765,
2010-03-12 12:03:00,HIKCHE,50.33,50.33,48.43,48.67,2331,
2010-03-15 12:03:00,HIKCHE,49.87,49.87,47.67,48.0,2781,
2010-03-16 12:03:00,HIKCHE,48.67,49.59,48.15,49.35,4558,
2010-03-17 12:03:00,HIKCHE,50.0,51.73,49.41,50.76,8873,
2010-03-18 12:03:00,HIKCHE,50.67,50.67,50.01,50.15,1351,
2010-03-19 12:03:00,HIKCHE,50.0,53.07,49.99,51.35,41007,
2010-03-22 12:03:00,HIKCHE,49.6,51.2,49.6,50.15,3757,
2010-03-23 12:03:00,HIKCHE,51.03,51.03,48.81,49.04,12245,
2010-03-25 12:03:00,HIKCHE,49.59,53.73,49.07,50.2,258622,
2010-03-26 12:03:00,HIKCHE,50.51,51.06,49.15,49.48,18875,
2010-03-29 12:03:00,HIKCHE,50.45,51.2,49.2,49.83,10517,
2010-03-30 12:03:00,HIKCHE,48.93,50.52,48.93,49.75,8358,
2010-03-31 12:03:00,HIKCHE,49.08,50.13,49.07,49.4,5741,
2010-04-01 12:04:00,HIKCHE,50.0,51.2,49.75,50.81,11198,
2010-04-05 12:04:00,HIKCHE,51.71,51.71,50.02,50.88,4227,
2010-04-06 12:04:00,HIKCHE,51.73,51.87,50.4,51.67,6975,
2010-04-07 12:04:00,HIKCHE,49.87,52.25,49.87,51.08,4322,
2010-04-08 12:04:00,HIKCHE,50.92,56.53,50.21,50.96,23476,
2010-04-09 12:04:00,HIKCHE,51.99,52.24,50.8,50.98,4910,
2010-04-12 12:04:00,HIKCHE,50.93,51.86,50.87,51.41,4602,
2010-04-13 12:04:00,HIKCHE,51.15,51.7,51.07,51.07,1549,
2010-04-16 12:04:00,HIKCHE,50.14,51.87,50.0,50.4,2982,
2010-04-19 12:04:00,HIKCHE,50.47,50.53,47.73,49.09,12464,
2010-04-20 12:04:00,HIKCHE,50.93,50.93,49.47,49.81,1942,
2010-04-21 12:04:00,HIKCHE,50.0,52.25,48.73,51.43,12605,
2010-04-22 12:04:00,HIKCHE,50.93,53.33,50.93,51.43,12716,
2010-04-23 12:04:00,HIKCHE,51.43,52.32,50.94,51.33,4742,
2010-04-26 12:04:00,HIKCHE,52.13,52.93,51.51,51.76,8206,
2010-04-27 12:04:00,HIKCHE,51.2,52.06,50.67,51.41,5307,
2010-04-28 12:04:00,HIKCHE,50.67,51.6,50.67,50.73,4786,
2010-04-29 12:04:00,HIKCHE,51.73,54.27,50.87,53.78,47254,
2010-04-30 12:04:00,HIKCHE,54.51,55.9,53.37,53.98,39942,
2010-05-03 12:05:00,HIKCHE,53.98,54.37,51.88,52.12,6706,
2010-05-04 12:05:00,HIKCHE,53.17,53.59,51.21,51.56,9962,
2010-05-05 12:05:00,HIKCHE,50.15,51.47,50.13,50.61,9589,
2010-05-06 12:05:00,HIKCHE,50.53,51.15,49.6,50.57,6070,
2010-05-07 12:05:00,HIKCHE,49.0,50.39,48.97,49.45,5744,
2010-05-10 12:05:00,HIKCHE,50.13,51.47,49.6,50.75,2921,
2010-05-11 12:05:00,HIKCHE,50.93,51.23,50.0,50.26,2469,
2010-05-12 12:05:00,HIKCHE,50.21,51.07,50.01,50.44,2776,
2010-05-13 12:05:00,HIKCHE,50.42,51.07,50.0,50.22,4931,
2010-05-14 12:05:00,HIKCHE,50.93,51.06,49.36,49.87,1311,
2010-05-17 12:05:00,HIKCHE,50.33,50.33,48.93,49.49,1980,
2010-05-18 12:05:00,HIKCHE,52.0,53.08,48.93,50.31,2483,
2010-05-19 12:05:00,HIKCHE,50.0,50.25,49.07,49.07,1972,
2010-05-20 12:05:00,HIKCHE,49.36,49.36,47.55,48.67,3422,
2010-05-24 12:05:00,HIKCHE,48.47,49.73,48.27,48.79,2464,
2010-05-25 12:05:00,HIKCHE,47.73,48.62,46.68,47.49,1518,
2010-05-26 12:05:00,HIKCHE,47.87,49.33,47.72,47.79,781,
