datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,HINCON,67.25,68.98,67.25,68.58,2671564,
2010-01-05 12:01:00,HINCON,69.05,70.58,68.6,69.16,4036821,
2010-01-06 12:01:00,HINCON,69.27,70.38,67.74,69.86,3102680,
2010-01-07 12:01:00,HINCON,70.22,70.81,69.3,69.64,2530113,
2010-01-08 12:01:00,HINCON,69.95,74.09,69.61,72.07,7519403,
2010-01-11 12:01:00,HINCON,72.92,73.28,71.35,71.66,2568592,
2010-01-12 12:01:00,HINCON,72.02,73.22,70.6,71.59,3527761,
2010-01-13 12:01:00,HINCON,70.85,72.2,68.64,70.49,2683158,
2010-01-14 12:01:00,HINCON,71.26,72.61,70.76,71.86,1941047,
2010-01-15 12:01:00,HINCON,72.04,72.83,70.9,71.44,1459643,
2010-01-18 12:01:00,HINCON,71.3,73.73,70.9,73.4,1935796,
2010-01-19 12:01:00,HINCON,73.42,73.82,70.18,70.6,2077608,
2010-01-20 12:01:00,HINCON,70.87,71.53,68.96,69.5,1370411,
2010-01-21 12:01:00,HINCON,69.09,69.82,66.17,66.62,1322495,
2010-01-22 12:01:00,HINCON,66.08,66.08,62.83,63.22,4738934,
2010-01-25 12:01:00,HINCON,62.92,63.96,62.14,63.04,2309368,
2010-01-27 12:01:00,HINCON,62.07,62.9,60.04,60.56,1459158,
2010-01-28 12:01:00,HINCON,61.39,61.98,59.23,59.73,1585254,
2010-01-29 12:01:00,HINCON,58.92,62.07,56.96,61.42,2330707,
2010-02-01 12:02:00,HINCON,61.71,63.62,60.56,63.19,1238122,
2010-02-02 12:02:00,HINCON,64.01,64.01,60.58,61.24,1176713,
2010-02-04 12:02:00,HINCON,63.51,64.39,60.09,60.56,1886503,
2010-02-05 12:02:00,HINCON,58.92,59.41,56.93,58.87,2217170,
2010-02-06 12:02:00,HINCON,58.92,59.97,58.92,59.57,212853,
2010-02-08 12:02:00,HINCON,57.34,60.13,56.57,59.32,1510262,
2010-02-09 12:02:00,HINCON,59.59,61.39,58.08,60.6,1298220,
2010-02-10 12:02:00,HINCON,60.74,63.06,60.51,61.46,3001893,
2010-02-11 12:02:00,HINCON,62.36,63.42,61.53,62.63,1304318,
2010-02-15 12:02:00,HINCON,63.87,63.87,61.69,63.15,1513071,
2010-02-16 12:02:00,HINCON,63.19,63.4,61.06,61.96,1848569,
2010-02-17 12:02:00,HINCON,62.7,63.78,62.34,62.88,1199933,
2010-02-18 12:02:00,HINCON,62.88,63.51,61.89,62.9,1811195,
2010-02-19 12:02:00,HINCON,62.07,62.56,59.03,60.15,3521795,
2010-02-22 12:02:00,HINCON,60.94,61.66,60.36,60.79,1722644,
2010-02-23 12:02:00,HINCON,60.04,61.84,59.37,61.39,2417756,
2010-02-24 12:02:00,HINCON,60.94,62.79,60.54,62.32,2351585,
2010-02-25 12:02:00,HINCON,62.74,63.17,61.57,62.52,2537599,
2010-02-26 12:02:00,HINCON,62.74,65.18,59.41,61.12,2853956,
2010-03-02 12:03:00,HINCON,61.08,64.23,61.03,63.76,2805318,
2010-03-03 12:03:00,HINCON,64.5,64.95,63.96,64.41,1885915,
2010-03-04 12:03:00,HINCON,64.55,65.78,64.32,65.47,1611771,
2010-03-05 12:03:00,HINCON,66.35,67.81,65.83,67.45,2163388,
2010-03-08 12:03:00,HINCON,68.06,68.51,66.21,67.02,1223409,
2010-03-09 12:03:00,HINCON,66.84,67.11,65.0,65.76,690922,
2010-03-10 12:03:00,HINCON,65.87,66.41,64.37,65.45,664815,
2010-03-11 12:03:00,HINCON,65.67,66.08,64.77,65.65,655683,
2010-03-12 12:03:00,HINCON,65.9,65.9,64.55,65.31,969544,
2010-03-15 12:03:00,HINCON,65.31,66.1,63.76,64.07,1412593,
2010-03-16 12:03:00,HINCON,64.68,65.63,64.14,65.36,946442,
2010-03-17 12:03:00,HINCON,65.58,66.03,62.29,63.4,2222766,
2010-03-18 12:03:00,HINCON,63.69,64.01,62.16,62.81,1822166,
2010-03-19 12:03:00,HINCON,62.74,63.46,62.56,63.01,739305,
2010-03-22 12:03:00,HINCON,62.61,63.26,61.84,62.7,1213699,
2010-03-23 12:03:00,HINCON,62.97,63.96,62.38,63.53,896538,
2010-03-25 12:03:00,HINCON,63.19,63.55,61.93,62.41,1760031,
2010-03-26 12:03:00,HINCON,62.88,63.42,61.8,62.05,1269281,
2010-03-29 12:03:00,HINCON,62.38,62.81,60.58,60.94,2093495,
2010-03-30 12:03:00,HINCON,61.57,61.8,60.97,61.19,1940346,
2010-03-31 12:03:00,HINCON,61.57,62.25,60.99,61.44,2077526,
2010-04-01 12:04:00,HINCON,61.75,62.25,61.19,61.73,929043,
2010-04-05 12:04:00,HINCON,62.02,64.05,62.02,63.46,2108982,
2010-04-06 12:04:00,HINCON,63.19,64.1,62.34,62.7,1430641,
2010-04-07 12:04:00,HINCON,63.15,63.6,62.07,62.63,1210142,
2010-04-08 12:04:00,HINCON,62.52,63.53,61.64,61.91,1508596,
2010-04-09 12:04:00,HINCON,62.16,63.6,62.09,63.26,1216353,
2010-04-12 12:04:00,HINCON,63.65,64.79,63.08,63.4,2399694,
2010-04-13 12:04:00,HINCON,64.1,64.34,62.56,62.72,1473420,
2010-04-16 12:04:00,HINCON,61.39,61.8,60.6,60.94,1364849,
2010-04-19 12:04:00,HINCON,60.49,60.94,59.41,60.2,1326574,
2010-04-20 12:04:00,HINCON,60.49,62.02,60.06,61.62,1299638,
2010-04-21 12:04:00,HINCON,62.16,63.15,60.94,61.35,1705516,
2010-04-22 12:04:00,HINCON,61.21,62.02,60.76,61.15,1019732,
2010-04-23 12:04:00,HINCON,61.51,62.11,60.81,61.98,1180256,
2010-04-26 12:04:00,HINCON,61.98,62.97,61.39,61.73,804463,
2010-04-27 12:04:00,HINCON,61.73,62.36,61.28,61.66,655493,
2010-04-28 12:04:00,HINCON,62.11,62.11,59.93,60.27,1045071,
2010-04-29 12:04:00,HINCON,60.65,60.9,58.51,59.16,3537619,
2010-04-30 12:04:00,HINCON,59.43,61.17,59.43,60.24,3202699,
2010-05-03 12:05:00,HINCON,60.27,60.45,57.23,57.99,2807891,
2010-05-04 12:05:00,HINCON,58.47,58.65,56.08,56.57,2274812,
2010-05-05 12:05:00,HINCON,55.09,57.65,54.19,57.32,1884096,
2010-05-06 12:05:00,HINCON,56.89,57.23,55.36,56.06,1127190,
2010-05-07 12:05:00,HINCON,54.64,55.99,54.19,54.61,1217072,
2010-05-10 12:05:00,HINCON,56.73,56.8,55.13,56.62,1235156,
2010-05-11 12:05:00,HINCON,56.75,57.11,54.73,54.98,1150431,
2010-05-12 12:05:00,HINCON,55.09,55.52,52.59,53.49,1574523,
2010-05-13 12:05:00,HINCON,54.3,55.92,52.84,55.04,2375413,
2010-05-14 12:05:00,HINCON,54.98,56.12,54.23,54.43,1419530,
2010-05-17 12:05:00,HINCON,53.44,53.74,51.57,53.2,1699468,
2010-05-18 12:05:00,HINCON,52.97,53.69,52.16,53.24,1648866,
2010-05-19 12:05:00,HINCON,52.45,52.52,49.01,49.93,2243907,
2010-05-20 12:05:00,HINCON,50.18,50.81,49.05,50.36,2084753,
2010-05-24 12:05:00,HINCON,51.71,52.03,50.36,50.65,654691,
2010-05-25 12:05:00,HINCON,50.09,50.09,46.08,47.12,3126830,
2010-05-26 12:05:00,HINCON,47.88,49.19,47.52,47.88,2036901,
2010-05-27 12:05:00,HINCON,48.33,49.75,47.52,48.83,3196466,
2010-05-28 12:05:00,HINCON,49.41,51.82,49.32,51.57,2532915,
2010-05-31 12:05:00,HINCON,51.57,51.89,49.66,50.99,985062,
2010-06-01 12:06:00,HINCON,50.81,51.6,49.68,49.91,1056548,
2010-06-02 12:06:00,HINCON,51.03,51.03,48.53,50.29,1358217,
2010-06-03 12:06:00,HINCON,51.26,54.55,50.85,53.98,4264017,
2010-06-04 12:06:00,HINCON,54.19,54.34,52.84,53.04,1270208,
2010-06-07 12:06:00,HINCON,51.48,51.69,50.7,51.21,848717,
2010-06-08 12:06:00,HINCON,51.26,52.75,50.07,50.67,1315704,
2010-06-09 12:06:00,HINCON,50.9,51.89,50.38,50.99,2432813,
2010-06-10 12:06:00,HINCON,50.99,52.66,50.92,52.14,5747053,
2010-06-11 12:06:00,HINCON,53.42,53.6,52.07,52.41,2113251,
2010-06-14 12:06:00,HINCON,52.41,53.35,52.41,53.2,1124215,
2010-06-15 12:06:00,HINCON,53.51,54.1,52.57,53.87,1237440,
2010-06-16 12:06:00,HINCON,54.23,54.57,53.38,53.65,1254649,
2010-06-17 12:06:00,HINCON,53.96,54.19,52.75,53.13,1872644,
2010-06-18 12:06:00,HINCON,53.17,53.4,52.27,52.79,952289,
2010-06-21 12:06:00,HINCON,53.29,53.85,52.99,53.65,1593551,
2010-06-22 12:06:00,HINCON,53.33,54.05,52.43,53.67,2317910,
2010-06-23 12:06:00,HINCON,53.67,55.38,53.44,54.61,3196942,
