datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,HINOIL,302.0,308.4,295.25,304.0,1680055,
2010-01-05 12:01:00,HINOIL,306.6,314.8,302.6,304.0,1265579,
2010-01-06 12:01:00,HINOIL,306.6,308.0,294.25,295.8,741258,
2010-01-07 12:01:00,HINOIL,300.0,305.0,294.0,296.85,835047,
2010-01-08 12:01:00,HINOIL,299.0,307.5,297.0,298.1,1171339,
2010-01-11 12:01:00,HINOIL,301.2,309.0,298.5,299.9,943866,
2010-01-12 12:01:00,HINOIL,302.2,320.55,300.1,306.95,3279513,
2010-01-13 12:01:00,HINOIL,304.6,314.9,302.55,310.45,1278930,
2010-01-14 12:01:00,HINOIL,313.8,314.35,304.3,305.35,555866,
2010-01-15 12:01:00,HINOIL,308.9,318.25,302.2,311.95,1857177,
2010-01-18 12:01:00,HINOIL,311.2,313.0,305.0,306.6,526495,
2010-01-19 12:01:00,HINOIL,307.05,317.0,305.5,306.65,1200668,
2010-01-20 12:01:00,HINOIL,308.7,313.0,302.5,304.5,609366,
2010-01-21 12:01:00,HINOIL,303.0,307.2,275.1,281.85,1059264,
2010-01-22 12:01:00,HINOIL,278.4,283.7,262.0,276.8,733036,
2010-01-25 12:01:00,HINOIL,274.9,282.1,273.05,279.65,693281,
2010-01-27 12:01:00,HINOIL,275.0,279.8,243.5,252.2,858790,
2010-01-28 12:01:00,HINOIL,257.4,265.0,251.15,254.85,964533,
2010-01-29 12:01:00,HINOIL,253.4,254.55,238.1,251.75,704664,
2010-02-01 12:02:00,HINOIL,249.8,263.35,247.0,258.6,595018,
2010-02-02 12:02:00,HINOIL,263.0,266.45,246.3,247.65,662058,
2010-02-04 12:02:00,HINOIL,254.0,259.95,244.55,247.95,534609,
2010-02-05 12:02:00,HINOIL,240.0,242.8,235.0,237.85,473256,
2010-02-06 12:02:00,HINOIL,240.1,242.4,239.15,241.4,110060,
2010-02-08 12:02:00,HINOIL,241.0,246.2,236.0,238.2,368444,
2010-02-09 12:02:00,HINOIL,239.9,243.0,233.3,234.85,309170,
2010-02-10 12:02:00,HINOIL,239.8,243.3,227.1,229.95,647122,
2010-02-11 12:02:00,HINOIL,230.75,275.95,230.75,269.85,3761912,
2010-02-15 12:02:00,HINOIL,281.0,282.4,255.3,257.25,2991307,
2010-02-16 12:02:00,HINOIL,259.6,272.3,253.95,264.45,4214930,
2010-02-17 12:02:00,HINOIL,268.4,272.0,258.6,260.7,1775146,
2010-02-18 12:02:00,HINOIL,259.5,265.45,255.1,256.95,1135652,
2010-02-19 12:02:00,HINOIL,255.45,257.5,244.8,246.7,774012,
2010-02-22 12:02:00,HINOIL,249.9,255.65,238.35,241.05,1112637,
2010-02-23 12:02:00,HINOIL,240.1,244.95,237.05,239.05,681050,
2010-02-24 12:02:00,HINOIL,238.0,241.55,233.1,234.8,578211,
2010-02-25 12:02:00,HINOIL,237.0,238.0,227.55,229.2,610706,
2010-02-26 12:02:00,HINOIL,228.0,244.8,227.1,231.3,1625352,
2010-03-02 12:03:00,HINOIL,234.5,242.4,234.0,238.3,735076,
2010-03-03 12:03:00,HINOIL,239.7,253.9,238.8,250.25,2114747,
2010-03-04 12:03:00,HINOIL,252.0,257.4,250.35,252.6,1244678,
2010-03-05 12:03:00,HINOIL,254.4,257.8,248.75,251.0,716713,
2010-03-08 12:03:00,HINOIL,254.7,261.9,252.25,254.0,1566153,
2010-03-09 12:03:00,HINOIL,254.5,256.5,250.2,251.25,789310,
2010-03-10 12:03:00,HINOIL,252.0,256.65,248.0,250.85,853421,
2010-03-11 12:03:00,HINOIL,251.5,253.75,245.75,246.75,453466,
2010-03-12 12:03:00,HINOIL,248.1,250.35,241.5,243.3,455043,
2010-03-15 12:03:00,HINOIL,243.0,243.85,234.1,235.15,458255,
2010-03-16 12:03:00,HINOIL,236.0,243.5,234.5,242.25,708187,
2010-03-17 12:03:00,HINOIL,244.4,247.0,238.35,239.15,555952,
2010-03-18 12:03:00,HINOIL,240.3,244.4,237.1,238.35,446012,
2010-03-19 12:03:00,HINOIL,239.8,248.95,235.9,242.4,996590,
2010-03-22 12:03:00,HINOIL,240.0,244.1,236.1,237.55,672302,
2010-03-23 12:03:00,HINOIL,239.8,243.35,235.05,235.65,538111,
2010-03-25 12:03:00,HINOIL,235.9,239.65,230.05,234.6,700641,
2010-03-26 12:03:00,HINOIL,235.95,242.5,235.0,235.85,791028,
2010-03-29 12:03:00,HINOIL,236.8,238.25,225.25,227.2,714612,
2010-03-30 12:03:00,HINOIL,234.4,234.4,227.1,227.95,532095,
2010-03-31 12:03:00,HINOIL,229.8,232.45,228.5,228.85,449174,
2010-04-01 12:04:00,HINOIL,231.1,252.0,230.15,247.0,4173789,
2010-04-05 12:04:00,HINOIL,250.0,255.55,249.0,250.85,1797169,
2010-04-06 12:04:00,HINOIL,252.2,258.85,250.6,253.8,1615565,
2010-04-07 12:04:00,HINOIL,255.5,258.9,251.25,254.25,982572,
2010-04-08 12:04:00,HINOIL,252.6,263.5,252.6,255.2,1888785,
2010-04-09 12:04:00,HINOIL,254.1,260.95,254.1,256.9,692954,
2010-04-12 12:04:00,HINOIL,256.6,259.0,251.0,253.25,453211,
2010-04-13 12:04:00,HINOIL,254.0,256.1,245.9,247.35,618227,
2010-04-16 12:04:00,HINOIL,241.9,243.95,238.2,241.0,362519,
2010-04-19 12:04:00,HINOIL,235.1,237.95,234.1,235.25,284876,
2010-04-20 12:04:00,HINOIL,236.1,243.9,236.0,240.6,534482,
2010-04-21 12:04:00,HINOIL,242.3,244.1,238.1,240.25,350290,
2010-04-22 12:04:00,HINOIL,240.5,256.1,238.5,250.0,1450918,
2010-04-23 12:04:00,HINOIL,251.0,255.4,240.1,242.2,1268245,
2010-04-26 12:04:00,HINOIL,243.3,249.35,242.2,245.05,615980,
2010-04-27 12:04:00,HINOIL,246.05,247.6,242.1,242.9,373742,
2010-04-28 12:04:00,HINOIL,238.0,241.7,232.5,235.05,463259,
2010-04-29 12:04:00,HINOIL,236.4,241.9,235.1,236.4,365752,
2010-04-30 12:04:00,HINOIL,239.0,242.0,237.0,238.0,395081,
2010-05-03 12:05:00,HINOIL,236.8,240.4,233.0,235.2,454736,
2010-05-04 12:05:00,HINOIL,237.35,239.5,230.0,231.05,526118,
2010-05-05 12:05:00,HINOIL,227.0,229.65,220.0,226.8,546161,
2010-05-06 12:05:00,HINOIL,226.0,229.4,222.1,224.3,434148,
2010-05-07 12:05:00,HINOIL,221.0,222.0,210.2,213.7,439323,
2010-05-10 12:05:00,HINOIL,216.95,223.45,216.95,222.05,394625,
2010-05-11 12:05:00,HINOIL,223.0,225.6,215.0,216.6,460752,
2010-05-12 12:05:00,HINOIL,217.8,219.9,210.15,214.45,316624,
2010-05-13 12:05:00,HINOIL,215.0,218.7,212.55,213.25,259409,
2010-05-14 12:05:00,HINOIL,214.1,214.1,197.7,200.25,725746,
2010-05-17 12:05:00,HINOIL,190.4,199.0,190.4,195.7,357604,
2010-05-18 12:05:00,HINOIL,196.0,204.6,194.4,199.8,498488,
2010-05-19 12:05:00,HINOIL,196.95,198.7,185.15,187.6,477361,
2010-05-20 12:05:00,HINOIL,190.0,194.35,184.1,185.5,467628,
2010-05-24 12:05:00,HINOIL,175.25,184.3,174.1,175.1,511769,
2010-05-25 12:05:00,HINOIL,174.9,176.0,166.0,166.75,387612,
2010-05-26 12:05:00,HINOIL,168.55,174.75,166.75,171.95,371897,
2010-05-27 12:05:00,HINOIL,173.8,184.9,171.0,182.95,827500,
2010-05-28 12:05:00,HINOIL,184.5,187.7,182.6,184.15,423466,
2010-05-31 12:05:00,HINOIL,185.1,185.35,175.6,178.7,518894,
2010-06-01 12:06:00,HINOIL,178.5,199.3,178.05,187.05,3120287,
2010-06-02 12:06:00,HINOIL,189.75,201.75,189.75,196.2,3215350,
2010-06-03 12:06:00,HINOIL,199.4,201.4,191.4,193.85,769396,
2010-06-04 12:06:00,HINOIL,195.0,198.3,192.0,193.95,460390,
2010-06-07 12:06:00,HINOIL,190.0,191.75,184.8,186.35,348063,
2010-06-08 12:06:00,HINOIL,187.0,193.2,181.5,183.15,502258,
2010-06-09 12:06:00,HINOIL,185.0,188.4,182.2,183.05,388033,
2010-06-10 12:06:00,HINOIL,185.1,189.9,184.5,187.95,445027,
2010-06-11 12:06:00,HINOIL,190.65,195.0,188.6,191.2,856014,
2010-06-14 12:06:00,HINOIL,193.2,194.2,190.4,192.75,371266,
2010-06-15 12:06:00,HINOIL,193.95,204.0,192.6,199.6,1065435,
2010-06-16 12:06:00,HINOIL,200.4,207.7,199.1,200.05,1203039,
2010-06-17 12:06:00,HINOIL,202.0,206.5,200.35,203.05,917916,
2010-06-18 12:06:00,HINOIL,203.55,209.0,199.1,200.15,987958,
2010-06-21 12:06:00,HINOIL,203.2,205.6,201.2,201.95,400339,
2010-06-22 12:06:00,HINOIL,202.0,206.2,200.1,201.2,503756,
2010-06-23 12:06:00,HINOIL,199.9,204.1,199.15,202.05,331910,
2010-06-24 12:06:00,HINOIL,201.65,224.7,201.65,223.3,5353166,
2010-06-25 12:06:00,HINOIL,224.4,230.9,221.4,224.75,3860987,
2010-06-28 12:06:00,HINOIL,225.85,226.7,217.4,219.05,888664,
2010-06-30 12:06:00,HINOIL,220.0,225.5,218.6,221.8,651775,
2010-07-01 12:07:00,HINOIL,219.8,233.3,219.8,224.75,2240375,
2010-07-02 12:07:00,HINOIL,227.2,228.4,221.6,222.7,567481,
2010-07-05 12:07:00,HINOIL,224.0,225.9,218.55,222.0,433313,
2010-07-06 12:07:00,HINOIL,222.35,239.7,222.1,238.25,3686288,
2010-07-07 12:07:00,HINOIL,240.3,242.9,234.5,237.15,3048999,
2010-07-08 12:07:00,HINOIL,240.3,246.7,238.6,239.7,1820982,
2010-07-09 12:07:00,HINOIL,241.25,244.45,238.4,241.9,1571952,
2010-07-12 12:07:00,HINOIL,243.4,244.25,236.85,238.75,505231,
2010-07-13 12:07:00,HINOIL,239.9,242.0,236.2,237.65,428039,
2010-07-14 12:07:00,HINOIL,240.0,240.45,230.0,231.85,504989,
2010-07-15 12:07:00,HINOIL,232.5,237.5,228.1,233.35,747194,
2010-07-16 12:07:00,HINOIL,234.0,237.8,232.4,234.6,491277,
2010-07-19 12:07:00,HINOIL,234.4,236.8,230.1,231.25,307509,
2010-07-20 12:07:00,HINOIL,232.9,234.85,227.0,228.45,504057,
2010-07-21 12:07:00,HINOIL,230.0,232.35,228.7,230.0,374427,
2010-07-22 12:07:00,HINOIL,231.0,232.35,226.2,228.3,332721,
2010-07-23 12:07:00,HINOIL,230.5,239.7,230.15,232.8,1397999,
2010-07-26 12:07:00,HINOIL,233.9,234.9,225.0,226.6,325366,
2010-07-27 12:07:00,HINOIL,226.95,227.8,222.0,223.8,311954,
2010-07-29 12:07:00,HINOIL,222.75,225.25,221.25,222.2,280280,
2010-07-30 12:07:00,HINOIL,223.0,225.9,217.85,218.75,424168,
2010-08-02 12:08:00,HINOIL,221.2,224.9,219.85,222.6,381666,
2010-08-03 12:08:00,HINOIL,225.0,229.4,223.15,225.75,595340,
2010-08-04 12:08:00,HINOIL,226.5,232.85,225.9,229.95,702097,
2010-08-05 12:08:00,HINOIL,231.95,239.4,230.95,234.65,1330854,
2010-08-06 12:08:00,HINOIL,236.1,243.2,232.55,234.2,1211294,
2010-08-09 12:08:00,HINOIL,235.75,236.95,231.25,234.45,417201,
2010-08-10 12:08:00,HINOIL,235.5,236.65,229.4,231.25,426589,
2010-08-11 12:08:00,HINOIL,232.0,232.5,223.95,225.15,324721,
2010-08-12 12:08:00,HINOIL,222.2,227.45,221.05,225.75,314818,
2010-08-13 12:08:00,HINOIL,227.95,229.4,221.0,221.7,366632,
2010-08-16 12:08:00,HINOIL,222.5,227.0,219.1,220.1,392062,
2010-08-17 12:08:00,HINOIL,221.1,232.75,211.3,229.95,1676560,
2010-08-18 12:08:00,HINOIL,232.0,254.4,230.4,249.2,4202504,
2010-08-19 12:08:00,HINOIL,254.4,260.5,250.0,255.75,3316069,
2010-08-20 12:08:00,HINOIL,253.4,255.7,245.3,246.8,989416,
2010-08-23 12:08:00,HINOIL,247.15,264.9,244.2,262.5,2902388,
2010-08-24 12:08:00,HINOIL,264.5,264.5,248.75,252.2,1078961,
2010-08-25 12:08:00,HINOIL,251.25,255.3,241.1,243.4,1094400,
2010-08-26 12:08:00,HINOIL,246.0,247.8,238.0,239.8,675300,
2010-08-30 12:08:00,HINOIL,235.0,239.3,230.0,232.5,676553,
2010-08-31 12:08:00,HINOIL,229.8,234.15,225.5,230.95,505018,
2010-09-01 12:09:00,HINOIL,232.0,237.5,231.0,235.65,572927,
2010-09-02 12:09:00,HINOIL,237.6,239.85,234.0,235.0,469005,
2010-09-03 12:09:00,HINOIL,237.0,237.5,233.0,234.15,293552,
2010-09-06 12:09:00,HINOIL,235.5,242.45,235.0,240.25,712280,
2010-09-07 12:09:00,HINOIL,241.7,241.7,233.45,235.0,498854,
2010-09-08 12:09:00,HINOIL,235.0,239.5,232.5,234.0,485442,
2010-09-09 12:09:00,HINOIL,236.0,247.0,235.4,244.95,1559541,
2010-09-13 12:09:00,HINOIL,248.1,250.7,242.6,244.8,1070618,
2010-09-14 12:09:00,HINOIL,246.0,246.6,237.1,238.7,570920,
2010-09-15 12:09:00,HINOIL,240.2,242.9,236.1,237.3,468549,
2010-09-16 12:09:00,HINOIL,238.0,242.0,234.5,236.0,523677,
2010-09-17 12:09:00,HINOIL,237.7,249.5,236.1,247.05,1566552,
2010-09-20 12:09:00,HINOIL,248.9,254.7,244.2,248.3,1281589,
2010-09-21 12:09:00,HINOIL,249.8,253.45,241.0,242.35,735784,
2010-09-22 12:09:00,HINOIL,219.9,245.6,219.9,240.15,500951,
2010-09-23 12:09:00,HINOIL,241.9,244.6,237.0,239.4,502785,
2010-09-24 12:09:00,HINOIL,240.0,242.8,237.05,241.15,479727,
2010-09-27 12:09:00,HINOIL,244.4,248.85,242.2,243.55,946132,
2010-09-28 12:09:00,HINOIL,243.1,246.05,238.4,241.25,545817,
2010-09-29 12:09:00,HINOIL,242.8,243.2,235.0,236.25,383180,
2010-09-30 12:09:00,HINOIL,237.5,238.65,233.0,235.6,331876,
2010-10-01 12:10:00,HINOIL,237.75,242.45,237.7,239.7,501592,
2010-10-06 12:10:00,HINOIL,255.65,258.8,247.35,249.0,1349187,
2010-10-07 12:10:00,HINOIL,254.0,257.05,242.0,244.4,1130976,
2010-10-08 12:10:00,HINOIL,246.0,247.0,236.3,240.6,625316,
2010-10-11 12:10:00,HINOIL,243.0,245.0,238.65,240.25,391171,
2010-10-12 12:10:00,HINOIL,242.45,242.45,235.9,238.35,378970,
2010-10-13 12:10:00,HINOIL,240.0,244.4,238.5,243.1,539268,
2010-10-14 12:10:00,HINOIL,244.9,244.9,237.1,238.9,357833,
2010-10-15 12:10:00,HINOIL,240.0,243.3,235.1,236.45,458025,
2010-10-18 12:10:00,HINOIL,237.5,237.75,230.55,232.05,420242,
