datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,HINPET,58.3,60.3,57.85,59.22,866765,
2010-01-05 12:01:00,HINPET,59.11,59.76,58.59,59.26,692724,
2010-01-06 12:01:00,HINPET,58.81,59.66,56.89,57.76,1234808,
2010-01-07 12:01:00,HINPET,57.87,58.07,57.12,57.64,865098,
2010-01-08 12:01:00,HINPET,58.07,59.85,57.67,58.33,834271,
2010-01-11 12:01:00,HINPET,58.5,59.56,57.38,57.79,691921,
2010-01-12 12:01:00,HINPET,58.22,58.47,56.5,56.65,956510,
2010-01-13 12:01:00,HINPET,56.93,58.07,56.59,57.25,772616,
2010-01-14 12:01:00,HINPET,57.76,58.7,57.53,58.04,742012,
2010-01-15 12:01:00,HINPET,58.04,58.67,57.07,57.25,420196,
2010-01-18 12:01:00,HINPET,57.76,58.3,57.05,57.36,297210,
2010-01-19 12:01:00,HINPET,57.33,58.59,55.44,55.73,1030973,
2010-01-20 12:01:00,HINPET,56.06,56.13,53.33,53.7,2268472,
2010-01-21 12:01:00,HINPET,53.41,54.19,51.72,52.01,1045246,
2010-01-22 12:01:00,HINPET,52.0,52.43,50.26,52.09,1317602,
2010-01-25 12:01:00,HINPET,52.46,52.46,51.27,52.07,417478,
2010-01-27 12:01:00,HINPET,51.85,52.25,50.4,51.05,945493,
2010-01-28 12:01:00,HINPET,51.85,52.19,49.36,49.93,1882223,
2010-01-29 12:01:00,HINPET,50.03,50.37,48.03,49.44,2617670,
2010-02-01 12:02:00,HINPET,49.93,52.27,49.52,51.76,1327737,
2010-02-02 12:02:00,HINPET,52.59,53.04,50.85,52.13,887939,
2010-02-04 12:02:00,HINPET,54.03,54.63,52.04,52.3,1589803,
2010-02-05 12:02:00,HINPET,51.86,52.5,49.66,50.33,1146215,
2010-02-06 12:02:00,HINPET,50.21,52.28,50.21,51.66,103735,
2010-02-08 12:02:00,HINPET,52.44,52.73,50.22,50.85,762923,
2010-02-09 12:02:00,HINPET,50.96,51.74,50.55,50.86,535012,
2010-02-10 12:02:00,HINPET,51.15,52.52,50.83,51.68,1315285,
2010-02-11 12:02:00,HINPET,51.9,52.3,51.13,51.64,491730,
2010-02-15 12:02:00,HINPET,51.11,51.11,49.93,50.16,397777,
2010-02-16 12:02:00,HINPET,50.3,51.2,50.0,50.97,204641,
2010-02-17 12:02:00,HINPET,51.26,51.85,50.64,51.27,364219,
2010-02-18 12:02:00,HINPET,51.84,53.29,50.54,51.72,2544172,
2010-02-19 12:02:00,HINPET,51.37,53.16,51.13,52.64,1798241,
2010-02-22 12:02:00,HINPET,53.04,54.25,52.04,53.81,1283972,
2010-02-23 12:02:00,HINPET,53.78,55.03,52.81,53.1,1325037,
2010-02-24 12:02:00,HINPET,53.1,54.04,52.93,53.77,466885,
2010-02-25 12:02:00,HINPET,53.33,54.07,52.16,52.47,1374870,
2010-02-26 12:02:00,HINPET,52.59,54.33,50.81,51.39,2551226,
2010-03-02 12:03:00,HINPET,51.81,51.81,49.81,50.16,971377,
2010-03-03 12:03:00,HINPET,50.44,51.36,50.39,50.64,858509,
2010-03-04 12:03:00,HINPET,50.64,50.74,49.93,50.33,997952,
2010-03-05 12:03:00,HINPET,50.73,51.07,50.09,50.46,566073,
2010-03-08 12:03:00,HINPET,51.11,51.17,50.41,51.01,411699,
2010-03-09 12:03:00,HINPET,51.11,51.26,50.41,50.7,718933,
2010-03-10 12:03:00,HINPET,50.74,50.99,50.02,50.24,353306,
2010-03-11 12:03:00,HINPET,50.53,50.53,48.17,49.07,1487289,
2010-03-12 12:03:00,HINPET,49.07,49.33,48.63,49.18,617351,
2010-03-15 12:03:00,HINPET,49.19,49.53,48.41,48.61,220268,
2010-03-16 12:03:00,HINPET,49.14,49.66,48.67,49.49,661653,
2010-03-17 12:03:00,HINPET,49.63,49.76,48.75,49.07,503558,
2010-03-18 12:03:00,HINPET,48.69,49.01,47.51,47.9,844521,
2010-03-19 12:03:00,HINPET,48.15,48.33,47.32,47.61,768594,
2010-03-22 12:03:00,HINPET,46.67,47.94,46.67,47.05,994756,
2010-03-23 12:03:00,HINPET,47.07,47.53,46.29,46.44,772251,
2010-03-25 12:03:00,HINPET,46.44,46.81,45.24,45.65,1987108,
2010-03-26 12:03:00,HINPET,46.21,46.37,45.56,45.94,1685397,
2010-03-29 12:03:00,HINPET,46.81,47.78,45.58,47.47,1177283,
2010-03-30 12:03:00,HINPET,47.47,47.85,46.87,46.95,316296,
2010-03-31 12:03:00,HINPET,46.96,47.33,46.45,47.19,338500,
2010-04-01 12:04:00,HINPET,47.33,47.48,46.69,46.81,130406,
2010-04-05 12:04:00,HINPET,46.67,47.11,45.64,45.89,357680,
2010-04-06 12:04:00,HINPET,45.78,46.5,45.48,45.63,1168114,
2010-04-07 12:04:00,HINPET,45.78,46.15,45.33,45.81,345651,
2010-04-08 12:04:00,HINPET,46.09,46.73,46.01,46.24,477135,
2010-04-09 12:04:00,HINPET,46.52,46.52,45.64,45.74,642867,
2010-04-12 12:04:00,HINPET,45.93,46.0,45.24,45.36,175135,
