datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,HITHOM,137.5,139.83,135.83,138.67,7615,
2010-01-05 12:01:00,HITHOM,139.17,145.42,138.38,141.5,12945,
2010-01-06 12:01:00,HITHOM,142.33,143.33,139.17,140.0,10421,
2010-01-07 12:01:00,HITHOM,136.75,142.33,136.71,139.17,4612,
2010-01-08 12:01:00,HITHOM,139.25,142.5,136.96,137.79,29789,
2010-01-11 12:01:00,HITHOM,137.29,143.42,137.29,142.63,25921,
2010-01-12 12:01:00,HITHOM,145.75,160.42,143.75,156.33,745953,
2010-01-13 12:01:00,HITHOM,155.75,163.67,155.75,161.38,418156,
2010-01-14 12:01:00,HITHOM,156.75,161.54,155.96,160.04,78203,
2010-01-15 12:01:00,HITHOM,159.08,159.92,156.75,158.25,24819,
2010-01-18 12:01:00,HITHOM,158.33,163.88,155.88,159.33,61604,
2010-01-19 12:01:00,HITHOM,159.17,161.83,155.54,156.67,17761,
2010-01-20 12:01:00,HITHOM,155.83,160.0,154.58,156.5,21662,
2010-01-21 12:01:00,HITHOM,155.0,158.08,151.67,152.54,17243,
2010-01-22 12:01:00,HITHOM,150.83,159.92,147.5,153.25,28717,
2010-01-25 12:01:00,HITHOM,152.54,159.13,151.67,153.42,18649,
2010-01-27 12:01:00,HITHOM,150.83,153.0,141.67,145.96,22803,
2010-01-28 12:01:00,HITHOM,146.67,149.08,140.42,143.92,14669,
2010-01-29 12:01:00,HITHOM,140.08,146.25,137.5,144.0,16924,
2010-02-01 12:02:00,HITHOM,145.83,168.5,145.0,168.5,181756,
2010-02-02 12:02:00,HITHOM,174.38,186.58,165.17,167.0,663298,
2010-02-04 12:02:00,HITHOM,167.5,169.58,161.67,163.21,33567,
2010-02-05 12:02:00,HITHOM,155.83,159.75,153.33,156.92,50607,
2010-02-06 12:02:00,HITHOM,158.96,162.92,156.67,160.83,15923,
2010-02-08 12:02:00,HITHOM,150.92,163.17,150.92,161.75,33799,
2010-02-09 12:02:00,HITHOM,159.29,170.54,159.29,161.71,32148,
2010-02-10 12:02:00,HITHOM,161.67,165.83,158.33,160.29,18108,
2010-02-11 12:02:00,HITHOM,159.58,165.75,159.17,159.79,25108,
2010-02-15 12:02:00,HITHOM,161.67,167.92,161.67,164.54,54487,
2010-02-16 12:02:00,HITHOM,162.54,166.67,159.17,161.83,15681,
2010-02-17 12:02:00,HITHOM,166.67,167.33,163.33,166.04,26801,
2010-02-18 12:02:00,HITHOM,166.67,175.46,163.58,169.08,136856,
2010-02-19 12:02:00,HITHOM,164.13,173.92,164.13,166.0,40907,
2010-02-22 12:02:00,HITHOM,169.0,169.0,159.29,161.29,14540,
