datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,IBSECU,67.12,68.0,66.78,67.58,5461424,
2010-01-05 12:01:00,IBSECU,68.08,69.18,67.37,68.59,8638307,
2010-01-06 12:01:00,IBSECU,68.84,68.97,67.87,68.34,3693660,
2010-01-07 12:01:00,IBSECU,68.42,68.93,67.96,68.55,3934107,
2010-01-08 12:01:00,IBSECU,68.72,69.52,68.38,68.55,4774217,
2010-01-11 12:01:00,IBSECU,69.01,69.35,68.46,68.55,3868631,
2010-01-12 12:01:00,IBSECU,68.8,69.05,67.83,68.0,3061863,
2010-01-13 12:01:00,IBSECU,67.45,68.0,67.28,67.75,2219188,
2010-01-14 12:01:00,IBSECU,68.13,68.84,67.83,68.25,3992838,
2010-01-15 12:01:00,IBSECU,68.51,68.51,67.92,68.08,1991466,
2010-01-18 12:01:00,IBSECU,68.08,68.51,67.75,68.0,1746261,
2010-01-19 12:01:00,IBSECU,68.0,68.29,67.49,67.58,2003271,
2010-01-20 12:01:00,IBSECU,67.75,67.83,67.07,67.2,1615116,
2010-01-21 12:01:00,IBSECU,66.57,67.2,65.05,66.23,1926634,
2010-01-22 12:01:00,IBSECU,65.05,66.02,64.63,65.64,2566885,
2010-01-25 12:01:00,IBSECU,65.26,65.85,65.09,65.35,1193464,
2010-01-27 12:01:00,IBSECU,65.05,65.05,63.07,63.2,3067199,
2010-01-28 12:01:00,IBSECU,63.58,64.34,63.41,63.58,2408160,
2010-01-29 12:01:00,IBSECU,63.33,63.62,62.61,63.41,2315777,
2010-02-01 12:02:00,IBSECU,64.42,64.8,62.95,64.25,1719436,
2010-02-02 12:02:00,IBSECU,63.79,64.72,63.58,63.71,1433513,
2010-02-04 12:02:00,IBSECU,64.34,64.38,63.58,63.71,1046724,
2010-02-05 12:02:00,IBSECU,61.94,63.24,61.94,62.91,1640332,
2010-02-06 12:02:00,IBSECU,63.16,63.41,62.95,63.12,197079,
2010-02-08 12:02:00,IBSECU,62.95,63.49,62.95,63.2,763373,
2010-02-09 12:02:00,IBSECU,63.33,63.37,62.95,63.12,754435,
2010-02-10 12:02:00,IBSECU,63.62,63.62,62.95,63.12,916866,
2010-02-11 12:02:00,IBSECU,63.2,63.62,63.16,63.28,597220,
2010-02-15 12:02:00,IBSECU,63.41,63.66,63.16,63.24,727472,
2010-02-16 12:02:00,IBSECU,63.49,64.17,63.12,63.87,1148547,
