datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,IIFHOL,147.18,150.42,145.97,149.52,1804565,
2010-01-05 12:01:00,IIFHOL,151.5,156.72,149.88,155.73,5307473,
2010-01-06 12:01:00,IIFHOL,156.81,160.23,156.05,159.47,4026935,
2010-01-07 12:01:00,IIFHOL,160.41,161.45,157.8,159.65,3632309,
2010-01-08 12:01:00,IIFHOL,160.68,161.67,157.8,158.75,1407505,
2010-01-11 12:01:00,IIFHOL,161.13,161.58,157.49,158.3,896239,
2010-01-12 12:01:00,IIFHOL,158.48,159.15,154.92,155.55,1246987,
2010-01-13 12:01:00,IIFHOL,152.0,154.88,148.94,151.37,2784837,
2010-01-14 12:01:00,IIFHOL,152.04,158.97,151.77,155.19,2952128,
2010-01-15 12:01:00,IIFHOL,156.0,156.0,153.53,154.65,654921,
2010-01-18 12:01:00,IIFHOL,154.16,159.6,153.21,159.2,1575296,
2010-01-19 12:01:00,IIFHOL,159.6,160.32,153.03,154.65,1505991,
2010-01-20 12:01:00,IIFHOL,156.0,157.71,154.2,155.6,941747,
2010-01-21 12:01:00,IIFHOL,156.0,156.77,149.39,150.47,2150527,
2010-01-22 12:01:00,IIFHOL,147.0,148.89,145.2,146.64,1426891,
2010-01-25 12:01:00,IIFHOL,145.47,146.06,140.97,141.65,1601797,
2010-01-27 12:01:00,IIFHOL,140.52,141.29,132.78,134.45,2120349,
2010-01-28 12:01:00,IIFHOL,137.55,138.45,131.79,133.32,2885534,
2010-01-29 12:01:00,IIFHOL,131.3,137.37,129.32,136.52,1619971,
2010-02-01 12:02:00,IIFHOL,137.55,138.72,134.4,137.55,985753,
2010-02-02 12:02:00,IIFHOL,139.53,139.76,132.87,133.64,1211666,
2010-02-04 12:02:00,IIFHOL,135.12,137.28,130.62,131.84,1046146,
2010-02-05 12:02:00,IIFHOL,129.0,133.14,126.3,130.62,1637703,
2010-02-06 12:02:00,IIFHOL,131.52,132.69,131.25,132.24,127498,
2010-02-08 12:02:00,IIFHOL,132.6,132.6,127.2,129.86,2084616,
2010-02-09 12:02:00,IIFHOL,129.23,131.52,128.69,130.26,951552,
2010-02-10 12:02:00,IIFHOL,131.52,135.08,130.8,133.23,1633617,
2010-02-11 12:02:00,IIFHOL,134.31,136.65,132.24,133.5,1372146,
2010-02-15 12:02:00,IIFHOL,133.55,134.4,131.7,132.65,599325,
2010-02-16 12:02:00,IIFHOL,133.23,136.38,131.79,135.3,707092,
2010-02-17 12:02:00,IIFHOL,137.1,137.91,135.21,136.16,992295,
2010-02-18 12:02:00,IIFHOL,136.79,137.01,133.82,134.45,647018,
2010-02-19 12:02:00,IIFHOL,133.05,134.04,129.32,130.98,945035,
2010-02-22 12:02:00,IIFHOL,132.6,133.86,129.45,130.22,609469,
2010-02-23 12:02:00,IIFHOL,129.0,131.16,128.15,130.58,1363434,
2010-02-24 12:02:00,IIFHOL,129.18,131.34,128.64,129.0,456271,
2010-02-25 12:02:00,IIFHOL,130.17,130.71,126.35,127.56,1168110,
2010-02-26 12:02:00,IIFHOL,129.0,135.03,126.21,132.96,2389437,
2010-03-02 12:03:00,IIFHOL,133.32,134.31,132.2,133.68,2070374,
2010-03-03 12:03:00,IIFHOL,133.77,137.46,133.5,136.79,2179259,
2010-03-04 12:03:00,IIFHOL,138.45,141.15,136.97,138.14,2269963,
2010-03-05 12:03:00,IIFHOL,139.8,142.05,138.86,140.88,2111855,
2010-03-08 12:03:00,IIFHOL,142.14,142.46,137.6,139.22,1075490,
2010-03-09 12:03:00,IIFHOL,139.8,139.8,136.92,137.6,678004,
