datetime,stock_code,open,high,low,close,volume,open_interest
2019-09-19 12:09:00,IIFWEA,302.5,317.63,302.5,317.63,1777465,
2019-09-20 12:09:00,IIFWEA,332.25,333.5,332.25,333.5,690162,
2019-09-23 12:09:00,IIFWEA,350.18,350.18,350.18,350.18,8524,
2019-09-24 12:09:00,IIFWEA,367.68,367.68,367.68,367.68,624163,
2019-09-25 12:09:00,IIFWEA,386.05,386.05,349.3,351.24,132645,
2019-09-26 12:09:00,IIFWEA,338.75,367.5,333.69,334.04,19564,
2019-09-27 12:09:00,IIFWEA,333.5,343.75,317.76,325.01,1761136,
2019-09-30 12:09:00,IIFWEA,312.89,341.25,308.76,308.76,17349,
2019-10-01 12:10:00,IIFWEA,300.75,324.2,293.33,318.58,45389,
2019-10-03 12:10:00,IIFWEA,318.58,324.99,303.0,322.44,13675,
2019-10-04 12:10:00,IIFWEA,313.01,323.24,306.5,319.94,10272,
2019-10-07 12:10:00,IIFWEA,322.45,324.96,310.26,319.85,8424,
2019-10-09 12:10:00,IIFWEA,319.75,322.25,305.0,308.96,15922,
2019-10-10 12:10:00,IIFWEA,300.31,312.49,295.25,297.85,4316,
2019-10-11 12:10:00,IIFWEA,298.99,299.99,287.5,288.99,20687,
2019-10-14 12:10:00,IIFWEA,287.51,287.51,271.25,275.91,19534,
2019-10-15 12:10:00,IIFWEA,271.65,321.94,271.64,280.89,298320,
2019-10-16 12:10:00,IIFWEA,275.79,294.69,275.79,287.2,4374,
2019-10-17 12:10:00,IIFWEA,296.0,300.0,279.0,295.34,6261,
2019-10-18 12:10:00,IIFWEA,310.0,310.0,295.0,300.69,4966,
2019-10-22 12:10:00,IIFWEA,310.0,310.0,282.51,296.84,7047,
2019-10-23 12:10:00,IIFWEA,297.5,305.23,297.04,302.0,6740,
2019-10-24 12:10:00,IIFWEA,311.24,311.24,299.99,301.8,1153,
2019-10-25 12:10:00,IIFWEA,311.0,321.25,302.51,316.44,17940,
2019-10-27 12:10:00,IIFWEA,324.74,333.25,320.25,325.03,4962,
2019-10-29 12:10:00,IIFWEA,326.25,331.0,317.5,325.13,22228,
2019-10-30 12:10:00,IIFWEA,335.0,335.0,323.76,327.56,22361,
2019-10-31 12:10:00,IIFWEA,328.01,333.5,328.0,331.86,41283,
2019-11-01 12:11:00,IIFWEA,331.25,334.75,330.28,332.79,24054,
2019-11-04 12:11:00,IIFWEA,333.0,338.25,315.21,328.76,13389,
2019-11-05 12:11:00,IIFWEA,331.75,331.75,318.75,320.73,5822,
2019-11-06 12:11:00,IIFWEA,333.5,333.5,318.75,322.46,7020,
