datetime,stock_code,open,high,low,close,volume,open_interest
2017-10-23 12:10:00,INDEN,50.0,55.33,50.0,54.3,3345798,
2017-10-24 12:10:00,INDEN,53.83,54.5,53.17,53.45,216428,
2017-10-25 12:10:00,INDEN,53.33,53.37,51.52,52.1,140748,
2017-10-26 12:10:00,INDEN,51.75,53.0,51.04,52.09,87150,
2017-10-27 12:10:00,INDEN,52.0,52.49,51.7,52.17,31148,
2017-10-30 12:10:00,INDEN,52.17,52.7,51.95,52.24,46909,
2017-10-31 12:10:00,INDEN,52.03,52.43,51.37,51.81,23592,
2017-11-01 12:11:00,INDEN,51.68,52.33,51.29,51.98,93185,
2017-11-02 12:11:00,INDEN,52.0,52.5,51.67,52.1,28883,
2017-11-03 12:11:00,INDEN,51.77,54.0,51.77,53.08,94783,
2017-11-06 12:11:00,INDEN,52.67,53.97,52.67,53.42,48041,
2017-11-07 12:11:00,INDEN,53.67,53.95,53.0,53.57,51383,
2017-11-08 12:11:00,INDEN,53.4,53.95,50.37,52.87,24765,
2017-11-09 12:11:00,INDEN,52.87,53.72,51.93,53.34,26379,
2017-11-10 12:11:00,INDEN,52.73,53.67,52.73,53.22,17040,
2017-11-13 12:11:00,INDEN,52.95,53.37,52.3,52.43,12678,
2017-11-14 12:11:00,INDEN,52.5,52.79,51.35,51.43,10919,
2017-11-15 12:11:00,INDEN,51.83,51.83,50.3,50.38,12266,
2017-11-16 12:11:00,INDEN,51.1,51.1,49.67,50.28,105149,
2017-11-17 12:11:00,INDEN,50.5,50.83,50.17,50.46,10358,
2017-11-20 12:11:00,INDEN,50.79,51.6,50.0,50.14,17188,
2017-11-21 12:11:00,INDEN,50.17,50.73,50.17,50.52,8316,
2017-11-22 12:11:00,INDEN,50.2,52.63,50.2,51.93,21525,
2017-11-23 12:11:00,INDEN,52.22,52.43,51.24,51.89,38539,
2017-11-24 12:11:00,INDEN,51.53,52.13,51.38,51.65,23869,
2017-11-27 12:11:00,INDEN,51.33,52.33,51.25,51.77,9920,
2017-11-28 12:11:00,INDEN,52.16,52.16,51.27,51.56,6162,
2017-11-29 12:11:00,INDEN,51.57,51.77,50.39,50.89,8069,
2017-11-30 12:11:00,INDEN,50.83,51.73,50.7,51.13,6616,
2017-12-01 12:12:00,INDEN,51.17,51.83,50.83,51.01,11152,
2017-12-04 12:12:00,INDEN,51.01,51.28,50.13,50.23,9133,
2017-12-05 12:12:00,INDEN,50.17,50.88,49.8,50.18,6014,
2017-12-06 12:12:00,INDEN,50.33,50.75,50.13,50.46,5223,
2017-12-07 12:12:00,INDEN,50.11,51.5,50.11,50.93,5525,
2017-12-08 12:12:00,INDEN,50.67,51.77,50.67,51.67,14963,
