datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,INDHOT,108.51,111.57,106.71,110.94,2057102,
2010-01-05 12:01:00,INDHOT,110.94,112.83,107.88,109.19,3221559,
2010-01-06 12:01:00,INDHOT,110.09,110.22,107.3,107.57,1499942,
2010-01-07 12:01:00,INDHOT,107.52,108.56,106.35,106.76,1288573,
2010-01-08 12:01:00,INDHOT,107.03,108.06,105.9,106.35,715364,
2010-01-11 12:01:00,INDHOT,108.06,109.41,107.79,108.51,1474436,
2010-01-12 12:01:00,INDHOT,108.6,110.18,105.5,106.31,1710126,
2010-01-13 12:01:00,INDHOT,106.35,107.88,105.09,107.61,727442,
2010-01-14 12:01:00,INDHOT,107.7,110.85,107.12,109.91,2951136,
2010-01-15 12:01:00,INDHOT,111.35,113.01,110.45,111.57,3162884,
2010-01-18 12:01:00,INDHOT,111.3,112.47,109.91,111.62,1147401,
2010-01-19 12:01:00,INDHOT,111.75,112.16,108.38,108.69,975366,
2010-01-20 12:01:00,INDHOT,108.83,110.94,107.75,108.02,852728,
2010-01-21 12:01:00,INDHOT,108.6,109.5,105.9,106.53,1359274,
2010-01-22 12:01:00,INDHOT,103.29,107.66,102.8,104.51,2443434,
2010-01-25 12:01:00,INDHOT,104.1,104.91,101.4,102.17,2199932,
2010-01-27 12:01:00,INDHOT,102.3,102.3,96.41,96.81,2810221,
2010-01-28 12:01:00,INDHOT,96.0,99.29,96.0,98.21,3367646,
2010-01-29 12:01:00,INDHOT,97.8,99.29,93.98,98.84,1523763,
2010-02-01 12:02:00,INDHOT,98.61,101.4,97.53,99.02,927690,
2010-02-02 12:02:00,INDHOT,99.15,101.09,96.05,96.77,766427,
2010-02-04 12:02:00,INDHOT,98.61,98.61,96.5,96.99,378033,
2010-02-05 12:02:00,INDHOT,94.38,95.91,92.45,93.48,1840215,
2010-02-06 12:02:00,INDHOT,93.53,96.09,93.48,95.6,179034,
2010-02-08 12:02:00,INDHOT,96.9,97.67,93.75,94.88,1373947,
2010-02-09 12:02:00,INDHOT,95.01,97.76,93.84,97.49,1193814,
2010-02-10 12:02:00,INDHOT,98.25,98.52,95.1,95.73,1070236,
2010-02-11 12:02:00,INDHOT,97.26,97.76,96.05,96.23,1209710,
2010-02-15 12:02:00,INDHOT,97.8,97.8,95.82,96.59,909020,
2010-02-16 12:02:00,INDHOT,97.13,97.49,96.09,96.72,744820,
