datetime,stock_code,open,high,low,close,volume,open_interest
2010-07-23 12:07:00,INDMFA,364.9,374.95,350.63,354.2,31287,
2010-07-26 12:07:00,INDMFA,357.5,358.4,350.5,351.7,1650,
2010-07-27 12:07:00,INDMFA,350.0,354.5,345.0,350.53,897,
2010-07-29 12:07:00,INDMFA,317.75,349.0,317.75,349.0,567,
2010-07-30 12:07:00,INDMFA,345.0,348.5,343.05,346.3,695,
2010-08-02 12:08:00,INDMFA,345.5,354.0,343.0,345.63,1435,
2010-08-03 12:08:00,INDMFA,348.5,350.0,345.58,346.3,2230,
2010-08-04 12:08:00,INDMFA,345.5,349.9,336.03,340.85,1233,
2010-08-05 12:08:00,INDMFA,340.5,342.5,332.5,337.3,660,
2010-08-06 12:08:00,INDMFA,337.5,341.95,330.25,332.7,1316,
2010-08-09 12:08:00,INDMFA,335.0,367.5,335.0,362.58,3939,
2010-08-10 12:08:00,INDMFA,362.58,362.58,351.58,355.03,2694,
2010-08-11 12:08:00,INDMFA,345.5,355.5,345.5,346.33,609,
2010-08-12 12:08:00,INDMFA,345.03,349.5,343.5,345.28,572,
2010-08-13 12:08:00,INDMFA,335.0,348.9,335.0,341.0,960,
2010-08-16 12:08:00,INDMFA,345.0,360.25,342.58,351.58,9078,
2010-08-17 12:08:00,INDMFA,350.5,352.5,345.2,350.0,1201,
2010-08-18 12:08:00,INDMFA,346.05,360.0,346.05,351.4,3091,
2010-08-19 12:08:00,INDMFA,357.0,357.5,345.28,346.85,1335,
2010-08-20 12:08:00,INDMFA,345.05,349.9,342.5,343.85,651,
2010-08-23 12:08:00,INDMFA,342.5,349.5,340.0,341.5,800,
2010-08-24 12:08:00,INDMFA,338.0,344.98,335.0,337.63,1327,
2010-08-25 12:08:00,INDMFA,347.5,347.5,330.0,331.43,1535,
2010-08-26 12:08:00,INDMFA,337.45,337.45,327.0,330.15,647,
2010-08-30 12:08:00,INDMFA,334.75,337.5,324.1,326.48,1601,
2010-08-31 12:08:00,INDMFA,324.5,327.38,315.05,317.83,2424,
2010-09-01 12:09:00,INDMFA,329.23,335.0,320.03,332.75,1245,
2010-09-02 12:09:00,INDMFA,344.0,344.0,327.53,332.03,1510,
2010-09-03 12:09:00,INDMFA,326.18,332.45,325.0,330.1,1242,
2010-09-06 12:09:00,INDMFA,330.5,355.0,330.5,344.4,8544,
2010-09-07 12:09:00,INDMFA,345.0,349.5,340.03,344.55,1373,
2010-09-08 12:09:00,INDMFA,340.05,383.5,340.05,362.05,89246,
2010-09-09 12:09:00,INDMFA,375.0,380.0,353.08,369.98,11057,
2010-09-13 12:09:00,INDMFA,375.0,377.48,361.5,363.55,3605,
2010-09-14 12:09:00,INDMFA,365.0,371.5,357.5,364.55,14875,
2010-09-15 12:09:00,INDMFA,369.0,376.5,365.0,368.53,11522,
2010-09-16 12:09:00,INDMFA,374.95,374.95,360.0,360.33,6154,
2010-09-17 12:09:00,INDMFA,356.2,368.5,356.2,360.53,3298,
2010-09-20 12:09:00,INDMFA,365.0,370.0,364.5,366.05,5011,
2010-09-21 12:09:00,INDMFA,365.88,372.0,358.18,366.9,10765,
2010-09-22 12:09:00,INDMFA,362.5,368.5,356.15,358.9,2016,
2010-09-23 12:09:00,INDMFA,355.5,360.0,351.0,353.95,1987,
2010-09-24 12:09:00,INDMFA,350.5,362.5,350.5,353.75,2272,
2010-09-27 12:09:00,INDMFA,355.0,361.0,351.0,354.98,3682,
2010-09-28 12:09:00,INDMFA,351.5,357.5,351.5,354.1,2856,
2010-09-29 12:09:00,INDMFA,355.03,389.83,353.05,354.98,3017,
2010-09-30 12:09:00,INDMFA,358.0,360.0,353.0,353.8,3937,
2010-10-01 12:10:00,INDMFA,359.0,364.0,357.0,361.55,5626,
2010-10-06 12:10:00,INDMFA,361.55,389.85,361.5,370.18,8017,
2010-10-07 12:10:00,INDMFA,371.0,375.0,357.5,360.6,7031,
2010-10-08 12:10:00,INDMFA,360.03,378.95,359.5,370.9,9908,
2010-10-11 12:10:00,INDMFA,370.9,380.0,368.0,378.6,8928,
2010-10-12 12:10:00,INDMFA,373.0,380.5,372.5,373.5,4771,
2010-10-13 12:10:00,INDMFA,376.5,417.0,373.5,393.53,85649,
2010-10-14 12:10:00,INDMFA,397.38,400.0,387.6,392.8,13565,
2010-10-15 12:10:00,INDMFA,395.0,399.95,380.0,383.23,5471,
2010-10-18 12:10:00,INDMFA,382.5,387.0,371.5,375.2,6075,
2010-10-19 12:10:00,INDMFA,386.0,397.5,376.5,383.83,10014,
2010-10-20 12:10:00,INDMFA,375.0,390.0,375.0,378.78,3357,
2010-10-21 12:10:00,INDMFA,377.5,385.95,374.5,374.95,4628,
2010-10-22 12:10:00,INDMFA,379.68,388.5,375.5,376.83,4610,
2010-10-25 12:10:00,INDMFA,383.7,385.0,368.18,374.0,6451,
2010-10-26 12:10:00,INDMFA,374.9,381.75,370.5,372.05,2128,
2010-10-27 12:10:00,INDMFA,380.5,387.5,372.9,378.65,4815,
2010-10-28 12:10:00,INDMFA,376.55,389.5,376.55,383.6,10173,
2010-10-29 12:10:00,INDMFA,388.4,392.0,370.0,373.85,33272,
2010-11-01 12:11:00,INDMFA,383.45,387.45,366.15,371.28,11242,
2010-11-02 12:11:00,INDMFA,377.2,390.5,375.1,388.78,28094,
2010-11-03 12:11:00,INDMFA,357.05,412.5,357.05,395.53,61060,
2010-11-04 12:11:00,INDMFA,397.0,400.0,384.55,386.35,7815,
2010-11-05 12:11:00,INDMFA,387.5,397.45,387.5,393.45,2842,
2010-11-08 12:11:00,INDMFA,395.0,414.9,387.55,402.48,23596,
2010-11-09 12:11:00,INDMFA,405.0,405.0,390.0,396.38,8926,
2010-11-10 12:11:00,INDMFA,399.93,405.5,395.0,399.98,24546,
2010-11-11 12:11:00,INDMFA,402.5,405.5,388.85,390.08,18145,
2010-11-12 12:11:00,INDMFA,386.45,400.0,377.5,380.25,18889,
2010-11-15 12:11:00,INDMFA,385.0,387.2,371.58,378.55,3709,
2010-11-16 12:11:00,INDMFA,377.55,380.9,360.0,362.25,6363,
2010-11-18 12:11:00,INDMFA,362.5,366.75,350.0,354.5,4827,
2010-11-19 12:11:00,INDMFA,359.98,362.0,342.5,344.3,8543,
2010-11-22 12:11:00,INDMFA,357.5,357.5,341.58,345.25,5781,
2010-11-23 12:11:00,INDMFA,341.53,344.0,332.58,337.68,4667,
2010-11-24 12:11:00,INDMFA,342.5,342.5,330.08,331.3,1238,
2010-11-25 12:11:00,INDMFA,331.5,337.0,316.5,317.63,2483,
2010-11-26 12:11:00,INDMFA,310.03,324.93,301.75,303.38,2245,
2010-11-29 12:11:00,INDMFA,301.75,309.95,290.05,304.85,4519,
2010-11-30 12:11:00,INDMFA,300.0,312.5,300.0,311.05,3647,
2010-12-01 12:12:00,INDMFA,324.9,326.63,312.75,326.63,2374,
2010-12-02 12:12:00,INDMFA,337.5,342.98,330.0,342.98,4538,
2010-12-03 12:12:00,INDMFA,350.0,350.0,325.83,326.03,5157,
2010-12-06 12:12:00,INDMFA,323.0,337.5,310.95,315.05,4849,
2010-12-07 12:12:00,INDMFA,315.0,317.5,302.5,307.38,5072,
2010-12-08 12:12:00,INDMFA,305.0,310.0,300.65,302.23,3177,
2010-12-09 12:12:00,INDMFA,300.0,316.1,287.55,295.23,4368,
2010-12-10 12:12:00,INDMFA,296.98,309.98,292.5,304.53,2142,
2010-12-13 12:12:00,INDMFA,304.53,312.5,297.63,304.83,2072,
2010-12-14 12:12:00,INDMFA,312.5,320.08,301.75,313.5,3255,
2010-12-15 12:12:00,INDMFA,323.4,325.0,297.83,300.0,3643,
2010-12-16 12:12:00,INDMFA,292.5,302.5,292.5,299.98,2868,
2010-12-20 12:12:00,INDMFA,300.0,312.48,300.0,307.93,7939,
2010-12-21 12:12:00,INDMFA,320.0,320.0,300.0,303.03,848,
2010-12-22 12:12:00,INDMFA,300.0,315.0,299.15,299.85,4660,
2010-12-23 12:12:00,INDMFA,300.0,302.5,296.1,299.68,4364,
