datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,INDOIL,51.17,52.63,51.09,52.44,839806,
2010-01-05 12:01:00,INDOIL,52.51,53.0,52.2,52.64,505408,
2010-01-06 12:01:00,INDOIL,52.64,52.98,51.68,52.57,633665,
2010-01-07 12:01:00,INDOIL,52.19,52.5,51.25,51.74,382408,
2010-01-08 12:01:00,INDOIL,52.5,53.07,51.85,52.63,493557,
2010-01-11 12:01:00,INDOIL,52.54,53.67,52.54,53.14,638651,
2010-01-12 12:01:00,INDOIL,54.18,54.74,52.6,52.99,517903,
2010-01-13 12:01:00,INDOIL,53.13,54.68,52.6,53.95,947161,
2010-01-14 12:01:00,INDOIL,54.33,55.23,54.17,54.31,1029074,
2010-01-15 12:01:00,INDOIL,54.35,54.82,53.7,54.06,359548,
2010-01-18 12:01:00,INDOIL,54.18,54.67,53.77,54.36,269517,
2010-01-19 12:01:00,INDOIL,54.33,55.74,52.69,53.03,1413043,
2010-01-20 12:01:00,INDOIL,53.78,53.78,51.83,52.05,683021,
2010-01-21 12:01:00,INDOIL,52.02,52.85,51.85,52.26,497969,
2010-01-22 12:01:00,INDOIL,51.67,52.67,50.93,51.41,587495,
2010-01-25 12:01:00,INDOIL,51.83,51.83,50.42,51.08,529858,
2010-01-27 12:01:00,INDOIL,51.08,51.14,50.17,50.61,441403,
2010-01-28 12:01:00,INDOIL,51.17,51.4,49.83,50.16,962520,
2010-01-29 12:01:00,INDOIL,50.0,50.93,49.18,50.23,697722,
2010-02-01 12:02:00,INDOIL,50.33,52.98,49.67,52.53,1013619,
2010-02-02 12:02:00,INDOIL,53.25,54.17,51.69,52.93,904327,
2010-02-04 12:02:00,INDOIL,55.33,55.33,52.64,52.8,874797,
2010-02-05 12:02:00,INDOIL,50.26,52.65,50.26,51.35,519637,
2010-02-06 12:02:00,INDOIL,51.64,53.27,51.4,52.44,141218,
2010-02-08 12:02:00,INDOIL,52.83,53.1,51.33,51.62,429770,
2010-02-09 12:02:00,INDOIL,51.75,52.0,51.18,51.68,402260,
2010-02-10 12:02:00,INDOIL,52.08,53.08,51.88,52.65,621155,
2010-02-11 12:02:00,INDOIL,53.32,53.32,52.02,52.23,431513,
2010-02-15 12:02:00,INDOIL,51.36,52.23,50.86,51.0,367034,
2010-02-16 12:02:00,INDOIL,51.31,51.67,50.87,51.56,201923,
2010-02-17 12:02:00,INDOIL,51.68,52.4,51.27,52.03,253086,
2010-02-18 12:02:00,INDOIL,52.15,54.43,51.5,52.88,1232390,
2010-02-19 12:02:00,INDOIL,52.82,54.07,52.26,53.62,772828,
2010-02-22 12:02:00,INDOIL,53.62,54.8,53.12,54.38,1219445,
2010-02-23 12:02:00,INDOIL,54.98,55.06,53.52,53.75,728425,
2010-02-24 12:02:00,INDOIL,53.07,54.21,52.53,53.7,477326,
2010-02-25 12:02:00,INDOIL,53.85,54.32,53.3,53.65,603817,
2010-02-26 12:02:00,INDOIL,53.75,55.74,52.5,52.9,2797461,
2010-03-02 12:03:00,INDOIL,52.67,53.62,51.7,51.98,552024,
2010-03-03 12:03:00,INDOIL,52.5,52.57,51.24,51.35,992481,
2010-03-04 12:03:00,INDOIL,51.82,51.91,50.54,50.72,1498340,
2010-03-05 12:03:00,INDOIL,51.0,51.33,50.83,51.13,754788,
