datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,INDOVE,112.0,113.85,111.7,113.1,629552,
2010-01-05 12:01:00,INDOVE,115.5,115.5,114.0,114.85,589696,
2010-01-06 12:01:00,INDOVE,115.0,116.4,113.45,115.1,921106,
2010-01-07 12:01:00,INDOVE,115.8,115.9,113.75,114.75,545688,
2010-01-08 12:01:00,INDOVE,115.25,115.35,113.85,114.35,316396,
2010-01-11 12:01:00,INDOVE,114.6,115.8,114.6,115.2,404536,
2010-01-12 12:01:00,INDOVE,115.0,115.7,111.6,111.95,295909,
2010-01-13 12:01:00,INDOVE,111.05,113.0,109.1,110.6,683494,
2010-01-14 12:01:00,INDOVE,111.0,112.5,110.0,110.6,1276122,
2010-01-15 12:01:00,INDOVE,110.95,112.0,110.0,110.3,1426884,
2010-01-18 12:01:00,INDOVE,110.0,111.3,109.3,110.35,1273562,
2010-01-19 12:01:00,INDOVE,111.5,115.0,110.85,113.8,3506562,
2010-01-20 12:01:00,INDOVE,114.7,115.8,111.55,112.15,2573291,
2010-01-21 12:01:00,INDOVE,112.5,112.5,108.55,109.1,856145,
2010-01-22 12:01:00,INDOVE,108.05,108.05,103.2,106.55,1028230,
2010-01-25 12:01:00,INDOVE,104.2,106.65,104.2,105.45,679189,
2010-01-27 12:01:00,INDOVE,105.45,105.7,100.1,100.8,1040243,
2010-01-28 12:01:00,INDOVE,100.8,102.95,93.85,94.55,4692577,
2010-01-29 12:01:00,INDOVE,92.2,93.5,88.2,91.95,3964359,
2010-02-01 12:02:00,INDOVE,91.8,93.25,90.55,92.35,1043837,
2010-02-02 12:02:00,INDOVE,92.8,94.8,90.7,91.15,1672294,
2010-02-04 12:02:00,INDOVE,91.8,92.5,89.6,90.25,907747,
2010-02-05 12:02:00,INDOVE,89.2,89.2,81.35,87.05,1271024,
2010-02-06 12:02:00,INDOVE,87.5,89.0,87.4,88.6,147668,
2010-02-08 12:02:00,INDOVE,88.95,90.3,87.0,89.65,1358568,
2010-02-09 12:02:00,INDOVE,89.5,90.2,88.55,89.8,588096,
2010-02-10 12:02:00,INDOVE,90.25,91.6,89.75,90.2,639424,
2010-02-11 12:02:00,INDOVE,90.55,91.75,90.55,91.3,372267,
2010-02-15 12:02:00,INDOVE,92.0,92.0,90.05,90.4,568140,
2010-02-16 12:02:00,INDOVE,90.5,91.45,89.55,90.9,351311,
2010-02-17 12:02:00,INDOVE,91.9,93.7,91.25,91.8,1069080,
2010-02-18 12:02:00,INDOVE,92.25,93.25,91.5,92.1,646243,
