datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,INFEDG,222.5,224.5,218.0,218.7,5618,
2010-01-05 12:01:00,INFEDG,223.7,227.23,220.0,222.54,19402,
2010-01-06 12:01:00,INFEDG,224.95,229.38,218.89,221.41,3935,
2010-01-07 12:01:00,INFEDG,223.7,224.75,215.3,219.38,12237,
2010-01-08 12:01:00,INFEDG,216.79,223.25,213.75,215.49,1164,
2010-01-11 12:01:00,INFEDG,215.0,226.2,212.89,214.7,2865,
2010-01-12 12:01:00,INFEDG,218.75,218.75,212.78,214.29,673,
2010-01-13 12:01:00,INFEDG,212.5,216.95,212.5,214.2,1181,
2010-01-14 12:01:00,INFEDG,215.03,218.25,215.0,216.13,1227,
2010-01-15 12:01:00,INFEDG,215.75,218.25,206.25,210.3,2226,
2010-01-18 12:01:00,INFEDG,214.4,216.0,212.5,213.68,1430,
2010-01-19 12:01:00,INFEDG,214.48,229.75,212.5,217.69,18782,
2010-01-20 12:01:00,INFEDG,219.0,220.5,215.0,218.5,11775,
2010-01-21 12:01:00,INFEDG,216.26,220.0,216.26,218.5,5008,
2010-01-22 12:01:00,INFEDG,212.55,215.03,206.48,212.81,3084,
2010-01-25 12:01:00,INFEDG,210.0,218.74,209.75,215.94,6860,
2010-01-27 12:01:00,INFEDG,214.95,218.7,213.5,217.18,1400,
2010-01-28 12:01:00,INFEDG,218.75,218.75,212.55,218.49,2804,
2010-01-29 12:01:00,INFEDG,221.25,221.25,210.0,212.6,5180,
2010-02-01 12:02:00,INFEDG,212.53,218.46,205.66,212.86,4391,
2010-02-02 12:02:00,INFEDG,219.25,219.25,208.75,210.45,1159,
2010-02-04 12:02:00,INFEDG,208.69,242.83,207.24,218.46,29337,
2010-02-05 12:02:00,INFEDG,207.81,234.5,207.73,224.64,91769,
2010-02-06 12:02:00,INFEDG,224.75,227.0,215.61,220.34,7022,
2010-02-08 12:02:00,INFEDG,221.28,231.0,218.83,224.05,18294,
2010-02-09 12:02:00,INFEDG,229.41,229.41,212.85,218.74,3936,
2010-02-10 12:02:00,INFEDG,220.5,224.25,217.84,220.03,2860,
2010-02-11 12:02:00,INFEDG,216.28,223.25,211.33,213.8,13549,
2010-02-15 12:02:00,INFEDG,220.75,220.75,213.14,214.4,1468,
2010-02-16 12:02:00,INFEDG,214.03,216.25,211.25,214.15,2283,
2010-02-17 12:02:00,INFEDG,219.75,219.75,212.5,212.96,1470,
2010-02-18 12:02:00,INFEDG,213.0,216.25,209.09,210.01,1240,
2010-02-19 12:02:00,INFEDG,212.25,212.25,198.45,200.08,6935,
2010-02-22 12:02:00,INFEDG,206.28,209.0,202.81,205.74,4942,
2010-02-23 12:02:00,INFEDG,206.25,225.0,206.25,208.91,2925,
2010-02-24 12:02:00,INFEDG,210.25,210.5,202.84,206.66,1669,
2010-02-25 12:02:00,INFEDG,209.7,209.7,206.24,206.94,621,
2010-02-26 12:02:00,INFEDG,204.53,209.98,203.75,206.21,1405,
2010-03-02 12:03:00,INFEDG,203.25,212.25,203.25,211.18,2011,
2010-03-03 12:03:00,INFEDG,213.0,216.25,209.13,211.6,4021,
2010-03-04 12:03:00,INFEDG,210.75,215.0,210.01,213.75,1555,
2010-03-05 12:03:00,INFEDG,215.0,215.0,211.26,213.26,887,
2010-03-08 12:03:00,INFEDG,209.65,222.13,209.65,220.7,16422,
2010-03-09 12:03:00,INFEDG,221.75,226.25,217.04,218.1,12539,
2010-03-10 12:03:00,INFEDG,220.0,222.31,211.51,214.33,1282,
2010-03-11 12:03:00,INFEDG,216.75,225.0,213.83,221.28,16787,
2010-03-12 12:03:00,INFEDG,224.75,232.25,218.89,226.5,1194508,
2010-03-15 12:03:00,INFEDG,227.5,230.5,220.38,223.56,15591,
2010-03-16 12:03:00,INFEDG,225.0,231.25,224.0,230.09,30524,
2010-03-17 12:03:00,INFEDG,229.61,235.0,223.75,225.16,74064,
2010-03-18 12:03:00,INFEDG,226.25,228.88,221.75,222.86,7698,
2010-03-19 12:03:00,INFEDG,222.75,228.76,220.09,221.68,8890,
2010-03-22 12:03:00,INFEDG,215.65,223.73,215.65,219.46,9076,
2010-03-23 12:03:00,INFEDG,222.5,223.5,217.5,218.18,2301,
2010-03-25 12:03:00,INFEDG,220.95,220.95,218.75,219.26,2646,
2010-03-26 12:03:00,INFEDG,222.08,222.08,215.0,216.5,1910,
2010-03-29 12:03:00,INFEDG,215.83,221.5,215.78,218.75,9436,
2010-03-30 12:03:00,INFEDG,222.0,222.25,217.25,217.81,1792,
2010-03-31 12:03:00,INFEDG,219.0,221.25,217.0,218.45,1581,
2010-04-01 12:04:00,INFEDG,216.25,224.25,216.25,220.83,3003,
2010-04-05 12:04:00,INFEDG,223.0,227.73,218.06,223.69,3837,
2010-04-06 12:04:00,INFEDG,224.98,224.98,218.81,220.81,1319,
2010-04-07 12:04:00,INFEDG,222.75,222.75,217.51,218.46,1092,
2010-04-08 12:04:00,INFEDG,217.75,220.66,217.7,219.23,2104,
2010-04-09 12:04:00,INFEDG,223.95,223.95,216.53,219.33,1197,
2010-04-12 12:04:00,INFEDG,222.2,229.1,217.93,226.65,6888,
2010-04-13 12:04:00,INFEDG,227.5,232.38,224.03,231.59,22909,
2010-04-16 12:04:00,INFEDG,235.0,237.5,231.5,235.19,2560,
2010-04-19 12:04:00,INFEDG,228.75,232.5,225.28,230.16,5027,
2010-04-20 12:04:00,INFEDG,228.0,233.8,226.81,232.65,1178,
2010-04-21 12:04:00,INFEDG,232.75,239.0,226.25,237.68,4117,
2010-04-22 12:04:00,INFEDG,232.75,242.0,231.75,238.06,1813,
2010-04-23 12:04:00,INFEDG,237.95,242.0,233.03,236.13,724,
2010-04-26 12:04:00,INFEDG,241.0,241.0,232.5,233.71,1413,
2010-04-27 12:04:00,INFEDG,235.99,236.0,231.75,232.76,475,
2010-04-28 12:04:00,INFEDG,229.35,233.95,224.25,229.8,6525,
2010-04-29 12:04:00,INFEDG,227.28,231.21,227.28,228.64,103,
2010-04-30 12:04:00,INFEDG,228.76,239.98,227.0,238.39,3881,
2010-05-03 12:05:00,INFEDG,231.28,237.15,231.28,235.23,4329,
2010-05-04 12:05:00,INFEDG,233.06,236.25,229.64,234.26,3726,
2010-05-05 12:05:00,INFEDG,228.75,235.0,225.29,234.26,2735,
2010-05-06 12:05:00,INFEDG,236.46,236.5,230.45,235.9,571,
2010-05-07 12:05:00,INFEDG,227.76,234.44,223.16,228.56,3063,
2010-05-10 12:05:00,INFEDG,235.5,235.5,229.03,235.01,945,
2010-05-11 12:05:00,INFEDG,232.5,236.75,230.38,231.54,537,
2010-05-12 12:05:00,INFEDG,231.5,235.0,228.06,234.14,2860,
2010-05-13 12:05:00,INFEDG,230.25,236.2,228.75,231.19,2756,
2010-05-14 12:05:00,INFEDG,231.19,236.25,227.5,235.11,3867,
2010-05-17 12:05:00,INFEDG,228.75,236.96,228.15,233.09,2562,
2010-05-18 12:05:00,INFEDG,231.25,234.5,230.0,233.34,2140,
2010-05-19 12:05:00,INFEDG,230.38,235.49,225.25,227.46,2712,
2010-05-20 12:05:00,INFEDG,231.0,233.75,229.0,230.83,1405,
2010-05-24 12:05:00,INFEDG,231.5,236.0,228.54,235.1,3933,
2010-05-25 12:05:00,INFEDG,230.04,234.99,224.13,230.75,1150,
2010-05-26 12:05:00,INFEDG,228.75,247.5,228.75,239.09,8322,
2010-05-27 12:05:00,INFEDG,237.75,237.75,228.9,231.26,10058,
2010-05-28 12:05:00,INFEDG,232.0,237.49,220.25,222.75,9313,
2010-05-31 12:05:00,INFEDG,224.75,225.01,214.25,217.79,3781,
2010-06-01 12:06:00,INFEDG,217.78,223.4,216.25,221.25,54555,
2010-06-02 12:06:00,INFEDG,220.28,224.73,218.5,223.78,10819,
2010-06-03 12:06:00,INFEDG,225.5,225.75,220.0,220.53,2041,
2010-06-04 12:06:00,INFEDG,220.75,221.25,216.26,217.88,2004,
2010-06-07 12:06:00,INFEDG,215.0,217.5,211.56,212.43,1024,
2010-06-08 12:06:00,INFEDG,210.0,215.25,205.29,206.68,104705,
2010-06-09 12:06:00,INFEDG,204.5,208.68,202.5,203.4,2509,
2010-06-10 12:06:00,INFEDG,205.51,207.48,200.56,205.61,4088,
2010-06-11 12:06:00,INFEDG,207.25,207.5,203.09,204.28,3198,
2010-06-14 12:06:00,INFEDG,203.68,203.68,185.28,201.13,9100,
2010-06-15 12:06:00,INFEDG,203.54,206.25,200.0,201.06,20487,
2010-06-16 12:06:00,INFEDG,203.54,207.5,203.54,206.2,4000,
2010-06-17 12:06:00,INFEDG,205.75,219.95,205.75,209.24,5071,
2010-06-18 12:06:00,INFEDG,209.5,209.5,192.91,203.48,4230,
2010-06-21 12:06:00,INFEDG,203.75,210.0,203.75,207.38,3700,
2010-06-22 12:06:00,INFEDG,205.25,217.5,205.25,214.91,3508,
2010-06-23 12:06:00,INFEDG,208.9,222.45,208.9,220.3,4467,
2010-06-24 12:06:00,INFEDG,222.21,231.23,218.75,229.74,28844,
