datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,IRBINF,24.64,24.79,23.45,23.82,1159169,
2010-01-05 12:01:00,IRBINF,24.0,24.4,23.63,23.92,825927,
2010-01-06 12:01:00,IRBINF,24.09,24.2,23.7,23.92,531620,
2010-01-07 12:01:00,IRBINF,24.05,24.54,23.76,24.21,1947779,
2010-01-08 12:01:00,IRBINF,23.62,26.44,23.62,26.26,4316388,
2010-01-11 12:01:00,IRBINF,26.53,27.78,26.2,26.63,2731969,
2010-01-12 12:01:00,IRBINF,26.79,27.2,26.16,26.42,1194755,
2010-01-13 12:01:00,IRBINF,25.1,26.5,25.1,26.31,665203,
2010-01-14 12:01:00,IRBINF,26.31,28.09,26.31,27.4,2672440,
2010-01-15 12:01:00,IRBINF,27.55,27.68,26.44,26.75,816727,
2010-01-18 12:01:00,IRBINF,26.8,27.84,26.5,27.7,1524714,
2010-01-19 12:01:00,IRBINF,27.85,27.85,26.4,26.57,609109,
2010-01-20 12:01:00,IRBINF,26.9,26.9,26.45,26.63,332956,
2010-01-21 12:01:00,IRBINF,26.63,26.69,25.32,25.53,503860,
2010-01-22 12:01:00,IRBINF,25.01,25.79,24.0,25.19,771458,
2010-01-25 12:01:00,IRBINF,24.85,25.45,24.5,24.86,280058,
2010-01-27 12:01:00,IRBINF,24.5,25.43,24.0,24.07,495544,
2010-01-28 12:01:00,IRBINF,24.5,25.49,23.5,24.38,833977,
2010-01-29 12:01:00,IRBINF,24.25,25.3,23.87,24.81,775297,
2010-02-01 12:02:00,IRBINF,24.66,26.35,24.5,26.11,752291,
2010-02-02 12:02:00,IRBINF,26.67,26.67,25.54,25.88,537262,
2010-02-04 12:02:00,IRBINF,25.94,26.6,25.3,25.43,577989,
2010-02-05 12:02:00,IRBINF,25.0,25.0,23.65,24.03,626734,
2010-02-06 12:02:00,IRBINF,24.5,24.77,24.36,24.58,122976,
2010-02-08 12:02:00,IRBINF,24.5,25.33,23.96,24.33,605067,
2010-02-09 12:02:00,IRBINF,24.41,24.65,24.22,24.38,287717,
2010-02-10 12:02:00,IRBINF,24.52,25.9,24.51,25.53,903708,
2010-02-11 12:02:00,IRBINF,25.71,26.15,25.43,25.76,1200026,
2010-02-15 12:02:00,IRBINF,25.96,25.96,25.2,25.48,259711,
2010-02-16 12:02:00,IRBINF,25.5,25.72,25.05,25.46,186946,
