datetime,stock_code,open,high,low,close,volume,open_interest
2018-09-28 12:09:00,IRCINT,41.2,46.5,40.91,41.53,5675479,
2018-10-01 12:10:00,IRCINT,41.81,43.49,40.66,42.7,624624,
2018-10-03 12:10:00,IRCINT,43.14,43.79,41.86,42.14,279765,
2018-10-04 12:10:00,IRCINT,41.9,41.9,40.4,40.71,232364,
2018-10-05 12:10:00,IRCINT,40.7,40.91,38.83,39.98,373530,
2018-10-08 12:10:00,IRCINT,39.8,40.0,38.0,38.21,134318,
2018-10-09 12:10:00,IRCINT,38.25,38.63,35.5,36.37,251694,
2018-10-10 12:10:00,IRCINT,36.7,38.44,35.67,36.51,682482,
2018-10-11 12:10:00,IRCINT,35.98,37.31,35.01,36.1,191987,
2018-10-12 12:10:00,IRCINT,37.1,37.34,36.21,36.8,258969,
2018-10-15 12:10:00,IRCINT,37.4,37.88,36.86,37.54,228108,
2018-10-16 12:10:00,IRCINT,37.84,39.2,37.2,37.94,234268,
2018-10-17 12:10:00,IRCINT,38.48,38.48,36.56,36.76,109997,
2018-10-19 12:10:00,IRCINT,36.71,36.71,36.0,36.18,59494,
2018-10-22 12:10:00,IRCINT,36.39,36.49,35.5,35.58,50845,
2018-10-23 12:10:00,IRCINT,35.58,35.58,34.61,34.79,60941,
2018-10-24 12:10:00,IRCINT,35.3,35.46,34.4,34.55,55627,
2018-10-25 12:10:00,IRCINT,34.38,34.94,33.8,34.27,53967,
2018-10-26 12:10:00,IRCINT,34.32,35.3,34.1,34.66,61398,
2018-10-29 12:10:00,IRCINT,35.0,35.19,34.5,34.86,57626,
2018-10-30 12:10:00,IRCINT,35.09,35.75,34.71,34.84,77720,
2018-10-31 12:10:00,IRCINT,35.09,35.18,34.46,34.74,40403,
2018-11-01 12:11:00,IRCINT,34.91,36.2,34.7,35.64,143203,
2018-11-02 12:11:00,IRCINT,36.06,37.12,35.87,36.09,181775,
2018-11-05 12:11:00,IRCINT,36.3,36.9,36.2,36.57,43301,
2018-11-06 12:11:00,IRCINT,37.0,37.0,36.2,36.4,40031,
2018-11-07 12:11:00,IRCINT,36.74,37.36,36.5,37.14,49929,
2018-11-09 12:11:00,IRCINT,37.35,39.0,37.21,38.53,134013,
2018-11-12 12:11:00,IRCINT,38.88,41.77,38.85,40.76,309997,
2018-11-13 12:11:00,IRCINT,40.7,41.98,40.4,41.56,284187,
2018-11-14 12:11:00,IRCINT,42.5,42.5,40.8,42.12,514841,
2018-11-15 12:11:00,IRCINT,42.42,43.18,41.5,42.24,301507,
2018-11-16 12:11:00,IRCINT,42.13,42.7,41.21,41.5,102809,
2018-11-19 12:11:00,IRCINT,41.5,41.78,40.68,41.01,42882,
2018-11-20 12:11:00,IRCINT,40.8,41.38,40.0,40.19,48721,
2018-11-21 12:11:00,IRCINT,40.2,40.67,39.61,39.83,55375,
2018-11-22 12:11:00,IRCINT,39.97,40.2,38.7,38.88,38231,
2018-11-26 12:11:00,IRCINT,39.0,39.75,37.7,38.93,65224,
2018-11-27 12:11:00,IRCINT,38.5,41.1,38.5,40.85,107566,
2018-11-28 12:11:00,IRCINT,41.0,42.6,41.0,42.36,218430,
2018-11-29 12:11:00,IRCINT,42.5,43.49,41.8,42.78,156409,
2018-11-30 12:11:00,IRCINT,42.8,43.1,42.26,42.98,67497,
2018-12-03 12:12:00,IRCINT,43.2,43.89,42.8,43.27,74881,
2018-12-04 12:12:00,IRCINT,43.3,43.3,42.13,42.6,38486,
2018-12-05 12:12:00,IRCINT,42.2,43.9,42.2,43.45,239412,
2018-12-06 12:12:00,IRCINT,43.39,43.96,42.25,43.12,195824,
2018-12-07 12:12:00,IRCINT,43.35,43.75,42.65,43.0,143085,
2018-12-10 12:12:00,IRCINT,41.8,42.6,41.47,41.63,70303,
2018-12-11 12:12:00,IRCINT,41.21,42.3,40.36,41.59,50479,
2018-12-12 12:12:00,IRCINT,42.0,43.0,41.73,42.49,47089,
2018-12-13 12:12:00,IRCINT,42.99,43.29,42.3,42.41,35589,
2018-12-14 12:12:00,IRCINT,42.21,43.05,42.06,42.53,34216,
2018-12-17 12:12:00,IRCINT,43.0,47.1,42.7,45.88,1496600,
2018-12-18 12:12:00,IRCINT,45.64,46.88,45.33,46.35,506470,
2018-12-19 12:12:00,IRCINT,46.53,46.77,45.72,45.97,163258,
2018-12-20 12:12:00,IRCINT,45.5,46.6,44.87,45.43,154666,
2018-12-21 12:12:00,IRCINT,45.2,45.71,44.46,44.76,98136,
2018-12-24 12:12:00,IRCINT,44.76,44.9,43.62,43.72,54085,
2018-12-26 12:12:00,IRCINT,43.5,44.8,42.6,44.37,114632,
2018-12-27 12:12:00,IRCINT,44.4,45.49,44.09,45.26,98305,
2018-12-28 12:12:00,IRCINT,45.26,45.94,45.08,45.36,56486,
2018-12-31 12:12:00,IRCINT,45.5,45.9,44.5,44.56,60181,
2019-01-01 12:01:00,IRCINT,44.74,45.3,44.31,44.72,40980,
2019-01-02 12:01:00,IRCINT,44.51,44.99,43.6,43.75,37477,
2019-01-03 12:01:00,IRCINT,43.8,44.16,42.66,42.81,63057,
2019-01-04 12:01:00,IRCINT,43.0,43.28,42.05,42.17,58199,
2019-01-07 12:01:00,IRCINT,42.5,43.19,41.51,41.67,63714,
2019-01-08 12:01:00,IRCINT,41.7,41.93,41.16,41.27,47548,
2019-01-09 12:01:00,IRCINT,41.4,42.21,41.16,41.26,71209,
2019-01-10 12:01:00,IRCINT,41.27,42.18,41.2,41.4,63624,
2019-01-11 12:01:00,IRCINT,41.88,42.18,41.36,41.65,76154,
2019-01-14 12:01:00,IRCINT,41.41,41.9,41.06,41.33,41818,
2019-01-15 12:01:00,IRCINT,41.4,41.57,40.82,41.09,58936,
2019-01-16 12:01:00,IRCINT,41.1,41.9,41.1,41.69,47131,
2019-01-17 12:01:00,IRCINT,41.8,43.2,41.73,42.12,154889,
2019-01-18 12:01:00,IRCINT,42.35,42.35,40.92,41.06,68957,
2019-01-21 12:01:00,IRCINT,41.1,41.54,40.61,40.78,33036,
2019-01-22 12:01:00,IRCINT,40.78,40.78,39.44,39.68,61977,
2019-01-23 12:01:00,IRCINT,39.5,40.0,38.81,38.99,36735,
2019-01-24 12:01:00,IRCINT,39.37,39.37,38.37,38.47,46112,
2019-01-25 12:01:00,IRCINT,38.6,39.95,38.5,38.81,100585,
2019-01-28 12:01:00,IRCINT,39.0,39.39,37.1,37.57,64444,
2019-01-29 12:01:00,IRCINT,37.6,38.39,37.6,37.97,29577,
