datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,ITC,84.33,85.0,83.45,84.55,1720545,
2010-01-05 12:01:00,ITC,84.93,85.58,84.23,85.38,3589075,
2010-01-06 12:01:00,ITC,86.23,86.23,84.53,85.58,2509993,
2010-01-07 12:01:00,ITC,85.67,86.17,84.57,85.32,1662478,
2010-01-08 12:01:00,ITC,85.12,86.17,85.12,85.5,1627117,
2010-01-11 12:01:00,ITC,85.83,86.5,85.33,85.53,2400421,
2010-01-12 12:01:00,ITC,85.58,85.58,83.03,83.35,5171367,
2010-01-13 12:01:00,ITC,83.0,83.92,82.33,82.98,4158688,
2010-01-14 12:01:00,ITC,83.5,83.63,82.33,82.72,4108160,
2010-01-15 12:01:00,ITC,83.35,84.4,82.37,84.25,2613277,
2010-01-18 12:01:00,ITC,84.27,84.77,83.33,83.52,1880762,
2010-01-19 12:01:00,ITC,83.8,83.8,82.77,83.3,2098542,
2010-01-20 12:01:00,ITC,83.33,83.83,82.08,82.37,3477553,
2010-01-21 12:01:00,ITC,82.5,83.38,80.83,81.5,3911566,
2010-01-22 12:01:00,ITC,81.0,84.57,80.42,83.03,15419624,
2010-01-25 12:01:00,ITC,83.33,85.43,82.52,85.03,5267976,
2010-01-27 12:01:00,ITC,84.5,86.35,84.33,85.3,11849947,
2010-01-28 12:01:00,ITC,85.57,85.67,82.85,84.75,6534392,
2010-01-29 12:01:00,ITC,84.5,85.58,83.03,83.38,5255552,
2010-02-01 12:02:00,ITC,83.33,84.18,81.9,82.17,4205975,
2010-02-02 12:02:00,ITC,83.35,83.35,81.02,81.47,3607647,
2010-02-04 12:02:00,ITC,84.0,84.92,83.2,84.45,4038562,
2010-02-05 12:02:00,ITC,84.0,84.43,82.33,82.78,6205505,
2010-02-06 12:02:00,ITC,82.67,83.2,82.4,82.68,159006,
2010-02-08 12:02:00,ITC,82.67,82.73,80.23,81.78,7803454,
2010-02-09 12:02:00,ITC,81.8,82.27,80.92,81.3,4027137,
2010-02-10 12:02:00,ITC,81.57,82.0,80.7,81.3,2853024,
2010-02-11 12:02:00,ITC,81.68,82.63,81.6,82.38,2317543,
2010-02-15 12:02:00,ITC,82.83,83.33,81.7,83.12,2162580,
2010-02-16 12:02:00,ITC,83.58,83.83,82.7,83.38,2040976,
2010-02-17 12:02:00,ITC,83.5,84.23,83.15,83.92,2629716,
2010-02-18 12:02:00,ITC,84.07,84.25,82.17,82.75,1335801,
2010-02-19 12:02:00,ITC,83.1,83.47,81.93,82.83,2001243,
2010-02-22 12:02:00,ITC,83.25,83.58,82.03,82.53,2173255,
2010-02-23 12:02:00,ITC,82.53,83.32,81.93,83.08,2401720,
2010-02-24 12:02:00,ITC,82.78,83.48,82.27,82.55,2847872,
2010-02-25 12:02:00,ITC,82.97,83.17,81.9,82.53,4770544,
2010-02-26 12:02:00,ITC,82.83,84.13,76.27,77.42,23354214,
2010-03-02 12:03:00,ITC,78.37,81.4,78.33,80.65,9693073,
2010-03-03 12:03:00,ITC,80.83,82.08,79.45,81.23,4350568,
2010-03-04 12:03:00,ITC,82.3,82.33,81.0,82.02,4290391,
2010-03-05 12:03:00,ITC,82.33,82.33,81.0,81.58,2764279,
2010-03-08 12:03:00,ITC,81.92,83.98,81.83,83.75,7494609,
2010-03-09 12:03:00,ITC,83.92,84.58,83.2,83.68,3181614,
2010-03-10 12:03:00,ITC,84.25,85.08,83.45,84.75,3987304,
2010-03-11 12:03:00,ITC,84.67,85.97,83.87,85.22,2916294,
2010-03-12 12:03:00,ITC,85.67,86.8,85.08,86.15,5583817,
2010-03-15 12:03:00,ITC,86.12,87.23,86.12,86.45,5119003,
2010-03-16 12:03:00,ITC,86.73,86.98,84.75,86.6,2493412,
2010-03-17 12:03:00,ITC,86.6,88.13,86.22,87.62,4045785,
2010-03-18 12:03:00,ITC,87.67,88.23,86.23,87.08,2163901,
2010-03-19 12:03:00,ITC,86.83,87.75,86.38,87.1,2575640,
2010-03-22 12:03:00,ITC,86.45,87.3,85.78,87.2,2969680,
2010-03-23 12:03:00,ITC,86.83,87.57,85.4,86.98,3330605,
2010-03-25 12:03:00,ITC,87.02,88.82,86.6,88.25,5745771,
2010-03-26 12:03:00,ITC,88.25,88.67,87.37,88.13,2960280,
2010-03-29 12:03:00,ITC,88.13,90.33,87.42,89.73,4217861,
2010-03-30 12:03:00,ITC,89.77,90.97,89.23,89.62,2664603,
2010-03-31 12:03:00,ITC,89.93,89.93,87.2,87.68,5018117,
2010-04-01 12:04:00,ITC,88.0,88.95,87.7,88.0,1886747,
2010-04-05 12:04:00,ITC,89.23,89.57,88.03,88.27,2445140,
2010-04-06 12:04:00,ITC,88.27,89.2,87.7,88.75,3224970,
2010-04-07 12:04:00,ITC,88.45,90.0,87.83,89.82,2910180,
2010-04-08 12:04:00,ITC,89.33,89.65,88.78,89.25,2086042,
2010-04-09 12:04:00,ITC,89.27,90.17,88.57,89.75,2800852,
2010-04-12 12:04:00,ITC,90.0,90.9,89.12,90.47,2621751,
2010-04-13 12:04:00,ITC,91.2,91.23,89.37,89.53,1609282,
2010-04-16 12:04:00,ITC,86.7,89.95,86.7,89.7,2955418,
2010-04-19 12:04:00,ITC,89.33,91.27,87.45,88.28,2620081,
2010-04-20 12:04:00,ITC,88.83,88.9,87.0,87.73,2776943,
2010-04-21 12:04:00,ITC,88.0,88.32,87.12,87.48,1826536,
2010-04-22 12:04:00,ITC,87.17,89.12,86.83,88.08,4391169,
2010-04-23 12:04:00,ITC,88.23,89.32,87.37,88.98,1664717,
2010-04-26 12:04:00,ITC,88.67,90.3,88.37,89.13,1790694,
2010-04-27 12:04:00,ITC,89.33,90.28,88.52,89.85,1957813,
2010-04-28 12:04:00,ITC,89.03,90.8,88.62,89.98,3517003,
2010-04-29 12:04:00,ITC,90.47,90.47,88.5,89.05,3395731,
2010-04-30 12:04:00,ITC,89.33,89.57,88.33,88.62,2286848,
2010-05-03 12:05:00,ITC,87.08,88.87,87.08,88.32,2338103,
2010-05-04 12:05:00,ITC,87.4,88.67,87.0,87.43,1577086,
2010-05-05 12:05:00,ITC,83.33,87.87,83.33,87.38,2307532,
2010-05-06 12:05:00,ITC,81.67,87.5,81.67,86.35,1938011,
2010-05-07 12:05:00,ITC,84.67,86.98,84.53,86.38,2896942,
2010-05-10 12:05:00,ITC,84.97,87.65,84.97,87.27,4963560,
2010-05-11 12:05:00,ITC,85.85,87.77,85.85,86.52,3313381,
2010-05-12 12:05:00,ITC,84.17,88.63,84.17,88.35,1778963,
2010-05-13 12:05:00,ITC,89.0,89.33,87.92,88.83,2023310,
2010-05-14 12:05:00,ITC,87.67,91.0,87.67,89.38,2968696,
2010-05-17 12:05:00,ITC,88.67,89.63,88.33,88.72,2388741,
2010-05-18 12:05:00,ITC,88.35,89.83,87.12,89.55,1592469,
2010-05-19 12:05:00,ITC,89.48,89.48,86.0,86.4,2977897,
2010-05-20 12:05:00,ITC,86.12,88.45,85.67,87.47,4211398,
2010-05-24 12:05:00,ITC,91.67,91.83,88.52,89.35,4987730,
2010-05-25 12:05:00,ITC,89.17,90.07,86.23,86.83,7041046,
2010-05-26 12:05:00,ITC,87.35,89.98,87.03,89.7,3697419,
2010-05-27 12:05:00,ITC,89.83,92.87,89.1,91.97,9726751,
2010-05-28 12:05:00,ITC,92.67,94.67,91.97,94.4,5618725,
2010-05-31 12:05:00,ITC,95.9,95.9,93.07,94.4,3826134,
2010-06-01 12:06:00,ITC,95.13,95.32,93.83,94.33,3191773,
2010-06-02 12:06:00,ITC,94.67,94.93,93.08,93.77,2704797,
2010-06-03 12:06:00,ITC,94.33,95.62,94.17,95.17,2489752,
2010-06-04 12:06:00,ITC,96.28,97.27,92.33,96.95,3188813,
2010-06-07 12:06:00,ITC,95.0,96.37,95.0,95.9,2198836,
2010-06-08 12:06:00,ITC,96.9,97.53,95.52,96.57,3059245,
2010-06-09 12:06:00,ITC,95.8,95.8,92.03,92.53,3964029,
2010-06-10 12:06:00,ITC,93.0,93.92,91.73,93.35,3522663,
2010-06-11 12:06:00,ITC,96.33,96.33,93.55,93.85,2820966,
2010-06-14 12:06:00,ITC,94.23,95.6,93.87,95.37,2806420,
2010-06-15 12:06:00,ITC,95.33,97.57,95.03,97.23,3126009,
2010-06-16 12:06:00,ITC,98.23,98.23,96.05,96.97,3940914,
2010-06-17 12:06:00,ITC,97.0,98.97,96.38,97.97,4442412,
2010-06-18 12:06:00,ITC,98.33,99.77,97.57,98.3,5196746,
2010-06-21 12:06:00,ITC,98.9,100.0,97.33,99.7,4631354,
2010-06-22 12:06:00,ITC,99.33,101.25,99.08,100.6,3127754,
2010-06-23 12:06:00,ITC,100.0,101.4,99.75,100.95,3094124,
2010-06-24 12:06:00,ITC,101.0,102.63,100.03,101.92,6904721,
2010-06-25 12:06:00,ITC,101.88,102.63,100.07,100.48,2633022,
2010-06-28 12:06:00,ITC,100.33,101.17,99.0,99.22,2150891,
2010-06-30 12:06:00,ITC,97.67,102.07,97.67,101.82,4617332,
2010-07-01 12:07:00,ITC,101.6,101.6,100.08,101.0,1704951,
2010-07-02 12:07:00,ITC,101.67,101.98,100.6,100.85,1395862,
2010-07-05 12:07:00,ITC,100.8,101.5,100.0,100.72,1433119,
2010-07-06 12:07:00,ITC,100.73,101.1,100.37,100.97,1512395,
2010-07-07 12:07:00,ITC,101.03,101.15,100.0,100.67,2013487,
2010-07-08 12:07:00,ITC,101.33,101.78,100.63,101.05,1864509,
2010-07-09 12:07:00,ITC,101.05,101.6,99.75,100.12,1989710,
2010-07-12 12:07:00,ITC,100.67,100.67,99.77,99.98,2325594,
2010-07-13 12:07:00,ITC,99.98,100.47,98.43,99.7,4677628,
2010-07-14 12:07:00,ITC,100.05,100.72,99.22,99.5,4636889,
2010-07-15 12:07:00,ITC,99.5,100.33,99.42,100.03,3056905,
2010-07-16 12:07:00,ITC,100.17,100.18,98.87,99.45,3855349,
2010-07-19 12:07:00,ITC,99.13,99.98,96.67,97.12,3262949,
2010-07-20 12:07:00,ITC,97.33,97.8,96.7,97.15,1433917,
2010-07-21 12:07:00,ITC,97.62,98.67,96.95,97.45,3854795,
2010-07-22 12:07:00,ITC,88.8,99.52,88.8,99.23,7264178,
2010-07-23 12:07:00,ITC,100.0,100.9,99.42,100.55,6549108,
2010-07-26 12:07:00,ITC,100.67,101.07,99.98,100.9,2263751,
2010-07-27 12:07:00,ITC,102.33,102.33,101.0,101.42,1788042,
2010-07-29 12:07:00,ITC,102.33,103.97,102.02,103.37,3880640,
2010-07-30 12:07:00,ITC,103.25,103.95,102.0,102.92,3696763,
2010-08-02 12:08:00,ITC,103.03,104.48,103.0,104.27,5554310,
2010-08-03 12:08:00,ITC,105.8,105.8,102.5,102.93,5645411,
2010-08-04 12:08:00,ITC,102.67,104.67,101.03,103.53,5409603,
2010-08-05 12:08:00,ITC,103.8,104.8,102.9,103.87,3978747,
2010-08-06 12:08:00,ITC,104.0,106.67,103.87,105.83,3986597,
2010-08-09 12:08:00,ITC,106.0,106.8,105.27,105.97,2664676,
2010-08-10 12:08:00,ITC,106.3,106.3,103.9,104.83,4740900,
2010-08-11 12:08:00,ITC,104.0,104.67,102.9,103.3,3262755,
2010-08-12 12:08:00,ITC,101.67,103.9,101.37,101.97,4857708,
2010-08-13 12:08:00,ITC,102.0,104.67,101.97,104.17,4813496,
2010-08-16 12:08:00,ITC,105.07,106.0,104.0,105.5,2908717,
2010-08-17 12:08:00,ITC,106.0,106.87,104.5,106.37,5525480,
2010-08-18 12:08:00,ITC,107.67,108.67,106.03,108.33,8211065,
2010-08-19 12:08:00,ITC,108.33,110.87,108.33,110.2,8309779,
2010-08-20 12:08:00,ITC,110.07,110.33,108.03,108.47,5938410,
2010-08-23 12:08:00,ITC,108.0,108.47,106.07,106.33,3806268,
2010-08-24 12:08:00,ITC,106.37,107.53,105.73,106.57,3463036,
2010-08-25 12:08:00,ITC,106.6,107.5,106.57,107.0,4403129,
