datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,ITDCEM,19.81,21.1,19.8,20.85,2652,
2010-01-05 12:01:00,ITDCEM,20.6,21.1,20.6,21.04,2069,
2010-01-06 12:01:00,ITDCEM,21.25,21.26,20.61,20.96,1911,
2010-01-07 12:01:00,ITDCEM,20.76,21.12,20.75,21.0,930,
2010-01-08 12:01:00,ITDCEM,21.2,22.4,21.2,22.24,3558,
2010-01-11 12:01:00,ITDCEM,21.23,22.99,21.23,21.61,2947,
2010-01-12 12:01:00,ITDCEM,21.4,22.19,21.31,21.4,3198,
2010-01-13 12:01:00,ITDCEM,21.21,21.85,21.04,21.53,694,
2010-01-14 12:01:00,ITDCEM,22.53,22.53,21.22,21.39,1517,
2010-01-15 12:01:00,ITDCEM,21.84,23.98,21.5,23.49,9761,
2010-01-18 12:01:00,ITDCEM,24.3,24.5,23.2,23.79,3964,
2010-01-19 12:01:00,ITDCEM,24.0,24.3,23.35,23.6,1693,
2010-01-20 12:01:00,ITDCEM,23.05,23.5,22.12,22.4,2017,
2010-01-21 12:01:00,ITDCEM,21.5,23.2,21.5,21.73,3133,
2010-01-22 12:01:00,ITDCEM,21.5,21.6,20.7,21.36,1333,
2010-01-25 12:01:00,ITDCEM,21.3,21.49,21.06,21.26,1012,
2010-01-27 12:01:00,ITDCEM,21.2,21.6,19.61,20.08,1163,
2010-01-28 12:01:00,ITDCEM,20.25,20.84,19.21,19.61,2466,
2010-01-29 12:01:00,ITDCEM,19.26,20.3,19.26,19.86,544,
2010-02-01 12:02:00,ITDCEM,20.35,20.86,20.1,20.11,1629,
2010-02-02 12:02:00,ITDCEM,21.99,21.99,19.51,19.91,1590,
2010-02-04 12:02:00,ITDCEM,19.53,20.17,19.53,19.8,1304,
2010-02-05 12:02:00,ITDCEM,19.5,19.5,18.7,18.95,1477,
2010-02-06 12:02:00,ITDCEM,18.9,18.9,18.8,18.8,345,
2010-02-08 12:02:00,ITDCEM,19.8,19.8,18.4,18.79,2247,
2010-02-09 12:02:00,ITDCEM,18.51,18.94,18.51,18.94,391,
2010-02-10 12:02:00,ITDCEM,19.0,19.1,18.8,19.0,578,
2010-02-11 12:02:00,ITDCEM,18.8,19.0,18.8,18.99,1329,
2010-02-15 12:02:00,ITDCEM,18.54,19.65,18.54,19.56,1159,
2010-02-16 12:02:00,ITDCEM,19.2,19.79,19.2,19.53,160,
2010-02-17 12:02:00,ITDCEM,19.0,19.97,19.0,19.4,585,
2010-02-18 12:02:00,ITDCEM,19.1,19.7,18.91,19.29,798,
2010-02-19 12:02:00,ITDCEM,19.02,19.29,18.9,19.22,422,
2010-02-22 12:02:00,ITDCEM,18.9,19.2,18.84,19.11,8882,
2010-02-23 12:02:00,ITDCEM,19.0,19.0,18.5,18.55,215,
2010-02-24 12:02:00,ITDCEM,18.4,18.6,18.3,18.3,370,
2010-02-25 12:02:00,ITDCEM,19.2,19.2,18.24,18.52,155,
2010-02-26 12:02:00,ITDCEM,18.52,19.1,18.52,18.8,385,
2010-03-02 12:03:00,ITDCEM,19.79,22.4,19.79,21.17,14167,
2010-03-03 12:03:00,ITDCEM,21.5,21.85,20.3,21.69,5845,
2010-03-04 12:03:00,ITDCEM,21.21,23.0,21.21,22.15,22140,
2010-03-05 12:03:00,ITDCEM,22.0,22.0,20.42,20.58,29494,
2010-03-08 12:03:00,ITDCEM,21.5,21.5,20.1,20.52,5497,
2010-03-09 12:03:00,ITDCEM,20.6,20.7,20.29,20.32,53337,
