datetime,stock_code,open,high,low,close,volume,open_interest
2010-12-10 12:12:00,JAMAUT,14.36,14.36,13.67,14.01,3878,
2010-12-13 12:12:00,JAMAUT,14.25,14.3,13.9,13.91,1090,
2010-12-14 12:12:00,JAMAUT,13.95,14.15,13.9,13.93,1320,
2010-12-15 12:12:00,JAMAUT,14.59,14.97,13.9,13.93,651,
2010-12-16 12:12:00,JAMAUT,13.92,14.02,13.9,13.91,645,
2010-12-20 12:12:00,JAMAUT,13.91,14.1,13.9,14.09,310,
2010-12-21 12:12:00,JAMAUT,13.9,16.8,13.9,13.91,3290,
2010-12-22 12:12:00,JAMAUT,15.0,15.0,13.91,14.1,707,
2010-12-23 12:12:00,JAMAUT,14.1,14.1,13.3,13.42,462,
2010-12-24 12:12:00,JAMAUT,13.99,14.3,13.6,14.01,2025,
2010-12-27 12:12:00,JAMAUT,14.0,14.35,14.0,14.03,1089,
2010-12-28 12:12:00,JAMAUT,14.0,14.24,14.0,14.0,1373,
2010-12-29 12:12:00,JAMAUT,14.01,14.18,14.0,14.18,175,
2010-12-30 12:12:00,JAMAUT,14.92,14.92,13.9,14.0,2782,
2010-12-31 12:12:00,JAMAUT,14.0,14.0,14.0,14.0,1553,
2011-01-03 12:01:00,JAMAUT,14.02,14.7,14.0,14.36,1145,
2011-01-04 12:01:00,JAMAUT,14.5,14.8,14.11,14.14,2141,
2011-01-05 12:01:00,JAMAUT,14.7,15.99,14.7,15.37,77418,
2011-01-06 12:01:00,JAMAUT,15.51,15.6,14.75,15.26,10718,
2011-01-07 12:01:00,JAMAUT,15.0,15.0,14.25,14.41,4003,
2011-01-10 12:01:00,JAMAUT,14.25,14.4,14.0,14.13,1921,
2011-01-11 12:01:00,JAMAUT,14.0,14.48,14.0,14.01,1239,
2011-01-12 12:01:00,JAMAUT,14.0,14.49,14.0,14.14,2111,
2011-01-13 12:01:00,JAMAUT,15.4,15.4,14.0,14.1,1575,
2011-01-14 12:01:00,JAMAUT,14.03,14.25,14.0,14.07,4064,
2011-01-17 12:01:00,JAMAUT,14.0,14.2,14.0,14.0,4172,
2011-01-18 12:01:00,JAMAUT,14.1,14.1,14.0,14.0,5873,
2011-01-19 12:01:00,JAMAUT,14.0,14.23,14.0,14.18,5170,
2011-01-21 12:01:00,JAMAUT,14.2,14.3,14.2,14.21,1475,
2011-01-24 12:01:00,JAMAUT,14.03,14.55,14.0,14.21,2160,
2011-01-25 12:01:00,JAMAUT,14.02,14.1,14.0,14.1,3441,
2011-01-27 12:01:00,JAMAUT,14.41,14.42,14.1,14.28,1276,
2011-01-28 12:01:00,JAMAUT,14.28,14.28,14.0,14.01,11626,
2011-01-31 12:01:00,JAMAUT,14.0,14.3,14.0,14.01,7920,
2011-02-01 12:02:00,JAMAUT,14.17,14.5,14.01,14.19,3633,
2011-02-03 12:02:00,JAMAUT,14.26,14.48,14.1,14.43,520,
2011-02-04 12:02:00,JAMAUT,14.51,15.1,14.0,14.05,12479,
2011-02-07 12:02:00,JAMAUT,14.02,14.1,14.0,14.01,1712,
2011-02-08 12:02:00,JAMAUT,14.01,14.1,14.0,14.0,2533,
2011-02-09 12:02:00,JAMAUT,14.0,14.3,14.0,14.01,5242,
2011-02-10 12:02:00,JAMAUT,14.01,14.1,14.0,14.0,2689,
2011-02-11 12:02:00,JAMAUT,14.13,14.14,14.0,14.0,2428,
2011-02-14 12:02:00,JAMAUT,14.11,14.2,14.0,14.01,1688,
2011-02-15 12:02:00,JAMAUT,14.02,14.07,14.01,14.03,661,
2011-02-16 12:02:00,JAMAUT,14.01,14.01,14.0,14.01,604,
2011-02-17 12:02:00,JAMAUT,14.01,14.18,14.0,14.05,1671,
2011-02-18 12:02:00,JAMAUT,14.28,14.28,14.0,14.0,913,
2011-02-21 12:02:00,JAMAUT,14.01,14.2,13.81,13.82,223,
2011-02-22 12:02:00,JAMAUT,13.61,14.0,13.55,13.64,404,
2011-02-23 12:02:00,JAMAUT,13.51,13.52,13.51,13.52,202,
2011-02-24 12:02:00,JAMAUT,13.5,13.5,12.81,13.0,1278,
2011-02-25 12:02:00,JAMAUT,12.81,13.0,12.21,12.35,497,
2011-02-28 12:02:00,JAMAUT,13.78,14.0,13.2,13.86,2669,
2011-03-01 12:03:00,JAMAUT,14.89,14.89,12.56,13.27,2434,
2011-03-03 12:03:00,JAMAUT,13.85,13.85,12.87,13.0,406,
2011-03-04 12:03:00,JAMAUT,12.71,13.4,12.71,13.1,543,
2011-03-07 12:03:00,JAMAUT,13.0,13.45,13.0,13.39,1736,
2011-03-08 12:03:00,JAMAUT,14.05,14.05,13.2,13.49,329,
2011-03-09 12:03:00,JAMAUT,13.02,13.84,13.01,13.01,678,
2011-03-10 12:03:00,JAMAUT,14.5,14.55,13.0,13.04,8548,
2011-03-11 12:03:00,JAMAUT,13.01,14.28,13.0,13.02,4864,
2011-03-14 12:03:00,JAMAUT,13.06,13.6,13.0,13.05,1014,
2011-03-15 12:03:00,JAMAUT,13.45,13.45,13.03,13.1,485,
2011-03-16 12:03:00,JAMAUT,13.19,13.2,13.02,13.2,1104,
2011-03-17 12:03:00,JAMAUT,13.01,13.4,13.0,13.13,511,
2011-03-18 12:03:00,JAMAUT,13.02,13.3,13.01,13.11,223,
2011-03-21 12:03:00,JAMAUT,13.4,13.45,13.0,13.13,1195,
2011-03-22 12:03:00,JAMAUT,13.2,13.49,13.0,13.01,4627,
2011-03-23 12:03:00,JAMAUT,13.03,13.28,13.0,13.1,1590,
2011-03-24 12:03:00,JAMAUT,13.01,13.2,13.01,13.2,1300,
2011-03-25 12:03:00,JAMAUT,13.12,13.45,13.12,13.3,812,
2011-03-28 12:03:00,JAMAUT,13.35,13.35,13.05,13.1,1725,
2011-03-29 12:03:00,JAMAUT,13.16,13.2,13.0,13.05,9215,
2011-03-30 12:03:00,JAMAUT,13.1,13.2,13.1,13.2,398,
2011-03-31 12:03:00,JAMAUT,13.2,13.3,13.1,13.3,5221,
2011-04-01 12:04:00,JAMAUT,13.25,13.25,13.2,13.2,300,
