datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,JAMKAS,58.6,58.6,57.23,57.81,12916,
2010-01-05 12:01:00,JAMKAS,58.4,59.49,58.35,58.81,33878,
2010-01-06 12:01:00,JAMKAS,59.45,60.0,58.7,59.58,21308,
2010-01-07 12:01:00,JAMKAS,59.21,59.77,58.9,59.27,21259,
2010-01-08 12:01:00,JAMKAS,59.11,59.77,57.81,58.06,15689,
2010-01-11 12:01:00,JAMKAS,59.2,60.9,58.75,59.65,23535,
2010-01-12 12:01:00,JAMKAS,59.64,60.3,58.61,58.94,19211,
2010-01-13 12:01:00,JAMKAS,58.2,59.02,57.56,57.98,21922,
2010-01-14 12:01:00,JAMKAS,59.8,59.8,57.2,57.54,15930,
2010-01-15 12:01:00,JAMKAS,58.48,59.5,57.0,58.47,43420,
2010-01-18 12:01:00,JAMKAS,57.7,59.44,57.7,58.57,26945,
2010-01-19 12:01:00,JAMKAS,59.5,59.5,58.5,58.7,20635,
2010-01-20 12:01:00,JAMKAS,59.79,59.79,58.5,59.05,14692,
2010-01-21 12:01:00,JAMKAS,59.77,59.77,57.33,57.54,9169,
2010-01-22 12:01:00,JAMKAS,57.1,58.0,55.7,56.8,29645,
2010-01-25 12:01:00,JAMKAS,56.7,57.23,55.51,55.96,27022,
2010-01-27 12:01:00,JAMKAS,56.98,56.98,54.2,54.89,125413,
2010-01-28 12:01:00,JAMKAS,55.1,58.6,54.2,57.33,40562,
2010-01-29 12:01:00,JAMKAS,55.51,59.58,54.98,58.98,123359,
2010-02-01 12:02:00,JAMKAS,59.6,62.99,58.3,60.33,71958,
2010-02-02 12:02:00,JAMKAS,60.33,62.1,59.0,59.16,24986,
2010-02-04 12:02:00,JAMKAS,60.2,60.33,58.7,59.97,166534,
2010-02-05 12:02:00,JAMKAS,58.81,59.5,58.0,58.89,62110,
2010-02-06 12:02:00,JAMKAS,59.5,59.7,58.81,59.17,44701,
2010-02-08 12:02:00,JAMKAS,58.53,61.2,58.53,60.05,153165,
2010-02-09 12:02:00,JAMKAS,59.4,61.7,59.4,61.57,35030,
2010-02-10 12:02:00,JAMKAS,62.2,62.66,61.5,62.22,36991,
2010-02-11 12:02:00,JAMKAS,61.21,62.27,61.0,61.5,24237,
2010-02-15 12:02:00,JAMKAS,62.1,62.5,60.56,60.83,7722,
2010-02-16 12:02:00,JAMKAS,62.3,62.3,60.0,60.47,24264,
2010-02-17 12:02:00,JAMKAS,61.7,61.98,60.66,61.23,27158,
2010-02-18 12:02:00,JAMKAS,62.5,62.5,60.81,61.36,11495,
2010-02-19 12:02:00,JAMKAS,60.45,60.98,59.73,60.33,20385,
2010-02-22 12:02:00,JAMKAS,61.49,61.49,60.1,60.11,4195,
2010-02-23 12:02:00,JAMKAS,60.01,60.8,60.0,60.08,5158,
2010-02-24 12:02:00,JAMKAS,59.0,60.42,58.56,59.97,8346,
2010-02-25 12:02:00,JAMKAS,60.98,60.98,59.63,60.28,10789,
2010-02-26 12:02:00,JAMKAS,60.7,62.5,60.07,62.2,20198,
2010-03-02 12:03:00,JAMKAS,62.9,67.0,62.3,65.4,79280,
2010-03-03 12:03:00,JAMKAS,66.6,67.0,65.11,66.08,119830,
2010-03-04 12:03:00,JAMKAS,67.2,67.2,64.01,65.25,33597,
2010-03-05 12:03:00,JAMKAS,66.0,66.0,64.14,64.79,24776,
2010-03-08 12:03:00,JAMKAS,67.0,67.0,64.8,64.95,21951,
2010-03-09 12:03:00,JAMKAS,67.0,67.0,64.24,64.69,11286,
2010-03-10 12:03:00,JAMKAS,67.9,67.9,64.3,64.6,15461,
2010-03-11 12:03:00,JAMKAS,65.0,65.19,64.41,64.99,152166,
2010-03-12 12:03:00,JAMKAS,66.0,66.0,64.6,65.0,21538,
2010-03-15 12:03:00,JAMKAS,64.9,66.2,64.9,65.45,11495,
2010-03-16 12:03:00,JAMKAS,65.5,65.99,64.4,65.19,53581,
2010-03-17 12:03:00,JAMKAS,65.28,65.99,65.05,65.57,11722,
2010-03-18 12:03:00,JAMKAS,66.5,66.5,65.2,65.86,6901,
2010-03-19 12:03:00,JAMKAS,66.0,66.8,65.45,66.17,8619,
2010-03-22 12:03:00,JAMKAS,65.4,67.49,65.4,67.01,15657,
2010-03-23 12:03:00,JAMKAS,66.99,67.6,66.3,66.52,6810,
2010-03-25 12:03:00,JAMKAS,66.5,67.4,65.4,65.88,32930,
2010-03-26 12:03:00,JAMKAS,66.2,67.5,65.61,66.25,6300,
2010-03-29 12:03:00,JAMKAS,64.66,67.5,64.66,66.4,44898,
2010-03-30 12:03:00,JAMKAS,66.21,66.98,65.5,65.94,32754,
2010-03-31 12:03:00,JAMKAS,66.9,69.75,66.2,68.17,43296,
2010-04-01 12:04:00,JAMKAS,68.1,68.4,66.52,66.99,27541,
2010-04-05 12:04:00,JAMKAS,67.4,69.3,61.97,68.0,25363,
2010-04-06 12:04:00,JAMKAS,69.48,70.7,68.02,70.17,54356,
2010-04-07 12:04:00,JAMKAS,70.7,70.7,68.6,69.33,11101,
2010-04-08 12:04:00,JAMKAS,67.36,69.5,67.05,68.41,25948,
2010-04-09 12:04:00,JAMKAS,69.19,69.99,68.03,68.96,11477,
2010-04-12 12:04:00,JAMKAS,68.97,69.3,68.14,68.54,7586,
2010-04-13 12:04:00,JAMKAS,67.3,71.7,66.86,69.59,29311,
2010-04-16 12:04:00,JAMKAS,69.2,69.69,68.31,68.93,25864,
2010-04-19 12:04:00,JAMKAS,67.55,68.6,67.0,67.36,4773,
2010-04-20 12:04:00,JAMKAS,67.0,68.8,67.0,68.45,4973,
2010-04-21 12:04:00,JAMKAS,68.43,69.5,68.0,68.56,14967,
2010-04-22 12:04:00,JAMKAS,69.03,71.7,68.4,69.51,60905,
2010-04-23 12:04:00,JAMKAS,69.36,70.55,69.14,70.01,25989,
