datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,JBCHEM,30.3,30.68,30.0,30.5,105289,
2010-01-05 12:01:00,JBCHEM,30.15,30.9,29.75,29.88,99212,
2010-01-06 12:01:00,JBCHEM,30.03,30.45,29.83,30.0,100269,
2010-01-07 12:01:00,JBCHEM,29.6,30.95,29.6,30.43,96650,
2010-01-08 12:01:00,JBCHEM,30.1,30.85,29.9,30.2,140419,
2010-01-11 12:01:00,JBCHEM,30.5,32.28,30.35,32.08,522682,
2010-01-12 12:01:00,JBCHEM,32.43,32.43,31.03,31.1,226957,
2010-01-13 12:01:00,JBCHEM,30.15,31.6,30.15,30.95,100000,
2010-01-14 12:01:00,JBCHEM,30.6,32.33,30.55,32.08,258791,
2010-01-15 12:01:00,JBCHEM,32.63,32.63,31.63,31.8,133501,
2010-01-18 12:01:00,JBCHEM,31.15,34.6,31.15,33.5,1116894,
2010-01-19 12:01:00,JBCHEM,33.93,33.93,32.53,32.63,158838,
2010-01-20 12:01:00,JBCHEM,32.65,33.4,31.9,32.1,259323,
2010-01-21 12:01:00,JBCHEM,31.63,32.85,31.0,31.28,121829,
2010-01-22 12:01:00,JBCHEM,30.3,31.45,30.0,31.0,111074,
2010-01-25 12:01:00,JBCHEM,31.25,31.25,30.1,30.28,74655,
2010-01-27 12:01:00,JBCHEM,30.5,31.1,28.75,29.73,190033,
2010-01-28 12:01:00,JBCHEM,30.5,31.0,29.6,29.95,114912,
2010-01-29 12:01:00,JBCHEM,29.2,31.0,29.2,30.53,123985,
2010-02-01 12:02:00,JBCHEM,30.75,33.8,30.75,33.25,280176,
2010-02-02 12:02:00,JBCHEM,33.75,33.93,31.8,32.05,132624,
2010-02-04 12:02:00,JBCHEM,32.65,33.65,31.7,31.83,110759,
2010-02-05 12:02:00,JBCHEM,30.6,32.6,30.18,32.2,171585,
2010-02-06 12:02:00,JBCHEM,33.0,33.9,32.1,33.38,74926,
2010-02-08 12:02:00,JBCHEM,34.5,35.15,33.9,34.23,560688,
2010-02-09 12:02:00,JBCHEM,33.55,34.88,33.55,34.03,121178,
2010-02-10 12:02:00,JBCHEM,33.88,35.23,33.75,33.88,183764,
2010-02-11 12:02:00,JBCHEM,34.35,34.6,33.5,33.6,74591,
2010-02-15 12:02:00,JBCHEM,33.9,34.5,32.68,33.05,64589,
2010-02-16 12:02:00,JBCHEM,32.83,33.75,32.25,33.0,85760,
2010-02-17 12:02:00,JBCHEM,33.0,33.73,32.75,32.88,46706,
2010-02-18 12:02:00,JBCHEM,32.88,33.38,32.5,32.8,41256,
2010-02-19 12:02:00,JBCHEM,32.4,32.85,31.9,32.03,59659,
2010-02-22 12:02:00,JBCHEM,32.5,32.73,31.38,31.58,44013,
2010-02-23 12:02:00,JBCHEM,31.3,31.78,30.9,30.98,29957,
2010-02-24 12:02:00,JBCHEM,30.15,31.5,30.15,31.23,22282,
2010-02-25 12:02:00,JBCHEM,30.7,31.5,30.7,30.93,19484,
