datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,JBMAUT,2.34,2.43,2.33,2.42,17467,
2010-01-05 12:01:00,JBMAUT,2.39,2.52,2.39,2.48,32687,
2010-01-06 12:01:00,JBMAUT,2.58,2.58,2.46,2.55,17457,
2010-01-07 12:01:00,JBMAUT,2.58,2.72,2.54,2.7,35804,
2010-01-08 12:01:00,JBMAUT,2.73,2.88,2.67,2.81,24549,
2010-01-11 12:01:00,JBMAUT,2.95,3.29,2.92,3.16,277507,
2010-01-12 12:01:00,JBMAUT,3.16,3.37,3.08,3.18,68796,
2010-01-13 12:01:00,JBMAUT,3.17,3.25,3.12,3.14,33273,
2010-01-14 12:01:00,JBMAUT,3.25,3.28,3.17,3.2,18099,
2010-01-15 12:01:00,JBMAUT,3.28,3.28,3.11,3.12,11261,
2010-01-18 12:01:00,JBMAUT,3.2,3.25,3.02,3.08,30073,
2010-01-19 12:01:00,JBMAUT,3.17,3.17,3.0,3.02,16535,
2010-01-20 12:01:00,JBMAUT,3.07,3.07,2.98,3.01,12850,
2010-01-21 12:01:00,JBMAUT,2.97,2.97,2.88,2.91,6364,
2010-01-22 12:01:00,JBMAUT,2.8,2.95,2.63,2.9,14873,
2010-01-25 12:01:00,JBMAUT,2.83,3.05,2.73,2.98,16982,
2010-01-27 12:01:00,JBMAUT,2.92,3.01,2.79,2.86,6350,
2010-01-28 12:01:00,JBMAUT,2.83,2.88,2.76,2.83,3403,
2010-01-29 12:01:00,JBMAUT,2.75,2.79,2.65,2.78,9134,
2010-02-01 12:02:00,JBMAUT,2.67,2.98,2.67,2.89,6483,
2010-02-02 12:02:00,JBMAUT,3.11,3.11,2.81,2.85,5894,
2010-02-04 12:02:00,JBMAUT,2.93,2.99,2.83,2.88,8876,
2010-02-05 12:02:00,JBMAUT,2.63,2.81,2.63,2.73,2905,
2010-02-06 12:02:00,JBMAUT,2.79,2.89,2.75,2.81,2422,
2010-02-08 12:02:00,JBMAUT,2.83,2.87,2.71,2.8,3967,
2010-02-09 12:02:00,JBMAUT,2.75,2.86,2.68,2.86,3274,
2010-02-10 12:02:00,JBMAUT,2.79,2.9,2.72,2.83,3940,
2010-02-11 12:02:00,JBMAUT,2.76,2.87,2.75,2.77,4024,
2010-02-15 12:02:00,JBMAUT,2.75,2.84,2.73,2.77,3307,
2010-02-16 12:02:00,JBMAUT,2.75,3.15,2.71,2.88,130352,
2010-02-17 12:02:00,JBMAUT,2.9,3.04,2.84,3.0,49400,
2010-02-18 12:02:00,JBMAUT,3.01,3.12,2.96,3.0,30956,
2010-02-19 12:02:00,JBMAUT,2.95,3.03,2.83,2.86,10875,
2010-02-22 12:02:00,JBMAUT,2.92,2.96,2.77,2.78,3767,
2010-02-23 12:02:00,JBMAUT,2.65,2.86,2.65,2.71,8498,
2010-02-24 12:02:00,JBMAUT,2.58,2.7,2.58,2.67,4292,
2010-02-25 12:02:00,JBMAUT,2.54,2.68,2.54,2.59,4582,
2010-02-26 12:02:00,JBMAUT,2.46,2.78,2.46,2.69,9604,
2010-03-02 12:03:00,JBMAUT,2.74,2.74,2.65,2.71,6383,
2010-03-03 12:03:00,JBMAUT,2.72,2.83,2.71,2.81,3795,
2010-03-04 12:03:00,JBMAUT,2.79,2.87,2.74,2.8,4567,
2010-03-05 12:03:00,JBMAUT,2.78,3.27,2.78,3.09,172536,
2010-03-08 12:03:00,JBMAUT,3.11,3.13,3.01,3.03,10006,
2010-03-09 12:03:00,JBMAUT,3.2,3.2,2.93,3.0,9503,
2010-03-10 12:03:00,JBMAUT,3.0,3.07,2.93,3.0,6935,
2010-03-11 12:03:00,JBMAUT,2.8,2.99,2.8,2.92,5949,
2010-03-12 12:03:00,JBMAUT,2.89,3.12,2.88,2.94,18650,
2010-03-15 12:03:00,JBMAUT,2.94,2.96,2.89,2.92,4679,
2010-03-16 12:03:00,JBMAUT,2.92,2.98,2.9,2.93,4424,
2010-03-17 12:03:00,JBMAUT,2.98,2.98,2.89,2.93,3534,
2010-03-18 12:03:00,JBMAUT,2.9,2.94,2.88,2.91,2855,
2010-03-19 12:03:00,JBMAUT,2.9,2.92,2.9,2.9,3481,
2010-03-22 12:03:00,JBMAUT,2.85,2.92,2.76,2.9,2400,
2010-03-23 12:03:00,JBMAUT,2.86,2.94,2.84,2.86,1461,
2010-03-25 12:03:00,JBMAUT,2.83,2.89,2.79,2.83,3717,
2010-03-26 12:03:00,JBMAUT,2.81,2.89,2.8,2.82,4249,
2010-03-29 12:03:00,JBMAUT,2.9,2.91,2.78,2.83,3922,
2010-03-30 12:03:00,JBMAUT,2.84,2.87,2.75,2.84,3670,
2010-03-31 12:03:00,JBMAUT,2.78,2.83,2.76,2.77,1632,
2010-04-01 12:04:00,JBMAUT,2.85,2.88,2.81,2.86,4295,
2010-04-05 12:04:00,JBMAUT,2.95,3.08,2.82,2.94,16651,
2010-04-06 12:04:00,JBMAUT,2.92,3.04,2.92,2.98,11824,
2010-04-07 12:04:00,JBMAUT,3.0,3.08,3.0,3.01,8096,
2010-04-08 12:04:00,JBMAUT,3.0,3.07,2.96,3.01,12123,
2010-04-09 12:04:00,JBMAUT,3.0,3.04,3.0,3.03,4661,
2010-04-12 12:04:00,JBMAUT,3.0,3.12,3.0,3.06,19076,
2010-04-13 12:04:00,JBMAUT,3.04,3.08,2.99,3.04,7648,
2010-04-16 12:04:00,JBMAUT,3.02,3.02,2.95,3.0,4908,
2010-04-19 12:04:00,JBMAUT,2.94,3.06,2.9,2.98,16416,
2010-04-20 12:04:00,JBMAUT,3.02,3.08,2.98,3.01,16500,
2010-04-21 12:04:00,JBMAUT,2.98,3.04,2.98,3.01,8457,
2010-04-22 12:04:00,JBMAUT,3.01,3.04,2.98,3.0,9669,
2010-04-23 12:04:00,JBMAUT,2.98,3.03,2.98,2.99,3956,
2010-04-26 12:04:00,JBMAUT,3.01,3.06,2.99,3.02,1695,
2010-04-27 12:04:00,JBMAUT,3.04,3.14,2.96,3.11,15070,
2010-04-28 12:04:00,JBMAUT,3.0,3.08,2.98,2.99,4973,
2010-04-29 12:04:00,JBMAUT,3.01,3.25,3.0,3.18,19534,
2010-04-30 12:04:00,JBMAUT,3.27,3.27,3.11,3.16,20016,
2010-05-03 12:05:00,JBMAUT,3.13,3.27,3.09,3.25,20808,
2010-05-04 12:05:00,JBMAUT,3.02,3.27,3.02,3.17,9297,
2010-05-05 12:05:00,JBMAUT,3.06,3.44,3.02,3.18,98636,
2010-05-06 12:05:00,JBMAUT,3.19,3.2,3.06,3.08,8818,
2010-05-07 12:05:00,JBMAUT,3.0,3.1,2.96,2.98,6413,
2010-05-10 12:05:00,JBMAUT,3.0,3.08,3.0,3.06,4440,
2010-05-11 12:05:00,JBMAUT,3.01,3.13,3.0,3.01,7102,
2010-05-12 12:05:00,JBMAUT,3.16,3.16,2.99,3.0,2851,
2010-05-13 12:05:00,JBMAUT,3.08,3.11,3.01,3.03,2089,
2010-05-14 12:05:00,JBMAUT,3.08,3.13,3.0,3.03,6445,
2010-05-17 12:05:00,JBMAUT,2.94,3.03,2.94,2.96,2071,
2010-05-18 12:05:00,JBMAUT,3.02,3.12,2.97,2.98,1792,
2010-05-19 12:05:00,JBMAUT,2.96,3.0,2.85,2.88,2479,
2010-05-20 12:05:00,JBMAUT,2.84,2.96,2.8,2.82,1998,
2010-05-24 12:05:00,JBMAUT,2.92,3.12,2.89,2.91,10801,
2010-05-25 12:05:00,JBMAUT,2.92,2.97,2.82,2.85,11812,
2010-05-26 12:05:00,JBMAUT,2.92,2.95,2.86,2.89,3378,
2010-05-27 12:05:00,JBMAUT,2.88,2.95,2.85,2.89,1850,
2010-05-28 12:05:00,JBMAUT,2.99,2.99,2.88,2.91,3285,
2010-05-31 12:05:00,JBMAUT,2.82,2.94,2.82,2.85,6484,
2010-06-01 12:06:00,JBMAUT,2.79,2.85,2.71,2.74,9143,
2010-06-02 12:06:00,JBMAUT,2.9,2.9,2.73,2.74,2538,
2010-06-03 12:06:00,JBMAUT,2.81,2.89,2.79,2.81,4833,
2010-06-04 12:06:00,JBMAUT,2.81,2.83,2.78,2.79,2879,
2010-06-07 12:06:00,JBMAUT,2.73,2.77,2.73,2.74,1532,
2010-06-08 12:06:00,JBMAUT,2.75,2.79,2.75,2.78,554,
2010-06-09 12:06:00,JBMAUT,2.76,2.8,2.69,2.71,1659,
2010-06-10 12:06:00,JBMAUT,2.77,2.81,2.72,2.73,1702,
2010-06-11 12:06:00,JBMAUT,2.79,2.81,2.77,2.77,3745,
2010-06-14 12:06:00,JBMAUT,2.77,2.81,2.74,2.75,8279,
2010-06-15 12:06:00,JBMAUT,2.75,2.79,2.74,2.78,3601,
2010-06-16 12:06:00,JBMAUT,2.79,2.82,2.76,2.78,5172,
2010-06-17 12:06:00,JBMAUT,2.75,2.78,2.65,2.68,16687,
2010-06-18 12:06:00,JBMAUT,2.72,2.72,2.6,2.62,2520,
2010-06-21 12:06:00,JBMAUT,2.68,2.7,2.64,2.69,5581,
2010-06-22 12:06:00,JBMAUT,2.65,2.73,2.65,2.69,2542,
2010-06-23 12:06:00,JBMAUT,2.69,2.79,2.67,2.73,4479,
2010-06-24 12:06:00,JBMAUT,2.9,2.9,2.69,2.72,2753,
2010-06-25 12:06:00,JBMAUT,2.73,2.74,2.69,2.71,1541,
2010-06-28 12:06:00,JBMAUT,2.71,2.72,2.67,2.71,996,
