datetime,stock_code,open,high,low,close,volume,open_interest
2010-11-25 12:11:00,JINWOR,6.78,7.34,5.12,5.45,313614,
2010-11-26 12:11:00,JINWOR,5.3,5.59,4.84,5.18,43689,
2010-11-29 12:11:00,JINWOR,4.8,5.09,4.44,4.52,14678,
2010-11-30 12:11:00,JINWOR,4.4,5.43,4.12,4.83,76489,
2010-12-01 12:12:00,JINWOR,4.86,5.18,4.81,4.91,13075,
2010-12-02 12:12:00,JINWOR,4.92,5.08,4.84,4.89,7831,
2010-12-03 12:12:00,JINWOR,4.84,4.9,4.64,4.67,3353,
2010-12-06 12:12:00,JINWOR,4.7,4.78,4.58,4.65,2831,
2010-12-07 12:12:00,JINWOR,4.57,4.7,4.52,4.54,2178,
2010-12-08 12:12:00,JINWOR,4.54,4.57,4.4,4.5,1823,
2010-12-09 12:12:00,JINWOR,4.42,4.5,3.88,4.14,1315,
2010-12-10 12:12:00,JINWOR,3.94,4.26,3.82,4.19,439,
2010-12-13 12:12:00,JINWOR,4.0,4.4,3.84,4.25,3729,
2010-12-14 12:12:00,JINWOR,4.37,5.0,4.25,4.34,2144,
2010-12-15 12:12:00,JINWOR,4.78,4.78,4.3,4.42,892,
2010-12-16 12:12:00,JINWOR,4.34,4.34,4.26,4.28,347,
2010-12-20 12:12:00,JINWOR,4.36,4.36,4.25,4.26,29,
2010-12-21 12:12:00,JINWOR,4.34,4.5,4.24,4.44,1493,
2010-12-22 12:12:00,JINWOR,4.44,5.3,4.41,5.1,25763,
2010-12-23 12:12:00,JINWOR,4.6,5.5,4.6,4.95,81966,
2010-12-24 12:12:00,JINWOR,4.68,5.94,4.5,5.94,364152,
2010-12-27 12:12:00,JINWOR,6.2,7.12,6.06,6.25,594472,
2010-12-28 12:12:00,JINWOR,6.3,6.48,5.84,6.19,613202,
2010-12-29 12:12:00,JINWOR,6.17,6.81,6.15,6.81,401963,
2010-12-30 12:12:00,JINWOR,7.32,7.32,6.58,6.74,528614,
2010-12-31 12:12:00,JINWOR,6.76,7.04,6.63,6.79,185779,
2011-01-03 12:01:00,JINWOR,6.84,6.96,6.7,6.83,121444,
2011-01-04 12:01:00,JINWOR,6.72,6.9,6.68,6.73,38411,
2011-01-05 12:01:00,JINWOR,6.68,7.18,6.63,6.97,188732,
2011-01-06 12:01:00,JINWOR,7.04,7.15,6.87,6.99,63600,
2011-01-07 12:01:00,JINWOR,7.02,7.02,6.37,6.45,39488,
2011-01-10 12:01:00,JINWOR,6.67,6.7,5.87,5.97,28758,
2011-01-11 12:01:00,JINWOR,5.98,6.32,5.81,5.92,46617,
2011-01-12 12:01:00,JINWOR,6.04,6.13,5.81,5.94,33380,
2011-01-13 12:01:00,JINWOR,5.98,6.14,5.86,5.97,51254,
2011-01-14 12:01:00,JINWOR,5.86,6.04,5.46,5.58,6990,
2011-01-17 12:01:00,JINWOR,5.66,6.14,5.36,5.86,87229,
2011-01-18 12:01:00,JINWOR,5.86,6.08,5.68,5.76,17822,
2011-01-19 12:01:00,JINWOR,5.87,6.04,5.71,5.77,18971,
