datetime,stock_code,open,high,low,close,volume,open_interest
2010-02-08 12:02:00,JUBFOO,16.0,24.09,16.0,22.91,56963373,
2010-02-09 12:02:00,JUBFOO,23.06,25.0,22.16,24.42,24930556,
2010-02-10 12:02:00,JUBFOO,25.2,25.24,23.16,23.5,11395878,
2010-02-11 12:02:00,JUBFOO,23.5,24.0,22.51,23.1,5857957,
2010-02-15 12:02:00,JUBFOO,23.36,23.68,22.55,22.92,3190280,
2010-02-16 12:02:00,JUBFOO,22.91,23.4,22.72,23.03,1730276,
2010-02-17 12:02:00,JUBFOO,23.1,24.58,21.66,24.12,5064800,
2010-02-18 12:02:00,JUBFOO,24.01,24.08,22.7,23.09,2257937,
2010-02-19 12:02:00,JUBFOO,22.5,23.1,22.18,22.69,884811,
2010-02-22 12:02:00,JUBFOO,22.81,23.48,22.77,23.04,689592,
2010-02-23 12:02:00,JUBFOO,23.0,23.17,21.68,21.99,632799,
2010-02-24 12:02:00,JUBFOO,21.54,22.7,21.26,22.19,897190,
2010-02-25 12:02:00,JUBFOO,22.05,22.79,21.9,22.49,491706,
2010-02-26 12:02:00,JUBFOO,22.49,24.09,22.14,22.98,939799,
2010-03-02 12:03:00,JUBFOO,23.1,23.44,22.95,23.34,263072,
2010-03-03 12:03:00,JUBFOO,23.34,24.0,22.91,23.04,343876,
2010-03-04 12:03:00,JUBFOO,23.1,23.7,23.05,23.66,506618,
2010-03-05 12:03:00,JUBFOO,23.79,27.47,23.51,25.83,5978277,
2010-03-08 12:03:00,JUBFOO,26.0,27.99,25.92,27.66,3602510,
2010-03-09 12:03:00,JUBFOO,27.84,31.77,27.3,29.97,11026654,
2010-03-10 12:03:00,JUBFOO,30.0,30.54,28.36,28.59,3941483,
2010-03-11 12:03:00,JUBFOO,28.59,28.84,27.54,27.69,1301774,
2010-03-12 12:03:00,JUBFOO,25.0,29.88,25.0,28.65,6647800,
2010-03-15 12:03:00,JUBFOO,28.48,29.07,27.73,27.96,1416994,
2010-03-16 12:03:00,JUBFOO,25.0,29.48,25.0,28.89,2000501,
2010-03-17 12:03:00,JUBFOO,29.23,29.58,28.69,28.84,1763658,
2010-03-18 12:03:00,JUBFOO,28.83,30.65,28.81,29.47,3185070,
2010-03-19 12:03:00,JUBFOO,29.6,34.99,29.2,34.45,16153905,
2010-03-22 12:03:00,JUBFOO,33.74,36.2,33.53,34.1,7881406,
2010-03-23 12:03:00,JUBFOO,34.39,35.19,32.4,33.07,3272074,
2010-03-25 12:03:00,JUBFOO,33.0,35.1,32.82,33.86,4461242,
2010-03-26 12:03:00,JUBFOO,33.9,34.84,33.27,33.86,2006383,
2010-03-29 12:03:00,JUBFOO,34.8,34.8,30.39,31.65,1866987,
2010-03-30 12:03:00,JUBFOO,31.92,33.07,31.56,31.85,1787666,
2010-03-31 12:03:00,JUBFOO,32.3,32.8,30.83,31.36,1882065,
2010-04-01 12:04:00,JUBFOO,31.6,32.65,31.53,32.09,2591115,
2010-04-05 12:04:00,JUBFOO,32.15,36.97,32.0,36.17,7682249,
2010-04-06 12:04:00,JUBFOO,36.17,36.66,35.04,35.59,2656748,
2010-04-07 12:04:00,JUBFOO,31.61,42.43,31.61,41.62,15222555,
2010-04-08 12:04:00,JUBFOO,40.18,42.0,38.13,38.83,8393944,
2010-04-09 12:04:00,JUBFOO,38.95,39.2,35.11,35.77,5036279,
2010-04-12 12:04:00,JUBFOO,36.0,37.57,35.32,36.09,4133662,
2010-04-13 12:04:00,JUBFOO,36.5,37.09,35.51,36.29,3492807,
2010-04-16 12:04:00,JUBFOO,35.74,35.93,33.47,34.43,2457165,
2010-04-19 12:04:00,JUBFOO,33.51,34.77,32.4,33.61,3741725,
2010-04-20 12:04:00,JUBFOO,33.51,34.5,33.51,33.95,1565887,
2010-04-21 12:04:00,JUBFOO,34.3,35.96,34.01,35.17,4538222,
2010-04-22 12:04:00,JUBFOO,34.0,36.4,33.2,35.74,3076617,
2010-04-23 12:04:00,JUBFOO,36.0,36.35,34.54,35.18,1491912,
2010-04-26 12:04:00,JUBFOO,35.8,35.8,34.93,35.25,1037554,
2010-04-27 12:04:00,JUBFOO,35.25,35.35,34.41,34.73,900233,
2010-04-28 12:04:00,JUBFOO,34.0,34.4,33.2,33.47,830797,
2010-04-29 12:04:00,JUBFOO,33.49,34.67,33.49,34.14,1124138,
2010-04-30 12:04:00,JUBFOO,34.32,34.74,33.83,34.0,610175,
2010-05-03 12:05:00,JUBFOO,34.0,34.01,32.8,33.3,535035,
2010-05-04 12:05:00,JUBFOO,33.4,34.09,32.3,32.55,823330,
2010-05-05 12:05:00,JUBFOO,32.0,34.2,31.27,33.58,1304349,
2010-05-06 12:05:00,JUBFOO,33.7,33.9,32.3,32.47,711911,
2010-05-07 12:05:00,JUBFOO,31.98,32.23,31.25,31.54,560073,
2010-05-10 12:05:00,JUBFOO,32.1,33.0,31.61,32.8,626971,
2010-05-11 12:05:00,JUBFOO,33.3,34.76,32.56,32.76,1651297,
2010-05-12 12:05:00,JUBFOO,33.1,33.34,31.7,31.9,745511,
2010-05-13 12:05:00,JUBFOO,32.2,32.8,31.5,31.73,635112,
2010-05-14 12:05:00,JUBFOO,31.5,31.89,29.6,30.02,840674,
2010-05-17 12:05:00,JUBFOO,29.4,29.5,28.12,28.6,1173247,
2010-05-18 12:05:00,JUBFOO,28.59,29.09,26.75,28.03,3278779,
2010-05-19 12:05:00,JUBFOO,27.9,28.78,26.16,27.13,2047083,
2010-05-20 12:05:00,JUBFOO,27.2,28.05,25.92,26.11,921137,
2010-05-24 12:05:00,JUBFOO,28.45,29.39,27.63,28.11,2300008,
2010-05-25 12:05:00,JUBFOO,27.55,28.21,26.9,27.22,764240,
2010-05-26 12:05:00,JUBFOO,27.73,27.95,26.34,27.17,739159,
2010-05-27 12:05:00,JUBFOO,27.5,28.37,26.93,27.98,769095,
2010-05-28 12:05:00,JUBFOO,28.44,28.88,27.76,28.53,733532,
2010-05-31 12:05:00,JUBFOO,28.4,28.7,27.81,28.09,621367,
2010-06-01 12:06:00,JUBFOO,28.24,28.88,27.52,27.69,707177,
2010-06-02 12:06:00,JUBFOO,27.94,29.0,27.84,28.83,767504,
2010-06-03 12:06:00,JUBFOO,29.1,30.08,28.83,29.22,1389052,
2010-06-04 12:06:00,JUBFOO,29.25,29.29,28.7,28.85,484971,
2010-06-07 12:06:00,JUBFOO,28.28,28.67,27.04,28.36,497450,
2010-06-08 12:06:00,JUBFOO,28.4,28.85,27.82,28.01,380874,
2010-06-09 12:06:00,JUBFOO,28.0,28.5,27.73,28.02,343130,
2010-06-10 12:06:00,JUBFOO,28.18,28.9,28.01,28.69,343259,
2010-06-11 12:06:00,JUBFOO,29.0,29.2,28.01,28.22,291171,
2010-06-14 12:06:00,JUBFOO,28.31,28.85,28.13,28.28,288458,
2010-06-15 12:06:00,JUBFOO,28.49,28.94,28.23,28.55,306753,
2010-06-16 12:06:00,JUBFOO,28.78,30.74,28.35,29.98,2189421,
2010-06-17 12:06:00,JUBFOO,29.98,31.1,29.94,30.66,1528650,
2010-06-18 12:06:00,JUBFOO,30.75,31.45,30.25,30.46,663650,
2010-06-21 12:06:00,JUBFOO,30.76,31.24,30.47,30.66,414722,
2010-06-22 12:06:00,JUBFOO,30.45,30.8,30.14,30.29,501107,
2010-06-23 12:06:00,JUBFOO,30.3,30.94,29.81,30.64,327462,
2010-06-24 12:06:00,JUBFOO,30.79,31.6,30.6,31.08,693890,
2010-06-25 12:06:00,JUBFOO,30.9,31.25,30.3,30.51,321771,
2010-06-28 12:06:00,JUBFOO,30.58,31.0,30.58,30.73,233438,
2010-06-30 12:06:00,JUBFOO,30.46,30.89,30.0,30.49,267014,
2010-07-01 12:07:00,JUBFOO,30.18,30.84,30.18,30.27,180592,
2010-07-02 12:07:00,JUBFOO,30.31,32.7,30.31,32.19,1701698,
2010-07-05 12:07:00,JUBFOO,32.05,34.2,31.61,33.08,2751160,
2010-07-06 12:07:00,JUBFOO,33.21,33.94,32.85,33.19,866800,
2010-07-07 12:07:00,JUBFOO,33.16,33.68,32.69,32.86,435464,
2010-07-08 12:07:00,JUBFOO,34.0,34.0,33.11,33.37,588205,
2010-07-09 12:07:00,JUBFOO,33.66,33.69,32.86,33.17,281865,
2010-07-12 12:07:00,JUBFOO,33.36,34.65,33.22,33.57,1008593,
2010-07-13 12:07:00,JUBFOO,33.6,33.94,33.33,33.74,389095,
2010-07-14 12:07:00,JUBFOO,33.94,34.85,33.6,33.72,911274,
2010-07-15 12:07:00,JUBFOO,33.8,33.99,33.06,33.4,385451,
2010-07-16 12:07:00,JUBFOO,33.56,33.76,33.11,33.41,295534,
2010-07-19 12:07:00,JUBFOO,32.5,33.68,31.12,33.23,220786,
2010-07-20 12:07:00,JUBFOO,33.43,33.97,33.11,33.36,416591,
2010-07-21 12:07:00,JUBFOO,33.49,33.83,33.36,33.69,342511,
2010-07-22 12:07:00,JUBFOO,33.69,34.67,33.5,34.25,794125,
2010-07-23 12:07:00,JUBFOO,34.44,35.3,34.25,34.42,746016,
2010-07-26 12:07:00,JUBFOO,34.6,34.7,31.8,32.82,468827,
2010-07-27 12:07:00,JUBFOO,32.82,33.45,32.47,33.28,207142,
2010-07-29 12:07:00,JUBFOO,33.88,34.04,33.31,33.61,150500,
2010-07-30 12:07:00,JUBFOO,33.6,36.26,33.51,34.87,2783689,
2010-08-02 12:08:00,JUBFOO,35.45,37.48,34.53,36.96,3062660,
2010-08-03 12:08:00,JUBFOO,37.2,42.4,36.33,42.0,9378655,
2010-08-04 12:08:00,JUBFOO,42.0,42.59,39.55,40.47,4541099,
2010-08-05 12:08:00,JUBFOO,39.6,43.04,39.6,41.83,5000347,
2010-08-06 12:08:00,JUBFOO,41.91,42.27,40.74,41.17,1203098,
2010-08-09 12:08:00,JUBFOO,41.5,46.73,40.7,46.13,9645983,
2010-08-10 12:08:00,JUBFOO,46.5,47.83,45.53,46.16,5021916,
2010-08-11 12:08:00,JUBFOO,42.79,46.59,42.79,44.13,1389324,
2010-08-12 12:08:00,JUBFOO,43.2,46.37,43.03,45.37,2773677,
2010-08-13 12:08:00,JUBFOO,45.6,47.2,44.35,45.99,2506568,
2010-08-16 12:08:00,JUBFOO,46.37,46.37,44.42,45.26,916178,
2010-08-17 12:08:00,JUBFOO,45.0,46.56,44.74,44.98,1077252,
2010-08-18 12:08:00,JUBFOO,45.31,47.15,44.8,46.55,2098235,
2010-08-19 12:08:00,JUBFOO,46.75,50.17,46.25,49.69,5461960,
2010-08-20 12:08:00,JUBFOO,49.8,55.37,48.83,53.89,7528952,
2010-08-23 12:08:00,JUBFOO,54.51,55.79,53.31,54.36,5505634,
2010-08-24 12:08:00,JUBFOO,54.5,54.64,52.81,53.13,1511283,
2010-08-25 12:08:00,JUBFOO,53.3,54.55,50.76,51.86,2571344,
2010-08-26 12:08:00,JUBFOO,48.0,52.98,48.0,51.55,1262209,
2010-08-30 12:08:00,JUBFOO,49.5,49.95,46.55,49.14,3650087,
2010-08-31 12:08:00,JUBFOO,48.75,49.87,48.01,48.67,2378879,
2010-09-01 12:09:00,JUBFOO,49.0,51.69,48.81,50.92,2904228,
2010-09-02 12:09:00,JUBFOO,51.62,52.55,51.2,51.55,1655473,
2010-09-03 12:09:00,JUBFOO,51.9,51.99,50.37,50.93,1211592,
2010-09-06 12:09:00,JUBFOO,51.4,52.42,51.2,51.69,1002704,
2010-09-07 12:09:00,JUBFOO,51.99,53.44,51.3,51.8,1898935,
2010-09-08 12:09:00,JUBFOO,51.5,52.59,50.91,51.87,895841,
2010-09-09 12:09:00,JUBFOO,52.2,53.88,51.91,52.98,1704190,
2010-09-13 12:09:00,JUBFOO,53.3,54.44,52.62,53.59,1255613,
2010-09-14 12:09:00,JUBFOO,53.6,54.07,52.52,53.14,748291,
2010-09-15 12:09:00,JUBFOO,53.01,55.9,53.01,53.97,2197618,
