datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,JYOLAB,43.48,44.2,43.0,43.15,42644,
2010-01-05 12:01:00,JYOLAB,43.26,44.63,42.91,43.13,134039,
2010-01-06 12:01:00,JYOLAB,43.48,43.74,42.56,42.74,32809,
2010-01-07 12:01:00,JYOLAB,42.9,43.91,42.25,43.03,90590,
2010-01-08 12:01:00,JYOLAB,43.25,43.96,42.76,42.95,68152,
2010-01-11 12:01:00,JYOLAB,43.25,43.61,42.55,42.69,50218,
2010-01-12 12:01:00,JYOLAB,42.98,43.25,41.38,41.64,72936,
2010-01-13 12:01:00,JYOLAB,41.39,42.45,41.25,42.03,30865,
2010-01-14 12:01:00,JYOLAB,41.5,42.63,41.5,42.3,25293,
2010-01-15 12:01:00,JYOLAB,42.25,42.73,41.5,42.06,25600,
2010-01-18 12:01:00,JYOLAB,42.18,42.66,41.55,42.34,39756,
2010-01-19 12:01:00,JYOLAB,43.0,45.0,42.63,42.79,151122,
2010-01-20 12:01:00,JYOLAB,42.55,44.5,42.25,43.09,105405,
2010-01-21 12:01:00,JYOLAB,43.0,45.0,42.53,42.74,103997,
2010-01-22 12:01:00,JYOLAB,42.0,42.5,41.25,41.63,27470,
2010-01-25 12:01:00,JYOLAB,41.73,42.43,41.28,41.95,25879,
2010-01-27 12:01:00,JYOLAB,41.75,43.75,40.5,40.68,39162,
2010-01-28 12:01:00,JYOLAB,41.0,41.5,39.53,40.25,64425,
2010-01-29 12:01:00,JYOLAB,39.53,40.0,38.25,39.09,19880,
2010-02-01 12:02:00,JYOLAB,39.25,40.35,39.09,40.08,18376,
2010-02-02 12:02:00,JYOLAB,40.98,41.25,39.5,39.78,17676,
2010-02-04 12:02:00,JYOLAB,39.88,42.73,39.88,42.05,78702,
2010-02-05 12:02:00,JYOLAB,40.26,44.25,39.78,40.14,47404,
2010-02-06 12:02:00,JYOLAB,41.13,41.13,39.8,40.18,5358,
2010-02-08 12:02:00,JYOLAB,41.0,41.0,39.65,40.2,12844,
2010-02-09 12:02:00,JYOLAB,40.5,41.96,40.0,41.59,43161,
2010-02-10 12:02:00,JYOLAB,41.71,43.93,41.0,42.8,316090,
2010-02-11 12:02:00,JYOLAB,43.38,43.83,41.75,43.13,33157,
2010-02-15 12:02:00,JYOLAB,43.48,44.36,42.53,42.9,35488,
2010-02-16 12:02:00,JYOLAB,43.35,45.64,43.35,43.7,499440,
2010-02-17 12:02:00,JYOLAB,44.23,45.03,43.53,44.76,127493,
2010-02-18 12:02:00,JYOLAB,44.88,45.0,43.89,44.88,35812,
2010-02-19 12:02:00,JYOLAB,45.13,45.5,44.53,44.93,65902,
2010-02-22 12:02:00,JYOLAB,45.73,46.1,44.78,44.95,68218,
2010-02-23 12:02:00,JYOLAB,44.55,45.98,44.55,45.36,75985,
2010-02-24 12:02:00,JYOLAB,45.5,45.63,44.9,45.14,31732,
2010-02-25 12:02:00,JYOLAB,45.0,45.28,44.01,44.55,22450,
2010-02-26 12:02:00,JYOLAB,45.0,45.49,43.76,44.23,15171,
2010-03-02 12:03:00,JYOLAB,44.21,46.95,44.21,46.58,68667,
2010-03-03 12:03:00,JYOLAB,45.78,47.75,45.78,47.24,41473,
2010-03-04 12:03:00,JYOLAB,47.25,47.75,45.13,45.41,25252,
2010-03-05 12:03:00,JYOLAB,45.98,48.73,45.56,45.99,18843,
2010-03-08 12:03:00,JYOLAB,46.01,51.23,45.64,48.68,792807,
2010-03-09 12:03:00,JYOLAB,48.98,49.0,46.55,47.53,96332,
2010-03-10 12:03:00,JYOLAB,47.0,48.24,45.55,45.68,72556,
2010-03-11 12:03:00,JYOLAB,46.0,47.0,44.33,44.7,159915,
2010-03-12 12:03:00,JYOLAB,45.45,45.45,43.53,43.78,85159,
2010-03-15 12:03:00,JYOLAB,43.5,44.26,42.8,43.93,176178,
2010-03-16 12:03:00,JYOLAB,43.63,45.43,43.11,43.41,41500,
2010-03-17 12:03:00,JYOLAB,44.06,44.5,43.01,43.18,48620,
2010-03-18 12:03:00,JYOLAB,43.33,43.78,42.1,42.5,173908,
2010-03-19 12:03:00,JYOLAB,42.86,43.74,42.75,43.13,45468,
2010-03-22 12:03:00,JYOLAB,42.75,44.39,42.0,42.26,81206,
2010-03-23 12:03:00,JYOLAB,43.21,43.23,41.25,42.14,70521,
2010-03-25 12:03:00,JYOLAB,42.14,43.0,41.33,41.5,120273,
2010-03-26 12:03:00,JYOLAB,42.15,42.38,41.19,41.48,137816,
2010-03-29 12:03:00,JYOLAB,42.0,42.38,41.25,41.3,30331,
2010-03-30 12:03:00,JYOLAB,41.25,42.23,41.25,41.64,21462,
2010-03-31 12:03:00,JYOLAB,41.75,42.95,41.29,42.59,66391,
2010-04-01 12:04:00,JYOLAB,42.13,42.74,41.6,42.05,27620,
2010-04-05 12:04:00,JYOLAB,42.63,43.5,42.63,43.15,30876,
2010-04-06 12:04:00,JYOLAB,43.25,44.5,42.81,43.54,61151,
2010-04-07 12:04:00,JYOLAB,43.25,44.0,43.25,43.64,35473,
2010-04-08 12:04:00,JYOLAB,43.25,43.98,42.89,43.7,22806,
2010-04-09 12:04:00,JYOLAB,44.23,44.5,43.13,43.25,64012,
2010-04-12 12:04:00,JYOLAB,43.88,43.88,43.15,43.25,16129,
2010-04-13 12:04:00,JYOLAB,43.25,43.5,43.0,43.05,10138,
2010-04-16 12:04:00,JYOLAB,42.25,43.21,42.25,42.91,15605,
2010-04-19 12:04:00,JYOLAB,42.38,42.5,40.8,41.43,98481,
2010-04-20 12:04:00,JYOLAB,42.0,42.19,41.05,41.24,152898,
2010-04-21 12:04:00,JYOLAB,41.25,41.94,41.05,41.23,33600,
2010-04-22 12:04:00,JYOLAB,41.3,42.0,41.05,41.45,395633,
2010-04-23 12:04:00,JYOLAB,41.31,41.5,41.0,41.08,54907,
2010-04-26 12:04:00,JYOLAB,41.08,41.63,40.75,41.21,76013,
2010-04-27 12:04:00,JYOLAB,41.63,42.63,41.0,41.2,524588,
2010-04-28 12:04:00,JYOLAB,41.13,41.38,40.5,40.74,302481,
2010-04-29 12:04:00,JYOLAB,40.58,41.69,40.58,41.5,38665,
2010-04-30 12:04:00,JYOLAB,41.98,43.4,41.51,42.88,140398,
2010-05-03 12:05:00,JYOLAB,42.03,44.74,42.03,44.24,169295,
2010-05-04 12:05:00,JYOLAB,43.75,44.5,43.63,44.03,58066,
2010-05-05 12:05:00,JYOLAB,43.75,44.74,43.0,44.48,238564,
2010-05-06 12:05:00,JYOLAB,44.0,44.99,43.25,44.85,61838,
2010-05-07 12:05:00,JYOLAB,44.5,44.75,42.25,44.24,83459,
2010-05-10 12:05:00,JYOLAB,44.13,44.28,43.73,44.1,19794,
2010-05-11 12:05:00,JYOLAB,44.69,44.75,44.01,44.33,32743,
2010-05-12 12:05:00,JYOLAB,44.25,44.85,43.29,43.99,26800,
2010-05-13 12:05:00,JYOLAB,43.83,45.04,43.83,44.34,57153,
