datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,KANNER,35.93,35.93,34.7,34.9,3339,
2010-01-05 12:01:00,KANNER,35.17,35.5,34.54,34.69,2709,
2010-01-06 12:01:00,KANNER,34.83,35.0,34.4,34.58,1413,
2010-01-07 12:01:00,KANNER,34.43,34.5,34.13,34.24,7593,
2010-01-08 12:01:00,KANNER,34.87,34.87,33.84,34.19,3310,
2010-01-11 12:01:00,KANNER,34.33,34.33,33.9,33.97,2012,
2010-01-12 12:01:00,KANNER,33.97,34.0,33.5,33.55,15342,
2010-01-13 12:01:00,KANNER,33.67,37.07,33.5,34.17,8255,
2010-01-14 12:01:00,KANNER,34.17,36.4,34.17,35.87,3662,
2010-01-15 12:01:00,KANNER,36.33,38.9,36.0,37.31,7376,
2010-01-18 12:01:00,KANNER,38.33,39.0,37.67,38.08,4991,
2010-01-19 12:01:00,KANNER,38.63,38.63,36.67,36.94,2362,
2010-01-20 12:01:00,KANNER,36.83,37.65,36.47,36.77,1774,
2010-01-21 12:01:00,KANNER,36.67,37.0,35.2,36.21,2526,
2010-01-22 12:01:00,KANNER,35.0,36.0,34.33,35.37,2479,
2010-01-25 12:01:00,KANNER,34.83,36.31,34.83,35.54,1024,
2010-01-27 12:01:00,KANNER,35.5,36.67,34.01,34.91,3397,
2010-01-28 12:01:00,KANNER,35.07,35.79,34.83,34.96,2930,
2010-01-29 12:01:00,KANNER,33.71,36.0,33.67,34.81,2375,
2010-02-01 12:02:00,KANNER,35.17,35.83,34.66,35.39,1103,
2010-02-02 12:02:00,KANNER,36.0,36.67,34.67,35.38,1043,
2010-02-04 12:02:00,KANNER,34.93,35.0,33.7,34.11,481,
2010-02-05 12:02:00,KANNER,33.0,34.33,33.0,34.03,1724,
2010-02-06 12:02:00,KANNER,34.3,34.67,33.74,33.9,380,
2010-02-08 12:02:00,KANNER,33.93,35.67,33.74,35.57,6336,
2010-02-09 12:02:00,KANNER,35.87,35.93,35.4,35.76,1275,
2010-02-10 12:02:00,KANNER,35.34,37.8,35.34,36.29,4877,
2010-02-11 12:02:00,KANNER,35.89,36.84,35.37,35.73,2412,
2010-02-15 12:02:00,KANNER,35.57,36.17,35.5,35.67,759,
2010-02-16 12:02:00,KANNER,35.34,35.67,34.84,35.32,589,
2010-02-17 12:02:00,KANNER,35.67,36.33,35.1,35.33,1142,
2010-02-18 12:02:00,KANNER,34.7,35.33,34.7,35.0,1192,
2010-02-19 12:02:00,KANNER,34.69,35.33,34.69,35.28,647,
2010-02-22 12:02:00,KANNER,35.01,35.61,34.67,34.69,132,
2010-02-23 12:02:00,KANNER,34.34,35.49,34.34,35.07,16822,
2010-02-24 12:02:00,KANNER,34.87,35.19,34.33,34.68,2604,
2010-02-25 12:02:00,KANNER,34.0,35.17,34.0,35.0,7155,
2010-02-26 12:02:00,KANNER,35.16,35.17,34.87,35.0,2200,
2010-03-02 12:03:00,KANNER,35.17,35.67,35.17,35.27,424,
