datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,KARBAN,100.0,100.91,99.61,100.39,154137,
2010-01-05 12:01:00,KARBAN,100.61,101.12,100.0,100.06,238296,
2010-01-06 12:01:00,KARBAN,100.3,101.09,99.64,100.03,418028,
2010-01-07 12:01:00,KARBAN,100.58,103.42,100.03,101.45,1113710,
2010-01-08 12:01:00,KARBAN,102.09,102.85,101.52,101.79,217897,
2010-01-11 12:01:00,KARBAN,102.36,102.79,99.82,100.45,357103,
2010-01-12 12:01:00,KARBAN,100.73,102.73,100.03,100.24,328620,
2010-01-13 12:01:00,KARBAN,100.36,100.85,98.79,100.48,161522,
2010-01-14 12:01:00,KARBAN,100.88,101.58,100.39,101.03,129715,
2010-01-15 12:01:00,KARBAN,100.7,102.7,100.18,101.79,565986,
2010-01-18 12:01:00,KARBAN,101.82,104.79,100.7,103.79,850009,
2010-01-19 12:01:00,KARBAN,103.79,106.06,103.48,104.36,1368648,
2010-01-20 12:01:00,KARBAN,105.45,105.7,103.33,103.97,237660,
2010-01-21 12:01:00,KARBAN,103.64,106.61,102.18,102.97,4195881,
2010-01-22 12:01:00,KARBAN,101.82,102.85,100.91,102.0,358310,
2010-01-25 12:01:00,KARBAN,101.82,102.39,99.64,100.33,254296,
2010-01-27 12:01:00,KARBAN,100.58,100.88,98.88,100.03,395751,
2010-01-28 12:01:00,KARBAN,102.3,102.3,99.39,100.33,147828,
2010-01-29 12:01:00,KARBAN,98.94,101.82,97.79,100.61,202217,
2010-02-01 12:02:00,KARBAN,99.52,99.52,97.7,98.42,228985,
2010-02-02 12:02:00,KARBAN,99.33,99.7,96.97,97.12,292119,
2010-02-04 12:02:00,KARBAN,95.45,96.36,94.7,95.58,270143,
2010-02-05 12:02:00,KARBAN,94.55,94.55,91.09,91.36,549641,
2010-02-06 12:02:00,KARBAN,92.0,92.58,90.91,92.27,36860,
2010-02-08 12:02:00,KARBAN,92.12,92.12,90.36,91.27,281353,
2010-02-09 12:02:00,KARBAN,90.67,91.36,89.24,89.48,336687,
2010-02-10 12:02:00,KARBAN,90.24,91.39,89.73,90.09,131813,
2010-02-11 12:02:00,KARBAN,90.3,90.91,90.09,90.3,120382,
2010-02-15 12:02:00,KARBAN,90.88,90.91,90.0,90.33,62342,
2010-02-16 12:02:00,KARBAN,90.88,91.27,90.09,90.42,78702,
2010-02-17 12:02:00,KARBAN,91.18,93.45,90.55,91.7,450446,
2010-02-18 12:02:00,KARBAN,91.33,92.7,90.91,91.09,261668,
2010-02-19 12:02:00,KARBAN,89.76,91.27,89.15,90.88,91452,
2010-02-22 12:02:00,KARBAN,90.85,91.48,89.85,90.39,95280,
2010-02-23 12:02:00,KARBAN,90.91,90.91,89.12,89.3,71417,
2010-02-24 12:02:00,KARBAN,89.21,89.94,88.18,88.55,79624,
2010-02-25 12:02:00,KARBAN,89.06,89.33,87.91,88.18,560509,
2010-02-26 12:02:00,KARBAN,88.18,90.42,87.33,88.97,211968,
2010-03-02 12:03:00,KARBAN,89.64,92.73,89.64,92.09,343725,
2010-03-03 12:03:00,KARBAN,92.7,99.97,91.55,97.94,5868240,
2010-03-04 12:03:00,KARBAN,98.36,101.15,97.94,99.24,1166105,
2010-03-05 12:03:00,KARBAN,99.39,100.3,98.21,98.7,273557,
2010-03-08 12:03:00,KARBAN,98.79,100.55,98.79,99.06,302201,
2010-03-09 12:03:00,KARBAN,98.79,99.21,96.42,96.64,151095,
2010-03-10 12:03:00,KARBAN,96.39,98.12,96.0,96.61,169944,
2010-03-11 12:03:00,KARBAN,96.0,96.85,95.55,96.03,80701,
2010-03-12 12:03:00,KARBAN,96.97,100.0,96.45,96.76,308271,
2010-03-15 12:03:00,KARBAN,96.27,96.3,93.64,94.06,206907,
2010-03-16 12:03:00,KARBAN,93.33,95.33,92.18,94.48,410910,
2010-03-17 12:03:00,KARBAN,94.85,96.36,94.55,94.76,195858,
2010-03-18 12:03:00,KARBAN,94.55,96.79,92.73,93.52,195869,
2010-03-19 12:03:00,KARBAN,94.52,94.52,93.33,93.45,103199,
2010-03-22 12:03:00,KARBAN,92.85,93.33,92.09,92.67,209418,
2010-03-23 12:03:00,KARBAN,91.55,93.79,91.55,92.7,135934,
2010-03-25 12:03:00,KARBAN,92.12,93.18,91.82,92.18,93104,
2010-03-26 12:03:00,KARBAN,92.97,93.0,91.82,92.03,180211,
2010-03-29 12:03:00,KARBAN,92.7,93.94,91.88,92.88,156170,
2010-03-30 12:03:00,KARBAN,93.15,96.45,92.88,94.82,379504,
2010-03-31 12:03:00,KARBAN,95.09,95.42,93.48,93.94,92276,
2010-04-01 12:04:00,KARBAN,93.67,98.48,93.39,97.36,261854,
2010-04-05 12:04:00,KARBAN,97.27,98.79,96.91,97.82,185533,
2010-04-06 12:04:00,KARBAN,98.76,101.39,97.24,99.85,849450,
2010-04-07 12:04:00,KARBAN,100.61,101.76,99.45,99.85,475275,
2010-04-08 12:04:00,KARBAN,99.42,101.45,99.42,100.97,591764,
2010-04-09 12:04:00,KARBAN,101.33,106.03,101.33,103.76,1437362,
2010-04-12 12:04:00,KARBAN,104.48,106.61,104.24,105.61,1196936,
2010-04-13 12:04:00,KARBAN,105.45,105.94,104.27,104.88,285621,
2010-04-16 12:04:00,KARBAN,103.03,106.73,100.3,105.3,606154,
2010-04-19 12:04:00,KARBAN,104.09,104.09,101.55,102.67,226097,
2010-04-20 12:04:00,KARBAN,102.88,105.76,102.88,104.76,388189,
2010-04-21 12:04:00,KARBAN,105.52,105.76,103.12,103.91,214786,
2010-04-22 12:04:00,KARBAN,103.03,105.45,103.03,104.06,235093,
2010-04-23 12:04:00,KARBAN,104.24,106.61,103.45,105.33,665720,
2010-04-26 12:04:00,KARBAN,104.85,105.94,103.15,103.39,221972,
2010-04-27 12:04:00,KARBAN,103.61,104.12,102.61,103.24,109377,
2010-04-28 12:04:00,KARBAN,102.03,103.03,101.61,102.27,193224,
2010-04-29 12:04:00,KARBAN,103.3,104.42,102.0,104.15,132384,
2010-04-30 12:04:00,KARBAN,104.3,105.55,104.15,104.79,295117,
2010-05-03 12:05:00,KARBAN,104.21,105.45,103.09,104.76,183430,
2010-05-04 12:05:00,KARBAN,104.91,106.0,102.52,102.94,293814,
2010-05-05 12:05:00,KARBAN,102.42,102.7,99.48,102.12,736657,
2010-05-06 12:05:00,KARBAN,101.82,102.73,100.61,101.52,121251,
2010-05-07 12:05:00,KARBAN,100.0,101.15,99.21,99.94,272267,
2010-05-10 12:05:00,KARBAN,100.61,102.42,100.03,100.97,77901,
2010-05-11 12:05:00,KARBAN,102.91,105.09,101.24,101.79,146547,
2010-05-12 12:05:00,KARBAN,102.42,103.39,101.21,102.48,124415,
2010-05-13 12:05:00,KARBAN,102.42,103.33,101.64,101.82,94341,
2010-05-14 12:05:00,KARBAN,101.79,104.39,101.21,102.7,371760,
2010-05-17 12:05:00,KARBAN,103.09,107.82,101.45,106.88,2533630,
2010-05-18 12:05:00,KARBAN,107.27,113.88,104.24,113.18,6168968,
2010-05-19 12:05:00,KARBAN,113.94,118.18,110.52,111.58,4353360,
2010-05-20 12:05:00,KARBAN,110.91,118.12,108.61,115.85,2295128,
2010-05-24 12:05:00,KARBAN,115.76,118.18,113.21,114.21,1347008,
2010-05-25 12:05:00,KARBAN,112.88,116.18,110.33,111.91,846880,
2010-05-26 12:05:00,KARBAN,112.42,115.03,112.21,113.21,798764,
2010-05-27 12:05:00,KARBAN,112.48,113.33,110.91,112.76,733994,
2010-05-28 12:05:00,KARBAN,113.64,114.42,112.18,112.61,275595,
2010-05-31 12:05:00,KARBAN,112.73,127.7,112.42,124.85,9917192,
2010-06-01 12:06:00,KARBAN,126.06,127.7,118.39,119.76,8243057,
2010-06-02 12:06:00,KARBAN,116.85,122.58,116.85,119.97,2300029,
2010-06-03 12:06:00,KARBAN,123.03,126.03,119.58,122.3,5267819,
2010-06-04 12:06:00,KARBAN,123.64,124.97,119.64,120.58,2492622,
2010-06-07 12:06:00,KARBAN,117.58,120.91,112.21,117.64,2599000,
