datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,KARVYS,45.6,46.82,45.6,45.86,63605,
2010-01-05 12:01:00,KARVYS,46.27,46.69,45.16,45.32,32397,
2010-01-06 12:01:00,KARVYS,45.71,45.82,44.38,44.71,37512,
2010-01-07 12:01:00,KARVYS,44.94,45.16,44.28,44.63,26817,
2010-01-08 12:01:00,KARVYS,44.48,45.09,44.46,44.57,14123,
2010-01-11 12:01:00,KARVYS,44.71,45.38,44.6,45.12,22695,
2010-01-12 12:01:00,KARVYS,45.27,45.27,44.49,44.83,19732,
2010-01-13 12:01:00,KARVYS,43.94,45.83,43.94,45.1,43143,
2010-01-14 12:01:00,KARVYS,44.97,45.59,44.97,45.38,11371,
2010-01-15 12:01:00,KARVYS,45.45,47.61,45.17,46.81,136361,
2010-01-18 12:01:00,KARVYS,46.49,48.02,46.28,47.53,79751,
2010-01-19 12:01:00,KARVYS,47.11,48.45,47.11,48.14,77284,
2010-01-20 12:01:00,KARVYS,48.39,49.17,47.61,47.99,67654,
2010-01-21 12:01:00,KARVYS,48.16,48.72,46.74,48.17,349553,
2010-01-22 12:01:00,KARVYS,47.17,47.83,45.41,47.23,60616,
2010-01-25 12:01:00,KARVYS,46.94,47.5,46.69,47.24,22644,
2010-01-27 12:01:00,KARVYS,46.94,47.49,45.66,45.88,37084,
2010-01-28 12:01:00,KARVYS,46.17,46.83,45.94,46.14,33645,
2010-01-29 12:01:00,KARVYS,46.05,46.71,44.95,45.94,68432,
2010-02-01 12:02:00,KARVYS,45.94,47.05,45.68,46.02,35902,
2010-02-02 12:02:00,KARVYS,46.47,46.49,45.16,45.4,21582,
2010-02-04 12:02:00,KARVYS,45.94,46.27,44.29,44.61,25852,
2010-02-05 12:02:00,KARVYS,44.6,44.6,43.17,44.08,24580,
2010-02-06 12:02:00,KARVYS,45.6,45.6,43.19,44.24,3713,
2010-02-08 12:02:00,KARVYS,44.27,44.7,43.97,44.29,15733,
2010-02-09 12:02:00,KARVYS,44.43,44.92,43.94,44.33,24444,
2010-02-10 12:02:00,KARVYS,44.16,45.05,43.93,44.17,15342,
2010-02-11 12:02:00,KARVYS,44.48,45.77,44.29,45.47,24570,
2010-02-15 12:02:00,KARVYS,45.7,45.88,44.6,44.92,12499,
2010-02-16 12:02:00,KARVYS,45.49,45.49,44.66,44.94,14093,
