datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,KNRCON,12.2,12.2,11.86,11.98,19444,
2010-01-05 12:01:00,KNRCON,12.02,12.17,11.8,11.83,16389,
2010-01-06 12:01:00,KNRCON,12.14,12.15,11.83,12.12,49256,
2010-01-07 12:01:00,KNRCON,12.3,13.33,12.1,13.01,330023,
2010-01-08 12:01:00,KNRCON,13.25,14.06,13.01,13.24,82412,
2010-01-11 12:01:00,KNRCON,13.22,13.7,13.03,13.17,22530,
2010-01-12 12:01:00,KNRCON,13.1,13.27,12.5,12.69,20312,
2010-01-13 12:01:00,KNRCON,12.51,13.0,12.4,12.62,14825,
2010-01-14 12:01:00,KNRCON,12.77,12.95,12.66,12.75,11097,
2010-01-15 12:01:00,KNRCON,12.64,13.0,12.3,12.55,11277,
2010-01-18 12:01:00,KNRCON,12.6,12.78,12.32,12.47,17988,
2010-01-19 12:01:00,KNRCON,12.2,12.8,12.2,12.4,11652,
2010-01-20 12:01:00,KNRCON,12.04,13.39,12.03,12.94,73259,
2010-01-21 12:01:00,KNRCON,12.7,13.09,12.15,12.34,24443,
2010-01-22 12:01:00,KNRCON,12.2,12.37,11.23,12.05,36996,
2010-01-25 12:01:00,KNRCON,11.71,12.39,11.68,12.17,12601,
2010-01-27 12:01:00,KNRCON,11.9,12.1,11.2,11.39,32949,
2010-01-28 12:01:00,KNRCON,12.4,12.47,11.2,11.31,29658,
2010-01-29 12:01:00,KNRCON,11.23,12.7,11.15,12.55,113889,
2010-02-01 12:02:00,KNRCON,12.61,13.58,12.61,13.24,111117,
2010-02-02 12:02:00,KNRCON,13.8,14.35,13.32,13.43,99884,
2010-02-04 12:02:00,KNRCON,13.25,13.9,12.8,12.93,126732,
2010-02-05 12:02:00,KNRCON,12.35,12.7,12.02,12.34,39555,
2010-02-06 12:02:00,KNRCON,12.3,12.85,12.17,12.65,7473,
2010-02-08 12:02:00,KNRCON,12.78,13.25,12.3,12.83,31186,
2010-02-09 12:02:00,KNRCON,12.32,13.2,12.3,12.66,55875,
2010-02-10 12:02:00,KNRCON,12.88,13.17,12.76,12.82,14423,
2010-02-11 12:02:00,KNRCON,12.42,13.03,12.42,12.83,18466,
2010-02-15 12:02:00,KNRCON,12.6,13.13,12.6,12.82,10940,
2010-02-16 12:02:00,KNRCON,12.8,12.9,12.55,12.67,5200,
2010-02-17 12:02:00,KNRCON,12.8,13.07,12.7,12.72,15003,
2010-02-18 12:02:00,KNRCON,12.75,12.85,12.16,12.59,5552,
2010-02-19 12:02:00,KNRCON,12.42,12.49,12.06,12.24,7132,
2010-02-22 12:02:00,KNRCON,12.3,12.84,11.73,11.86,7727,
2010-02-23 12:02:00,KNRCON,11.7,12.4,11.52,11.65,7508,
2010-02-24 12:02:00,KNRCON,11.6,11.81,11.55,11.79,6873,
2010-02-25 12:02:00,KNRCON,11.81,12.05,11.7,11.73,7725,
2010-02-26 12:02:00,KNRCON,12.0,12.44,11.71,12.25,20135,
