datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,KPRMIL,10.29,10.3,9.53,9.83,7968,
2010-01-05 12:01:00,KPRMIL,10.3,10.3,9.8,9.85,1700,
2010-01-06 12:01:00,KPRMIL,9.83,10.09,9.71,9.73,1929,
2010-01-07 12:01:00,KPRMIL,9.9,10.7,9.52,10.53,13853,
2010-01-08 12:01:00,KPRMIL,10.05,10.5,9.83,10.0,6808,
2010-01-11 12:01:00,KPRMIL,10.15,10.25,9.84,9.91,8343,
2010-01-12 12:01:00,KPRMIL,10.01,10.37,10.01,10.03,4689,
2010-01-13 12:01:00,KPRMIL,10.1,10.1,9.72,9.85,7857,
2010-01-14 12:01:00,KPRMIL,10.3,10.3,9.76,9.91,17414,
2010-01-15 12:01:00,KPRMIL,10.0,10.25,9.9,10.14,3164,
2010-01-18 12:01:00,KPRMIL,10.11,10.11,9.81,9.87,1941,
2010-01-19 12:01:00,KPRMIL,9.8,10.0,9.7,9.76,1055,
2010-01-20 12:01:00,KPRMIL,9.9,9.94,9.76,9.84,1693,
2010-01-21 12:01:00,KPRMIL,9.9,9.93,9.31,9.42,6418,
2010-01-22 12:01:00,KPRMIL,9.8,11.27,9.63,9.86,134000,
2010-01-25 12:01:00,KPRMIL,9.98,10.49,9.98,10.1,19018,
2010-01-27 12:01:00,KPRMIL,9.51,10.25,9.04,9.4,8134,
2010-01-28 12:01:00,KPRMIL,9.4,9.55,9.01,9.11,8024,
2010-01-29 12:01:00,KPRMIL,9.01,9.2,8.65,9.12,6351,
2010-02-01 12:02:00,KPRMIL,8.82,10.06,8.82,9.52,18518,
2010-02-02 12:02:00,KPRMIL,9.8,10.5,9.44,9.7,20127,
2010-02-04 12:02:00,KPRMIL,12.8,12.8,10.93,11.13,910645,
2010-02-05 12:02:00,KPRMIL,10.53,11.4,10.21,10.75,85431,
2010-02-06 12:02:00,KPRMIL,10.1,11.3,10.1,11.16,16523,
2010-02-08 12:02:00,KPRMIL,11.1,11.45,10.7,10.9,56445,
2010-02-09 12:02:00,KPRMIL,10.9,10.97,10.73,10.81,17887,
2010-02-10 12:02:00,KPRMIL,10.8,10.9,10.4,10.64,15685,
2010-02-11 12:02:00,KPRMIL,10.64,10.9,10.52,10.8,25843,
2010-02-15 12:02:00,KPRMIL,10.8,10.9,10.65,10.82,7589,
2010-02-16 12:02:00,KPRMIL,10.73,10.88,10.62,10.83,10744,
2010-02-17 12:02:00,KPRMIL,10.78,11.08,10.56,10.72,22049,
2010-02-18 12:02:00,KPRMIL,10.71,11.13,10.61,10.8,7651,
2010-02-19 12:02:00,KPRMIL,10.9,10.91,10.6,10.77,6262,
2010-02-22 12:02:00,KPRMIL,10.66,10.9,10.66,10.8,7717,
2010-02-23 12:02:00,KPRMIL,10.6,10.81,10.4,10.76,10538,
2010-02-24 12:02:00,KPRMIL,10.52,10.8,10.26,10.45,4831,
2010-02-25 12:02:00,KPRMIL,10.26,10.6,10.16,10.24,2207,
2010-02-26 12:02:00,KPRMIL,10.21,10.64,10.21,10.54,5074,
2010-03-02 12:03:00,KPRMIL,10.46,11.1,10.45,10.77,177939,
2010-03-03 12:03:00,KPRMIL,10.75,10.95,10.51,10.88,67020,
2010-03-04 12:03:00,KPRMIL,10.72,11.08,10.72,10.97,16001,
2010-03-05 12:03:00,KPRMIL,11.0,11.0,10.7,10.81,5015,
2010-03-08 12:03:00,KPRMIL,10.9,11.5,10.51,11.05,71943,
2010-03-09 12:03:00,KPRMIL,10.91,11.05,10.6,10.63,8621,
2010-03-10 12:03:00,KPRMIL,10.55,10.89,10.54,10.56,3571,
2010-03-11 12:03:00,KPRMIL,10.55,10.65,10.52,10.59,2152,
2010-03-12 12:03:00,KPRMIL,10.54,10.77,10.48,10.65,9261,
2010-03-15 12:03:00,KPRMIL,10.67,11.0,10.55,10.9,8589,
2010-03-16 12:03:00,KPRMIL,10.87,10.87,10.7,10.71,2680,
2010-03-17 12:03:00,KPRMIL,10.61,10.8,10.5,10.55,7126,
2010-03-18 12:03:00,KPRMIL,10.56,11.15,10.56,10.82,16588,
2010-03-19 12:03:00,KPRMIL,10.8,10.89,10.65,10.75,2512,
2010-03-22 12:03:00,KPRMIL,10.52,11.0,10.52,10.83,14633,
2010-03-23 12:03:00,KPRMIL,10.63,10.98,10.63,10.9,3140,
2010-03-25 12:03:00,KPRMIL,10.71,11.1,10.71,10.94,3415,
2010-03-26 12:03:00,KPRMIL,10.75,11.2,10.75,11.0,14813,
2010-03-29 12:03:00,KPRMIL,10.92,11.2,10.83,11.01,10946,
2010-03-30 12:03:00,KPRMIL,10.96,11.3,10.63,10.74,12465,
2010-03-31 12:03:00,KPRMIL,10.9,11.25,10.83,11.13,7946,
2010-04-01 12:04:00,KPRMIL,11.12,11.7,11.12,11.51,55991,
2010-04-05 12:04:00,KPRMIL,11.79,11.95,11.15,11.22,21156,
2010-04-06 12:04:00,KPRMIL,11.04,11.5,11.04,11.25,8492,
2010-04-07 12:04:00,KPRMIL,11.39,11.65,11.25,11.5,15982,
2010-04-08 12:04:00,KPRMIL,11.5,12.65,11.4,11.79,189662,
2010-04-09 12:04:00,KPRMIL,11.99,12.79,11.99,12.48,208054,
2010-04-12 12:04:00,KPRMIL,12.8,13.6,12.6,12.91,196337,
2010-04-13 12:04:00,KPRMIL,13.13,13.41,12.9,13.17,33790,
2010-04-16 12:04:00,KPRMIL,13.2,13.5,12.92,13.12,47216,
2010-04-19 12:04:00,KPRMIL,13.47,14.25,13.25,13.56,390009,
2010-04-20 12:04:00,KPRMIL,13.62,14.04,13.6,13.84,108927,
2010-04-21 12:04:00,KPRMIL,13.91,14.3,13.65,14.13,179722,
2010-04-22 12:04:00,KPRMIL,13.7,14.05,13.53,13.73,66389,
2010-04-23 12:04:00,KPRMIL,13.8,13.8,13.4,13.63,37398,
2010-04-26 12:04:00,KPRMIL,13.7,14.19,13.69,13.94,24026,
2010-04-27 12:04:00,KPRMIL,14.15,15.57,14.01,15.02,449864,
2010-04-28 12:04:00,KPRMIL,14.95,15.3,14.16,14.3,107835,
2010-04-29 12:04:00,KPRMIL,14.4,15.03,14.16,14.8,34803,
2010-04-30 12:04:00,KPRMIL,15.15,15.55,14.71,14.97,97331,
2010-05-03 12:05:00,KPRMIL,14.6,14.88,14.6,14.67,13541,
2010-05-04 12:05:00,KPRMIL,14.67,15.49,14.67,15.01,59945,
2010-05-05 12:05:00,KPRMIL,14.79,15.5,14.52,15.21,48214,
2010-05-06 12:05:00,KPRMIL,15.11,16.43,15.11,16.11,92583,
2010-05-07 12:05:00,KPRMIL,15.98,15.98,14.6,14.87,51128,
2010-05-10 12:05:00,KPRMIL,15.09,15.36,14.71,14.85,21301,
2010-05-11 12:05:00,KPRMIL,14.9,14.97,14.63,14.73,15651,
2010-05-12 12:05:00,KPRMIL,14.8,15.6,14.8,15.29,44827,
2010-05-13 12:05:00,KPRMIL,15.58,16.24,15.22,15.84,143395,
2010-05-14 12:05:00,KPRMIL,15.75,17.19,15.75,16.04,194424,
2010-05-17 12:05:00,KPRMIL,16.1,16.23,15.51,15.69,23498,
2010-05-18 12:05:00,KPRMIL,15.66,16.15,15.66,15.83,35443,
2010-05-19 12:05:00,KPRMIL,15.76,15.88,15.02,15.17,62398,
2010-05-20 12:05:00,KPRMIL,15.6,15.6,14.7,14.9,74937,
2010-05-24 12:05:00,KPRMIL,14.67,15.3,14.1,14.23,72915,
2010-05-25 12:05:00,KPRMIL,14.2,14.3,12.58,13.51,78799,
2010-05-26 12:05:00,KPRMIL,13.8,14.24,13.41,13.87,63819,
2010-05-27 12:05:00,KPRMIL,13.88,14.6,13.88,14.51,66758,
2010-05-28 12:05:00,KPRMIL,14.32,15.2,14.32,14.57,111321,
2010-05-31 12:05:00,KPRMIL,14.57,14.89,14.57,14.65,4989,
2010-06-01 12:06:00,KPRMIL,14.7,15.15,14.11,14.34,22923,
2010-06-02 12:06:00,KPRMIL,14.34,14.9,14.28,14.74,12168,
2010-06-03 12:06:00,KPRMIL,14.65,14.9,14.6,14.79,5758,
2010-06-04 12:06:00,KPRMIL,14.72,14.76,14.44,14.69,8033,
2010-06-07 12:06:00,KPRMIL,14.0,14.9,14.0,14.49,8303,
2010-06-08 12:06:00,KPRMIL,14.35,14.68,14.23,14.3,82149,
2010-06-09 12:06:00,KPRMIL,14.58,14.58,13.86,14.33,6083,
2010-06-10 12:06:00,KPRMIL,14.03,14.4,14.01,14.12,4432,
2010-06-11 12:06:00,KPRMIL,14.12,14.58,13.95,14.14,6877,
2010-06-14 12:06:00,KPRMIL,14.12,14.35,13.88,14.1,10846,
2010-06-15 12:06:00,KPRMIL,14.01,15.0,13.92,14.48,11928,
2010-06-16 12:06:00,KPRMIL,14.16,14.98,14.15,14.73,19518,
2010-06-17 12:06:00,KPRMIL,14.6,14.75,14.45,14.68,6356,
2010-06-18 12:06:00,KPRMIL,14.61,14.61,14.33,14.41,5528,
2010-06-21 12:06:00,KPRMIL,14.52,15.24,14.52,14.75,28929,
2010-06-22 12:06:00,KPRMIL,14.95,14.97,14.57,14.63,4577,
2010-06-23 12:06:00,KPRMIL,14.6,14.73,14.23,14.68,7045,
2010-06-24 12:06:00,KPRMIL,14.9,15.07,14.43,14.49,15445,
2010-06-25 12:06:00,KPRMIL,14.7,14.8,14.24,14.41,5559,
2010-06-28 12:06:00,KPRMIL,14.65,14.96,14.41,14.68,19380,
2010-06-30 12:06:00,KPRMIL,14.2,14.67,14.05,14.37,9473,
2010-07-01 12:07:00,KPRMIL,14.2,14.45,13.97,14.01,15539,
2010-07-02 12:07:00,KPRMIL,13.9,14.24,13.9,14.04,4576,
2010-07-05 12:07:00,KPRMIL,14.65,14.65,14.01,14.11,2589,
2010-07-06 12:07:00,KPRMIL,14.0,14.5,14.0,14.29,6640,
2010-07-07 12:07:00,KPRMIL,14.15,14.2,14.05,14.07,8674,
2010-07-08 12:07:00,KPRMIL,14.44,14.44,14.08,14.28,12219,
2010-07-09 12:07:00,KPRMIL,14.99,15.2,14.48,14.73,74909,
2010-07-12 12:07:00,KPRMIL,14.62,14.81,14.51,14.68,5485,
2010-07-13 12:07:00,KPRMIL,14.75,14.8,14.53,14.62,5011,
2010-07-14 12:07:00,KPRMIL,14.69,14.85,14.55,14.65,11601,
2010-07-15 12:07:00,KPRMIL,14.88,14.88,14.6,14.65,3340,
2010-07-16 12:07:00,KPRMIL,14.7,15.04,14.57,14.93,13706,
2010-07-19 12:07:00,KPRMIL,14.9,15.1,14.65,14.87,10371,
2010-07-20 12:07:00,KPRMIL,14.89,15.67,14.81,15.23,41910,
2010-07-21 12:07:00,KPRMIL,15.15,15.49,15.1,15.35,12233,
2010-07-22 12:07:00,KPRMIL,15.3,15.38,15.15,15.29,2964,
