datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,KSBPUM,42.4,43.2,42.0,42.98,14453,
2010-01-05 12:01:00,KSBPUM,43.0,43.5,42.52,42.79,9433,
2010-01-06 12:01:00,KSBPUM,43.5,43.5,42.31,42.53,4166,
2010-01-07 12:01:00,KSBPUM,42.5,42.8,42.1,42.24,4339,
2010-01-08 12:01:00,KSBPUM,42.5,43.89,42.3,43.25,15054,
2010-01-11 12:01:00,KSBPUM,44.05,45.2,43.5,44.51,37297,
2010-01-12 12:01:00,KSBPUM,44.8,45.08,42.8,43.13,16043,
2010-01-13 12:01:00,KSBPUM,43.97,44.0,42.51,43.43,4728,
2010-01-14 12:01:00,KSBPUM,44.7,44.7,42.71,43.02,14353,
2010-01-15 12:01:00,KSBPUM,43.9,43.9,42.9,43.06,4493,
2010-01-18 12:01:00,KSBPUM,43.85,46.1,43.85,44.6,44457,
2010-01-19 12:01:00,KSBPUM,44.72,45.6,44.51,44.68,19408,
2010-01-20 12:01:00,KSBPUM,45.6,45.6,44.26,44.71,10317,
2010-01-21 12:01:00,KSBPUM,43.4,45.2,42.71,43.52,4060,
2010-01-22 12:01:00,KSBPUM,43.06,43.4,41.5,42.99,7375,
2010-01-25 12:01:00,KSBPUM,42.6,42.9,41.82,42.55,4928,
2010-01-27 12:01:00,KSBPUM,42.0,42.35,39.6,40.06,7417,
2010-01-28 12:01:00,KSBPUM,39.5,41.2,38.32,38.97,5525,
2010-01-29 12:01:00,KSBPUM,38.29,39.9,38.0,39.48,3420,
2010-02-01 12:02:00,KSBPUM,39.98,40.9,39.6,40.55,1399,
2010-02-02 12:02:00,KSBPUM,40.55,42.09,40.16,40.41,2798,
2010-02-04 12:02:00,KSBPUM,40.71,41.6,40.66,40.82,2329,
2010-02-05 12:02:00,KSBPUM,39.0,40.0,37.1,39.55,2431,
2010-02-06 12:02:00,KSBPUM,40.69,41.01,40.0,40.67,945,
2010-02-08 12:02:00,KSBPUM,41.0,41.0,40.0,40.55,2339,
