datetime,stock_code,open,high,low,close,volume,open_interest
2016-12-19 12:12:00,LAULAB,97.98,99.6,95.0,96.08,17548335,
2016-12-20 12:12:00,LAULAB,96.56,97.89,93.14,94.74,2555044,
2016-12-21 12:12:00,LAULAB,94.8,96.0,94.0,94.68,924077,
2016-12-22 12:12:00,LAULAB,94.4,95.58,94.0,94.91,1126022,
2016-12-23 12:12:00,LAULAB,94.99,95.6,94.22,95.13,418933,
2016-12-26 12:12:00,LAULAB,95.0,95.4,90.44,91.04,447513,
2016-12-27 12:12:00,LAULAB,91.5,98.28,90.66,96.25,1592573,
2016-12-28 12:12:00,LAULAB,96.6,98.0,94.86,97.25,863731,
2016-12-29 12:12:00,LAULAB,97.76,99.78,95.34,96.05,374148,
2016-12-30 12:12:00,LAULAB,96.75,96.9,95.8,96.17,162852,
2017-01-02 12:01:00,LAULAB,96.4,97.58,95.19,97.28,180715,
2017-01-03 12:01:00,LAULAB,97.2,97.6,95.11,95.27,112271,
2017-01-04 12:01:00,LAULAB,95.98,96.75,94.76,95.1,98207,
2017-01-05 12:01:00,LAULAB,95.77,96.58,95.1,95.27,91011,
2017-01-06 12:01:00,LAULAB,95.78,95.98,94.31,94.55,68114,
2017-01-09 12:01:00,LAULAB,95.59,96.0,92.56,95.06,189603,
2017-01-10 12:01:00,LAULAB,95.07,95.4,93.7,94.62,74058,
2017-01-11 12:01:00,LAULAB,94.8,95.6,94.61,95.01,75403,
2017-01-12 12:01:00,LAULAB,94.4,96.11,93.93,95.05,87298,
2017-01-13 12:01:00,LAULAB,95.0,99.94,94.65,98.92,530944,
2017-01-16 12:01:00,LAULAB,99.2,99.76,96.8,97.05,563681,
2017-01-17 12:01:00,LAULAB,97.18,97.9,95.0,95.39,460810,
2017-01-18 12:01:00,LAULAB,95.79,97.0,95.4,95.62,63404,
2017-01-19 12:01:00,LAULAB,95.73,97.0,95.73,96.17,69362,
2017-01-20 12:01:00,LAULAB,96.0,96.4,95.1,95.76,116019,
2017-01-23 12:01:00,LAULAB,95.8,96.34,95.07,95.49,147543,
2017-01-24 12:01:00,LAULAB,95.6,96.2,94.88,95.5,294418,
2017-01-25 12:01:00,LAULAB,95.93,96.0,95.2,95.52,159465,
2017-01-27 12:01:00,LAULAB,94.41,96.0,94.41,94.71,36344,
2017-01-30 12:01:00,LAULAB,94.8,96.0,94.44,95.63,108444,
2017-01-31 12:01:00,LAULAB,95.8,96.2,94.8,94.95,77920,
2017-02-01 12:02:00,LAULAB,94.1,96.09,94.1,95.12,661974,
2017-02-02 12:02:00,LAULAB,95.2,96.0,94.5,94.8,130918,
2017-02-03 12:02:00,LAULAB,95.76,101.58,93.4,100.56,656304,
2017-02-06 12:02:00,LAULAB,102.0,116.28,101.4,111.41,2674046,
2017-02-07 12:02:00,LAULAB,111.6,117.0,108.5,111.97,1451372,
2017-02-08 12:02:00,LAULAB,112.48,113.94,109.24,110.0,403719,
2017-02-09 12:02:00,LAULAB,110.6,113.0,110.6,111.94,340189,
2017-02-10 12:02:00,LAULAB,111.7,111.7,105.45,107.16,461865,
2017-02-13 12:02:00,LAULAB,107.2,108.0,103.02,103.7,332256,
2017-02-14 12:02:00,LAULAB,104.6,104.6,101.31,102.03,277506,
2017-02-15 12:02:00,LAULAB,102.0,104.8,100.72,101.71,299656,
2017-02-16 12:02:00,LAULAB,101.96,102.02,100.15,100.75,229236,
2017-02-17 12:02:00,LAULAB,101.6,101.75,99.4,100.16,159237,
2017-02-20 12:02:00,LAULAB,101.18,101.54,99.61,101.06,559326,
2017-02-21 12:02:00,LAULAB,101.0,104.89,99.6,103.26,285360,
2017-02-22 12:02:00,LAULAB,104.0,106.82,103.17,104.34,293748,
2017-02-23 12:02:00,LAULAB,103.8,106.38,103.8,104.24,114821,
2017-02-27 12:02:00,LAULAB,104.91,104.91,101.46,102.09,106887,
2017-02-28 12:02:00,LAULAB,102.02,104.09,101.43,101.99,110441,
2017-03-01 12:03:00,LAULAB,102.57,104.98,101.69,102.02,250431,
2017-03-02 12:03:00,LAULAB,102.95,103.2,100.12,101.62,126700,
2017-03-03 12:03:00,LAULAB,101.62,102.08,100.2,101.38,114596,
2017-03-06 12:03:00,LAULAB,101.99,103.24,101.1,102.37,98381,
2017-03-07 12:03:00,LAULAB,102.8,106.2,101.35,104.3,249155,
2017-03-08 12:03:00,LAULAB,104.18,104.35,103.09,103.58,140143,
2017-03-09 12:03:00,LAULAB,103.2,104.79,102.61,102.99,101095,
2017-03-10 12:03:00,LAULAB,103.35,103.79,102.0,102.21,42601,
2017-03-14 12:03:00,LAULAB,103.34,104.2,102.21,102.93,44937,
2017-03-15 12:03:00,LAULAB,103.0,106.6,103.0,105.46,248723,
2017-03-16 12:03:00,LAULAB,106.19,107.0,105.33,106.12,123360,
2017-03-17 12:03:00,LAULAB,106.1,107.0,104.64,106.12,120772,
2017-03-20 12:03:00,LAULAB,106.2,107.96,105.0,105.54,143374,
2017-03-21 12:03:00,LAULAB,107.0,107.01,103.01,103.59,116716,
2017-03-22 12:03:00,LAULAB,103.02,103.59,99.26,102.44,63328,
2017-03-23 12:03:00,LAULAB,102.6,104.29,101.99,102.37,93191,
2017-03-24 12:03:00,LAULAB,103.38,103.6,101.99,102.01,87971,
2017-03-27 12:03:00,LAULAB,102.23,103.6,102.21,102.58,77726,
2017-03-28 12:03:00,LAULAB,103.4,103.4,101.51,102.07,74908,
2017-03-29 12:03:00,LAULAB,102.3,103.43,102.18,102.98,311091,
2017-03-30 12:03:00,LAULAB,103.2,105.98,102.2,103.69,107929,
2017-03-31 12:03:00,LAULAB,104.0,104.51,102.63,103.24,72812,
2017-04-03 12:04:00,LAULAB,103.4,105.6,103.0,104.12,65937,
2017-04-05 12:04:00,LAULAB,104.59,105.8,103.05,103.97,155555,
2017-04-06 12:04:00,LAULAB,103.8,105.38,103.1,103.43,43042,
2017-04-07 12:04:00,LAULAB,103.05,104.98,100.5,102.12,633570,
2017-04-10 12:04:00,LAULAB,102.0,104.8,102.0,102.86,82182,
2017-04-11 12:04:00,LAULAB,102.82,104.0,102.36,102.61,41064,
2017-04-12 12:04:00,LAULAB,102.98,103.1,101.55,102.15,99984,
2017-04-13 12:04:00,LAULAB,102.3,103.58,101.0,101.18,93634,
2017-04-17 12:04:00,LAULAB,101.7,104.77,101.7,102.79,199213,
2017-04-18 12:04:00,LAULAB,103.0,104.97,102.4,102.88,194880,
2017-04-19 12:04:00,LAULAB,103.97,103.97,102.71,103.42,78780,
2017-04-20 12:04:00,LAULAB,103.8,105.6,103.6,105.01,143439,
2017-04-21 12:04:00,LAULAB,105.2,105.6,103.5,103.83,117216,
2017-04-24 12:04:00,LAULAB,104.58,104.78,103.6,103.83,62984,
2017-04-25 12:04:00,LAULAB,102.0,105.0,102.0,104.13,122230,
2017-04-26 12:04:00,LAULAB,104.05,106.77,102.6,103.7,147361,
2017-04-27 12:04:00,LAULAB,103.7,104.58,103.22,103.72,65359,
2017-04-28 12:04:00,LAULAB,103.6,104.59,103.42,103.98,30711,
2017-05-02 12:05:00,LAULAB,102.61,107.7,102.61,106.02,115085,
2017-05-03 12:05:00,LAULAB,107.06,109.81,105.79,108.46,358608,
2017-05-04 12:05:00,LAULAB,109.4,117.4,108.24,112.29,490842,
2017-05-05 12:05:00,LAULAB,112.96,113.78,110.0,111.67,142483,
2017-05-08 12:05:00,LAULAB,110.6,113.36,110.6,112.0,126816,
2017-05-09 12:05:00,LAULAB,113.0,113.0,110.44,111.55,70905,
2017-05-10 12:05:00,LAULAB,111.2,113.0,110.39,110.96,61046,
2017-05-11 12:05:00,LAULAB,111.0,112.48,110.2,110.67,34774,
2017-05-12 12:05:00,LAULAB,110.67,112.0,110.02,111.42,55107,
2017-05-15 12:05:00,LAULAB,112.0,112.6,110.0,110.5,83271,
2017-05-16 12:05:00,LAULAB,112.2,116.18,111.83,115.43,229966,
2017-05-17 12:05:00,LAULAB,116.35,116.66,114.37,115.4,109747,
2017-05-18 12:05:00,LAULAB,114.98,118.78,110.2,111.93,257416,
2017-05-19 12:05:00,LAULAB,115.4,116.0,108.0,109.88,225346,
2017-05-22 12:05:00,LAULAB,112.0,114.0,109.51,109.72,195302,
2017-05-23 12:05:00,LAULAB,110.02,112.1,107.0,109.98,189518,
2017-05-24 12:05:00,LAULAB,110.0,111.09,105.0,105.44,135315,
2017-05-25 12:05:00,LAULAB,106.2,110.4,105.71,109.81,72260,
2017-05-26 12:05:00,LAULAB,110.39,111.71,108.81,111.18,59700,
2017-05-29 12:05:00,LAULAB,111.6,112.29,107.66,108.14,93737,
2017-05-30 12:05:00,LAULAB,108.0,110.19,105.72,109.61,38490,
2017-05-31 12:05:00,LAULAB,109.6,115.6,109.08,114.5,396648,
2017-06-01 12:06:00,LAULAB,115.0,119.8,114.84,117.84,264788,
2017-06-02 12:06:00,LAULAB,118.99,123.66,117.2,120.15,404768,
2017-06-05 12:06:00,LAULAB,120.74,123.23,119.28,120.69,193515,
2017-06-06 12:06:00,LAULAB,121.76,122.4,119.4,120.46,118457,
2017-06-07 12:06:00,LAULAB,120.63,123.94,120.4,122.28,203841,
2017-06-08 12:06:00,LAULAB,123.09,125.81,113.84,122.74,272605,
2017-06-09 12:06:00,LAULAB,123.2,126.56,122.97,124.91,192480,
2017-06-12 12:06:00,LAULAB,124.98,126.9,123.65,124.09,152072,
2017-06-13 12:06:00,LAULAB,125.5,125.5,123.25,124.03,126095,
2017-06-14 12:06:00,LAULAB,124.0,124.2,121.09,121.64,94803,
2017-06-15 12:06:00,LAULAB,122.4,122.4,118.7,119.2,116043,
2017-06-16 12:06:00,LAULAB,120.0,123.81,118.51,121.06,656500,
2017-06-19 12:06:00,LAULAB,122.66,122.66,119.42,121.15,48620,
2017-06-20 12:06:00,LAULAB,120.3,122.4,120.2,121.07,51827,
2017-06-21 12:06:00,LAULAB,122.3,123.55,120.39,122.88,87983,
2017-06-22 12:06:00,LAULAB,123.07,123.89,120.9,121.22,60615,
2017-06-23 12:06:00,LAULAB,121.16,123.04,120.81,121.66,579750,
2017-06-27 12:06:00,LAULAB,123.0,123.0,121.02,122.59,53663,
2017-06-28 12:06:00,LAULAB,122.59,123.08,121.21,122.06,147507,
2017-06-29 12:06:00,LAULAB,122.06,123.06,122.06,122.42,97684,
2017-06-30 12:06:00,LAULAB,122.02,123.4,121.22,123.03,67412,
2017-07-03 12:07:00,LAULAB,123.4,126.4,123.4,125.68,186102,
2017-07-04 12:07:00,LAULAB,126.88,127.21,125.03,125.48,119085,
2017-07-05 12:07:00,LAULAB,124.8,125.81,123.1,125.02,228325,
2017-07-06 12:07:00,LAULAB,126.1,126.1,123.21,124.07,113002,
2017-07-07 12:07:00,LAULAB,124.6,124.92,123.16,123.98,90784,
2017-07-10 12:07:00,LAULAB,123.5,128.0,121.62,123.48,10047,
2017-07-11 12:07:00,LAULAB,123.5,124.12,120.22,120.76,303391,
2017-07-12 12:07:00,LAULAB,121.89,122.24,118.94,119.51,113987,
2017-07-13 12:07:00,LAULAB,120.0,124.93,120.0,121.93,81187,
2017-07-14 12:07:00,LAULAB,122.5,122.98,120.2,121.88,44533,
2017-07-17 12:07:00,LAULAB,121.77,123.48,120.53,121.53,199387,
2017-07-18 12:07:00,LAULAB,121.6,122.78,120.03,120.51,57289,
2017-07-19 12:07:00,LAULAB,121.0,121.58,119.6,119.87,168844,
2017-07-20 12:07:00,LAULAB,120.0,120.92,119.14,119.48,102750,
2017-07-24 12:07:00,LAULAB,120.77,120.88,119.0,119.34,32409,
2017-07-25 12:07:00,LAULAB,120.0,120.0,117.2,117.73,40716,
2017-07-26 12:07:00,LAULAB,118.0,118.8,117.2,117.66,38528,
2017-07-27 12:07:00,LAULAB,117.29,119.78,117.29,118.91,37310,
2017-07-28 12:07:00,LAULAB,118.01,119.0,117.31,118.41,23188,
2017-07-31 12:07:00,LAULAB,114.31,118.41,114.31,116.14,73447,
2017-08-01 12:08:00,LAULAB,115.48,118.0,115.4,116.53,34690,
2017-08-02 12:08:00,LAULAB,117.0,117.6,115.62,115.92,24431,
2017-08-03 12:08:00,LAULAB,116.01,116.44,114.72,115.46,38083,
2017-08-04 12:08:00,LAULAB,115.6,119.0,114.02,116.79,55826,
2017-08-07 12:08:00,LAULAB,116.16,116.8,115.2,115.64,39223,
2017-08-08 12:08:00,LAULAB,116.01,116.8,114.42,114.72,28366,
2017-08-09 12:08:00,LAULAB,114.54,114.89,109.46,110.54,96760,
2017-08-10 12:08:00,LAULAB,110.01,110.79,104.22,104.99,101791,
2017-08-11 12:08:00,LAULAB,105.98,111.96,103.02,108.61,138498,
2017-08-14 12:08:00,LAULAB,109.8,111.72,109.28,109.85,161899,
2017-08-16 12:08:00,LAULAB,109.86,111.39,109.02,109.51,36610,
2017-08-17 12:08:00,LAULAB,109.4,110.22,108.5,108.96,33321,
2017-08-21 12:08:00,LAULAB,110.0,110.82,104.61,105.22,99811,
2017-08-22 12:08:00,LAULAB,106.0,106.83,103.8,103.94,54881,
2017-08-23 12:08:00,LAULAB,104.0,105.21,103.12,105.0,52805,
2017-08-28 12:08:00,LAULAB,104.2,105.3,100.99,102.18,240202,
2017-08-29 12:08:00,LAULAB,100.0,101.96,83.78,100.57,138556,
2017-08-30 12:08:00,LAULAB,101.99,104.6,101.59,104.07,51748,
2017-08-31 12:08:00,LAULAB,105.0,107.47,104.42,105.47,190244,
2017-09-01 12:09:00,LAULAB,105.2,108.2,105.2,107.94,59977,
2017-09-04 12:09:00,LAULAB,106.61,109.99,106.61,109.44,51868,
2017-09-05 12:09:00,LAULAB,109.39,110.6,108.58,110.42,43733,
2017-09-06 12:09:00,LAULAB,108.3,111.02,108.3,109.25,45426,
2017-09-07 12:09:00,LAULAB,109.45,110.68,109.0,109.92,74015,
2017-09-08 12:09:00,LAULAB,109.4,111.48,108.35,109.0,46627,
2017-09-11 12:09:00,LAULAB,108.97,110.38,106.62,108.0,320832,
2017-09-12 12:09:00,LAULAB,106.12,108.9,105.6,106.68,69082,
2017-09-13 12:09:00,LAULAB,108.0,108.0,104.8,105.38,48512,
2017-09-14 12:09:00,LAULAB,106.0,112.6,105.6,109.9,120213,
2017-09-15 12:09:00,LAULAB,108.0,113.6,108.0,109.65,397946,
2017-09-18 12:09:00,LAULAB,112.0,112.0,108.05,109.13,124267,
2017-09-19 12:09:00,LAULAB,109.2,110.62,108.4,108.92,54710,
2017-09-20 12:09:00,LAULAB,110.18,110.46,108.8,109.73,33573,
2017-09-21 12:09:00,LAULAB,110.0,110.02,107.0,109.06,39121,
2017-09-22 12:09:00,LAULAB,108.4,109.49,107.0,108.07,43656,
2017-09-25 12:09:00,LAULAB,107.02,109.16,102.4,104.79,65583,
2017-09-26 12:09:00,LAULAB,106.58,106.58,102.5,104.11,56025,
2017-09-27 12:09:00,LAULAB,104.13,105.96,102.1,102.81,40760,
2017-09-28 12:09:00,LAULAB,102.83,103.43,100.98,101.56,62739,
2017-09-29 12:09:00,LAULAB,102.6,103.9,101.0,101.43,57603,
2017-10-03 12:10:00,LAULAB,104.4,104.4,100.45,101.72,38014,
2017-10-04 12:10:00,LAULAB,102.0,110.67,102.0,107.08,121482,
2017-10-05 12:10:00,LAULAB,107.08,109.6,105.86,106.87,49092,
2017-10-06 12:10:00,LAULAB,107.17,109.6,106.4,108.28,50817,
2017-10-09 12:10:00,LAULAB,108.0,108.27,106.55,106.99,24569,
2017-10-10 12:10:00,LAULAB,107.0,109.6,106.52,108.96,44285,
2017-10-11 12:10:00,LAULAB,108.55,109.0,105.36,106.71,39324,
2017-10-12 12:10:00,LAULAB,107.42,109.96,106.99,108.93,105574,
2017-10-13 12:10:00,LAULAB,109.58,109.8,108.04,108.66,65121,
2017-10-16 12:10:00,LAULAB,108.0,111.39,108.0,109.15,76957,
2017-10-17 12:10:00,LAULAB,110.6,110.8,108.4,109.35,60467,
2017-10-18 12:10:00,LAULAB,109.89,110.6,108.44,109.42,161076,
2017-10-19 12:10:00,LAULAB,110.4,110.4,108.6,109.0,10354,
2017-10-23 12:10:00,LAULAB,107.85,109.69,107.7,108.58,87276,
2017-10-24 12:10:00,LAULAB,109.0,109.0,107.4,108.34,61153,
2017-10-25 12:10:00,LAULAB,108.0,108.98,107.21,107.92,27287,
2017-10-26 12:10:00,LAULAB,108.59,108.6,106.67,107.07,15433,
2017-10-27 12:10:00,LAULAB,106.87,108.79,106.87,107.28,71231,
2017-10-30 12:10:00,LAULAB,107.28,109.0,106.72,107.63,84882,
2017-10-31 12:10:00,LAULAB,108.18,108.18,107.2,107.68,20634,
2017-11-01 12:11:00,LAULAB,107.02,108.0,107.0,107.41,23041,
2017-11-02 12:11:00,LAULAB,106.4,109.0,106.4,107.55,67250,
2017-11-03 12:11:00,LAULAB,108.8,108.8,106.8,106.94,76036,
2017-11-06 12:11:00,LAULAB,108.59,110.34,107.02,109.13,133554,
2017-11-07 12:11:00,LAULAB,109.6,111.57,108.16,108.69,197278,
2017-11-08 12:11:00,LAULAB,109.2,110.41,108.59,109.02,200802,
2017-11-09 12:11:00,LAULAB,109.02,110.2,106.6,107.8,70101,
2017-11-10 12:11:00,LAULAB,106.61,108.7,104.8,105.94,47349,
2017-11-13 12:11:00,LAULAB,104.81,106.97,104.5,104.83,54609,
2017-11-14 12:11:00,LAULAB,106.42,107.15,103.83,104.58,85658,
2017-11-15 12:11:00,LAULAB,111.0,111.0,106.47,106.92,296423,
2017-11-16 12:11:00,LAULAB,104.2,107.0,104.2,105.42,55532,
2017-11-17 12:11:00,LAULAB,106.6,107.0,105.42,105.85,29349,
2017-11-20 12:11:00,LAULAB,106.79,106.79,105.41,105.89,29966,
2017-11-21 12:11:00,LAULAB,105.8,106.6,105.2,105.85,68166,
2017-11-22 12:11:00,LAULAB,105.25,106.2,104.97,105.26,21504,
2017-11-23 12:11:00,LAULAB,106.0,109.2,105.62,106.71,274139,
2017-11-24 12:11:00,LAULAB,107.01,109.18,107.01,107.55,62876,
2017-11-27 12:11:00,LAULAB,107.8,108.75,105.42,105.87,39712,
2017-11-28 12:11:00,LAULAB,105.9,106.95,102.94,103.36,98624,
2017-11-29 12:11:00,LAULAB,104.5,104.98,103.4,104.47,30240,
2017-11-30 12:11:00,LAULAB,103.81,105.84,103.62,105.08,48986,
2017-12-01 12:12:00,LAULAB,109.8,109.9,104.4,105.19,207639,
2017-12-04 12:12:00,LAULAB,106.4,106.8,103.03,103.47,69955,
2017-12-05 12:12:00,LAULAB,106.0,107.0,103.4,104.7,177500,
2017-12-06 12:12:00,LAULAB,104.58,104.78,103.6,103.96,46067,
2017-12-07 12:12:00,LAULAB,104.03,104.68,103.02,103.59,63287,
2017-12-08 12:12:00,LAULAB,104.0,104.56,99.8,100.67,183029,
2017-12-11 12:12:00,LAULAB,100.6,104.67,100.6,102.58,108729,
2017-12-12 12:12:00,LAULAB,104.6,104.6,100.38,100.78,100549,
2017-12-13 12:12:00,LAULAB,102.2,104.56,101.3,103.66,117039,
2017-12-14 12:12:00,LAULAB,104.12,106.18,103.12,105.18,167575,
2017-12-15 12:12:00,LAULAB,106.0,106.8,104.6,104.77,52124,
2017-12-18 12:12:00,LAULAB,106.0,107.96,101.0,106.69,192617,
2017-12-19 12:12:00,LAULAB,107.2,107.96,105.72,106.08,135225,
2017-12-20 12:12:00,LAULAB,106.96,108.08,106.12,107.27,368919,
2017-12-21 12:12:00,LAULAB,107.93,114.49,107.93,112.69,469509,
2017-12-22 12:12:00,LAULAB,113.4,115.98,110.0,110.3,196706,
2017-12-26 12:12:00,LAULAB,111.02,111.6,108.91,109.04,95573,
2017-12-27 12:12:00,LAULAB,108.13,110.27,107.8,108.72,265559,
2017-12-28 12:12:00,LAULAB,108.72,109.2,107.6,107.86,56814,
2017-12-29 12:12:00,LAULAB,108.01,109.08,107.5,108.58,57660,
2018-01-01 12:01:00,LAULAB,109.6,110.3,107.66,107.92,90341,
2018-01-02 12:01:00,LAULAB,108.88,108.88,107.0,107.19,90514,
2018-01-03 12:01:00,LAULAB,108.0,108.0,107.0,107.37,69607,
2018-01-04 12:01:00,LAULAB,107.6,109.0,107.0,108.83,105207,
2018-01-05 12:01:00,LAULAB,109.4,110.88,109.25,110.29,117859,
2018-01-08 12:01:00,LAULAB,111.28,113.0,111.06,112.2,129540,
2018-01-09 12:01:00,LAULAB,112.8,112.8,110.0,110.7,48690,
2018-01-10 12:01:00,LAULAB,110.6,111.35,108.0,108.64,70076,
2018-01-11 12:01:00,LAULAB,108.2,110.68,108.2,110.05,44390,
2018-01-12 12:01:00,LAULAB,110.45,110.6,108.42,109.23,44552,
2018-01-15 12:01:00,LAULAB,109.8,110.28,108.42,108.98,72706,
2018-01-16 12:01:00,LAULAB,109.0,110.0,106.06,106.62,79794,
2018-01-17 12:01:00,LAULAB,109.66,111.79,108.41,109.6,301526,
2018-01-18 12:01:00,LAULAB,110.79,110.8,107.0,107.43,150920,
2018-01-19 12:01:00,LAULAB,108.16,109.2,107.0,108.73,60431,
2018-01-22 12:01:00,LAULAB,109.64,110.16,107.8,109.94,81175,
2018-01-23 12:01:00,LAULAB,109.8,112.0,109.79,111.26,128370,
2018-01-24 12:01:00,LAULAB,110.1,111.9,109.2,110.69,64801,
2018-01-25 12:01:00,LAULAB,109.42,111.28,107.81,109.02,33396,
2018-01-29 12:01:00,LAULAB,109.2,110.79,107.21,107.83,62835,
2018-01-30 12:01:00,LAULAB,103.2,105.0,101.6,103.47,226161,
2018-01-31 12:01:00,LAULAB,104.0,104.01,102.24,103.32,79404,
