datetime,stock_code,open,high,low,close,volume,open_interest
2016-07-18 12:07:00,LLOST,3.37,3.37,3.37,3.37,2261,
2016-07-19 12:07:00,LLOST,3.28,3.28,3.28,3.28,882,
2016-07-20 12:07:00,LLOST,3.18,3.18,3.18,3.18,1326,
2016-07-22 12:07:00,LLOST,3.09,3.09,2.99,2.99,15070,
2016-07-25 12:07:00,LLOST,2.9,2.9,2.9,2.9,1933,
2016-07-27 12:07:00,LLOST,2.71,2.71,2.71,2.71,1760,
2016-07-28 12:07:00,LLOST,2.66,2.66,2.66,2.66,9745,
2016-07-29 12:07:00,LLOST,2.62,2.62,2.62,2.62,2010,
2016-08-01 12:08:00,LLOST,2.48,2.48,2.48,2.48,8436,
2016-08-02 12:08:00,LLOST,2.33,2.43,2.33,2.33,81745,
2016-08-03 12:08:00,LLOST,2.19,2.48,2.19,2.38,249902,
2016-08-04 12:08:00,LLOST,2.33,2.43,2.29,2.29,279535,
2016-08-05 12:08:00,LLOST,2.29,2.38,2.24,2.33,90061,
2016-08-08 12:08:00,LLOST,2.38,2.48,2.33,2.48,357152,
2016-08-09 12:08:00,LLOST,2.48,2.62,2.48,2.57,235280,
2016-08-10 12:08:00,LLOST,2.57,2.62,2.52,2.62,74003,
2016-08-11 12:08:00,LLOST,2.57,2.57,2.57,2.57,15500,
2016-08-12 12:08:00,LLOST,2.52,2.62,2.52,2.57,100301,
2016-08-16 12:08:00,LLOST,2.52,2.52,2.52,2.52,14160,
2016-08-17 12:08:00,LLOST,2.48,2.48,2.48,2.48,19050,
2016-08-18 12:08:00,LLOST,2.43,2.52,2.43,2.48,46770,
2016-08-19 12:08:00,LLOST,2.48,2.48,2.43,2.43,94788,
2016-08-22 12:08:00,LLOST,2.43,2.48,2.43,2.48,41029,
2016-08-23 12:08:00,LLOST,2.52,2.52,2.52,2.52,20391,
2016-08-24 12:08:00,LLOST,2.57,2.57,2.52,2.57,52367,
2016-08-25 12:08:00,LLOST,2.62,2.62,2.62,2.62,16727,
2016-08-26 12:08:00,LLOST,2.66,2.66,2.62,2.62,44971,
2016-08-29 12:08:00,LLOST,2.66,2.66,2.62,2.66,46968,
2016-08-30 12:08:00,LLOST,2.66,2.71,2.62,2.66,20748,
2016-08-31 12:08:00,LLOST,2.71,2.71,2.62,2.62,38511,
2016-09-01 12:09:00,LLOST,2.66,2.66,2.57,2.57,27022,
2016-09-02 12:09:00,LLOST,2.57,2.71,2.48,2.57,64899,
2016-09-06 12:09:00,LLOST,2.52,2.66,2.48,2.48,48951,
2016-09-07 12:09:00,LLOST,2.48,2.57,2.43,2.43,64071,
2016-09-08 12:09:00,LLOST,2.38,2.52,2.38,2.48,34232,
2016-09-09 12:09:00,LLOST,2.43,2.57,2.43,2.43,58765,
2016-09-12 12:09:00,LLOST,2.52,2.52,2.38,2.43,24358,
2016-09-14 12:09:00,LLOST,2.43,2.52,2.38,2.43,15130,
2016-09-15 12:09:00,LLOST,2.38,2.52,2.38,2.48,46108,
2016-09-16 12:09:00,LLOST,2.52,2.62,2.43,2.48,384583,
2016-09-19 12:09:00,LLOST,2.48,2.52,2.48,2.48,50439,
2016-09-20 12:09:00,LLOST,2.52,2.52,2.43,2.48,34475,
2016-09-21 12:09:00,LLOST,2.52,2.52,2.43,2.52,24257,
2016-09-22 12:09:00,LLOST,2.52,2.52,2.43,2.43,54840,
2016-09-23 12:09:00,LLOST,2.43,2.52,2.43,2.48,123488,
2016-09-26 12:09:00,LLOST,2.52,2.52,2.33,2.33,248007,
2016-09-27 12:09:00,LLOST,2.33,2.48,2.33,2.48,81233,
2016-09-28 12:09:00,LLOST,2.48,2.52,2.38,2.43,79959,
2016-09-29 12:09:00,LLOST,2.43,2.57,2.29,2.29,694600,
2016-09-30 12:09:00,LLOST,2.33,2.33,2.19,2.24,173225,
2016-10-03 12:10:00,LLOST,2.24,2.33,2.24,2.33,83289,
2016-10-04 12:10:00,LLOST,2.38,2.38,2.24,2.38,8550,
2016-10-05 12:10:00,LLOST,2.33,2.33,2.29,2.33,53921,
2016-10-06 12:10:00,LLOST,2.33,2.43,2.33,2.38,114273,
2016-10-07 12:10:00,LLOST,2.29,2.48,2.29,2.38,99032,
2016-10-13 12:10:00,LLOST,2.29,2.29,2.0,2.0,2331175,
2016-10-14 12:10:00,LLOST,2.05,2.1,1.81,2.05,3587726,
2016-10-17 12:10:00,LLOST,2.1,2.1,1.86,1.91,1011297,
2016-10-18 12:10:00,LLOST,1.91,2.0,1.86,1.96,814509,
2016-10-19 12:10:00,LLOST,1.96,2.05,1.96,2.05,459670,
2016-10-20 12:10:00,LLOST,2.0,2.1,2.0,2.05,422193,
2016-10-21 12:10:00,LLOST,2.1,2.1,2.0,2.05,228602,
2016-10-24 12:10:00,LLOST,2.1,2.14,2.05,2.1,874995,
2016-10-25 12:10:00,LLOST,2.1,2.19,2.05,2.14,267220,
2016-10-26 12:10:00,LLOST,2.19,2.24,2.14,2.19,957092,
2016-10-27 12:10:00,LLOST,2.24,2.24,2.1,2.1,507873,
2016-10-28 12:10:00,LLOST,2.14,2.19,2.05,2.14,782468,
2016-10-30 12:10:00,LLOST,2.19,2.24,2.14,2.19,132288,
2016-11-01 12:11:00,LLOST,2.24,2.24,2.19,2.19,125409,
2016-11-02 12:11:00,LLOST,2.19,2.24,2.14,2.19,97628,
2016-11-03 12:11:00,LLOST,2.24,2.29,2.19,2.24,442423,
2016-11-04 12:11:00,LLOST,2.24,2.48,2.24,2.48,1050516,
2016-11-07 12:11:00,LLOST,2.57,2.76,2.57,2.76,1958072,
2016-11-08 12:11:00,LLOST,2.9,2.9,2.9,2.9,344624,
2016-11-09 12:11:00,LLOST,2.71,3.09,2.71,2.95,2836927,
2016-11-10 12:11:00,LLOST,3.09,3.14,2.95,3.04,1775566,
2016-11-11 12:11:00,LLOST,2.85,2.99,2.85,2.85,2815636,
2016-11-15 12:11:00,LLOST,2.81,2.81,2.66,2.71,617194,
2016-11-16 12:11:00,LLOST,2.76,2.76,2.57,2.57,273251,
2016-11-17 12:11:00,LLOST,2.52,2.52,2.52,2.52,80702,
2016-11-18 12:11:00,LLOST,2.48,2.48,2.48,2.48,10735,
2016-11-21 12:11:00,LLOST,2.52,2.52,2.43,2.43,23084,
2016-11-22 12:11:00,LLOST,2.38,2.38,2.38,2.38,13110,
2016-11-23 12:11:00,LLOST,2.33,2.33,2.33,2.33,15003,
2016-11-24 12:11:00,LLOST,2.29,2.38,2.29,2.38,533667,
2016-11-28 12:11:00,LLOST,2.48,2.48,2.43,2.48,296280,
2016-11-29 12:11:00,LLOST,2.52,2.52,2.43,2.52,252739,
2016-11-30 12:11:00,LLOST,2.57,2.57,2.52,2.57,112332,
2016-12-01 12:12:00,LLOST,2.62,2.62,2.62,2.62,91635,
2016-12-02 12:12:00,LLOST,2.76,2.76,2.62,2.76,595717,
2016-12-05 12:12:00,LLOST,2.9,2.9,2.76,2.9,375228,
2016-12-06 12:12:00,LLOST,3.09,3.09,3.09,3.09,137979,
2016-12-07 12:12:00,LLOST,3.18,3.18,2.99,2.99,1184718,
2016-12-08 12:12:00,LLOST,2.9,2.9,2.9,2.9,31654,
2016-12-09 12:12:00,LLOST,2.81,2.81,2.81,2.81,14774,
2016-12-12 12:12:00,LLOST,2.71,2.9,2.71,2.81,670693,
2016-12-13 12:12:00,LLOST,2.81,2.81,2.71,2.71,317561,
2016-12-14 12:12:00,LLOST,2.76,2.76,2.66,2.66,645948,
2016-12-15 12:12:00,LLOST,2.62,2.71,2.62,2.62,363423,
2016-12-16 12:12:00,LLOST,2.57,2.62,2.57,2.57,128823,
2016-12-19 12:12:00,LLOST,2.57,2.62,2.52,2.62,395924,
2016-12-20 12:12:00,LLOST,2.62,2.66,2.57,2.66,166512,
2016-12-21 12:12:00,LLOST,2.66,2.66,2.62,2.62,95784,
2016-12-22 12:12:00,LLOST,2.62,2.62,2.57,2.57,169895,
2016-12-23 12:12:00,LLOST,2.52,2.62,2.52,2.62,123508,
2016-12-26 12:12:00,LLOST,2.66,2.66,2.57,2.57,88017,
2016-12-27 12:12:00,LLOST,2.52,2.57,2.52,2.57,58785,
2016-12-28 12:12:00,LLOST,2.57,2.57,2.52,2.52,72354,
2016-12-29 12:12:00,LLOST,2.52,2.57,2.48,2.57,172083,
2016-12-30 12:12:00,LLOST,2.57,2.62,2.52,2.57,192574,
2017-01-02 12:01:00,LLOST,2.57,2.62,2.52,2.57,83756,
2017-01-03 12:01:00,LLOST,2.57,2.62,2.52,2.57,44762,
2017-01-04 12:01:00,LLOST,2.52,2.62,2.52,2.57,68706,
2017-01-05 12:01:00,LLOST,2.62,2.62,2.52,2.57,133748,
2017-01-06 12:01:00,LLOST,2.57,2.62,2.52,2.62,161131,
2017-01-09 12:01:00,LLOST,2.62,2.66,2.57,2.62,433757,
