datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,MAHFIN,39.31,40.2,38.45,39.61,88469,
2010-01-05 12:01:00,MAHFIN,39.98,40.38,39.31,39.8,84163,
2010-01-06 12:01:00,MAHFIN,40.0,40.38,38.9,39.51,48136,
2010-01-07 12:01:00,MAHFIN,39.4,39.7,38.9,39.45,31542,
2010-01-08 12:01:00,MAHFIN,39.5,39.7,39.01,39.14,17068,
2010-01-11 12:01:00,MAHFIN,39.02,39.48,38.53,38.66,27047,
2010-01-12 12:01:00,MAHFIN,38.8,41.78,38.8,40.29,274592,
2010-01-13 12:01:00,MAHFIN,39.5,40.18,39.01,39.65,91847,
2010-01-14 12:01:00,MAHFIN,39.5,40.47,39.3,39.73,24747,
2010-01-15 12:01:00,MAHFIN,40.2,40.2,39.25,39.4,33898,
2010-01-18 12:01:00,MAHFIN,39.67,39.97,39.32,39.7,27560,
2010-01-19 12:01:00,MAHFIN,39.7,41.84,39.45,41.09,185980,
2010-01-20 12:01:00,MAHFIN,41.37,42.8,41.37,42.51,172493,
2010-01-21 12:01:00,MAHFIN,42.5,42.5,40.5,40.91,54928,
2010-01-22 12:01:00,MAHFIN,40.5,42.22,39.04,40.82,88301,
2010-01-25 12:01:00,MAHFIN,40.4,41.4,39.89,40.1,228956,
2010-01-27 12:01:00,MAHFIN,40.38,40.39,37.93,38.11,27282,
2010-01-28 12:01:00,MAHFIN,40.09,40.09,37.2,37.37,24205,
2010-01-29 12:01:00,MAHFIN,37.0,37.6,36.02,36.48,57570,
2010-02-01 12:02:00,MAHFIN,36.74,37.6,36.48,37.28,128298,
2010-02-02 12:02:00,MAHFIN,37.8,38.9,36.67,36.94,35806,
2010-02-04 12:02:00,MAHFIN,38.35,38.98,36.17,38.26,30649,
2010-02-05 12:02:00,MAHFIN,37.5,37.9,36.72,37.38,20230,
2010-02-06 12:02:00,MAHFIN,37.5,38.1,37.31,37.63,7450,
2010-02-08 12:02:00,MAHFIN,38.0,38.35,37.41,38.06,13990,
2010-02-09 12:02:00,MAHFIN,39.98,39.98,38.06,38.49,13639,
2010-02-10 12:02:00,MAHFIN,38.57,38.99,38.3,38.36,7926,
2010-02-11 12:02:00,MAHFIN,38.9,39.0,38.2,38.5,10106,
2010-02-15 12:02:00,MAHFIN,38.4,38.6,37.8,38.2,3419,
2010-02-16 12:02:00,MAHFIN,38.39,38.4,37.72,38.0,6488,
2010-02-17 12:02:00,MAHFIN,38.5,39.24,38.2,38.8,18846,
2010-02-18 12:02:00,MAHFIN,38.97,39.15,38.43,38.56,8046,
2010-02-19 12:02:00,MAHFIN,38.79,39.0,37.68,38.12,7244,
2010-02-22 12:02:00,MAHFIN,37.62,38.39,37.6,37.72,10769,
2010-02-23 12:02:00,MAHFIN,38.04,38.95,37.0,37.57,5352,
2010-02-24 12:02:00,MAHFIN,37.51,38.0,37.02,37.2,6974,
2010-02-25 12:02:00,MAHFIN,37.28,37.7,37.04,37.48,4668,
2010-02-26 12:02:00,MAHFIN,37.51,39.7,37.12,38.74,69713,
2010-03-02 12:03:00,MAHFIN,39.48,40.9,39.01,40.67,61100,
2010-03-03 12:03:00,MAHFIN,41.0,41.0,39.33,39.81,97274,
2010-03-04 12:03:00,MAHFIN,40.11,40.2,39.3,39.58,30254,
2010-03-05 12:03:00,MAHFIN,39.98,41.8,39.41,41.14,49038,
2010-03-08 12:03:00,MAHFIN,41.48,42.5,40.5,40.86,39209,
2010-03-09 12:03:00,MAHFIN,41.1,42.23,39.5,41.8,39688,
2010-03-10 12:03:00,MAHFIN,41.83,45.25,41.6,44.77,568841,
2010-03-11 12:03:00,MAHFIN,44.97,44.97,43.18,43.69,149071,
2010-03-12 12:03:00,MAHFIN,43.79,44.87,42.02,42.23,159150,
2010-03-15 12:03:00,MAHFIN,42.39,43.03,40.2,40.56,161693,
