datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,MAHHOL,209.33,212.44,206.91,207.64,19330,
2010-01-05 12:01:00,MAHHOL,210.62,211.09,204.89,205.82,20814,
2010-01-06 12:01:00,MAHHOL,207.11,208.84,205.07,207.69,11135,
2010-01-07 12:01:00,MAHHOL,206.69,210.62,204.44,205.8,38829,
2010-01-08 12:01:00,MAHHOL,205.82,207.44,200.44,201.76,134439,
2010-01-11 12:01:00,MAHHOL,201.78,207.11,200.96,203.22,13144,
2010-01-12 12:01:00,MAHHOL,204.44,206.22,197.8,203.91,23444,
2010-01-13 12:01:00,MAHHOL,202.22,203.51,201.33,202.18,5129,
2010-01-14 12:01:00,MAHHOL,202.49,208.87,202.49,204.51,22156,
2010-01-15 12:01:00,MAHHOL,204.67,206.67,204.36,204.67,15150,
2010-01-18 12:01:00,MAHHOL,206.22,207.56,204.56,205.38,5288,
2010-01-19 12:01:00,MAHHOL,204.44,238.13,204.44,218.4,424336,
2010-01-20 12:01:00,MAHHOL,220.0,235.56,217.82,223.84,282490,
2010-01-21 12:01:00,MAHHOL,217.82,221.73,200.22,201.73,74289,
2010-01-22 12:01:00,MAHHOL,199.56,208.89,191.11,202.69,70244,
2010-01-25 12:01:00,MAHHOL,200.44,203.22,195.62,196.87,20896,
2010-01-27 12:01:00,MAHHOL,195.56,199.73,178.56,185.36,34549,
2010-01-28 12:01:00,MAHHOL,197.33,197.33,178.73,185.09,19924,
2010-01-29 12:01:00,MAHHOL,183.11,193.11,178.67,189.47,22796,
2010-02-01 12:02:00,MAHHOL,188.44,197.8,187.6,190.4,33727,
2010-02-02 12:02:00,MAHHOL,193.33,199.07,190.73,191.62,22259,
2010-02-04 12:02:00,MAHHOL,189.49,197.78,185.0,186.78,26226,
2010-02-05 12:02:00,MAHHOL,186.53,196.44,181.78,192.6,25114,
2010-02-06 12:02:00,MAHHOL,195.56,197.78,191.13,191.93,2104,
2010-02-08 12:02:00,MAHHOL,191.11,198.18,190.22,195.53,47790,
2010-02-09 12:02:00,MAHHOL,193.78,197.33,192.0,194.69,6629,
2010-02-10 12:02:00,MAHHOL,187.56,199.78,187.56,190.96,6668,
2010-02-11 12:02:00,MAHHOL,191.11,197.71,189.33,191.69,5753,
2010-02-15 12:02:00,MAHHOL,195.56,199.0,189.47,190.76,20634,
2010-02-16 12:02:00,MAHHOL,195.11,197.33,191.62,195.51,97382,
2010-02-17 12:02:00,MAHHOL,195.51,198.67,193.89,195.13,7430,
2010-02-18 12:02:00,MAHHOL,194.67,197.31,194.22,195.4,3958,
2010-02-19 12:02:00,MAHHOL,192.98,195.47,190.22,191.49,2557,
2010-02-22 12:02:00,MAHHOL,192.0,194.62,190.67,193.42,6770,
2010-02-23 12:02:00,MAHHOL,191.11,193.69,191.11,192.76,3252,
2010-02-24 12:02:00,MAHHOL,190.67,193.24,188.0,189.98,2016,
2010-02-25 12:02:00,MAHHOL,189.96,191.11,187.11,188.02,151408,
2010-02-26 12:02:00,MAHHOL,186.22,197.53,186.22,194.67,8779,
2010-03-02 12:03:00,MAHHOL,197.78,200.0,192.89,197.11,4593,
2010-03-03 12:03:00,MAHHOL,196.6,200.89,196.44,200.04,80671,
2010-03-04 12:03:00,MAHHOL,200.89,215.07,200.0,209.73,56230,
2010-03-05 12:03:00,MAHHOL,208.93,215.11,206.22,212.07,19810,
2010-03-08 12:03:00,MAHHOL,212.84,243.11,211.38,229.69,846900,
2010-03-09 12:03:00,MAHHOL,229.33,238.87,228.44,233.49,305809,
2010-03-10 12:03:00,MAHHOL,235.07,236.71,228.47,229.93,82686,
2010-03-11 12:03:00,MAHHOL,223.38,238.67,223.38,228.31,154015,
2010-03-12 12:03:00,MAHHOL,233.38,239.4,229.33,231.27,55659,
2010-03-15 12:03:00,MAHHOL,232.42,236.67,228.02,230.4,25141,
