datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,MAHMAH,271.38,284.5,271.38,282.46,934837,
2010-01-05 12:01:00,MAHMAH,283.75,294.0,280.25,287.66,1299341,
2010-01-06 12:01:00,MAHMAH,289.93,296.73,288.08,294.56,1706808,
2010-01-07 12:01:00,MAHMAH,295.75,296.11,285.29,288.95,826099,
2010-01-08 12:01:00,MAHMAH,291.25,291.5,286.64,288.98,631818,
2010-01-11 12:01:00,MAHMAH,290.5,294.0,287.5,289.8,791967,
2010-01-12 12:01:00,MAHMAH,285.64,299.75,285.64,298.05,1235617,
2010-01-13 12:01:00,MAHMAH,295.53,297.5,283.65,288.4,1146225,
2010-01-14 12:01:00,MAHMAH,290.0,295.5,287.78,292.91,1027371,
2010-01-15 12:01:00,MAHMAH,293.89,295.53,287.51,289.3,766740,
2010-01-18 12:01:00,MAHMAH,288.75,297.73,287.54,295.91,890516,
2010-01-19 12:01:00,MAHMAH,294.75,296.23,287.68,289.9,624251,
2010-01-20 12:01:00,MAHMAH,291.25,293.73,285.06,286.36,847629,
2010-01-21 12:01:00,MAHMAH,285.75,293.0,284.75,286.21,1245541,
2010-01-22 12:01:00,MAHMAH,281.75,285.95,274.75,283.28,968435,
2010-01-25 12:01:00,MAHMAH,285.0,288.14,264.03,267.81,2706125,
2010-01-27 12:01:00,MAHMAH,266.2,268.5,248.75,252.73,2752932,
2010-01-28 12:01:00,MAHMAH,255.0,261.68,254.19,255.58,1122843,
2010-01-29 12:01:00,MAHMAH,255.0,258.0,246.94,254.39,979543,
2010-02-01 12:02:00,MAHMAH,255.3,263.85,251.85,261.79,840047,
2010-02-02 12:02:00,MAHMAH,263.75,266.38,253.75,254.95,632825,
2010-02-04 12:02:00,MAHMAH,263.18,263.35,251.5,254.25,751323,
2010-02-05 12:02:00,MAHMAH,249.75,251.25,241.48,244.06,937944,
2010-02-06 12:02:00,MAHMAH,246.25,247.5,244.04,246.78,82415,
