datetime,stock_code,open,high,low,close,volume,open_interest
2010-03-11 12:03:00,MANINF,42.4,50.0,42.4,46.65,20461610,
2010-03-12 12:03:00,MANINF,46.67,46.93,43.41,44.17,5864589,
2010-03-15 12:03:00,MANINF,43.47,46.87,43.03,46.2,4899708,
2010-03-16 12:03:00,MANINF,46.67,46.81,45.23,46.11,1847828,
2010-03-17 12:03:00,MANINF,46.31,50.51,45.81,49.51,4056441,
2010-03-18 12:03:00,MANINF,49.31,50.64,47.74,48.22,3397908,
2010-03-19 12:03:00,MANINF,48.07,50.23,48.0,49.18,1841795,
2010-03-22 12:03:00,MANINF,48.03,54.53,47.88,52.95,7521232,
2010-03-23 12:03:00,MANINF,46.67,53.92,46.67,51.24,3990065,
2010-03-25 12:03:00,MANINF,51.33,52.78,50.96,51.57,1750115,
2010-03-26 12:03:00,MANINF,51.87,52.66,50.3,51.22,1158328,
2010-03-29 12:03:00,MANINF,51.33,51.71,48.6,49.05,725484,
2010-03-30 12:03:00,MANINF,49.07,50.25,47.87,48.31,624617,
2010-03-31 12:03:00,MANINF,46.8,49.04,46.0,47.83,474362,
2010-04-01 12:04:00,MANINF,48.67,51.16,47.89,50.73,1351671,
2010-04-05 12:04:00,MANINF,51.2,51.56,49.36,49.61,963086,
2010-04-06 12:04:00,MANINF,49.93,53.25,49.35,51.77,2221274,
2010-04-07 12:04:00,MANINF,51.73,52.53,50.44,51.26,740917,
2010-04-08 12:04:00,MANINF,51.19,51.8,48.8,49.51,638172,
2010-04-09 12:04:00,MANINF,49.99,50.6,48.73,50.13,516318,
2010-04-12 12:04:00,MANINF,50.53,50.79,49.33,50.04,503602,
2010-04-13 12:04:00,MANINF,50.27,51.23,49.48,49.88,434369,
2010-04-16 12:04:00,MANINF,48.8,49.32,48.01,48.37,215317,
2010-04-19 12:04:00,MANINF,47.84,48.06,46.42,46.7,212317,
2010-04-20 12:04:00,MANINF,47.01,49.07,46.73,47.03,616392,
2010-04-21 12:04:00,MANINF,47.33,47.96,46.71,47.19,274284,
2010-04-22 12:04:00,MANINF,47.32,48.27,46.87,47.09,266548,
2010-04-23 12:04:00,MANINF,47.43,47.6,46.0,46.79,191446,
2010-04-26 12:04:00,MANINF,47.19,47.39,46.61,46.99,127652,
2010-04-27 12:04:00,MANINF,46.93,47.13,45.69,45.94,120907,
2010-04-28 12:04:00,MANINF,45.33,47.31,44.8,45.83,514437,
2010-04-29 12:04:00,MANINF,46.33,47.0,45.26,45.93,189639,
2010-04-30 12:04:00,MANINF,46.13,46.83,45.61,45.77,120734,
2010-05-03 12:05:00,MANINF,45.56,45.92,44.53,44.98,216301,
