datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,MININD,7.63,8.62,7.6,8.05,8076,
2010-01-05 12:01:00,MININD,8.09,9.6,8.09,9.6,113361,
2010-01-06 12:01:00,MININD,9.94,10.39,9.78,9.9,271482,
2010-01-07 12:01:00,MININD,9.97,10.03,9.4,9.47,100435,
2010-01-08 12:01:00,MININD,9.49,9.56,8.98,9.12,18070,
2010-01-11 12:01:00,MININD,9.08,9.74,8.86,9.15,34445,
2010-01-12 12:01:00,MININD,9.39,9.52,9.21,9.3,14161,
2010-01-13 12:01:00,MININD,8.75,9.36,8.75,9.09,5234,
2010-01-14 12:01:00,MININD,8.72,9.37,8.72,8.97,5489,
2010-01-15 12:01:00,MININD,9.36,9.43,8.94,9.06,15932,
2010-01-18 12:01:00,MININD,8.98,9.18,8.88,8.94,4622,
2010-01-19 12:01:00,MININD,8.92,9.12,8.82,8.86,2480,
2010-01-20 12:01:00,MININD,8.87,8.97,8.82,8.86,3275,
2010-01-21 12:01:00,MININD,8.78,9.75,8.62,8.88,33999,
2010-01-22 12:01:00,MININD,8.08,9.42,8.08,8.96,21992,
2010-01-25 12:01:00,MININD,8.88,9.23,8.88,9.02,4624,
2010-01-27 12:01:00,MININD,9.04,10.07,8.73,8.91,94842,
2010-01-28 12:01:00,MININD,9.1,9.3,8.5,9.2,14640,
2010-01-29 12:01:00,MININD,9.01,9.39,8.98,9.37,6530,
2010-02-01 12:02:00,MININD,9.14,10.08,9.14,9.63,59004,
2010-02-02 12:02:00,MININD,9.72,9.97,9.72,9.92,14117,
2010-02-04 12:02:00,MININD,10.03,10.03,9.79,9.84,5071,
2010-02-05 12:02:00,MININD,9.78,9.91,9.62,9.87,9483,
2010-02-06 12:02:00,MININD,9.91,10.2,9.64,10.04,2453,
2010-02-08 12:02:00,MININD,10.2,10.25,9.88,9.93,5359,
2010-02-09 12:02:00,MININD,10.17,10.33,9.88,10.04,10580,
2010-02-10 12:02:00,MININD,10.13,11.54,10.04,10.53,61649,
2010-02-11 12:02:00,MININD,10.62,11.98,10.62,11.03,229866,
2010-02-15 12:02:00,MININD,11.51,11.51,10.64,10.75,35888,
2010-02-16 12:02:00,MININD,10.78,11.13,10.52,10.69,21991,
2010-02-17 12:02:00,MININD,10.87,11.32,10.69,10.84,91298,
2010-02-18 12:02:00,MININD,10.93,11.03,10.74,10.76,6318,
2010-02-19 12:02:00,MININD,10.51,10.65,10.1,10.26,6698,
2010-02-22 12:02:00,MININD,10.55,10.58,9.94,10.24,21481,
2010-02-23 12:02:00,MININD,10.24,10.24,9.97,9.98,3721,
2010-02-24 12:02:00,MININD,10.23,10.23,9.94,9.97,4011,
2010-02-25 12:02:00,MININD,9.69,10.23,9.03,9.2,7612,
2010-02-26 12:02:00,MININD,9.2,10.26,9.2,10.03,33928,
2010-03-02 12:03:00,MININD,10.21,10.42,9.75,9.87,37734,
2010-03-03 12:03:00,MININD,10.1,10.13,9.86,9.91,3544,
2010-03-04 12:03:00,MININD,10.26,10.26,9.69,9.95,669,
2010-03-05 12:03:00,MININD,9.91,10.35,9.84,10.01,5815,
2010-03-08 12:03:00,MININD,9.88,10.25,9.88,9.99,691,
2010-03-09 12:03:00,MININD,9.91,10.11,9.84,9.93,2895,
2010-03-10 12:03:00,MININD,9.85,10.02,9.85,9.93,851,
2010-03-11 12:03:00,MININD,9.88,10.02,9.81,9.9,833,
2010-03-12 12:03:00,MININD,9.94,10.0,9.94,9.98,20096,
2010-03-15 12:03:00,MININD,9.85,9.94,9.74,9.77,363,
2010-03-16 12:03:00,MININD,9.88,9.88,9.75,9.78,829,
2010-03-17 12:03:00,MININD,9.36,10.13,9.36,9.85,1217,
2010-03-18 12:03:00,MININD,11.71,11.71,9.66,9.74,1852,
2010-03-19 12:03:00,MININD,10.9,11.39,9.75,9.82,1750,
2010-03-22 12:03:00,MININD,9.75,9.94,9.63,9.72,1830,
2010-03-23 12:03:00,MININD,9.63,9.81,9.63,9.71,924,
2010-03-25 12:03:00,MININD,10.26,10.29,9.65,9.71,827,
2010-03-26 12:03:00,MININD,9.65,9.86,9.52,9.6,1582,
2010-03-29 12:03:00,MININD,10.26,10.26,9.32,9.36,1207,
2010-03-30 12:03:00,MININD,9.36,9.72,9.21,9.34,1663,
2010-03-31 12:03:00,MININD,9.22,9.61,8.77,9.1,2818,
2010-04-01 12:04:00,MININD,9.43,9.43,9.14,9.19,10445,
2010-04-05 12:04:00,MININD,9.41,9.54,9.3,9.39,1947,
2010-04-06 12:04:00,MININD,9.3,9.49,9.3,9.41,2558,
2010-04-07 12:04:00,MININD,9.43,9.57,9.23,9.33,2323,
2010-04-08 12:04:00,MININD,9.14,9.39,9.14,9.29,836,
2010-04-09 12:04:00,MININD,9.01,9.62,9.01,9.31,2788,
2010-04-12 12:04:00,MININD,9.17,9.61,9.17,9.38,1158,
2010-04-13 12:04:00,MININD,9.62,9.62,9.34,9.45,1038,
2010-04-16 12:04:00,MININD,9.59,9.59,9.29,9.29,947,
2010-04-19 12:04:00,MININD,9.2,9.62,8.82,9.48,2981,
2010-04-20 12:04:00,MININD,9.49,9.62,9.31,9.36,263,
2010-04-21 12:04:00,MININD,9.55,9.57,9.35,9.51,320,
2010-04-22 12:04:00,MININD,9.01,9.46,9.01,9.37,675,
2010-04-23 12:04:00,MININD,9.45,9.93,9.23,9.86,19316,
2010-04-26 12:04:00,MININD,9.91,10.15,9.69,9.95,8905,
2010-04-27 12:04:00,MININD,10.33,10.33,9.8,9.82,932,
2010-04-28 12:04:00,MININD,9.39,9.78,9.39,9.61,1043,
2010-04-29 12:04:00,MININD,9.75,9.75,9.5,9.66,770,
2010-04-30 12:04:00,MININD,9.59,9.68,9.59,9.62,548,
2010-05-03 12:05:00,MININD,9.87,9.87,9.52,9.68,450,
2010-05-04 12:05:00,MININD,10.13,10.13,9.46,9.48,1551,
2010-05-05 12:05:00,MININD,9.31,9.49,9.2,9.32,2156,
2010-05-06 12:05:00,MININD,9.23,9.62,9.23,9.28,637,
2010-05-07 12:05:00,MININD,9.3,9.39,9.07,9.28,313,
