datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,MOTOSW,43.99,44.25,43.29,43.65,16986,
2010-01-05 12:01:00,MOTOSW,44.74,46.23,44.26,44.54,67756,
2010-01-06 12:01:00,MOTOSW,45.44,45.63,44.08,44.3,100833,
2010-01-07 12:01:00,MOTOSW,44.3,45.0,43.5,44.26,40767,
2010-01-08 12:01:00,MOTOSW,44.85,46.0,42.89,43.74,309180,
2010-01-11 12:01:00,MOTOSW,44.0,44.63,42.78,43.66,76302,
2010-01-12 12:01:00,MOTOSW,44.23,45.25,43.8,44.36,93473,
2010-01-13 12:01:00,MOTOSW,44.38,44.75,43.88,44.35,26845,
2010-01-14 12:01:00,MOTOSW,44.53,46.13,44.53,44.99,87077,
2010-01-15 12:01:00,MOTOSW,45.75,45.75,44.83,45.0,28795,
2010-01-18 12:01:00,MOTOSW,45.0,45.63,44.16,45.34,18787,
2010-01-19 12:01:00,MOTOSW,45.68,45.68,44.05,44.28,18009,
2010-01-20 12:01:00,MOTOSW,44.95,44.98,43.5,44.28,9134,
2010-01-21 12:01:00,MOTOSW,43.79,44.48,43.53,43.74,38437,
2010-01-22 12:01:00,MOTOSW,42.51,43.41,41.75,42.53,11092,
2010-01-25 12:01:00,MOTOSW,42.5,43.25,41.75,42.68,10824,
2010-01-27 12:01:00,MOTOSW,43.21,43.21,40.25,41.24,32330,
2010-01-28 12:01:00,MOTOSW,42.13,42.38,40.81,41.33,16495,
2010-01-29 12:01:00,MOTOSW,40.75,40.99,39.39,40.55,11963,
2010-02-01 12:02:00,MOTOSW,40.73,41.0,40.14,40.81,5894,
2010-02-02 12:02:00,MOTOSW,41.25,42.0,40.35,40.5,7106,
2010-02-04 12:02:00,MOTOSW,41.5,43.38,41.01,42.21,8614,
2010-02-05 12:02:00,MOTOSW,40.38,40.88,39.31,40.05,16797,
2010-02-06 12:02:00,MOTOSW,39.75,41.5,38.24,40.49,2630,
2010-02-08 12:02:00,MOTOSW,40.31,41.18,39.78,40.06,3593,
2010-02-09 12:02:00,MOTOSW,40.25,40.45,39.59,39.8,2729,
2010-02-10 12:02:00,MOTOSW,40.86,40.86,39.28,39.48,2337,
2010-02-11 12:02:00,MOTOSW,40.41,40.41,39.4,39.64,3176,
2010-02-15 12:02:00,MOTOSW,39.75,40.13,39.5,39.98,5761,
2010-02-16 12:02:00,MOTOSW,39.54,40.1,39.53,40.0,8102,
2010-02-17 12:02:00,MOTOSW,40.01,41.0,40.01,40.81,6835,
2010-02-18 12:02:00,MOTOSW,40.03,40.83,39.58,39.74,3150,
2010-02-19 12:02:00,MOTOSW,39.51,39.88,38.81,39.0,1983,
2010-02-22 12:02:00,MOTOSW,39.25,40.24,39.04,39.74,31276,
2010-02-23 12:02:00,MOTOSW,39.55,39.93,39.26,39.53,5422,
