datetime,stock_code,open,high,low,close,volume,open_interest
2022-03-28 12:03:00,MOTSU,46.57,48.89,44.25,44.25,30152894,
2022-03-29 12:03:00,MOTSU,42.07,42.86,42.07,42.07,76737652,
2022-03-30 12:03:00,MOTSU,40.0,44.14,40.0,44.04,81796402,
2022-03-31 12:03:00,MOTSU,43.21,46.21,42.36,46.04,14995715,
2022-04-01 12:04:00,MOTSU,45.61,48.32,43.75,46.25,61777134,
2022-04-04 12:04:00,MOTSU,47.43,47.82,46.11,47.18,6653848,
2022-04-05 12:04:00,MOTSU,47.14,49.14,45.86,47.89,21329176,
2022-04-06 12:04:00,MOTSU,47.89,49.11,47.5,48.75,7671586,
2022-04-07 12:04:00,MOTSU,49.25,49.25,47.29,48.21,5612799,
2022-04-08 12:04:00,MOTSU,48.57,50.61,48.21,50.61,20348714,
2022-04-11 12:04:00,MOTSU,51.79,53.43,49.71,52.11,21456841,
2022-04-12 12:04:00,MOTSU,52.11,52.39,48.57,49.5,6975535,
2022-04-13 12:04:00,MOTSU,49.64,52.71,49.29,52.18,8610420,
2022-04-18 12:04:00,MOTSU,51.43,51.79,48.96,49.21,8575398,
2022-04-19 12:04:00,MOTSU,49.46,50.0,45.71,46.82,6009175,
2022-04-20 12:04:00,MOTSU,46.96,47.79,46.14,47.46,5191796,
2022-04-21 12:04:00,MOTSU,47.64,49.79,47.64,49.25,4794597,
2022-04-22 12:04:00,MOTSU,48.86,51.14,47.86,50.75,10983404,
2022-04-25 12:04:00,MOTSU,49.68,51.5,49.54,50.04,6143817,
2022-04-26 12:04:00,MOTSU,51.0,54.29,49.25,53.07,15921204,
2022-04-27 12:04:00,MOTSU,52.5,52.82,50.79,51.11,7375668,
2022-04-28 12:04:00,MOTSU,51.64,51.89,49.29,50.46,4471669,
2022-04-29 12:04:00,MOTSU,50.54,50.71,48.82,49.64,4832692,
2022-05-02 12:05:00,MOTSU,48.71,49.93,47.79,49.71,2784419,
2022-05-04 12:05:00,MOTSU,50.21,50.29,47.86,48.14,2785058,
2022-05-05 12:05:00,MOTSU,48.14,49.96,47.68,49.68,6621627,
2022-05-06 12:05:00,MOTSU,47.86,48.5,46.64,48.21,3757367,
2022-05-09 12:05:00,MOTSU,47.14,48.04,46.43,47.21,4048732,
2022-05-10 12:05:00,MOTSU,47.14,48.0,45.86,46.32,4323892,
2022-05-11 12:05:00,MOTSU,47.07,47.11,44.32,45.07,6219377,
2022-05-12 12:05:00,MOTSU,43.75,44.36,41.89,43.14,7162504,
