datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,MPHLIM,728.0,744.0,723.75,741.4,817246,
2010-01-05 12:01:00,MPHLIM,743.0,750.85,730.5,733.5,536445,
2010-01-06 12:01:00,MPHLIM,733.9,736.9,722.15,726.55,283029,
2010-01-07 12:01:00,MPHLIM,725.0,731.0,701.25,703.6,800948,
2010-01-08 12:01:00,MPHLIM,704.5,714.6,702.0,703.65,668013,
2010-01-11 12:01:00,MPHLIM,700.0,713.25,700.0,705.55,563905,
2010-01-12 12:01:00,MPHLIM,710.2,727.0,708.0,721.9,1078917,
2010-01-13 12:01:00,MPHLIM,710.0,736.5,710.0,734.15,800202,
2010-01-14 12:01:00,MPHLIM,735.0,753.0,723.0,726.0,524939,
2010-01-15 12:01:00,MPHLIM,728.0,734.4,718.0,721.25,303790,
2010-01-18 12:01:00,MPHLIM,718.7,726.45,711.7,714.7,291526,
2010-01-19 12:01:00,MPHLIM,703.15,720.0,700.0,702.4,161825,
2010-01-20 12:01:00,MPHLIM,708.0,711.7,691.4,694.15,448880,
2010-01-21 12:01:00,MPHLIM,700.0,700.3,672.5,689.75,684002,
2010-01-22 12:01:00,MPHLIM,675.0,699.8,671.0,692.35,995704,
2010-01-25 12:01:00,MPHLIM,680.0,687.8,673.1,677.75,789615,
2010-01-27 12:01:00,MPHLIM,680.0,680.0,634.0,640.95,974920,
2010-01-28 12:01:00,MPHLIM,641.05,679.9,640.1,669.0,1707193,
2010-01-29 12:01:00,MPHLIM,660.05,683.8,642.0,678.6,781380,
2010-02-01 12:02:00,MPHLIM,657.25,682.0,657.25,669.25,441695,
2010-02-02 12:02:00,MPHLIM,655.5,706.9,655.5,689.2,1180235,
2010-02-04 12:02:00,MPHLIM,701.35,723.0,686.2,692.4,369081,
2010-02-05 12:02:00,MPHLIM,680.5,712.0,667.9,703.0,674791,
2010-02-06 12:02:00,MPHLIM,710.0,716.45,705.0,710.9,80708,
2010-02-08 12:02:00,MPHLIM,712.0,718.8,684.5,706.8,567511,
2010-02-09 12:02:00,MPHLIM,693.0,732.25,693.0,722.85,679370,
2010-02-10 12:02:00,MPHLIM,726.3,731.95,714.25,719.05,495947,
2010-02-11 12:02:00,MPHLIM,720.0,732.6,718.0,728.25,245385,
2010-02-15 12:02:00,MPHLIM,730.0,738.4,721.6,726.55,302577,
2010-02-16 12:02:00,MPHLIM,725.0,743.0,717.15,739.35,381004,
2010-02-17 12:02:00,MPHLIM,744.05,753.55,735.4,743.55,560134,
2010-02-18 12:02:00,MPHLIM,745.0,745.0,727.5,735.4,356654,
2010-02-19 12:02:00,MPHLIM,730.0,746.9,724.5,733.7,477964,
2010-02-22 12:02:00,MPHLIM,740.0,745.2,725.0,727.25,156685,
2010-02-23 12:02:00,MPHLIM,723.95,744.0,720.15,740.45,487579,
2010-02-24 12:02:00,MPHLIM,734.2,748.3,728.25,734.8,555596,
2010-02-25 12:02:00,MPHLIM,780.0,780.0,670.0,674.7,3868283,
2010-02-26 12:02:00,MPHLIM,671.0,682.7,656.35,662.95,1144641,
2010-03-02 12:03:00,MPHLIM,670.0,679.8,657.0,668.7,753327,
2010-03-03 12:03:00,MPHLIM,670.0,689.0,669.0,682.3,861196,
2010-03-04 12:03:00,MPHLIM,674.0,685.4,667.05,668.25,1105894,
2010-03-05 12:03:00,MPHLIM,675.0,678.4,667.0,671.35,384031,
2010-03-08 12:03:00,MPHLIM,682.2,682.2,653.0,657.35,592675,
2010-03-09 12:03:00,MPHLIM,657.35,665.2,650.5,657.0,625793,
2010-03-10 12:03:00,MPHLIM,660.2,660.2,645.0,650.7,796552,
2010-03-11 12:03:00,MPHLIM,655.0,655.0,643.25,648.5,616597,
2010-03-12 12:03:00,MPHLIM,650.1,669.7,649.0,666.35,618857,
2010-03-15 12:03:00,MPHLIM,668.0,669.0,650.5,654.6,335816,
2010-03-16 12:03:00,MPHLIM,655.0,663.0,652.1,660.7,293344,
2010-03-17 12:03:00,MPHLIM,665.0,676.0,661.35,673.55,529086,
2010-03-18 12:03:00,MPHLIM,673.55,678.1,665.1,672.2,347027,
2010-03-19 12:03:00,MPHLIM,673.9,677.0,661.7,665.95,1478702,
2010-03-22 12:03:00,MPHLIM,660.25,674.4,658.6,664.3,376868,
2010-03-23 12:03:00,MPHLIM,665.0,674.0,649.15,653.85,540850,
2010-03-25 12:03:00,MPHLIM,657.7,659.0,646.8,649.85,586069,
2010-03-26 12:03:00,MPHLIM,656.95,660.9,648.95,650.95,339398,
2010-03-29 12:03:00,MPHLIM,654.7,654.7,630.15,632.25,565475,
2010-03-30 12:03:00,MPHLIM,630.1,632.9,610.0,622.15,2035764,
2010-03-31 12:03:00,MPHLIM,622.5,630.5,613.65,620.45,807082,
2010-04-01 12:04:00,MPHLIM,621.0,643.0,615.0,640.55,887044,
2010-04-05 12:04:00,MPHLIM,642.55,649.7,631.2,637.35,202165,
2010-04-06 12:04:00,MPHLIM,639.9,639.9,631.1,635.85,213297,
2010-04-07 12:04:00,MPHLIM,637.0,641.7,626.45,633.75,238889,
2010-04-08 12:04:00,MPHLIM,635.0,659.1,633.15,652.2,814263,
2010-04-09 12:04:00,MPHLIM,655.0,664.0,640.3,642.35,398768,
2010-04-12 12:04:00,MPHLIM,645.0,658.0,645.0,655.2,820032,
2010-04-13 12:04:00,MPHLIM,661.9,665.5,652.5,654.6,1884090,
2010-04-16 12:04:00,MPHLIM,662.0,673.8,656.0,662.0,1567478,
2010-04-19 12:04:00,MPHLIM,650.0,659.0,644.0,647.85,176375,
2010-04-20 12:04:00,MPHLIM,648.0,653.8,640.0,648.05,122443,
2010-04-21 12:04:00,MPHLIM,648.0,657.0,648.0,652.65,263499,
2010-04-22 12:04:00,MPHLIM,651.15,660.35,644.55,656.0,907220,
2010-04-23 12:04:00,MPHLIM,659.0,663.9,652.05,659.4,434741,
2010-04-26 12:04:00,MPHLIM,665.8,665.8,650.3,652.25,126455,
2010-04-27 12:04:00,MPHLIM,650.0,662.0,649.2,660.35,248448,
2010-04-28 12:04:00,MPHLIM,655.0,664.4,651.35,661.05,381771,
2010-04-29 12:04:00,MPHLIM,662.7,666.0,647.5,655.25,460474,
2010-04-30 12:04:00,MPHLIM,655.25,687.2,653.0,680.75,964596,
2010-05-03 12:05:00,MPHLIM,672.0,691.2,671.0,677.1,211169,
2010-05-04 12:05:00,MPHLIM,681.8,696.3,671.0,675.1,516944,
2010-05-05 12:05:00,MPHLIM,667.0,687.8,662.0,683.3,378924,
2010-05-06 12:05:00,MPHLIM,688.0,693.8,671.4,677.85,510804,
2010-05-07 12:05:00,MPHLIM,665.25,671.7,632.35,641.5,492466,
2010-05-10 12:05:00,MPHLIM,645.0,662.8,642.75,659.4,280567,
2010-05-11 12:05:00,MPHLIM,655.0,662.9,644.6,647.2,180455,
