datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,NAGCON,86.48,88.08,86.07,87.64,772932,
2010-01-05 12:01:00,NAGCON,88.01,90.02,87.89,88.86,1092333,
2010-01-06 12:01:00,NAGCON,89.65,91.49,88.77,89.6,2291033,
2010-01-07 12:01:00,NAGCON,89.74,91.42,88.77,90.36,1421398,
2010-01-08 12:01:00,NAGCON,90.98,93.08,89.78,91.7,1251896,
2010-01-11 12:01:00,NAGCON,92.46,94.08,92.28,93.13,1548896,
2010-01-12 12:01:00,NAGCON,93.85,93.85,91.17,92.42,951975,
2010-01-13 12:01:00,NAGCON,91.82,92.92,89.6,92.58,645657,
2010-01-14 12:01:00,NAGCON,93.62,94.12,92.28,92.83,645742,
2010-01-15 12:01:00,NAGCON,92.65,94.86,92.48,92.83,922967,
2010-01-18 12:01:00,NAGCON,92.51,93.38,92.02,92.9,962631,
2010-01-19 12:01:00,NAGCON,92.78,93.36,89.78,90.48,834354,
2010-01-20 12:01:00,NAGCON,90.89,92.46,89.74,90.36,443170,
2010-01-21 12:01:00,NAGCON,90.11,90.57,87.25,87.8,498209,
2010-01-22 12:01:00,NAGCON,85.03,87.38,84.36,85.65,981373,
2010-01-25 12:01:00,NAGCON,85.17,85.52,82.79,83.09,234936,
2010-01-27 12:01:00,NAGCON,83.55,84.52,79.19,79.63,518324,
2010-01-28 12:01:00,NAGCON,89.18,89.18,80.02,82.1,958202,
2010-01-29 12:01:00,NAGCON,81.29,85.54,78.41,84.29,632846,
2010-02-01 12:02:00,NAGCON,83.09,87.85,82.31,87.04,476718,
2010-02-02 12:02:00,NAGCON,87.85,88.31,83.37,84.41,814514,
2010-02-04 12:02:00,NAGCON,84.62,87.22,84.2,84.71,626916,
2010-02-05 12:02:00,NAGCON,82.38,83.6,80.69,82.17,637407,
2010-02-06 12:02:00,NAGCON,82.77,83.92,81.85,83.21,47704,
2010-02-08 12:02:00,NAGCON,83.6,83.6,80.35,82.01,736356,
2010-02-09 12:02:00,NAGCON,82.33,84.02,82.1,82.7,533969,
2010-02-10 12:02:00,NAGCON,84.02,85.75,82.95,83.62,448539,
