datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,NATMIN,142.0,143.33,139.83,142.45,166532,
2010-01-05 12:01:00,NATMIN,142.83,144.0,141.7,141.95,130822,
2010-01-06 12:01:00,NATMIN,144.63,144.63,141.83,142.38,221173,
2010-01-07 12:01:00,NATMIN,141.7,143.83,138.18,139.95,332511,
2010-01-08 12:01:00,NATMIN,139.6,142.3,138.67,139.85,315717,
2010-01-11 12:01:00,NATMIN,143.37,149.67,142.8,144.53,432026,
2010-01-12 12:01:00,NATMIN,145.8,146.0,141.58,141.88,191991,
2010-01-13 12:01:00,NATMIN,141.3,142.65,139.0,141.85,117292,
2010-01-14 12:01:00,NATMIN,142.67,143.78,141.67,142.23,83761,
2010-01-15 12:01:00,NATMIN,143.17,164.33,142.67,159.77,4414113,
2010-01-18 12:01:00,NATMIN,158.13,182.3,156.67,175.63,8043581,
2010-01-19 12:01:00,NATMIN,178.13,190.4,176.98,185.3,6841271,
2010-01-20 12:01:00,NATMIN,187.07,190.33,175.83,177.75,3450818,
2010-01-21 12:01:00,NATMIN,175.0,175.68,163.67,166.05,1996211,
2010-01-22 12:01:00,NATMIN,161.67,182.93,153.83,178.03,6276165,
2010-01-25 12:01:00,NATMIN,174.8,181.0,170.2,172.43,3317729,
2010-01-27 12:01:00,NATMIN,167.67,174.2,150.07,155.98,1849857,
2010-01-28 12:01:00,NATMIN,158.33,167.65,157.52,159.55,3137938,
2010-01-29 12:01:00,NATMIN,157.33,169.23,153.67,165.8,2125773,
2010-02-01 12:02:00,NATMIN,163.33,171.3,160.7,166.58,2009874,
2010-02-02 12:02:00,NATMIN,168.8,170.55,160.03,161.23,1202768,
2010-02-04 12:02:00,NATMIN,160.67,167.0,158.37,159.67,1519313,
2010-02-05 12:02:00,NATMIN,156.27,156.27,146.67,148.95,892036,
2010-02-06 12:02:00,NATMIN,151.67,152.8,150.0,151.15,235120,
2010-02-08 12:02:00,NATMIN,151.35,154.57,148.63,149.75,725195,
2010-02-09 12:02:00,NATMIN,149.83,165.13,146.35,163.63,3974229,
2010-02-10 12:02:00,NATMIN,163.63,170.67,160.7,162.42,5058685,
2010-02-11 12:02:00,NATMIN,163.33,166.63,161.03,162.3,1804161,
2010-02-15 12:02:00,NATMIN,164.67,166.17,161.07,162.05,973756,
2010-02-16 12:02:00,NATMIN,165.0,165.97,161.67,163.13,1056329,
2010-02-17 12:02:00,NATMIN,164.0,165.0,159.22,160.18,871005,
2010-02-18 12:02:00,NATMIN,161.6,161.67,152.47,153.9,756708,
2010-02-19 12:02:00,NATMIN,151.6,159.23,147.33,152.55,2305166,
2010-02-22 12:02:00,NATMIN,156.0,156.67,145.83,147.65,926800,
2010-02-23 12:02:00,NATMIN,146.72,151.1,145.12,146.2,1038645,
2010-02-24 12:02:00,NATMIN,145.67,148.27,142.4,143.47,678847,
2010-02-25 12:02:00,NATMIN,145.0,146.5,141.68,142.62,772772,
2010-02-26 12:02:00,NATMIN,143.33,148.67,143.0,144.5,1414400,
2010-03-02 12:03:00,NATMIN,146.33,148.45,143.33,144.62,393503,
2010-03-03 12:03:00,NATMIN,146.0,149.5,143.67,145.0,891656,
2010-03-04 12:03:00,NATMIN,146.0,148.63,144.35,145.42,1042815,
2010-03-05 12:03:00,NATMIN,146.0,146.0,138.45,138.9,1837617,
2010-03-08 12:03:00,NATMIN,138.9,139.6,128.0,133.95,3255336,
2010-03-09 12:03:00,NATMIN,123.33,128.33,121.73,125.88,2513808,
2010-03-10 12:03:00,NATMIN,122.67,129.53,120.33,127.22,3250653,
2010-03-11 12:03:00,NATMIN,120.0,125.0,119.37,120.4,1372195,
2010-03-12 12:03:00,NATMIN,120.0,123.0,118.4,120.92,2287638,
2010-03-15 12:03:00,NATMIN,119.07,119.33,113.67,114.65,1715528,
2010-03-16 12:03:00,NATMIN,112.67,113.3,108.78,111.08,1356798,
2010-03-17 12:03:00,NATMIN,109.67,122.33,108.33,120.72,6716907,
2010-03-18 12:03:00,NATMIN,123.33,124.8,117.77,119.43,4445425,
2010-03-19 12:03:00,NATMIN,117.67,121.67,117.17,120.15,1764894,
2010-03-22 12:03:00,NATMIN,123.0,123.0,113.33,115.27,1408154,
2010-03-23 12:03:00,NATMIN,115.0,115.0,107.83,108.9,2366032,
2010-03-25 12:03:00,NATMIN,103.83,105.67,101.2,101.62,6193972,
2010-03-26 12:03:00,NATMIN,102.0,103.17,97.33,99.63,4364353,
2010-03-29 12:03:00,NATMIN,99.0,99.0,94.37,95.05,12830645,
2010-03-30 12:03:00,NATMIN,95.5,100.13,95.33,98.17,10662206,
2010-03-31 12:03:00,NATMIN,99.33,100.2,97.67,98.13,4023671,
2010-04-01 12:04:00,NATMIN,99.33,99.47,98.08,98.45,1327556,
2010-04-05 12:04:00,NATMIN,99.42,100.37,98.37,99.53,1726197,
2010-04-06 12:04:00,NATMIN,100.0,101.4,99.35,101.03,4508270,
2010-04-07 12:04:00,NATMIN,101.67,104.25,101.3,102.57,5489266,
2010-04-08 12:04:00,NATMIN,103.0,103.25,100.5,101.45,2184450,
2010-04-09 12:04:00,NATMIN,102.0,102.33,100.5,100.63,1247395,
2010-04-12 12:04:00,NATMIN,101.33,101.5,98.9,100.18,1954596,
2010-04-13 12:04:00,NATMIN,99.87,100.1,97.38,97.92,1511775,
2010-04-16 12:04:00,NATMIN,98.0,99.22,97.05,97.5,816825,
2010-04-19 12:04:00,NATMIN,96.85,99.67,96.0,98.25,1226354,
2010-04-20 12:04:00,NATMIN,98.67,100.63,98.67,99.03,1501944,
2010-04-21 12:04:00,NATMIN,99.67,100.33,99.1,99.97,1065344,
2010-04-22 12:04:00,NATMIN,100.0,101.4,99.35,99.65,1575745,
2010-04-23 12:04:00,NATMIN,99.67,100.6,99.5,100.22,906409,
2010-04-26 12:04:00,NATMIN,100.33,100.65,99.77,100.12,869965,
2010-04-27 12:04:00,NATMIN,100.0,100.42,99.37,99.97,1043846,
2010-04-28 12:04:00,NATMIN,98.33,99.33,98.0,98.67,493689,
2010-04-29 12:04:00,NATMIN,99.0,99.5,98.37,98.7,297830,
2010-04-30 12:04:00,NATMIN,99.58,100.0,98.83,99.78,525025,
2010-05-03 12:05:00,NATMIN,99.58,99.95,99.08,99.47,320748,
2010-05-04 12:05:00,NATMIN,99.17,99.9,97.82,98.67,483816,
2010-05-05 12:05:00,NATMIN,96.67,98.32,96.07,97.58,800765,
2010-05-06 12:05:00,NATMIN,98.33,98.82,96.33,97.07,781732,
2010-05-07 12:05:00,NATMIN,95.33,99.63,95.17,98.22,1321657,
2010-05-10 12:05:00,NATMIN,98.67,99.28,97.53,98.12,263388,
2010-05-11 12:05:00,NATMIN,98.35,98.62,96.82,97.12,213447,
2010-05-12 12:05:00,NATMIN,97.67,100.83,97.17,98.5,790010,
2010-05-13 12:05:00,NATMIN,99.0,99.67,97.83,98.12,212735,
2010-05-14 12:05:00,NATMIN,97.83,98.5,96.72,97.18,284367,
2010-05-17 12:05:00,NATMIN,95.0,97.73,94.18,97.38,372694,
2010-05-18 12:05:00,NATMIN,97.0,97.5,94.33,94.63,620238,
2010-05-19 12:05:00,NATMIN,94.33,95.6,92.08,92.98,320129,
2010-05-20 12:05:00,NATMIN,93.33,94.92,92.0,92.38,370710,
2010-05-24 12:05:00,NATMIN,92.83,93.28,90.33,90.72,274140,
2010-05-25 12:05:00,NATMIN,90.33,90.33,88.13,88.65,390314,
2010-05-26 12:05:00,NATMIN,89.0,90.8,89.0,89.62,244251,
2010-05-27 12:05:00,NATMIN,89.75,90.5,88.1,88.42,214752,
2010-05-28 12:05:00,NATMIN,89.25,90.2,88.17,88.68,278221,
2010-05-31 12:05:00,NATMIN,88.85,94.93,88.37,93.68,2296009,
2010-06-01 12:06:00,NATMIN,94.6,94.6,91.1,91.58,990177,
2010-06-02 12:06:00,NATMIN,91.73,93.13,90.5,91.65,386432,
2010-06-03 12:06:00,NATMIN,92.63,93.32,91.33,91.4,334771,
2010-06-04 12:06:00,NATMIN,91.98,92.0,90.42,91.3,287508,
2010-06-07 12:06:00,NATMIN,88.18,90.0,86.7,87.63,395120,
2010-06-08 12:06:00,NATMIN,86.55,88.82,85.18,85.6,633519,
2010-06-09 12:06:00,NATMIN,86.45,87.63,84.97,85.17,453145,
2010-06-10 12:06:00,NATMIN,85.8,86.3,85.03,85.4,328352,
2010-06-11 12:06:00,NATMIN,86.0,86.77,85.35,85.6,318274,
2010-06-14 12:06:00,NATMIN,85.78,86.28,85.15,85.32,276218,
2010-06-15 12:06:00,NATMIN,85.33,89.23,85.12,87.45,1053344,
2010-06-16 12:06:00,NATMIN,88.07,88.33,87.03,87.28,272260,
2010-06-17 12:06:00,NATMIN,87.45,91.3,87.45,88.38,824565,
2010-06-18 12:06:00,NATMIN,88.37,89.3,88.22,88.33,456135,
2010-06-21 12:06:00,NATMIN,89.0,89.33,88.43,89.0,352856,
2010-06-22 12:06:00,NATMIN,89.0,89.93,88.05,88.3,317676,
2010-06-23 12:06:00,NATMIN,88.33,88.47,87.17,87.48,298822,
2010-06-24 12:06:00,NATMIN,88.0,88.6,87.93,88.12,254557,
2010-06-25 12:06:00,NATMIN,88.0,89.0,87.7,88.65,323043,
2010-06-28 12:06:00,NATMIN,88.67,90.95,87.75,89.62,313582,
2010-06-30 12:06:00,NATMIN,88.37,89.97,87.67,88.52,397331,
2010-07-01 12:07:00,NATMIN,88.67,91.43,88.37,88.55,889138,
2010-07-02 12:07:00,NATMIN,89.03,89.5,87.48,87.63,712225,
2010-07-05 12:07:00,NATMIN,87.87,88.03,87.03,87.35,549272,
2010-07-06 12:07:00,NATMIN,87.6,89.8,87.13,87.78,1138498,
2010-07-07 12:07:00,NATMIN,88.83,91.15,87.78,88.02,555435,
2010-07-08 12:07:00,NATMIN,88.67,89.67,87.57,87.77,733956,
2010-07-09 12:07:00,NATMIN,88.3,88.92,88.02,88.22,362242,
2010-07-12 12:07:00,NATMIN,88.55,89.6,88.13,88.3,529881,
2010-07-13 12:07:00,NATMIN,88.03,89.33,87.33,88.27,602343,
2010-07-14 12:07:00,NATMIN,88.5,89.8,88.08,88.23,715945,
2010-07-15 12:07:00,NATMIN,88.03,88.58,87.67,88.0,341250,
2010-07-16 12:07:00,NATMIN,88.03,88.8,87.83,88.03,316602,
2010-07-19 12:07:00,NATMIN,87.53,88.03,87.0,87.37,390919,
2010-07-20 12:07:00,NATMIN,87.55,88.0,85.67,86.07,407488,
2010-07-21 12:07:00,NATMIN,86.5,87.77,85.93,86.23,552837,
2010-07-22 12:07:00,NATMIN,86.5,87.58,86.12,87.13,334775,
2010-07-23 12:07:00,NATMIN,87.43,87.63,86.33,86.47,254971,
2010-07-26 12:07:00,NATMIN,87.0,87.32,86.53,87.07,235313,
2010-07-27 12:07:00,NATMIN,87.77,87.92,87.0,87.3,255181,
2010-07-29 12:07:00,NATMIN,87.33,87.63,87.0,87.03,176053,
2010-07-30 12:07:00,NATMIN,87.0,88.17,86.67,86.95,326512,
2010-08-02 12:08:00,NATMIN,87.83,87.83,87.18,87.38,265479,
2010-08-03 12:08:00,NATMIN,89.0,91.0,88.67,89.17,1498280,
2010-08-04 12:08:00,NATMIN,89.33,90.58,89.33,89.62,554466,
2010-08-05 12:08:00,NATMIN,89.87,90.13,88.67,88.95,280606,
2010-08-06 12:08:00,NATMIN,89.17,90.47,88.37,89.68,568193,
2010-08-09 12:08:00,NATMIN,89.98,90.0,88.67,89.32,274675,
2010-08-10 12:08:00,NATMIN,89.5,89.67,87.33,87.48,291966,
2010-08-11 12:08:00,NATMIN,87.67,88.83,87.07,87.32,295054,
2010-08-12 12:08:00,NATMIN,87.48,87.48,85.17,85.75,453520,
2010-08-13 12:08:00,NATMIN,86.0,86.63,85.5,85.68,230454,
2010-08-16 12:08:00,NATMIN,86.0,86.23,83.88,85.62,289845,
2010-08-17 12:08:00,NATMIN,85.98,85.98,84.48,84.77,182162,
2010-08-18 12:08:00,NATMIN,85.7,86.57,85.0,85.67,269561,
2010-08-19 12:08:00,NATMIN,85.33,85.82,84.7,85.08,322138,
2010-08-20 12:08:00,NATMIN,85.33,87.98,84.67,86.02,644199,
2010-08-23 12:08:00,NATMIN,86.15,86.63,85.33,85.63,180607,
2010-08-24 12:08:00,NATMIN,85.67,86.07,84.67,84.75,136511,
2010-08-25 12:08:00,NATMIN,84.88,85.03,84.0,84.2,278152,
2010-08-26 12:08:00,NATMIN,84.03,84.52,83.67,83.83,309459,
2010-08-30 12:08:00,NATMIN,84.0,84.0,82.0,82.05,286376,
2010-08-31 12:08:00,NATMIN,82.05,82.05,80.02,80.17,194484,
2010-09-01 12:09:00,NATMIN,80.65,85.43,80.53,83.3,1267786,
2010-09-02 12:09:00,NATMIN,84.0,84.57,82.88,83.07,246617,
2010-09-03 12:09:00,NATMIN,83.3,84.47,82.4,83.03,349527,
2010-09-06 12:09:00,NATMIN,83.98,85.27,83.67,84.87,381030,
2010-09-07 12:09:00,NATMIN,84.73,88.95,83.83,87.18,1233259,
2010-09-08 12:09:00,NATMIN,87.0,87.88,85.7,86.35,318451,
2010-09-09 12:09:00,NATMIN,88.33,89.53,86.35,86.65,397241,
2010-09-13 12:09:00,NATMIN,87.07,87.93,86.73,87.45,340733,
2010-09-14 12:09:00,NATMIN,87.45,88.15,86.33,86.83,338847,
2010-09-15 12:09:00,NATMIN,86.83,87.57,86.4,86.65,308682,
2010-09-16 12:09:00,NATMIN,86.65,87.23,86.22,86.8,342430,
2010-09-17 12:09:00,NATMIN,86.8,89.33,85.48,88.73,1084094,
