datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,NAVBHA,103.0,104.49,101.0,102.08,37425,
2010-01-05 12:01:00,NAVBHA,100.0,104.0,100.0,102.94,44918,
2010-01-06 12:01:00,NAVBHA,103.5,107.48,103.03,105.39,164069,
2010-01-07 12:01:00,NAVBHA,105.88,106.98,104.25,106.25,50974,
2010-01-08 12:01:00,NAVBHA,106.25,111.0,105.2,109.34,215552,
2010-01-11 12:01:00,NAVBHA,111.5,113.39,109.5,112.4,237709,
2010-01-12 12:01:00,NAVBHA,111.25,115.6,111.25,112.23,205302,
2010-01-13 12:01:00,NAVBHA,112.0,112.48,107.53,109.03,90569,
2010-01-14 12:01:00,NAVBHA,110.0,111.25,108.91,109.3,33331,
2010-01-15 12:01:00,NAVBHA,110.75,110.75,107.5,107.88,18513,
2010-01-18 12:01:00,NAVBHA,106.75,107.13,105.33,105.64,49180,
2010-01-19 12:01:00,NAVBHA,106.25,110.25,105.75,106.53,76780,
2010-01-20 12:01:00,NAVBHA,106.75,108.98,104.25,106.78,42128,
2010-01-21 12:01:00,NAVBHA,105.75,107.23,103.03,104.93,31229,
2010-01-22 12:01:00,NAVBHA,103.0,103.0,100.76,101.8,41566,
2010-01-25 12:01:00,NAVBHA,101.0,102.5,100.04,101.06,36506,
2010-01-27 12:01:00,NAVBHA,101.23,101.96,97.53,97.89,45706,
2010-01-28 12:01:00,NAVBHA,99.5,100.25,96.28,96.71,27835,
2010-01-29 12:01:00,NAVBHA,96.25,99.7,95.0,98.6,34052,
2010-02-01 12:02:00,NAVBHA,99.99,103.85,99.99,101.25,45079,
2010-02-02 12:02:00,NAVBHA,102.76,103.63,98.04,99.5,33502,
2010-02-04 12:02:00,NAVBHA,100.0,101.25,97.5,97.8,12456,
2010-02-05 12:02:00,NAVBHA,92.5,97.99,89.06,96.43,46898,
2010-02-06 12:02:00,NAVBHA,97.25,99.6,95.5,97.49,2688,
2010-02-08 12:02:00,NAVBHA,97.5,98.7,94.89,95.05,32818,
2010-02-09 12:02:00,NAVBHA,94.01,95.75,94.01,94.8,18442,
2010-02-10 12:02:00,NAVBHA,95.75,97.0,94.65,94.94,25964,
2010-02-11 12:02:00,NAVBHA,96.5,96.5,87.35,94.59,17271,
2010-02-15 12:02:00,NAVBHA,95.0,96.25,93.5,93.7,14589,
2010-02-16 12:02:00,NAVBHA,93.8,94.5,93.58,94.18,25983,
2010-02-17 12:02:00,NAVBHA,94.53,94.53,93.78,94.19,39545,
2010-02-18 12:02:00,NAVBHA,93.5,97.68,93.5,94.13,45353,
2010-02-19 12:02:00,NAVBHA,94.13,94.7,92.14,93.08,20431,
2010-02-22 12:02:00,NAVBHA,94.98,97.75,92.58,92.76,98321,
2010-02-23 12:02:00,NAVBHA,93.38,93.38,90.64,91.01,37072,
2010-02-24 12:02:00,NAVBHA,90.0,91.75,88.79,90.01,20020,
2010-02-25 12:02:00,NAVBHA,90.63,91.96,89.0,89.63,17116,
2010-02-26 12:02:00,NAVBHA,90.0,90.06,88.0,88.88,62751,
2010-03-02 12:03:00,NAVBHA,90.75,90.88,89.5,89.95,33298,
2010-03-03 12:03:00,NAVBHA,91.19,91.75,90.38,91.04,74338,
2010-03-04 12:03:00,NAVBHA,91.25,93.5,91.0,92.48,44480,
2010-03-05 12:03:00,NAVBHA,93.73,95.0,92.25,93.54,189884,
2010-03-08 12:03:00,NAVBHA,95.01,98.5,95.0,97.26,152658,
2010-03-09 12:03:00,NAVBHA,97.5,99.5,96.26,96.83,31744,
2010-03-10 12:03:00,NAVBHA,97.05,100.4,94.5,96.06,252220,
2010-03-11 12:03:00,NAVBHA,96.88,96.88,93.89,94.84,34570,
2010-03-12 12:03:00,NAVBHA,95.5,96.25,93.3,93.76,35252,
2010-03-15 12:03:00,NAVBHA,93.75,95.0,93.75,93.94,16608,
2010-03-16 12:03:00,NAVBHA,94.74,95.36,93.75,94.8,46687,
2010-03-17 12:03:00,NAVBHA,96.23,101.25,95.0,97.89,136585,
2010-03-18 12:03:00,NAVBHA,98.0,101.25,96.75,99.58,149307,
2010-03-19 12:03:00,NAVBHA,99.75,102.25,97.76,100.58,74829,
2010-03-22 12:03:00,NAVBHA,100.03,100.23,98.08,98.75,52079,
2010-03-23 12:03:00,NAVBHA,99.25,101.25,99.25,99.95,30053,
2010-03-25 12:03:00,NAVBHA,100.25,101.25,98.75,99.98,74011,
2010-03-26 12:03:00,NAVBHA,100.5,100.86,100.0,100.01,31083,
2010-03-29 12:03:00,NAVBHA,100.93,100.93,99.09,99.41,119354,
2010-03-30 12:03:00,NAVBHA,100.13,102.5,99.33,100.29,57169,
2010-03-31 12:03:00,NAVBHA,100.5,102.36,99.9,100.04,52522,
2010-04-01 12:04:00,NAVBHA,101.38,104.73,100.63,103.88,74149,
2010-04-05 12:04:00,NAVBHA,105.25,106.46,103.51,103.95,94386,
2010-04-06 12:04:00,NAVBHA,104.01,106.2,103.04,103.51,44646,
2010-04-07 12:04:00,NAVBHA,104.59,104.59,102.26,102.86,23806,
2010-04-08 12:04:00,NAVBHA,101.25,104.19,100.53,101.31,48027,
2010-04-09 12:04:00,NAVBHA,101.8,102.5,100.0,101.34,74647,
2010-04-12 12:04:00,NAVBHA,101.25,102.18,99.75,99.99,76611,
2010-04-13 12:04:00,NAVBHA,100.28,101.25,100.0,100.26,33622,
2010-04-16 12:04:00,NAVBHA,105.25,107.0,103.63,104.64,80963,
2010-04-19 12:04:00,NAVBHA,103.25,106.5,102.5,106.01,70240,
