datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,NAVFLU,69.2,69.2,67.59,67.97,14203,
2010-01-05 12:01:00,NAVFLU,68.6,69.39,67.62,68.36,22731,
2010-01-06 12:01:00,NAVFLU,68.4,69.0,67.4,67.69,10899,
2010-01-07 12:01:00,NAVFLU,68.0,69.25,66.66,67.81,20604,
2010-01-08 12:01:00,NAVFLU,68.41,68.78,67.2,67.39,14016,
2010-01-11 12:01:00,NAVFLU,68.18,68.58,67.6,67.81,16553,
2010-01-12 12:01:00,NAVFLU,68.56,68.98,67.26,67.6,18783,
2010-01-13 12:01:00,NAVFLU,66.01,69.4,66.01,68.93,18340,
2010-01-14 12:01:00,NAVFLU,69.78,70.99,69.63,70.24,34115,
2010-01-15 12:01:00,NAVFLU,70.8,73.0,70.78,72.08,54891,
2010-01-18 12:01:00,NAVFLU,73.2,79.6,72.98,77.25,178855,
2010-01-19 12:01:00,NAVFLU,78.34,78.54,74.3,74.56,85552,
2010-01-20 12:01:00,NAVFLU,75.59,75.8,72.22,72.85,46460,
2010-01-21 12:01:00,NAVFLU,70.16,73.55,70.16,71.1,22395,
2010-01-22 12:01:00,NAVFLU,68.0,70.99,66.05,70.39,22864,
2010-01-25 12:01:00,NAVFLU,70.6,73.4,69.2,71.43,23577,
2010-01-27 12:01:00,NAVFLU,71.6,72.58,68.01,68.72,16135,
2010-01-28 12:01:00,NAVFLU,68.99,69.09,66.6,67.16,23626,
2010-01-29 12:01:00,NAVFLU,65.22,67.2,64.4,66.65,10159,
2010-02-01 12:02:00,NAVFLU,67.2,67.75,65.84,66.2,19070,
2010-02-02 12:02:00,NAVFLU,67.58,68.0,66.2,66.54,9426,
2010-02-04 12:02:00,NAVFLU,68.98,70.0,65.41,66.1,21314,
2010-02-05 12:02:00,NAVFLU,64.78,64.8,63.43,63.69,11600,
2010-02-06 12:02:00,NAVFLU,63.7,64.27,62.5,63.72,1792,
2010-02-08 12:02:00,NAVFLU,64.77,64.8,61.2,63.54,6855,
2010-02-09 12:02:00,NAVFLU,65.43,65.43,62.8,63.75,7059,
2010-02-10 12:02:00,NAVFLU,64.75,64.8,62.82,63.18,6042,
2010-02-11 12:02:00,NAVFLU,64.78,64.78,62.6,63.07,11198,
2010-02-15 12:02:00,NAVFLU,63.4,64.4,62.8,63.08,2285,
2010-02-16 12:02:00,NAVFLU,63.6,63.8,63.0,63.05,3251,
2010-02-17 12:02:00,NAVFLU,63.8,64.76,63.4,63.69,9284,
2010-02-18 12:02:00,NAVFLU,64.4,64.4,63.02,63.18,3439,
2010-02-19 12:02:00,NAVFLU,63.0,63.6,62.22,62.62,3293,
2010-02-22 12:02:00,NAVFLU,60.4,65.38,60.4,63.1,91726,
2010-02-23 12:02:00,NAVFLU,62.6,66.0,62.2,62.36,4544,
2010-02-24 12:02:00,NAVFLU,63.4,63.4,61.4,61.47,8231,
2010-02-25 12:02:00,NAVFLU,61.47,61.97,61.03,61.36,3051,
2010-02-26 12:02:00,NAVFLU,61.8,63.0,60.6,62.24,4389,
2010-03-02 12:03:00,NAVFLU,62.78,64.36,62.11,63.78,6997,
2010-03-03 12:03:00,NAVFLU,64.8,65.86,63.42,64.19,14650,
2010-03-04 12:03:00,NAVFLU,64.25,64.8,63.49,63.76,6108,
2010-03-05 12:03:00,NAVFLU,64.58,64.6,63.22,63.83,36931,
2010-03-08 12:03:00,NAVFLU,66.2,73.6,65.32,65.45,46930,
2010-03-09 12:03:00,NAVFLU,65.8,66.0,64.4,65.4,12908,
2010-03-10 12:03:00,NAVFLU,66.0,66.6,64.87,64.99,19528,
2010-03-11 12:03:00,NAVFLU,64.8,66.0,64.8,65.17,10337,
2010-03-12 12:03:00,NAVFLU,66.0,66.01,63.6,63.93,8275,
2010-03-15 12:03:00,NAVFLU,64.1,64.74,63.05,63.22,4817,
2010-03-16 12:03:00,NAVFLU,64.4,64.4,62.75,63.0,9769,
2010-03-17 12:03:00,NAVFLU,63.98,64.8,62.2,62.47,12325,
2010-03-18 12:03:00,NAVFLU,62.3,63.38,62.3,62.65,6539,
2010-03-19 12:03:00,NAVFLU,62.99,63.0,62.4,62.54,10822,
2010-03-22 12:03:00,NAVFLU,62.4,62.95,61.64,62.02,7882,
2010-03-23 12:03:00,NAVFLU,62.8,62.8,61.8,61.93,4158,
2010-03-25 12:03:00,NAVFLU,61.8,62.25,61.4,61.81,26725,
2010-03-26 12:03:00,NAVFLU,61.71,62.18,61.62,61.72,10123,
2010-03-29 12:03:00,NAVFLU,61.6,61.72,60.4,60.8,18934,
2010-03-30 12:03:00,NAVFLU,61.2,61.8,60.0,60.46,11961,
2010-03-31 12:03:00,NAVFLU,60.66,61.0,59.81,60.04,17327,
2010-04-01 12:04:00,NAVFLU,60.58,65.6,60.58,64.45,33489,
2010-04-05 12:04:00,NAVFLU,65.3,67.5,64.8,66.51,31753,
2010-04-06 12:04:00,NAVFLU,67.18,67.18,65.4,65.87,15080,
2010-04-07 12:04:00,NAVFLU,66.8,67.3,66.2,66.77,12253,
