datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,NIITEC,181.4,182.0,177.15,179.25,222777,
2010-01-05 12:01:00,NIITEC,179.9,182.25,177.8,178.6,459899,
2010-01-06 12:01:00,NIITEC,179.8,181.5,176.0,176.75,252438,
2010-01-07 12:01:00,NIITEC,178.0,179.5,173.0,174.15,272994,
2010-01-08 12:01:00,NIITEC,176.0,177.9,174.15,175.65,180602,
2010-01-11 12:01:00,NIITEC,176.8,180.4,175.7,178.95,260865,
2010-01-12 12:01:00,NIITEC,181.0,188.25,179.65,185.05,1057196,
2010-01-13 12:01:00,NIITEC,184.0,185.9,177.1,180.95,653824,
2010-01-14 12:01:00,NIITEC,182.0,186.0,182.0,185.0,284235,
2010-01-15 12:01:00,NIITEC,186.8,188.4,180.0,186.75,884563,
2010-01-18 12:01:00,NIITEC,187.0,199.6,186.85,197.75,1260657,
2010-01-19 12:01:00,NIITEC,199.9,200.0,190.05,195.7,457396,
2010-01-20 12:01:00,NIITEC,197.95,204.0,194.0,199.1,804593,
2010-01-21 12:01:00,NIITEC,197.9,201.5,190.0,191.95,370531,
2010-01-22 12:01:00,NIITEC,190.2,190.2,181.35,186.35,257692,
2010-01-25 12:01:00,NIITEC,185.0,194.0,181.4,190.0,423406,
2010-01-27 12:01:00,NIITEC,186.0,191.45,172.6,175.2,323605,
2010-01-28 12:01:00,NIITEC,175.2,180.5,171.1,173.45,284902,
2010-01-29 12:01:00,NIITEC,171.4,172.5,167.0,169.8,266562,
2010-02-01 12:02:00,NIITEC,168.95,172.0,167.7,168.75,331163,
2010-02-02 12:02:00,NIITEC,171.0,172.9,166.1,168.05,254800,
2010-02-04 12:02:00,NIITEC,182.0,182.0,163.5,165.45,350158,
2010-02-05 12:02:00,NIITEC,162.0,167.65,157.0,163.9,251885,
2010-02-06 12:02:00,NIITEC,164.0,166.5,162.25,163.95,41581,
2010-02-08 12:02:00,NIITEC,165.85,167.9,157.5,158.4,264005,
2010-02-09 12:02:00,NIITEC,158.8,161.55,157.0,158.7,157282,
2010-02-10 12:02:00,NIITEC,161.8,174.25,160.0,171.05,883724,
2010-02-11 12:02:00,NIITEC,173.0,175.45,168.5,170.8,384841,
2010-02-15 12:02:00,NIITEC,172.0,172.95,168.0,171.05,167120,
2010-02-16 12:02:00,NIITEC,173.95,173.95,166.1,170.5,94737,
2010-02-17 12:02:00,NIITEC,172.0,172.7,169.5,171.25,107865,
2010-02-18 12:02:00,NIITEC,172.0,177.9,170.1,175.15,270095,
2010-02-19 12:02:00,NIITEC,174.6,177.5,171.05,175.25,182385,
2010-02-22 12:02:00,NIITEC,177.4,181.5,175.7,179.0,364790,
2010-02-23 12:02:00,NIITEC,179.0,203.7,175.0,177.35,338344,
2010-02-24 12:02:00,NIITEC,176.95,178.65,169.2,171.95,210516,
2010-02-25 12:02:00,NIITEC,171.95,174.75,166.0,166.95,226403,
2010-02-26 12:02:00,NIITEC,167.65,174.1,166.25,171.85,261297,
2010-03-02 12:03:00,NIITEC,174.65,178.8,170.0,176.75,146637,
2010-03-03 12:03:00,NIITEC,179.2,180.45,174.8,177.15,153553,
2010-03-04 12:03:00,NIITEC,177.15,177.45,173.25,174.7,152316,
2010-03-05 12:03:00,NIITEC,175.3,179.0,174.5,175.05,121484,
2010-03-08 12:03:00,NIITEC,182.4,182.9,173.2,174.2,198551,
2010-03-09 12:03:00,NIITEC,175.0,175.0,172.0,172.95,129824,
