datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,NOCIL,25.3,26.4,25.2,26.25,1378229,
2010-01-05 12:01:00,NOCIL,26.65,27.0,26.0,26.05,920797,
2010-01-06 12:01:00,NOCIL,26.3,26.6,25.7,25.85,600984,
2010-01-07 12:01:00,NOCIL,26.0,26.25,25.65,25.8,491292,
2010-01-08 12:01:00,NOCIL,25.8,26.6,25.65,25.7,1101192,
2010-01-11 12:01:00,NOCIL,26.2,27.6,25.85,27.35,2522875,
2010-01-12 12:01:00,NOCIL,27.6,27.6,25.9,26.05,1243043,
2010-01-13 12:01:00,NOCIL,26.0,26.5,25.65,26.25,688707,
2010-01-14 12:01:00,NOCIL,26.6,27.3,26.25,26.55,932412,
2010-01-15 12:01:00,NOCIL,26.65,26.8,26.0,26.1,457844,
2010-01-18 12:01:00,NOCIL,26.5,26.85,26.05,26.25,668227,
2010-01-19 12:01:00,NOCIL,26.6,28.65,26.35,27.35,5148823,
2010-01-20 12:01:00,NOCIL,27.7,28.2,26.35,26.6,2331864,
2010-01-21 12:01:00,NOCIL,26.6,27.05,25.75,25.9,1106539,
2010-01-22 12:01:00,NOCIL,25.5,25.6,24.7,25.2,853868,
2010-01-25 12:01:00,NOCIL,25.2,25.5,24.5,24.65,489780,
2010-01-27 12:01:00,NOCIL,24.6,24.85,23.25,23.45,622206,
2010-01-28 12:01:00,NOCIL,24.0,24.0,23.1,23.2,515425,
2010-01-29 12:01:00,NOCIL,23.2,23.8,22.4,23.4,597159,
2010-02-01 12:02:00,NOCIL,23.25,24.55,23.25,24.15,547999,
2010-02-02 12:02:00,NOCIL,24.55,24.9,22.95,23.3,772840,
2010-02-04 12:02:00,NOCIL,24.0,24.0,23.05,23.25,275550,
2010-02-05 12:02:00,NOCIL,22.8,23.0,22.0,22.55,419631,
2010-02-06 12:02:00,NOCIL,22.9,23.35,22.75,23.0,99470,
2010-02-08 12:02:00,NOCIL,22.8,23.35,22.75,23.05,233538,
2010-02-09 12:02:00,NOCIL,23.1,23.55,22.9,22.95,442087,
2010-02-10 12:02:00,NOCIL,23.15,23.35,22.6,22.75,164163,
2010-02-11 12:02:00,NOCIL,23.15,23.2,22.65,23.0,307362,
2010-02-15 12:02:00,NOCIL,22.9,23.4,22.75,22.85,327525,
2010-02-16 12:02:00,NOCIL,23.0,23.25,22.85,23.05,150938,
2010-02-17 12:02:00,NOCIL,23.5,24.5,23.4,23.55,850582,
2010-02-18 12:02:00,NOCIL,23.25,23.7,23.1,23.25,244059,
2010-02-19 12:02:00,NOCIL,23.0,23.4,22.65,22.75,333876,
2010-02-22 12:02:00,NOCIL,23.0,23.95,22.1,22.25,248456,
2010-02-23 12:02:00,NOCIL,22.55,22.55,22.05,22.1,282236,
2010-02-24 12:02:00,NOCIL,22.0,22.6,22.0,22.1,258171,
2010-02-25 12:02:00,NOCIL,22.35,22.35,21.85,21.95,117626,
2010-02-26 12:02:00,NOCIL,22.0,22.5,21.9,22.1,169034,
2010-03-02 12:03:00,NOCIL,22.5,22.5,22.15,22.3,190250,
2010-03-03 12:03:00,NOCIL,22.5,22.85,22.1,22.6,339971,
2010-03-04 12:03:00,NOCIL,22.25,23.15,22.25,22.95,363128,
2010-03-05 12:03:00,NOCIL,23.1,23.5,23.0,23.15,365495,
2010-03-08 12:03:00,NOCIL,23.55,23.7,22.9,23.05,334736,
2010-03-09 12:03:00,NOCIL,23.3,23.35,22.7,22.75,189107,
2010-03-10 12:03:00,NOCIL,22.75,23.05,22.45,22.6,157681,
2010-03-11 12:03:00,NOCIL,22.05,22.9,22.05,22.25,171045,
2010-03-12 12:03:00,NOCIL,22.4,22.6,22.0,22.05,173548,
2010-03-15 12:03:00,NOCIL,22.5,22.55,21.55,21.7,265486,
2010-03-16 12:03:00,NOCIL,21.75,22.35,21.65,22.1,219370,
2010-03-17 12:03:00,NOCIL,22.2,22.8,22.0,22.1,392936,
2010-03-18 12:03:00,NOCIL,22.2,22.3,21.85,21.95,274483,
2010-03-19 12:03:00,NOCIL,21.65,22.2,21.65,21.8,200910,
2010-03-22 12:03:00,NOCIL,21.8,21.9,21.5,21.6,152034,
2010-03-23 12:03:00,NOCIL,21.6,21.95,21.0,21.5,180546,
2010-03-25 12:03:00,NOCIL,21.75,22.0,21.5,21.5,249959,
2010-03-26 12:03:00,NOCIL,21.8,22.5,21.5,21.6,281714,
2010-03-29 12:03:00,NOCIL,21.65,21.7,21.05,21.15,247130,
2010-03-30 12:03:00,NOCIL,21.55,22.1,21.2,21.6,342367,
2010-03-31 12:03:00,NOCIL,21.9,22.95,21.45,22.4,940504,
2010-04-01 12:04:00,NOCIL,22.65,23.15,22.55,22.8,585592,
2010-04-05 12:04:00,NOCIL,23.0,23.55,22.75,23.4,499947,
2010-04-06 12:04:00,NOCIL,23.9,23.9,23.05,23.15,325866,
