datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,NRBBEA,36.5,39.2,36.5,36.88,39470,
2010-01-05 12:01:00,NRBBEA,37.48,40.0,36.88,38.33,276222,
2010-01-06 12:01:00,NRBBEA,38.68,39.73,37.53,38.2,78820,
2010-01-07 12:01:00,NRBBEA,38.5,38.95,37.53,37.63,26697,
2010-01-08 12:01:00,NRBBEA,39.0,39.0,36.13,36.7,6114,
2010-01-11 12:01:00,NRBBEA,37.73,37.73,35.5,35.95,8551,
2010-01-12 12:01:00,NRBBEA,36.5,36.5,35.0,35.03,6917,
2010-01-13 12:01:00,NRBBEA,34.65,35.0,34.3,34.4,3118,
2010-01-14 12:01:00,NRBBEA,35.73,35.73,34.0,34.55,7134,
2010-01-15 12:01:00,NRBBEA,34.5,35.45,34.03,34.38,5145,
2010-01-18 12:01:00,NRBBEA,34.5,34.95,34.15,34.38,6873,
2010-01-19 12:01:00,NRBBEA,34.93,35.13,33.78,34.48,15848,
2010-01-20 12:01:00,NRBBEA,35.0,36.2,34.6,35.0,10819,
2010-01-21 12:01:00,NRBBEA,35.5,35.5,33.5,33.75,5568,
2010-01-22 12:01:00,NRBBEA,34.9,34.9,32.08,32.78,8663,
2010-01-25 12:01:00,NRBBEA,32.5,33.0,31.83,32.08,2377,
2010-01-27 12:01:00,NRBBEA,33.0,33.0,31.13,31.53,3389,
2010-01-28 12:01:00,NRBBEA,33.0,33.0,30.65,31.6,1532,
2010-01-29 12:01:00,NRBBEA,31.5,31.5,30.05,31.23,3619,
2010-02-01 12:02:00,NRBBEA,31.0,32.15,29.75,32.0,2757,
2010-02-02 12:02:00,NRBBEA,31.9,32.93,31.55,31.55,3304,
2010-02-04 12:02:00,NRBBEA,32.2,32.2,30.13,30.13,4614,
2010-02-05 12:02:00,NRBBEA,30.95,30.95,29.25,29.38,2404,
2010-02-06 12:02:00,NRBBEA,30.48,30.5,29.7,29.7,310,
2010-02-08 12:02:00,NRBBEA,30.9,30.9,28.75,30.28,4653,
2010-02-09 12:02:00,NRBBEA,31.43,31.43,29.3,30.08,2097,
2010-02-10 12:02:00,NRBBEA,31.45,31.5,30.58,30.58,852,
2010-02-11 12:02:00,NRBBEA,31.55,31.55,29.75,30.28,528,
2010-02-15 12:02:00,NRBBEA,31.5,31.5,29.78,29.85,999,
2010-02-16 12:02:00,NRBBEA,31.25,31.25,29.73,30.0,592,
2010-02-17 12:02:00,NRBBEA,31.38,31.38,29.8,30.08,1516,
2010-02-18 12:02:00,NRBBEA,29.4,31.38,29.4,30.03,4943,
2010-02-19 12:02:00,NRBBEA,30.5,31.25,30.08,30.7,5974,
2010-02-22 12:02:00,NRBBEA,31.0,31.43,30.18,30.23,6126,
2010-02-23 12:02:00,NRBBEA,30.0,30.85,29.03,30.08,6156,
2010-02-24 12:02:00,NRBBEA,29.8,30.5,29.65,29.9,2521,
2010-02-25 12:02:00,NRBBEA,29.75,30.13,29.75,30.0,845,
2010-02-26 12:02:00,NRBBEA,31.35,31.35,29.5,30.18,1215,
2010-03-02 12:03:00,NRBBEA,30.13,30.73,29.9,30.0,872,
2010-03-03 12:03:00,NRBBEA,30.63,31.5,30.63,31.5,3133,
2010-03-04 12:03:00,NRBBEA,33.05,33.08,32.5,32.73,6691,
2010-03-05 12:03:00,NRBBEA,31.5,32.88,31.45,32.65,1896,
2010-03-08 12:03:00,NRBBEA,32.1,34.95,32.1,34.1,31183,
2010-03-09 12:03:00,NRBBEA,35.0,35.0,31.6,33.68,4556,
2010-03-10 12:03:00,NRBBEA,33.88,33.88,30.65,32.28,7555,
2010-03-11 12:03:00,NRBBEA,33.3,35.53,33.13,33.28,167049,
2010-03-12 12:03:00,NRBBEA,34.88,34.88,33.0,33.1,9596,
2010-03-15 12:03:00,NRBBEA,33.0,35.0,33.0,33.68,13545,
2010-03-16 12:03:00,NRBBEA,34.7,34.7,32.65,32.85,7936,
2010-03-17 12:03:00,NRBBEA,33.5,33.95,32.75,33.25,6349,
2010-03-18 12:03:00,NRBBEA,33.95,33.95,32.53,32.7,5952,
2010-03-19 12:03:00,NRBBEA,33.45,35.25,32.5,34.43,161823,
2010-03-22 12:03:00,NRBBEA,34.43,37.75,33.5,34.25,17290,
2010-03-23 12:03:00,NRBBEA,34.9,36.28,33.83,35.7,19283,
2010-03-25 12:03:00,NRBBEA,36.25,36.25,34.75,35.5,86043,
2010-03-26 12:03:00,NRBBEA,36.2,36.2,34.5,34.83,24986,
2010-03-29 12:03:00,NRBBEA,37.5,37.5,33.2,33.63,26999,
2010-03-30 12:03:00,NRBBEA,34.9,35.53,33.5,34.25,9035,
2010-03-31 12:03:00,NRBBEA,34.5,36.1,34.13,35.6,18256,
2010-04-01 12:04:00,NRBBEA,36.9,36.9,35.0,35.15,4496,
2010-04-05 12:04:00,NRBBEA,36.4,38.68,36.05,38.68,46050,
2010-04-06 12:04:00,NRBBEA,39.9,41.0,38.13,38.55,32603,
2010-04-07 12:04:00,NRBBEA,39.13,40.45,38.23,39.18,24303,
2010-04-08 12:04:00,NRBBEA,39.5,41.0,38.15,38.48,44858,
2010-04-09 12:04:00,NRBBEA,39.7,42.33,38.75,42.15,195977,
2010-04-12 12:04:00,NRBBEA,43.0,45.0,42.28,43.45,117486,
2010-04-13 12:04:00,NRBBEA,44.0,45.95,43.5,45.15,150501,
2010-04-16 12:04:00,NRBBEA,49.5,50.9,47.0,47.4,169011,
2010-04-19 12:04:00,NRBBEA,47.23,47.95,45.1,45.53,86029,
2010-04-20 12:04:00,NRBBEA,47.0,47.0,45.5,45.68,29913,
2010-04-21 12:04:00,NRBBEA,45.65,47.33,45.65,46.45,64887,
2010-04-22 12:04:00,NRBBEA,46.45,46.45,44.28,44.43,27854,
2010-04-23 12:04:00,NRBBEA,45.0,46.15,42.5,45.48,60013,
2010-04-26 12:04:00,NRBBEA,45.5,45.73,44.03,44.13,20520,
2010-04-27 12:04:00,NRBBEA,43.5,44.85,43.5,44.1,14379,
2010-04-28 12:04:00,NRBBEA,44.5,46.2,43.75,44.45,141395,
2010-04-29 12:04:00,NRBBEA,45.95,46.68,45.8,46.18,83773,
2010-04-30 12:04:00,NRBBEA,46.5,47.25,45.68,46.08,29262,
2010-05-03 12:05:00,NRBBEA,45.4,46.5,45.08,45.23,13104,
2010-05-04 12:05:00,NRBBEA,45.3,45.93,42.98,43.73,12145,
2010-05-05 12:05:00,NRBBEA,42.5,43.2,41.63,42.98,19440,
2010-05-06 12:05:00,NRBBEA,43.98,43.98,42.0,42.13,6996,
2010-05-07 12:05:00,NRBBEA,41.0,43.5,40.0,41.25,22003,
2010-05-10 12:05:00,NRBBEA,43.08,44.0,41.3,43.18,29509,
2010-05-11 12:05:00,NRBBEA,44.45,44.5,42.58,43.15,7894,
2010-05-12 12:05:00,NRBBEA,42.75,43.75,42.0,42.2,4280,
2010-05-13 12:05:00,NRBBEA,43.35,43.35,40.13,42.33,11672,
2010-05-14 12:05:00,NRBBEA,42.45,42.5,41.0,41.13,4657,
2010-05-17 12:05:00,NRBBEA,41.68,41.68,38.88,39.93,4178,
2010-05-18 12:05:00,NRBBEA,41.45,41.6,39.78,40.58,5659,
