datetime,stock_code,open,high,low,close,volume,open_interest
2021-08-23 12:08:00,NUVVIS,485.0,550.0,485.0,531.7,22080190,
2021-08-24 12:08:00,NUVVIS,532.0,564.95,507.15,520.55,5703185,
2021-08-25 12:08:00,NUVVIS,522.05,535.0,521.1,532.65,1295995,
2021-08-26 12:08:00,NUVVIS,532.9,538.8,522.4,528.55,1535636,
2021-08-27 12:08:00,NUVVIS,525.0,538.0,520.2,535.9,980070,
2021-08-30 12:08:00,NUVVIS,542.0,565.0,529.2,542.8,1890032,
2021-08-31 12:08:00,NUVVIS,550.0,559.8,539.6,556.15,931453,
2021-09-01 12:09:00,NUVVIS,560.0,571.9,555.95,562.2,1565064,
2021-09-02 12:09:00,NUVVIS,563.5,570.0,555.95,564.35,826114,
2021-09-03 12:09:00,NUVVIS,564.35,567.25,555.0,560.85,481989,
2021-09-06 12:09:00,NUVVIS,562.0,577.9,560.2,567.4,1038320,
2021-09-07 12:09:00,NUVVIS,574.0,577.0,556.3,560.4,1016848,
2021-09-08 12:09:00,NUVVIS,563.5,563.9,552.0,553.4,331856,
2021-09-09 12:09:00,NUVVIS,553.0,553.1,542.1,546.75,494998,
2021-09-13 12:09:00,NUVVIS,545.0,551.5,542.0,544.8,223610,
2021-09-14 12:09:00,NUVVIS,542.55,555.5,542.55,552.05,482527,
2021-09-15 12:09:00,NUVVIS,555.0,557.9,550.05,554.55,595194,
2021-09-16 12:09:00,NUVVIS,552.0,569.4,548.7,557.05,1565279,
2021-09-17 12:09:00,NUVVIS,558.0,562.05,537.5,538.6,817009,
2021-09-20 12:09:00,NUVVIS,536.0,543.95,535.25,539.7,440764,
2021-09-21 12:09:00,NUVVIS,540.0,544.85,532.0,536.3,419127,
2021-09-22 12:09:00,NUVVIS,536.3,552.5,536.1,545.0,835616,
2021-09-23 12:09:00,NUVVIS,554.75,554.75,549.0,552.0,368460,
2021-09-24 12:09:00,NUVVIS,552.6,562.0,551.95,553.45,402319,
2021-09-27 12:09:00,NUVVIS,560.0,562.4,550.9,552.35,354994,
2021-09-28 12:09:00,NUVVIS,559.75,559.75,540.05,547.7,449949,
2021-09-29 12:09:00,NUVVIS,545.05,547.9,542.3,545.15,337031,
2021-09-30 12:09:00,NUVVIS,543.5,546.0,538.65,543.5,193616,
2021-10-01 12:10:00,NUVVIS,543.5,548.0,540.5,545.75,246944,
2021-10-04 12:10:00,NUVVIS,548.1,552.5,548.0,551.15,153098,
2021-10-05 12:10:00,NUVVIS,550.0,560.0,547.0,554.4,233997,
2021-10-06 12:10:00,NUVVIS,555.0,559.8,551.0,555.75,483458,
2021-10-07 12:10:00,NUVVIS,560.0,561.0,542.35,549.4,1571412,
2021-10-08 12:10:00,NUVVIS,550.0,554.4,545.05,547.75,122795,
