datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,PAGIND,861.0,874.85,860.15,863.25,2621,
2010-01-05 12:01:00,PAGIND,860.0,869.15,855.85,865.0,2597,
2010-01-06 12:01:00,PAGIND,874.95,874.95,855.15,859.85,3768,
2010-01-07 12:01:00,PAGIND,874.8,874.8,847.15,870.0,2818,
2010-01-08 12:01:00,PAGIND,869.95,874.9,860.0,869.75,2329,
2010-01-11 12:01:00,PAGIND,915.0,915.0,863.0,875.2,4490,
2010-01-12 12:01:00,PAGIND,879.85,879.85,861.15,874.0,3152,
2010-01-13 12:01:00,PAGIND,879.85,879.85,863.05,864.9,453,
2010-01-14 12:01:00,PAGIND,900.0,900.0,860.0,860.6,1088,
2010-01-15 12:01:00,PAGIND,874.0,874.0,858.0,863.0,798,
2010-01-18 12:01:00,PAGIND,873.0,873.95,860.0,860.35,834,
2010-01-19 12:01:00,PAGIND,864.55,873.9,845.0,850.75,2525,
2010-01-20 12:01:00,PAGIND,869.0,869.5,851.95,869.15,1802,
2010-01-21 12:01:00,PAGIND,869.0,869.45,831.15,849.05,658,
2010-01-22 12:01:00,PAGIND,835.0,845.0,793.0,840.1,2428,
2010-01-25 12:01:00,PAGIND,848.8,850.05,821.5,841.55,1054,
2010-01-27 12:01:00,PAGIND,864.0,864.0,826.15,833.35,1672,
2010-01-28 12:01:00,PAGIND,859.9,859.95,820.0,838.1,1747,
2010-01-29 12:01:00,PAGIND,817.5,837.0,813.05,827.5,1740,
2010-02-01 12:02:00,PAGIND,800.0,837.0,782.0,830.2,2321,
2010-02-02 12:02:00,PAGIND,838.0,869.9,810.0,824.05,2890,
2010-02-04 12:02:00,PAGIND,800.1,849.4,800.1,827.85,337,
2010-02-05 12:02:00,PAGIND,829.0,845.0,802.05,845.0,3911,
2010-02-06 12:02:00,PAGIND,835.0,835.0,832.0,832.1,40,
2010-02-08 12:02:00,PAGIND,848.35,850.0,833.0,845.75,1390,
2010-02-09 12:02:00,PAGIND,849.0,849.0,820.0,836.5,1475,
2010-02-10 12:02:00,PAGIND,830.05,846.95,822.05,830.55,284,
2010-02-11 12:02:00,PAGIND,838.0,838.0,811.0,819.25,1018,
