datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,PATEN,306.2,322.47,303.7,318.4,409485,
2010-01-05 12:01:00,PATEN,320.87,329.4,317.63,318.5,232358,
2010-01-06 12:01:00,PATEN,321.2,321.2,314.23,317.23,103460,
2010-01-07 12:01:00,PATEN,317.53,317.53,310.37,312.7,79599,
2010-01-08 12:01:00,PATEN,313.4,323.4,311.2,316.8,224037,
2010-01-11 12:01:00,PATEN,319.53,322.87,314.87,315.87,340076,
2010-01-12 12:01:00,PATEN,316.2,320.83,310.93,312.3,279347,
2010-01-13 12:01:00,PATEN,312.23,315.93,305.9,310.33,139151,
2010-01-14 12:01:00,PATEN,313.97,323.13,310.87,320.6,476186,
2010-01-15 12:01:00,PATEN,321.53,322.47,315.03,315.7,219918,
2010-01-18 12:01:00,PATEN,315.87,322.2,311.03,318.9,124155,
2010-01-19 12:01:00,PATEN,321.53,331.3,319.53,324.4,1889186,
2010-01-20 12:01:00,PATEN,328.2,333.8,325.8,327.17,831442,
2010-01-21 12:01:00,PATEN,327.4,333.87,320.87,323.6,723404,
2010-01-22 12:01:00,PATEN,317.57,320.73,305.87,311.9,305563,
2010-01-25 12:01:00,PATEN,310.8,316.5,304.2,311.5,143124,
2010-01-27 12:01:00,PATEN,303.53,315.53,288.87,292.93,407323,
2010-01-28 12:01:00,PATEN,297.53,302.83,291.03,293.87,403134,
2010-01-29 12:01:00,PATEN,292.2,303.2,282.53,299.8,174087,
2010-02-01 12:02:00,PATEN,302.2,313.2,296.27,306.67,125572,
2010-02-02 12:02:00,PATEN,309.47,312.87,296.53,298.27,63283,
2010-02-04 12:02:00,PATEN,300.87,303.57,288.3,290.33,84443,
2010-02-05 12:02:00,PATEN,281.53,285.37,272.87,281.57,228818,
2010-02-06 12:02:00,PATEN,277.53,286.2,277.53,283.83,10173,
2010-02-08 12:02:00,PATEN,287.53,291.53,283.13,287.1,115169,
2010-02-09 12:02:00,PATEN,286.2,288.87,285.0,286.73,51027,
2010-02-10 12:02:00,PATEN,286.2,290.87,284.27,285.8,72334,
2010-02-11 12:02:00,PATEN,288.87,294.53,286.23,290.43,208769,
2010-02-15 12:02:00,PATEN,291.53,292.17,285.53,287.87,63084,
2010-02-16 12:02:00,PATEN,284.33,290.53,284.33,288.27,32318,
2010-02-17 12:02:00,PATEN,291.53,294.0,289.57,292.47,112477,
2010-02-18 12:02:00,PATEN,294.2,298.73,292.87,293.73,169055,
2010-02-19 12:02:00,PATEN,286.6,294.73,283.53,291.17,112988,
2010-02-22 12:02:00,PATEN,297.47,300.2,294.2,295.43,60340,
2010-02-23 12:02:00,PATEN,295.87,295.87,288.33,289.53,94996,
2010-02-24 12:02:00,PATEN,287.53,289.43,284.97,286.2,83386,
2010-02-25 12:02:00,PATEN,287.53,288.8,281.1,283.03,152336,
2010-02-26 12:02:00,PATEN,284.33,292.2,284.33,287.97,105589,
2010-03-02 12:03:00,PATEN,290.2,300.03,288.9,295.6,56857,
2010-03-03 12:03:00,PATEN,296.2,300.47,292.87,297.57,123430,
2010-03-04 12:03:00,PATEN,300.87,304.17,296.2,301.7,77782,
2010-03-05 12:03:00,PATEN,304.2,306.2,296.3,297.37,131196,
2010-03-08 12:03:00,PATEN,298.9,302.43,298.9,300.43,83701,
2010-03-09 12:03:00,PATEN,297.63,302.83,297.63,299.93,104875,
2010-03-10 12:03:00,PATEN,302.87,310.27,301.6,303.67,333280,
2010-03-11 12:03:00,PATEN,304.2,312.2,300.87,303.23,167624,
