datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,PETLNG,35.75,36.6,35.55,36.48,964665,
2010-01-05 12:01:00,PETLNG,36.58,37.45,36.35,37.3,2190282,
2010-01-06 12:01:00,PETLNG,37.5,38.43,37.08,38.25,3576532,
2010-01-07 12:01:00,PETLNG,38.25,38.6,37.55,38.18,2978495,
2010-01-08 12:01:00,PETLNG,38.03,39.1,37.9,38.7,4295391,
2010-01-11 12:01:00,PETLNG,38.5,40.2,38.5,39.95,5900562,
2010-01-12 12:01:00,PETLNG,39.8,40.35,38.25,38.58,2337011,
2010-01-13 12:01:00,PETLNG,38.4,40.8,38.0,40.43,3876560,
2010-01-14 12:01:00,PETLNG,40.9,41.45,40.13,41.18,4573224,
2010-01-15 12:01:00,PETLNG,41.5,41.6,40.35,40.5,1913870,
2010-01-18 12:01:00,PETLNG,40.5,41.2,39.58,39.88,2502862,
2010-01-19 12:01:00,PETLNG,40.0,40.65,39.25,39.5,2506901,
2010-01-20 12:01:00,PETLNG,40.0,40.0,38.15,38.3,2868485,
2010-01-21 12:01:00,PETLNG,38.2,39.25,37.25,38.38,3931301,
2010-01-22 12:01:00,PETLNG,36.88,39.95,36.48,39.25,9354267,
2010-01-25 12:01:00,PETLNG,38.55,39.35,37.75,38.05,3458017,
2010-01-27 12:01:00,PETLNG,37.5,38.3,36.93,37.0,1726128,
2010-01-28 12:01:00,PETLNG,37.6,39.08,37.25,38.68,3121177,
2010-01-29 12:01:00,PETLNG,38.25,40.35,37.43,39.35,2809508,
2010-02-01 12:02:00,PETLNG,39.55,39.95,38.9,39.05,1065265,
2010-02-02 12:02:00,PETLNG,40.4,40.4,38.25,38.48,1212669,
2010-02-04 12:02:00,PETLNG,39.35,39.78,37.45,37.65,2120024,
2010-02-05 12:02:00,PETLNG,36.5,37.05,36.05,36.78,2421401,
2010-02-06 12:02:00,PETLNG,37.63,38.08,36.9,37.65,287852,
2010-02-08 12:02:00,PETLNG,37.65,37.7,36.25,36.88,2335242,
2010-02-09 12:02:00,PETLNG,36.85,37.0,35.3,35.65,4534740,
2010-02-10 12:02:00,PETLNG,36.0,36.6,35.58,35.73,1317970,
2010-02-11 12:02:00,PETLNG,36.0,36.55,35.95,36.25,1120317,
2010-02-15 12:02:00,PETLNG,36.33,36.5,35.63,35.98,642559,
2010-02-16 12:02:00,PETLNG,36.0,37.1,35.65,36.95,1240814,
2010-02-17 12:02:00,PETLNG,37.5,37.5,36.75,36.83,785985,
2010-02-18 12:02:00,PETLNG,37.0,37.0,36.25,36.38,518796,
2010-02-19 12:02:00,PETLNG,36.0,36.5,35.75,36.13,533279,
2010-02-22 12:02:00,PETLNG,36.4,36.88,35.55,35.73,514494,
2010-02-23 12:02:00,PETLNG,35.6,36.15,35.23,35.45,491443,
2010-02-24 12:02:00,PETLNG,35.25,35.38,34.75,35.08,402524,
2010-02-25 12:02:00,PETLNG,35.1,35.7,35.03,35.35,878065,
2010-02-26 12:02:00,PETLNG,36.0,37.23,35.45,36.95,2703353,
2010-03-02 12:03:00,PETLNG,37.5,37.9,37.0,37.55,1211086,
