datetime,stock_code,open,high,low,close,volume,open_interest
2011-09-26 12:09:00,PGELEC,21.5,48.44,17.6,41.53,40012115,
2011-09-27 12:09:00,PGELEC,45.0,49.84,37.53,48.32,12144815,
2011-09-28 12:09:00,PGELEC,47.5,53.7,38.66,38.66,8595905,
2011-09-29 12:09:00,PGELEC,30.93,41.8,30.93,31.2,6250416,
2011-09-30 12:09:00,PGELEC,27.01,34.29,24.96,30.37,5451056,
2011-10-03 12:10:00,PGELEC,24.3,27.5,24.3,25.2,2217650,
2011-10-04 12:10:00,PGELEC,24.53,25.0,22.68,22.69,627717,
2011-10-05 12:10:00,PGELEC,23.0,23.01,20.42,21.23,835247,
2011-10-07 12:10:00,PGELEC,21.0,22.2,20.27,21.42,842119,
2011-10-10 12:10:00,PGELEC,21.4,21.8,20.55,21.19,364485,
2011-10-11 12:10:00,PGELEC,21.2,22.9,20.8,22.11,401606,
2011-10-12 12:10:00,PGELEC,22.11,23.2,21.41,23.01,380909,
2011-10-13 12:10:00,PGELEC,23.01,23.7,22.31,22.7,348758,
2011-10-14 12:10:00,PGELEC,22.48,23.3,22.08,22.71,139910,
2011-10-17 12:10:00,PGELEC,22.76,23.9,22.35,23.46,132283,
2011-10-18 12:10:00,PGELEC,23.01,24.61,22.6,22.78,337768,
2011-10-19 12:10:00,PGELEC,23.16,23.39,21.9,22.45,44081,
2011-10-20 12:10:00,PGELEC,22.4,22.9,21.7,22.33,73691,
2011-10-21 12:10:00,PGELEC,22.14,23.4,21.1,21.74,165016,
2011-10-24 12:10:00,PGELEC,21.8,22.45,21.41,22.23,140791,
2011-10-25 12:10:00,PGELEC,22.45,22.45,21.3,21.71,92906,
2011-10-26 12:10:00,PGELEC,21.7,22.6,21.7,22.3,37383,
2011-10-31 12:10:00,PGELEC,21.7,22.09,21.4,21.6,126126,
2011-11-01 12:11:00,PGELEC,21.53,21.74,20.8,21.33,134406,
2011-11-02 12:11:00,PGELEC,21.11,21.28,20.61,20.9,89996,
2011-11-03 12:11:00,PGELEC,21.4,21.9,20.52,21.29,136997,
2011-11-04 12:11:00,PGELEC,21.4,22.1,21.06,21.34,46345,
2011-11-08 12:11:00,PGELEC,21.19,21.9,21.05,21.59,42350,
2011-11-09 12:11:00,PGELEC,21.4,21.68,20.91,21.03,7603,
2011-11-11 12:11:00,PGELEC,21.03,21.6,20.43,20.92,42112,
2011-11-14 12:11:00,PGELEC,21.39,22.89,20.75,21.02,73854,
