datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,PHICAR,16.0,16.5,16.0,16.13,4171,
2010-01-05 12:01:00,PHICAR,15.53,16.94,15.53,16.85,75702,
2010-01-06 12:01:00,PHICAR,16.9,17.55,16.18,17.12,154509,
2010-01-07 12:01:00,PHICAR,16.5,17.39,16.5,16.78,51720,
2010-01-08 12:01:00,PHICAR,16.62,16.93,16.28,16.38,13426,
2010-01-11 12:01:00,PHICAR,16.59,16.59,16.0,16.12,66857,
2010-01-12 12:01:00,PHICAR,15.8,16.4,15.8,15.99,45988,
2010-01-13 12:01:00,PHICAR,15.21,16.45,15.21,16.21,32048,
2010-01-14 12:01:00,PHICAR,16.0,16.5,16.0,16.23,39537,
2010-01-15 12:01:00,PHICAR,16.2,17.86,16.2,17.82,357655,
2010-01-18 12:01:00,PHICAR,18.08,19.37,17.3,18.3,537849,
2010-01-19 12:01:00,PHICAR,17.32,18.99,17.32,18.27,62135,
2010-01-20 12:01:00,PHICAR,17.72,18.99,17.72,18.01,31342,
2010-01-21 12:01:00,PHICAR,17.32,18.75,17.32,17.87,141002,
2010-01-22 12:01:00,PHICAR,17.12,18.98,16.26,18.55,161810,
2010-01-25 12:01:00,PHICAR,18.6,19.3,18.6,18.82,159521,
2010-01-27 12:01:00,PHICAR,17.94,18.83,17.51,17.64,39684,
2010-01-28 12:01:00,PHICAR,16.8,18.48,16.8,17.44,22014,
2010-01-29 12:01:00,PHICAR,16.36,18.55,16.36,18.42,36464,
2010-02-01 12:02:00,PHICAR,18.06,19.94,18.06,19.34,139538,
2010-02-02 12:02:00,PHICAR,19.52,20.0,18.62,18.84,129034,
2010-02-04 12:02:00,PHICAR,18.12,19.68,18.12,18.66,140018,
2010-02-05 12:02:00,PHICAR,18.02,18.41,17.61,17.82,56996,
2010-02-06 12:02:00,PHICAR,17.21,18.0,17.21,17.91,2785,
2010-02-08 12:02:00,PHICAR,17.81,18.6,17.81,18.03,22044,
2010-02-09 12:02:00,PHICAR,17.81,18.5,17.81,17.99,19010,
2010-02-10 12:02:00,PHICAR,17.51,18.45,17.51,18.1,18471,
2010-02-11 12:02:00,PHICAR,17.56,18.84,16.5,18.65,58756,
2010-02-15 12:02:00,PHICAR,18.31,19.09,17.92,18.87,34354,
2010-02-16 12:02:00,PHICAR,18.51,19.5,18.51,19.03,34933,
2010-02-17 12:02:00,PHICAR,18.43,19.33,18.43,19.01,52710,
2010-02-18 12:02:00,PHICAR,18.63,19.48,18.63,18.76,8107,
2010-02-19 12:02:00,PHICAR,18.23,19.68,18.23,18.8,153752,
2010-02-22 12:02:00,PHICAR,18.23,19.46,18.23,18.79,44331,
2010-02-23 12:02:00,PHICAR,18.36,18.97,18.3,18.37,18828,
2010-02-24 12:02:00,PHICAR,18.2,18.45,17.7,17.96,9765,
2010-02-25 12:02:00,PHICAR,17.5,18.23,17.5,17.91,4568,
2010-02-26 12:02:00,PHICAR,17.61,19.1,17.1,18.46,37943,
2010-03-02 12:03:00,PHICAR,18.2,19.58,18.2,19.26,69156,
2010-03-03 12:03:00,PHICAR,18.56,19.67,18.56,18.96,20054,
2010-03-04 12:03:00,PHICAR,18.62,20.69,18.62,20.26,134863,
2010-03-05 12:03:00,PHICAR,20.36,20.7,19.2,19.71,87149,
2010-03-08 12:03:00,PHICAR,19.8,20.51,19.64,20.32,74345,
2010-03-09 12:03:00,PHICAR,19.82,20.84,19.81,20.04,107217,
2010-03-10 12:03:00,PHICAR,19.7,20.3,19.55,19.73,23277,
2010-03-11 12:03:00,PHICAR,19.56,20.1,19.5,19.59,18665,
2010-03-12 12:03:00,PHICAR,21.2,21.57,19.3,19.53,557428,
2010-03-15 12:03:00,PHICAR,19.05,19.84,19.05,19.35,71094,
2010-03-16 12:03:00,PHICAR,19.03,19.75,19.03,19.41,41968,
2010-03-17 12:03:00,PHICAR,19.22,19.67,19.02,19.12,21613,
2010-03-18 12:03:00,PHICAR,19.3,19.5,18.91,19.31,29208,
2010-03-19 12:03:00,PHICAR,19.03,20.24,19.03,19.49,94152,
2010-03-22 12:03:00,PHICAR,19.0,19.8,18.8,19.31,25414,
2010-03-23 12:03:00,PHICAR,19.35,19.65,19.1,19.14,23574,
2010-03-25 12:03:00,PHICAR,18.8,19.59,18.62,18.87,25899,
2010-03-26 12:03:00,PHICAR,18.5,19.45,18.5,18.98,40698,
2010-03-29 12:03:00,PHICAR,18.0,19.3,18.0,18.8,25505,
2010-03-30 12:03:00,PHICAR,18.21,19.2,18.21,18.59,28476,
2010-03-31 12:03:00,PHICAR,18.41,19.82,18.41,19.71,131560,
2010-04-01 12:04:00,PHICAR,19.7,19.8,19.21,19.67,31591,
2010-04-05 12:04:00,PHICAR,19.3,19.9,19.3,19.75,25023,
2010-04-06 12:04:00,PHICAR,19.94,20.24,19.65,20.06,206205,
2010-04-07 12:04:00,PHICAR,20.3,20.3,19.45,19.73,55146,
2010-04-08 12:04:00,PHICAR,19.66,19.99,19.22,19.47,46637,
2010-04-09 12:04:00,PHICAR,19.1,19.97,19.1,19.85,22280,
2010-04-12 12:04:00,PHICAR,19.4,20.09,19.4,19.91,27081,
2010-04-13 12:04:00,PHICAR,20.1,20.4,19.81,20.28,225244,
2010-04-16 12:04:00,PHICAR,20.5,20.5,19.8,19.83,36191,
2010-04-19 12:04:00,PHICAR,19.8,20.7,19.5,20.02,81303,
2010-04-20 12:04:00,PHICAR,19.8,20.6,19.8,20.31,54536,
2010-04-21 12:04:00,PHICAR,20.5,21.68,20.45,21.11,310510,
2010-04-22 12:04:00,PHICAR,20.9,21.44,20.51,20.73,131079,
2010-04-23 12:04:00,PHICAR,20.61,20.99,20.44,20.63,92309,
2010-04-26 12:04:00,PHICAR,20.6,21.19,20.36,20.5,99983,
2010-04-27 12:04:00,PHICAR,20.21,21.69,20.21,21.45,277765,
2010-04-28 12:04:00,PHICAR,20.55,22.19,20.36,20.64,713820,
2010-04-29 12:04:00,PHICAR,20.7,21.95,20.7,21.81,263299,
2010-04-30 12:04:00,PHICAR,21.81,22.4,21.73,22.18,263871,
2010-05-03 12:05:00,PHICAR,21.51,22.2,21.51,22.01,66986,
2010-05-04 12:05:00,PHICAR,21.01,22.88,21.01,21.64,143545,
2010-05-05 12:05:00,PHICAR,20.25,21.7,20.25,20.81,128759,
2010-05-06 12:05:00,PHICAR,20.3,21.38,20.3,20.7,39628,
2010-05-07 12:05:00,PHICAR,19.52,20.62,19.52,20.0,145805,
2010-05-10 12:05:00,PHICAR,20.0,20.78,20.0,20.71,27060,
2010-05-11 12:05:00,PHICAR,20.17,20.87,20.17,20.55,20057,
2010-05-12 12:05:00,PHICAR,20.02,20.74,20.01,20.13,23699,
2010-05-13 12:05:00,PHICAR,19.9,20.48,19.9,20.09,18664,
2010-05-14 12:05:00,PHICAR,20.1,20.2,19.44,19.65,22536,
