datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,PIRENT,483.24,485.28,476.4,477.24,822554,
2010-01-05 12:01:00,PIRENT,482.36,482.36,477.24,479.05,509719,
2010-01-06 12:01:00,PIRENT,480.24,497.11,479.71,493.93,780936,
2010-01-07 12:01:00,PIRENT,498.34,502.67,493.09,494.9,385621,
2010-01-08 12:01:00,PIRENT,497.37,499.05,492.96,493.93,119102,
2010-01-11 12:01:00,PIRENT,498.7,498.7,487.75,489.2,212231,
2010-01-12 12:01:00,PIRENT,489.47,497.86,483.29,485.94,423646,
2010-01-13 12:01:00,PIRENT,485.94,491.1,481.48,489.51,174954,
2010-01-14 12:01:00,PIRENT,500.9,514.15,493.84,497.02,410023,
2010-01-15 12:01:00,PIRENT,497.99,499.84,492.12,494.19,149805,
2010-01-18 12:01:00,PIRENT,495.25,502.23,492.16,499.01,467775,
2010-01-19 12:01:00,PIRENT,498.26,502.41,495.39,498.92,166692,
2010-01-20 12:01:00,PIRENT,500.73,501.7,485.5,487.04,588526,
2010-01-21 12:01:00,PIRENT,488.54,489.34,462.98,466.73,1016570,
2010-01-22 12:01:00,PIRENT,450.8,475.21,449.69,471.41,783513,
2010-01-25 12:01:00,PIRENT,471.41,476.98,462.05,470.88,242459,
2010-01-27 12:01:00,PIRENT,465.59,473.36,455.12,459.54,339332,
2010-01-28 12:01:00,PIRENT,461.88,466.03,443.82,447.13,561225,
2010-01-29 12:01:00,PIRENT,444.39,479.67,441.83,475.3,632862,
2010-02-01 12:02:00,PIRENT,476.18,482.36,472.74,481.66,245052,
2010-02-02 12:02:00,PIRENT,481.66,491.9,481.66,486.6,428009,
2010-02-04 12:02:00,PIRENT,483.24,489.43,480.02,484.08,55758,
2010-02-05 12:02:00,PIRENT,477.95,479.71,466.56,471.99,56587,
2010-02-06 12:02:00,PIRENT,477.06,477.95,468.54,470.4,15448,
2010-02-08 12:02:00,PIRENT,461.26,478.79,461.26,474.28,100551,
2010-02-09 12:02:00,PIRENT,471.77,476.71,470.93,474.81,84431,
2010-02-10 12:02:00,PIRENT,484.13,485.89,473.0,480.64,187872,
2010-02-11 12:02:00,PIRENT,481.48,487.66,479.01,480.07,150315,
2010-02-15 12:02:00,PIRENT,482.71,486.78,480.6,484.92,60745,
2010-02-16 12:02:00,PIRENT,485.89,491.19,483.38,486.16,172997,
2010-02-17 12:02:00,PIRENT,486.86,488.54,481.48,482.94,60571,
2010-02-18 12:02:00,PIRENT,484.39,491.19,481.57,486.91,125680,
2010-02-19 12:02:00,PIRENT,488.54,494.55,482.49,486.91,555009,
2010-02-22 12:02:00,PIRENT,492.07,492.07,474.59,479.45,232119,
2010-02-23 12:02:00,PIRENT,477.06,488.01,476.18,483.29,308267,
