datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,POLCOR,104.93,109.0,92.65,95.95,8622,
2010-01-05 12:01:00,POLCOR,96.15,97.93,95.0,97.23,4806,
2010-01-06 12:01:00,POLCOR,95.63,96.75,94.75,95.15,3585,
2010-01-07 12:01:00,POLCOR,95.0,98.7,94.28,94.95,9439,
2010-01-08 12:01:00,POLCOR,95.05,96.38,94.9,95.65,1803,
2010-01-11 12:01:00,POLCOR,94.65,96.75,94.5,95.28,2558,
2010-01-12 12:01:00,POLCOR,97.25,97.25,93.5,93.75,4439,
2010-01-13 12:01:00,POLCOR,95.23,95.25,93.58,95.0,3946,
2010-01-14 12:01:00,POLCOR,96.0,96.0,94.15,95.05,3439,
2010-01-15 12:01:00,POLCOR,94.73,97.0,94.73,95.95,4824,
2010-01-18 12:01:00,POLCOR,97.25,97.75,95.7,96.68,22668,
2010-01-19 12:01:00,POLCOR,96.25,98.5,96.25,97.03,5113,
2010-01-20 12:01:00,POLCOR,99.0,102.5,96.38,100.33,128598,
2010-01-21 12:01:00,POLCOR,100.78,104.7,98.63,102.0,73202,
2010-01-22 12:01:00,POLCOR,100.0,104.5,97.8,102.5,52374,
2010-01-25 12:01:00,POLCOR,102.5,102.98,101.53,102.18,8963,
2010-01-27 12:01:00,POLCOR,95.63,103.93,95.63,100.2,121366,
2010-01-28 12:01:00,POLCOR,102.45,103.3,99.83,101.03,31309,
2010-01-29 12:01:00,POLCOR,101.0,101.93,98.6,100.95,9633,
2010-02-01 12:02:00,POLCOR,100.5,110.08,100.5,105.93,45927,
2010-02-02 12:02:00,POLCOR,110.68,110.68,102.05,102.3,22494,
2010-02-04 12:02:00,POLCOR,104.35,106.25,101.0,101.73,9540,
2010-02-05 12:02:00,POLCOR,98.25,104.48,98.25,103.23,24501,
2010-02-06 12:02:00,POLCOR,103.5,105.0,103.5,104.9,2355,
2010-02-08 12:02:00,POLCOR,102.5,104.93,101.03,104.45,8140,
