datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,POWGRI,61.99,63.65,61.93,63.23,2448797,
2010-01-05 12:01:00,POWGRI,63.56,64.35,63.14,63.42,2460791,
2010-01-06 12:01:00,POWGRI,63.9,64.35,63.56,63.87,3121853,
2010-01-07 12:01:00,POWGRI,64.07,64.83,63.39,64.43,2551021,
2010-01-08 12:01:00,POWGRI,64.74,65.14,64.15,64.6,2143102,
2010-01-11 12:01:00,POWGRI,65.25,65.39,64.46,64.63,1710732,
2010-01-12 12:01:00,POWGRI,64.24,64.97,63.45,63.7,1445189,
2010-01-13 12:01:00,POWGRI,63.7,64.97,62.89,64.66,1868773,
2010-01-14 12:01:00,POWGRI,64.97,66.66,64.72,66.01,3795356,
2010-01-15 12:01:00,POWGRI,66.57,68.32,66.01,66.74,6341488,
2010-01-18 12:01:00,POWGRI,66.8,67.5,65.87,66.15,2298275,
2010-01-19 12:01:00,POWGRI,66.09,66.88,65.05,65.39,2808442,
2010-01-20 12:01:00,POWGRI,65.39,66.35,65.19,65.76,2079957,
2010-01-21 12:01:00,POWGRI,65.53,66.07,63.59,63.93,1999985,
2010-01-22 12:01:00,POWGRI,61.88,64.66,61.73,64.29,2780532,
2010-01-25 12:01:00,POWGRI,64.29,65.81,63.03,64.86,1638480,
2010-01-27 12:01:00,POWGRI,64.86,66.04,63.11,63.73,4642270,
2010-01-28 12:01:00,POWGRI,65.19,66.35,60.92,64.07,6525233,
2010-01-29 12:01:00,POWGRI,63.51,63.96,62.47,63.39,2247911,
2010-02-01 12:02:00,POWGRI,63.14,63.93,63.0,63.53,1169312,
2010-02-02 12:02:00,POWGRI,63.79,64.97,63.28,63.96,1950076,
2010-02-04 12:02:00,POWGRI,63.28,64.27,62.83,63.0,1268404,
2010-02-05 12:02:00,POWGRI,62.21,62.44,60.19,60.41,2470490,
2010-02-06 12:02:00,POWGRI,60.75,61.26,60.24,60.61,204308,
2010-02-08 12:02:00,POWGRI,61.03,61.28,60.08,61.03,1030116,
2010-02-09 12:02:00,POWGRI,60.81,61.31,60.5,60.81,626208,
2010-02-10 12:02:00,POWGRI,61.03,61.12,60.22,60.36,575632,
2010-02-11 12:02:00,POWGRI,60.47,60.89,60.16,60.22,360269,
2010-02-15 12:02:00,POWGRI,60.36,61.03,58.95,59.01,886071,
2010-02-16 12:02:00,POWGRI,59.06,60.47,58.95,60.05,671053,
2010-02-17 12:02:00,POWGRI,60.47,60.61,60.02,60.24,556754,
2010-02-18 12:02:00,POWGRI,60.33,61.57,59.74,60.83,963940,
2010-02-19 12:02:00,POWGRI,60.83,60.83,59.91,60.27,712740,
2010-02-22 12:02:00,POWGRI,60.41,60.95,60.05,60.19,469780,
2010-02-23 12:02:00,POWGRI,60.19,60.3,59.65,59.96,450665,
2010-02-24 12:02:00,POWGRI,59.74,60.13,59.43,59.77,509671,
2010-02-25 12:02:00,POWGRI,60.19,60.19,59.12,59.88,928189,
2010-02-26 12:02:00,POWGRI,60.19,61.26,59.63,60.5,870967,
2010-03-02 12:03:00,POWGRI,60.53,61.59,60.19,60.5,439018,
