datetime,stock_code,open,high,low,close,volume,open_interest
2015-08-26 12:08:00,POWMEC,300.0,331.5,290.0,293.28,3974532,
2015-08-27 12:08:00,POWMEC,298.5,328.45,297.55,317.93,1290003,
2015-08-28 12:08:00,POWMEC,320.95,325.68,309.55,311.8,274983,
2015-08-31 12:08:00,POWMEC,309.58,312.5,304.25,307.35,146561,
2015-09-01 12:09:00,POWMEC,303.0,309.38,291.8,293.9,114905,
2015-09-02 12:09:00,POWMEC,299.4,307.5,280.15,304.2,86057,
2015-09-03 12:09:00,POWMEC,307.0,309.48,301.5,305.3,44136,
2015-09-04 12:09:00,POWMEC,309.9,309.9,295.5,300.53,89176,
2015-09-07 12:09:00,POWMEC,301.5,304.0,290.88,293.15,21473,
2015-09-08 12:09:00,POWMEC,297.5,299.5,291.18,294.9,31816,
2015-09-09 12:09:00,POWMEC,298.95,299.0,290.75,292.4,26040,
2015-09-10 12:09:00,POWMEC,290.0,292.2,287.0,290.25,17927,
2015-09-11 12:09:00,POWMEC,292.55,293.7,287.05,289.23,21051,
2015-09-14 12:09:00,POWMEC,291.0,296.25,286.0,293.48,40046,
2015-09-15 12:09:00,POWMEC,290.53,294.45,290.5,292.38,13668,
2015-09-16 12:09:00,POWMEC,296.4,296.4,284.8,285.43,29892,
2015-09-18 12:09:00,POWMEC,286.0,288.8,282.55,284.35,14969,
2015-09-21 12:09:00,POWMEC,284.05,294.98,282.5,290.0,57477,
2015-09-22 12:09:00,POWMEC,291.0,294.4,286.75,287.58,22498,
2015-09-23 12:09:00,POWMEC,287.5,294.5,284.03,292.4,13576,
2015-09-24 12:09:00,POWMEC,290.05,295.73,288.85,290.05,9359,
2015-09-28 12:09:00,POWMEC,289.5,290.73,286.5,287.38,11661,
2015-09-29 12:09:00,POWMEC,286.03,288.5,283.83,287.8,17187,
2015-09-30 12:09:00,POWMEC,288.5,289.98,287.85,288.58,6338,
2015-10-01 12:10:00,POWMEC,290.0,312.5,287.35,300.75,119940,
2015-10-05 12:10:00,POWMEC,301.55,310.0,298.33,302.58,36452,
2015-10-06 12:10:00,POWMEC,302.45,305.0,301.0,302.6,14779,
2015-10-07 12:10:00,POWMEC,300.15,307.9,300.05,306.2,27310,
2015-10-08 12:10:00,POWMEC,303.05,303.8,295.5,296.68,11343,
2015-10-09 12:10:00,POWMEC,296.1,299.5,290.63,292.0,15990,
2015-10-12 12:10:00,POWMEC,292.1,299.0,290.0,295.23,7860,
2015-10-13 12:10:00,POWMEC,292.53,303.93,291.13,299.3,52993,
