datetime,stock_code,open,high,low,close,volume,open_interest
2017-02-10 12:02:00,PRILI,95.14,95.18,90.74,90.74,104044,
2017-02-13 12:02:00,PRILI,86.54,86.54,86.54,86.54,97098,
2017-02-14 12:02:00,PRILI,82.58,86.0,82.58,82.58,217564,
2017-02-15 12:02:00,PRILI,78.81,78.81,78.81,78.81,19993,
2017-02-16 12:02:00,PRILI,75.23,80.79,75.23,79.39,420449,
2017-02-17 12:02:00,PRILI,79.0,79.78,75.77,76.51,299065,
2017-02-20 12:02:00,PRILI,74.33,79.97,74.33,79.93,296207,
2017-02-21 12:02:00,PRILI,79.86,83.59,79.54,80.48,261839,
2017-02-22 12:02:00,PRILI,80.56,81.33,79.08,79.93,214358,
2017-02-23 12:02:00,PRILI,79.51,80.94,78.81,79.7,180250,
2017-02-27 12:02:00,PRILI,80.56,80.56,74.84,77.37,375044,
2017-02-28 12:02:00,PRILI,77.83,78.22,74.64,74.88,247698,
2017-03-01 12:03:00,PRILI,75.89,77.83,75.5,76.24,321772,
2017-03-02 12:03:00,PRILI,76.63,76.63,73.59,74.14,255212,
2017-03-03 12:03:00,PRILI,73.94,74.88,70.64,72.16,248256,
2017-03-06 12:03:00,PRILI,73.01,73.75,71.49,72.19,166796,
2017-03-07 12:03:00,PRILI,72.39,73.17,70.13,72.19,220519,
2017-03-08 12:03:00,PRILI,72.19,72.78,68.97,69.67,286522,
2017-03-09 12:03:00,PRILI,68.97,71.07,68.93,69.86,171526,
2017-03-10 12:03:00,PRILI,70.76,70.76,66.56,67.14,401364,
2017-03-14 12:03:00,PRILI,67.72,70.76,67.49,67.92,244647,
2017-03-15 12:03:00,PRILI,68.11,69.59,68.11,69.36,133863,
2017-03-16 12:03:00,PRILI,69.36,73.87,69.36,73.36,359629,
2017-03-17 12:03:00,PRILI,72.97,74.57,70.56,71.49,216907,
2017-03-20 12:03:00,PRILI,71.96,74.26,71.22,72.82,298798,
2017-03-21 12:03:00,PRILI,72.86,73.75,71.61,72.35,313313,
2017-03-22 12:03:00,PRILI,72.04,72.04,70.6,71.49,101426,
2017-03-23 12:03:00,PRILI,70.44,72.39,70.44,71.38,144884,
2017-03-24 12:03:00,PRILI,71.38,72.16,69.98,70.41,176061,
2017-03-27 12:03:00,PRILI,70.44,70.64,68.89,69.04,134142,
2017-03-28 12:03:00,PRILI,70.06,71.57,69.36,70.02,115558,
2017-03-29 12:03:00,PRILI,70.41,70.41,67.14,67.53,337761,
2017-03-30 12:03:00,PRILI,68.11,69.24,68.07,68.19,214685,
2017-03-31 12:03:00,PRILI,68.66,69.28,67.53,68.15,267799,
2017-04-03 12:04:00,PRILI,68.27,74.72,68.27,73.91,553161,
2017-04-05 12:04:00,PRILI,74.33,78.14,74.33,77.29,623384,
2017-04-06 12:04:00,PRILI,76.67,77.64,75.5,76.2,205059,
2017-04-07 12:04:00,PRILI,75.85,79.0,75.5,77.09,351832,
2017-04-10 12:04:00,PRILI,77.83,78.61,75.03,75.93,256950,
2017-04-11 12:04:00,PRILI,76.47,76.47,75.23,75.34,159715,
2017-04-12 12:04:00,PRILI,75.5,75.77,73.83,74.64,176261,
2017-04-13 12:04:00,PRILI,74.72,77.06,74.33,76.32,225880,
2017-04-17 12:04:00,PRILI,75.97,78.03,75.11,77.68,258155,
2017-04-18 12:04:00,PRILI,79.35,80.17,74.45,74.72,679276,
2017-04-19 12:04:00,PRILI,74.72,75.89,74.33,74.92,85741,
2017-04-20 12:04:00,PRILI,75.38,77.13,75.23,75.93,120105,
2017-04-21 12:04:00,PRILI,76.12,76.55,74.72,75.11,121802,
2017-04-24 12:04:00,PRILI,75.11,75.89,74.33,75.23,216864,
2017-04-25 12:04:00,PRILI,75.5,77.25,74.33,74.61,245958,
2017-04-26 12:04:00,PRILI,75.19,75.19,73.09,73.4,215121,
2017-04-27 12:04:00,PRILI,73.4,74.02,72.04,72.35,183402,
2017-04-28 12:04:00,PRILI,72.39,73.24,71.38,72.39,180576,
2017-05-02 12:05:00,PRILI,72.39,73.71,71.3,72.51,139254,
2017-05-03 12:05:00,PRILI,72.47,73.52,71.3,73.17,232627,
2017-05-04 12:05:00,PRILI,73.32,73.32,72.0,72.47,97686,
2017-05-05 12:05:00,PRILI,72.47,73.21,70.83,71.18,123054,
2017-05-08 12:05:00,PRILI,71.81,72.78,71.18,71.53,74292,
2017-05-09 12:05:00,PRILI,71.61,72.31,70.83,71.88,145398,
2017-05-10 12:05:00,PRILI,71.96,72.62,71.61,72.0,92669,
2017-05-11 12:05:00,PRILI,72.43,73.48,71.26,72.58,110904,
2017-05-12 12:05:00,PRILI,72.7,72.89,71.3,71.61,127595,
2017-05-15 12:05:00,PRILI,72.12,74.29,71.46,72.47,161221,
2017-05-16 12:05:00,PRILI,72.39,73.4,72.0,72.27,90608,
2017-05-17 12:05:00,PRILI,72.39,72.97,71.61,71.96,99687,
2017-05-18 12:05:00,PRILI,72.0,72.39,70.64,70.79,93240,
2017-05-19 12:05:00,PRILI,70.91,71.22,68.97,69.71,135957,
2017-05-22 12:05:00,PRILI,69.51,70.64,68.54,68.66,132631,
2017-05-23 12:05:00,PRILI,68.73,68.81,65.58,67.76,173460,
2017-05-24 12:05:00,PRILI,67.72,68.03,66.32,67.45,91813,
2017-05-25 12:05:00,PRILI,67.45,69.67,66.28,68.89,142698,
2017-05-26 12:05:00,PRILI,70.44,70.44,68.89,69.36,88187,
2017-05-29 12:05:00,PRILI,68.89,71.22,68.89,69.36,88733,
2017-05-30 12:05:00,PRILI,69.28,70.21,68.11,68.34,91193,
2017-05-31 12:05:00,PRILI,70.44,71.22,65.97,67.57,518667,
2017-06-01 12:06:00,PRILI,68.11,69.04,66.94,68.07,234541,
2017-06-02 12:06:00,PRILI,68.89,69.16,66.36,67.45,356174,
2017-06-05 12:06:00,PRILI,67.88,69.16,65.78,68.07,348186,
2017-06-06 12:06:00,PRILI,68.11,70.76,67.72,70.33,247963,
2017-06-07 12:06:00,PRILI,70.83,71.34,68.34,69.12,283933,
2017-06-08 12:06:00,PRILI,68.89,69.67,68.42,68.69,51173,
2017-06-09 12:06:00,PRILI,69.2,71.42,67.96,71.18,290021,
2017-06-12 12:06:00,PRILI,70.83,71.3,68.73,69.08,136075,
2017-06-13 12:06:00,PRILI,68.97,70.83,68.77,68.89,130125,
2017-06-14 12:06:00,PRILI,69.59,69.9,68.42,68.85,65785,
2017-06-15 12:06:00,PRILI,68.89,72.31,68.5,70.87,326252,
2017-06-16 12:06:00,PRILI,70.44,72.31,70.44,70.83,129437,
2017-06-19 12:06:00,PRILI,70.83,72.23,70.44,71.42,107592,
2017-06-20 12:06:00,PRILI,71.42,71.42,70.06,70.13,40360,
2017-06-21 12:06:00,PRILI,70.13,71.11,69.28,69.82,61441,
2017-06-22 12:06:00,PRILI,69.32,70.41,67.96,69.67,154142,
2017-06-23 12:06:00,PRILI,68.89,70.21,68.15,68.58,99050,
2017-06-27 12:06:00,PRILI,68.89,70.44,67.45,69.78,219640,
2017-06-28 12:06:00,PRILI,69.04,69.28,68.19,68.42,48751,
2017-06-29 12:06:00,PRILI,68.89,70.06,68.15,69.67,161494,
2017-06-30 12:06:00,PRILI,69.67,69.67,68.5,68.97,46740,
2017-07-03 12:07:00,PRILI,68.89,70.06,68.89,69.55,60216,
2017-07-04 12:07:00,PRILI,69.59,70.02,68.89,69.16,58451,
2017-07-05 12:07:00,PRILI,69.59,70.37,69.28,69.67,113085,
2017-07-06 12:07:00,PRILI,70.79,70.83,69.08,69.28,91572,
2017-07-07 12:07:00,PRILI,70.02,71.07,68.89,70.76,151531,
2017-07-10 12:07:00,PRILI,71.07,71.22,68.89,70.83,34971,
2017-07-11 12:07:00,PRILI,71.22,71.69,69.67,69.98,67952,
2017-07-12 12:07:00,PRILI,69.78,71.22,69.78,70.83,107826,
2017-07-13 12:07:00,PRILI,71.07,78.11,70.79,77.02,1646846,
2017-07-14 12:07:00,PRILI,78.69,80.87,77.6,78.18,1382889,
2017-07-17 12:07:00,PRILI,78.84,78.84,75.58,76.39,326061,
2017-07-18 12:07:00,PRILI,75.89,76.08,75.11,75.23,139724,
