datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,PVRLIM,218.42,232.1,218.42,228.33,9404,
2010-01-05 12:01:00,PVRLIM,229.73,231.03,223.72,227.07,6832,
2010-01-06 12:01:00,PVRLIM,224.65,228.84,223.96,225.91,6739,
2010-01-07 12:01:00,PVRLIM,224.65,229.31,222.14,225.72,5189,
2010-01-08 12:01:00,PVRLIM,222.0,227.45,220.14,220.98,8260,
2010-01-11 12:01:00,PVRLIM,221.86,228.14,220.93,227.35,21389,
2010-01-12 12:01:00,PVRLIM,228.28,231.17,223.82,228.42,11561,
2010-01-13 12:01:00,PVRLIM,225.82,237.12,221.86,236.85,35234,
2010-01-14 12:01:00,PVRLIM,240.48,244.99,235.45,239.78,38243,
2010-01-15 12:01:00,PVRLIM,244.1,244.1,235.82,240.52,11981,
2010-01-18 12:01:00,PVRLIM,237.68,238.61,231.21,231.26,29325,
2010-01-19 12:01:00,PVRLIM,229.49,236.47,227.91,232.1,9352,
2010-01-20 12:01:00,PVRLIM,232.94,234.75,228.42,230.7,8261,
2010-01-21 12:01:00,PVRLIM,227.45,229.31,222.89,225.35,7405,
2010-01-22 12:01:00,PVRLIM,219.21,223.72,218.23,222.09,20772,
2010-01-25 12:01:00,PVRLIM,217.21,226.51,214.04,222.65,15158,
2010-01-27 12:01:00,PVRLIM,220.93,221.77,214.88,218.7,8693,
2010-01-28 12:01:00,PVRLIM,217.21,222.33,215.9,220.56,17365,
2010-01-29 12:01:00,PVRLIM,217.21,220.84,212.37,219.67,6232,
2010-02-01 12:02:00,PVRLIM,219.3,222.79,215.02,220.05,6794,
2010-02-02 12:02:00,PVRLIM,223.72,223.72,211.76,212.93,26994,
2010-02-04 12:02:00,PVRLIM,219.07,222.42,217.21,218.74,11112,
2010-02-05 12:02:00,PVRLIM,220.0,220.0,210.55,213.76,6170,
2010-02-06 12:02:00,PVRLIM,213.49,215.25,210.69,210.88,423,
2010-02-08 12:02:00,PVRLIM,217.02,218.51,213.49,215.77,9565,
2010-02-09 12:02:00,PVRLIM,217.21,219.07,213.95,217.58,5128,
2010-02-10 12:02:00,PVRLIM,219.07,219.07,215.35,217.35,8008,
2010-02-11 12:02:00,PVRLIM,217.21,219.07,214.7,217.35,2503,
2010-02-15 12:02:00,PVRLIM,219.07,219.07,214.56,216.28,2830,
2010-02-16 12:02:00,PVRLIM,214.42,220.0,212.55,214.14,4022,
2010-02-17 12:02:00,PVRLIM,214.42,217.21,213.49,214.74,7206,
2010-02-18 12:02:00,PVRLIM,214.7,215.58,212.65,214.97,2169,
2010-02-19 12:02:00,PVRLIM,216.28,216.28,207.62,214.42,14119,
2010-02-22 12:02:00,PVRLIM,213.49,220.0,210.69,217.02,8190,
2010-02-23 12:02:00,PVRLIM,214.42,217.95,214.42,215.72,4378,
2010-02-24 12:02:00,PVRLIM,214.88,217.77,212.55,216.0,3253,
2010-02-25 12:02:00,PVRLIM,212.79,217.21,212.79,214.97,7276,
2010-02-26 12:02:00,PVRLIM,214.42,220.0,213.53,214.42,9691,
2010-03-02 12:03:00,PVRLIM,214.42,215.35,213.49,214.97,4370,
2010-03-03 12:03:00,PVRLIM,214.51,219.07,213.49,217.3,23696,
2010-03-04 12:03:00,PVRLIM,216.32,220.0,215.9,218.6,11785,
2010-03-05 12:03:00,PVRLIM,226.24,226.65,214.42,216.98,44281,
2010-03-08 12:03:00,PVRLIM,218.14,219.95,214.88,216.79,9291,
2010-03-09 12:03:00,PVRLIM,215.81,217.07,214.42,215.86,9108,
2010-03-10 12:03:00,PVRLIM,215.39,216.6,214.88,215.81,3445,
2010-03-11 12:03:00,PVRLIM,215.35,223.72,214.42,218.32,5400,
2010-03-12 12:03:00,PVRLIM,220.0,221.86,214.42,218.23,13444,
2010-03-15 12:03:00,PVRLIM,214.6,221.86,214.6,216.56,22320,
2010-03-16 12:03:00,PVRLIM,218.6,221.77,217.21,218.28,14763,
2010-03-17 12:03:00,PVRLIM,217.21,220.47,216.28,216.51,6602,
2010-03-18 12:03:00,PVRLIM,217.21,218.09,215.35,216.79,13550,
2010-03-19 12:03:00,PVRLIM,218.14,220.0,215.44,217.77,12809,
2010-03-22 12:03:00,PVRLIM,219.3,223.72,215.58,216.23,58096,
2010-03-23 12:03:00,PVRLIM,215.81,220.0,215.53,216.28,12351,
2010-03-25 12:03:00,PVRLIM,217.21,232.47,214.42,217.16,241103,
2010-03-26 12:03:00,PVRLIM,219.07,221.02,213.53,216.46,17564,
2010-03-29 12:03:00,PVRLIM,213.49,218.14,213.49,214.83,19131,
2010-03-30 12:03:00,PVRLIM,214.51,219.07,214.51,215.53,16221,
2010-03-31 12:03:00,PVRLIM,214.93,221.86,214.42,218.37,12773,
2010-04-01 12:04:00,PVRLIM,218.14,218.14,214.42,215.44,24649,
2010-04-05 12:04:00,PVRLIM,221.68,221.68,216.51,218.32,11522,
2010-04-06 12:04:00,PVRLIM,218.14,220.93,215.35,215.86,14612,
2010-04-07 12:04:00,PVRLIM,219.53,219.53,213.49,215.25,10641,
2010-04-08 12:04:00,PVRLIM,217.21,217.21,214.0,214.46,94357,
2010-04-09 12:04:00,PVRLIM,212.55,214.88,211.62,212.51,30422,
2010-04-12 12:04:00,PVRLIM,222.05,228.14,215.63,223.26,259727,
2010-04-13 12:04:00,PVRLIM,224.65,224.98,218.19,219.35,66939,
2010-04-16 12:04:00,PVRLIM,217.21,217.21,213.58,215.72,29122,
2010-04-19 12:04:00,PVRLIM,213.39,215.25,212.6,214.14,9642,
2010-04-20 12:04:00,PVRLIM,213.07,219.95,213.07,217.72,17245,
2010-04-21 12:04:00,PVRLIM,217.25,219.07,215.39,217.3,10912,
2010-04-22 12:04:00,PVRLIM,217.67,219.53,216.51,218.37,12314,
2010-04-23 12:04:00,PVRLIM,219.91,222.33,217.21,220.23,10661,
2010-04-26 12:04:00,PVRLIM,221.86,223.63,215.35,217.35,11080,
2010-04-27 12:04:00,PVRLIM,216.28,217.11,215.35,216.37,4739,
2010-04-28 12:04:00,PVRLIM,216.28,216.51,212.09,214.88,34484,
2010-04-29 12:04:00,PVRLIM,214.93,218.88,214.93,217.91,21017,
2010-04-30 12:04:00,PVRLIM,221.4,226.51,218.74,223.16,24046,
2010-05-03 12:05:00,PVRLIM,220.0,221.86,210.93,217.11,114613,
2010-05-04 12:05:00,PVRLIM,218.65,218.65,213.58,214.37,7386,
2010-05-05 12:05:00,PVRLIM,212.55,213.44,207.44,208.23,21765,
2010-05-06 12:05:00,PVRLIM,210.69,211.53,204.74,205.2,31563,
2010-05-07 12:05:00,PVRLIM,202.32,204.97,202.32,203.39,13461,
2010-05-10 12:05:00,PVRLIM,214.42,214.42,203.53,204.88,11238,
2010-05-11 12:05:00,PVRLIM,206.88,207.9,204.18,204.97,5199,
2010-05-12 12:05:00,PVRLIM,203.25,205.85,199.62,200.83,9925,
2010-05-13 12:05:00,PVRLIM,200.18,207.9,200.13,203.62,8063,
2010-05-14 12:05:00,PVRLIM,206.32,206.32,199.52,200.04,4128,
2010-05-17 12:05:00,PVRLIM,198.64,201.39,187.75,193.34,13829,
2010-05-18 12:05:00,PVRLIM,192.54,205.57,192.08,197.66,18198,
2010-05-19 12:05:00,PVRLIM,195.8,202.32,192.13,193.99,11597,
2010-05-20 12:05:00,PVRLIM,195.24,199.43,194.03,197.71,14644,
2010-05-24 12:05:00,PVRLIM,191.29,197.66,191.29,192.96,8026,
2010-05-25 12:05:00,PVRLIM,192.17,192.59,191.15,191.66,3181,
2010-05-26 12:05:00,PVRLIM,192.08,194.78,189.33,190.08,183688,
2010-05-27 12:05:00,PVRLIM,189.29,193.38,189.29,190.82,16945,
2010-05-28 12:05:00,PVRLIM,191.24,194.64,191.24,193.2,6411,
2010-05-31 12:05:00,PVRLIM,193.8,193.8,189.33,192.08,15053,
2010-06-01 12:06:00,PVRLIM,192.96,192.96,188.45,188.82,8564,
2010-06-02 12:06:00,PVRLIM,191.15,191.15,187.89,189.57,10512,
2010-06-03 12:06:00,PVRLIM,197.66,197.66,192.59,194.64,24073,
2010-06-04 12:06:00,PVRLIM,197.57,217.86,193.15,212.18,591529,
2010-06-07 12:06:00,PVRLIM,208.09,208.09,200.5,203.67,130800,
2010-06-08 12:06:00,PVRLIM,205.85,209.06,199.25,200.41,42503,
2010-06-09 12:06:00,PVRLIM,203.39,205.11,196.87,200.41,25714,
2010-06-10 12:06:00,PVRLIM,203.11,205.02,191.71,201.85,41437,
2010-06-11 12:06:00,PVRLIM,202.88,206.5,198.59,199.52,16632,
2010-06-14 12:06:00,PVRLIM,200.73,215.25,199.52,201.85,372011,
2010-06-15 12:06:00,PVRLIM,202.6,207.76,201.67,202.32,62509,
2010-06-16 12:06:00,PVRLIM,202.32,205.02,200.69,201.62,27510,
2010-06-17 12:06:00,PVRLIM,202.6,203.15,199.76,201.71,19820,
2010-06-18 12:06:00,PVRLIM,202.5,204.18,198.97,199.57,31809,
2010-06-21 12:06:00,PVRLIM,200.73,203.76,199.06,200.27,35708,
2010-06-22 12:06:00,PVRLIM,201.39,203.43,198.41,198.78,37080,
2010-06-23 12:06:00,PVRLIM,200.08,200.92,197.29,197.94,14576,
2010-06-24 12:06:00,PVRLIM,197.66,199.8,196.27,196.92,10818,
2010-06-25 12:06:00,PVRLIM,198.5,198.69,196.41,196.83,49598,
2010-06-28 12:06:00,PVRLIM,197.94,201.29,196.22,199.34,51915,
2010-06-30 12:06:00,PVRLIM,200.87,203.25,198.55,201.9,13820,
2010-07-01 12:07:00,PVRLIM,200.73,203.15,199.62,200.18,10320,
2010-07-02 12:07:00,PVRLIM,200.73,201.67,196.87,198.27,11853,
2010-07-05 12:07:00,PVRLIM,199.15,202.32,198.18,199.99,14337,
2010-07-06 12:07:00,PVRLIM,200.73,202.55,198.59,200.92,7989,
2010-07-07 12:07:00,PVRLIM,201.39,202.18,199.06,199.62,25093,
2010-07-08 12:07:00,PVRLIM,201.62,202.32,195.15,195.94,33469,
2010-07-09 12:07:00,PVRLIM,196.08,198.22,195.34,195.85,13068,
2010-07-12 12:07:00,PVRLIM,197.57,198.59,195.8,196.78,10822,
2010-07-13 12:07:00,PVRLIM,196.08,198.87,195.8,197.43,13954,
2010-07-14 12:07:00,PVRLIM,198.04,198.78,195.34,196.03,25538,
2010-07-15 12:07:00,PVRLIM,195.34,196.73,194.22,194.59,7298,
2010-07-16 12:07:00,PVRLIM,196.08,199.39,195.15,197.2,48890,
2010-07-19 12:07:00,PVRLIM,196.73,209.3,188.64,202.69,575556,
2010-07-20 12:07:00,PVRLIM,203.48,203.71,196.13,197.15,62654,
2010-07-21 12:07:00,PVRLIM,197.76,201.15,195.34,196.97,47461,
2010-07-22 12:07:00,PVRLIM,197.94,199.43,197.2,198.04,20730,
2010-07-23 12:07:00,PVRLIM,198.59,200.87,196.08,196.64,36309,
2010-07-26 12:07:00,PVRLIM,197.01,198.87,193.94,194.5,20651,
2010-07-27 12:07:00,PVRLIM,196.17,196.73,192.54,193.66,13130,
2010-07-29 12:07:00,PVRLIM,199.15,199.85,194.59,195.29,27529,
2010-07-30 12:07:00,PVRLIM,197.9,206.78,195.99,197.43,418328,
2010-08-02 12:08:00,PVRLIM,200.46,200.46,194.41,195.15,88939,
2010-08-03 12:08:00,PVRLIM,195.9,197.38,192.68,193.15,58506,
2010-08-04 12:08:00,PVRLIM,193.66,195.8,193.48,193.94,32731,
2010-08-05 12:08:00,PVRLIM,195.15,197.85,193.94,195.34,67973,
2010-08-06 12:08:00,PVRLIM,196.64,201.25,195.85,197.01,128980,
2010-08-09 12:08:00,PVRLIM,198.45,200.36,195.06,196.59,76827,
2010-08-10 12:08:00,PVRLIM,197.29,206.04,196.73,198.92,230552,
2010-08-11 12:08:00,PVRLIM,199.15,200.73,195.52,196.41,22562,
2010-08-12 12:08:00,PVRLIM,196.36,199.52,195.62,197.29,37955,
2010-08-13 12:08:00,PVRLIM,197.57,206.46,195.8,204.74,163333,
2010-08-16 12:08:00,PVRLIM,213.9,220.33,205.43,206.41,736344,
2010-08-17 12:08:00,PVRLIM,206.97,209.2,201.53,204.09,110330,
2010-08-18 12:08:00,PVRLIM,205.11,206.97,203.99,205.43,33733,
2010-08-19 12:08:00,PVRLIM,207.3,210.23,206.13,207.85,112484,
2010-08-20 12:08:00,PVRLIM,212.46,216.09,209.95,211.34,370128,
2010-08-23 12:08:00,PVRLIM,215.25,216.28,211.62,212.51,180177,
2010-08-24 12:08:00,PVRLIM,212.55,215.21,206.97,209.81,71277,
2010-08-25 12:08:00,PVRLIM,209.11,217.77,204.74,212.14,440874,
2010-08-26 12:08:00,PVRLIM,211.9,216.28,211.2,215.3,163750,
2010-08-30 12:08:00,PVRLIM,214.04,216.98,209.34,210.83,37303,
2010-08-31 12:08:00,PVRLIM,209.76,210.65,206.27,208.88,53915,
2010-09-01 12:09:00,PVRLIM,208.97,218.6,208.97,217.53,93231,
2010-09-02 12:09:00,PVRLIM,218.6,221.35,214.88,215.63,37103,
2010-09-03 12:09:00,PVRLIM,216.51,220.7,215.02,217.39,56866,
2010-09-06 12:09:00,PVRLIM,218.32,224.42,217.21,218.93,83697,
2010-09-07 12:09:00,PVRLIM,223.58,233.87,221.4,222.56,623232,
2010-09-08 12:09:00,PVRLIM,222.33,226.51,219.26,225.3,142936,
2010-09-09 12:09:00,PVRLIM,226.51,228.38,222.79,223.44,99625,
2010-09-13 12:09:00,PVRLIM,224.28,227.45,220.28,221.81,59887,
2010-09-14 12:09:00,PVRLIM,223.26,229.21,222.79,227.31,192399,
2010-09-15 12:09:00,PVRLIM,231.35,235.64,227.49,228.19,255214,
2010-09-16 12:09:00,PVRLIM,226.98,228.38,222.33,223.54,187072,
2010-09-17 12:09:00,PVRLIM,223.77,228.19,223.77,225.03,101881,
2010-09-20 12:09:00,PVRLIM,226.14,227.26,222.79,223.72,56190,
2010-09-21 12:09:00,PVRLIM,224.65,225.86,220.0,220.98,57429,
2010-09-22 12:09:00,PVRLIM,219.07,224.56,217.21,218.05,121150,
2010-09-23 12:09:00,PVRLIM,219.21,219.53,215.81,216.84,50334,
2010-09-24 12:09:00,PVRLIM,216.37,219.77,215.58,216.37,53727,
2010-09-27 12:09:00,PVRLIM,218.51,220.37,215.25,215.95,45581,
2010-09-28 12:09:00,PVRLIM,214.56,216.65,213.49,214.7,40887,
2010-09-29 12:09:00,PVRLIM,214.93,216.09,211.72,212.83,24660,
2010-09-30 12:09:00,PVRLIM,212.69,226.24,212.55,216.23,416290,
2010-10-01 12:10:00,PVRLIM,216.84,222.79,216.6,221.81,168776,
2010-10-06 12:10:00,PVRLIM,223.44,224.65,219.07,219.86,107114,
2010-10-07 12:10:00,PVRLIM,220.05,221.86,217.21,217.58,51277,
2010-10-08 12:10:00,PVRLIM,219.16,221.3,215.86,216.32,40525,
2010-10-11 12:10:00,PVRLIM,218.98,218.98,215.35,216.65,25948,
2010-10-12 12:10:00,PVRLIM,217.67,218.09,211.16,212.6,63772,
2010-10-13 12:10:00,PVRLIM,213.62,216.09,211.62,214.14,50112,
2010-10-14 12:10:00,PVRLIM,214.88,216.46,210.93,212.46,32494,
2010-10-15 12:10:00,PVRLIM,214.32,215.3,209.9,211.07,20917,
2010-10-18 12:10:00,PVRLIM,213.3,213.39,208.65,209.34,34963,
2010-10-19 12:10:00,PVRLIM,210.23,211.16,208.09,209.62,27647,
2010-10-20 12:10:00,PVRLIM,209.02,211.58,205.9,207.44,210013,
2010-10-21 12:10:00,PVRLIM,208.37,214.42,206.5,211.25,78501,
2010-10-22 12:10:00,PVRLIM,212.51,220.0,210.13,213.3,85578,
2010-10-25 12:10:00,PVRLIM,214.23,216.28,212.83,215.9,75545,
2010-10-26 12:10:00,PVRLIM,218.14,218.14,213.07,213.81,10852,
2010-10-27 12:10:00,PVRLIM,215.35,219.07,211.95,213.16,193168,
2010-10-28 12:10:00,PVRLIM,213.58,216.28,211.72,212.32,25110,
2010-10-29 12:10:00,PVRLIM,213.02,213.95,209.3,210.55,20996,
2010-11-01 12:11:00,PVRLIM,212.18,214.42,209.06,210.88,37642,
2010-11-02 12:11:00,PVRLIM,212.79,218.79,212.79,217.67,278382,
2010-11-03 12:11:00,PVRLIM,218.37,220.0,210.97,212.88,119253,
2010-11-04 12:11:00,PVRLIM,214.04,215.16,212.65,213.76,20493,
2010-11-05 12:11:00,PVRLIM,215.9,216.28,213.9,214.74,5655,
2010-11-08 12:11:00,PVRLIM,215.9,216.65,213.49,213.9,27526,
2010-11-09 12:11:00,PVRLIM,213.58,214.56,210.04,212.65,50667,
2010-11-10 12:11:00,PVRLIM,213.67,216.28,212.65,216.0,60899,
2010-11-11 12:11:00,PVRLIM,216.28,217.58,212.55,214.56,51564,
2010-11-12 12:11:00,PVRLIM,214.42,218.14,211.53,213.39,123339,
2010-11-15 12:11:00,PVRLIM,214.42,216.28,209.44,211.76,37183,
2010-11-16 12:11:00,PVRLIM,212.55,213.02,205.39,206.5,37242,
2010-11-18 12:11:00,PVRLIM,207.9,208.37,203.81,206.41,31387,
2010-11-19 12:11:00,PVRLIM,208.23,208.23,197.66,198.87,33606,
2010-11-22 12:11:00,PVRLIM,200.46,204.92,199.66,203.2,26378,
2010-11-23 12:11:00,PVRLIM,204.13,204.18,194.27,196.64,30314,
2010-11-24 12:11:00,PVRLIM,198.59,199.43,193.2,194.13,75408,
2010-11-25 12:11:00,PVRLIM,194.41,196.73,191.15,192.08,25289,
2010-11-26 12:11:00,PVRLIM,193.66,194.36,180.96,189.8,105569,
2010-11-29 12:11:00,PVRLIM,193.01,195.57,182.96,188.36,31028,
2010-11-30 12:11:00,PVRLIM,185.56,193.01,183.7,192.78,31723,
2010-12-01 12:12:00,PVRLIM,194.13,197.48,193.94,196.03,32567,
2010-12-02 12:12:00,PVRLIM,201.11,206.97,197.34,198.27,69971,
2010-12-03 12:12:00,PVRLIM,197.85,200.83,190.4,192.27,41984,
2010-12-06 12:12:00,PVRLIM,193.94,197.2,192.54,194.96,33400,
2010-12-07 12:12:00,PVRLIM,195.99,195.99,191.15,194.13,13275,
2010-12-08 12:12:00,PVRLIM,193.94,194.87,185.56,188.31,28305,
2010-12-09 12:12:00,PVRLIM,188.73,189.29,180.07,184.31,17569,
2010-12-10 12:12:00,PVRLIM,182.77,186.73,176.49,185.8,17096,
2010-12-13 12:12:00,PVRLIM,184.87,191.15,183.24,186.08,7569,
2010-12-14 12:12:00,PVRLIM,185.56,187.89,184.87,187.38,6285,
2010-12-15 12:12:00,PVRLIM,186.5,188.31,184.77,186.31,6799,
2010-12-16 12:12:00,PVRLIM,188.36,189.24,185.7,187.29,35395,
2010-12-20 12:12:00,PVRLIM,187.01,188.26,185.1,185.89,10089,
2010-12-21 12:12:00,PVRLIM,185.84,188.36,182.45,183.19,32316,
2010-12-22 12:12:00,PVRLIM,186.4,189.29,180.07,184.73,70697,
2010-12-23 12:12:00,PVRLIM,185.66,186.96,184.68,186.22,23070,
2010-12-24 12:12:00,PVRLIM,186.91,188.22,184.63,186.45,26034,
2010-12-27 12:12:00,PVRLIM,188.36,189.1,185.56,186.31,58732,
2010-12-28 12:12:00,PVRLIM,186.54,188.36,185.56,186.77,37742,
2010-12-29 12:12:00,PVRLIM,186.08,187.84,186.08,187.43,20703,
2010-12-30 12:12:00,PVRLIM,186.54,188.26,186.54,187.61,17879,
2010-12-31 12:12:00,PVRLIM,186.77,191.99,186.77,191.24,32306,
2011-01-03 12:01:00,PVRLIM,192.08,192.08,189.05,190.17,30673,
2011-01-04 12:01:00,PVRLIM,189.52,191.15,189.29,190.5,10666,
2011-01-05 12:01:00,PVRLIM,189.38,195.24,189.38,191.61,56744,
2011-01-06 12:01:00,PVRLIM,192.54,196.73,189.52,190.59,47135,
2011-01-07 12:01:00,PVRLIM,191.61,191.61,185.56,186.45,10542,
2011-01-10 12:01:00,PVRLIM,185.56,188.26,184.35,186.12,15453,
2011-01-11 12:01:00,PVRLIM,186.5,187.33,184.82,186.73,7722,
2011-01-12 12:01:00,PVRLIM,187.19,193.01,184.87,186.31,64470,
2011-01-13 12:01:00,PVRLIM,186.5,187.1,184.73,186.5,12180,
2011-01-14 12:01:00,PVRLIM,187.43,188.36,185.84,187.01,21558,
2011-01-17 12:01:00,PVRLIM,185.56,186.45,182.31,183.42,12508,
2011-01-18 12:01:00,PVRLIM,184.17,188.17,182.31,186.63,23770,
2011-01-19 12:01:00,PVRLIM,185.56,187.43,184.63,185.01,23294,
2011-01-21 12:01:00,PVRLIM,186.5,186.96,184.63,185.89,4230,
2011-01-24 12:01:00,PVRLIM,186.5,186.5,183.7,185.61,25556,
2011-01-25 12:01:00,PVRLIM,187.43,187.43,185.1,185.61,5392,
2011-01-27 12:01:00,PVRLIM,184.96,186.31,184.63,185.56,5387,
2011-01-28 12:01:00,PVRLIM,186.5,186.91,177.47,182.73,12066,
2011-01-31 12:01:00,PVRLIM,179.98,186.03,178.12,178.44,6842,
2011-02-01 12:02:00,PVRLIM,178.21,180.35,177.19,177.28,3272,
2011-02-03 12:02:00,PVRLIM,172.77,176.49,170.95,173.28,19038,
2011-02-04 12:02:00,PVRLIM,174.4,174.58,167.0,170.67,15354,
2011-02-07 12:02:00,PVRLIM,168.81,170.58,164.44,165.93,7845,
2011-02-08 12:02:00,PVRLIM,167.88,167.88,158.99,159.97,118691,
2011-02-09 12:02:00,PVRLIM,161.32,164.16,155.13,161.27,20180,
2011-02-10 12:02:00,PVRLIM,161.37,171.51,158.25,166.9,63449,
2011-02-11 12:02:00,PVRLIM,167.23,167.23,159.97,162.02,32443,
2011-02-14 12:02:00,PVRLIM,165.51,167.0,162.3,164.25,13470,
2011-02-15 12:02:00,PVRLIM,165.46,166.02,163.23,164.86,10770,
2011-02-16 12:02:00,PVRLIM,166.16,170.67,163.69,164.86,86086,
2011-02-17 12:02:00,PVRLIM,164.58,169.74,162.3,163.97,39982,
2011-02-18 12:02:00,PVRLIM,165.65,166.02,162.3,163.55,33922,
2011-02-21 12:02:00,PVRLIM,164.16,164.16,159.92,160.9,8950,
2011-02-22 12:02:00,PVRLIM,162.3,162.3,158.57,159.23,9863,
2011-02-23 12:02:00,PVRLIM,159.13,164.16,158.57,159.13,16151,
2011-02-24 12:02:00,PVRLIM,159.04,160.44,156.81,157.55,7739,
2011-02-25 12:02:00,PVRLIM,160.25,160.44,156.71,157.22,8643,
2011-02-28 12:02:00,PVRLIM,156.71,159.04,154.85,156.06,5311,
2011-03-01 12:03:00,PVRLIM,158.11,165.0,155.46,157.22,20236,
2011-03-03 12:03:00,PVRLIM,157.78,159.09,156.76,157.55,6885,
2011-03-04 12:03:00,PVRLIM,157.78,159.04,156.71,157.64,129401,
2011-03-07 12:03:00,PVRLIM,156.76,157.55,154.34,156.39,16508,
2011-03-08 12:03:00,PVRLIM,155.78,157.27,153.22,154.43,22174,
