datetime,stock_code,open,high,low,close,volume,open_interest
2010-01-04 12:01:00,RALIND,63.47,64.47,62.33,62.91,30027,
2010-01-05 12:01:00,RALIND,64.67,65.73,64.33,64.95,49684,
2010-01-06 12:01:00,RALIND,65.4,65.47,64.0,64.44,16470,
2010-01-07 12:01:00,RALIND,64.79,66.93,64.13,65.96,26067,
2010-01-08 12:01:00,RALIND,66.6,69.66,65.87,67.75,64274,
2010-01-11 12:01:00,RALIND,68.6,72.33,67.73,70.41,81770,
2010-01-12 12:01:00,RALIND,71.6,71.6,68.4,69.3,20257,
2010-01-13 12:01:00,RALIND,69.0,71.0,67.87,69.9,12295,
2010-01-14 12:01:00,RALIND,71.32,71.93,70.0,71.04,14131,
2010-01-15 12:01:00,RALIND,72.0,72.75,69.67,72.16,84535,
2010-01-18 12:01:00,RALIND,72.0,72.59,70.0,70.77,35562,
2010-01-19 12:01:00,RALIND,70.87,71.9,70.02,70.66,14526,
2010-01-20 12:01:00,RALIND,71.27,72.47,70.47,71.38,23004,
2010-01-21 12:01:00,RALIND,71.92,76.59,71.33,72.87,65939,
2010-01-22 12:01:00,RALIND,71.33,73.46,67.07,72.43,21490,
2010-01-25 12:01:00,RALIND,71.03,73.19,71.03,72.56,13454,
2010-01-27 12:01:00,RALIND,72.67,72.8,71.67,72.49,21884,
2010-01-28 12:01:00,RALIND,72.27,74.0,71.67,72.54,10203,
2010-01-29 12:01:00,RALIND,71.7,72.43,69.33,71.56,12617,
2010-02-01 12:02:00,RALIND,71.48,76.13,71.47,74.91,12445,
2010-02-02 12:02:00,RALIND,77.0,78.26,72.21,73.86,10422,
2010-02-04 12:02:00,RALIND,73.8,74.8,72.33,72.77,2105,
2010-02-05 12:02:00,RALIND,69.13,72.73,68.47,71.81,7420,
2010-02-06 12:02:00,RALIND,71.33,74.66,71.33,73.14,1188,
2010-02-08 12:02:00,RALIND,73.33,75.33,72.34,74.38,5793,
2010-02-09 12:02:00,RALIND,74.93,74.93,72.33,73.5,34122,
2010-02-10 12:02:00,RALIND,74.7,74.7,72.67,73.33,13213,
2010-02-11 12:02:00,RALIND,73.4,74.07,72.73,73.69,13142,
2010-02-15 12:02:00,RALIND,73.67,75.67,73.27,73.93,2330,
2010-02-16 12:02:00,RALIND,74.13,77.73,73.47,76.1,7726,
2010-02-17 12:02:00,RALIND,77.33,81.8,76.67,80.16,37400,
2010-02-18 12:02:00,RALIND,81.2,83.99,80.67,80.84,24896,
2010-02-19 12:02:00,RALIND,81.33,83.27,80.08,81.83,39809,
2010-02-22 12:02:00,RALIND,82.93,84.67,78.73,83.77,85912,
2010-02-23 12:02:00,RALIND,83.2,86.99,81.48,86.23,52448,
2010-02-24 12:02:00,RALIND,86.13,94.27,84.21,91.87,106290,
2010-02-25 12:02:00,RALIND,91.29,91.67,86.76,87.72,58736,
2010-02-26 12:02:00,RALIND,88.33,89.18,84.33,84.96,22809,
2010-03-02 12:03:00,RALIND,85.67,90.6,85.4,87.53,35508,
2010-03-03 12:03:00,RALIND,87.67,89.33,86.67,87.45,5772,
2010-03-04 12:03:00,RALIND,88.19,88.65,87.33,87.59,8180,
2010-03-05 12:03:00,RALIND,88.53,90.0,86.67,87.07,13025,
2010-03-08 12:03:00,RALIND,86.33,88.27,86.33,87.03,8006,
2010-03-09 12:03:00,RALIND,87.0,88.33,85.1,86.43,18292,
2010-03-10 12:03:00,RALIND,85.53,87.2,82.56,83.39,22092,
2010-03-11 12:03:00,RALIND,83.67,85.65,80.8,81.36,9809,
2010-03-12 12:03:00,RALIND,81.13,82.0,80.13,80.89,6467,
2010-03-15 12:03:00,RALIND,81.6,81.73,79.48,80.18,28546,
2010-03-16 12:03:00,RALIND,80.18,81.0,79.0,80.48,5016,
2010-03-17 12:03:00,RALIND,81.4,82.93,80.34,81.62,14259,
2010-03-18 12:03:00,RALIND,81.6,81.65,80.13,80.42,3881,
2010-03-19 12:03:00,RALIND,80.6,80.93,79.22,80.17,25031,
2010-03-22 12:03:00,RALIND,77.0,83.53,77.0,80.95,9792,
2010-03-23 12:03:00,RALIND,81.35,82.27,80.0,80.18,4248,
2010-03-25 12:03:00,RALIND,80.2,81.2,79.67,80.03,2913,
2010-03-26 12:03:00,RALIND,81.6,81.67,79.87,80.22,4806,
2010-03-29 12:03:00,RALIND,80.33,82.26,79.33,80.03,32185,
2010-03-30 12:03:00,RALIND,80.8,82.67,80.29,81.67,4797,
2010-03-31 12:03:00,RALIND,82.27,84.33,81.8,82.94,16948,
2010-04-01 12:04:00,RALIND,82.35,88.07,80.15,87.09,23362,
2010-04-05 12:04:00,RALIND,84.34,89.33,84.34,88.45,20513,
